QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
1OT,2:53.0,,Defensive rebound by A. Gordon,114,113
1OT,2:31.0,,D. Augustin makes 2-pt jump shot from 10 ft,114,115
1OT,2:13.0,T. Dorsey makes 2-pt jump shot from 20 ft,,116,115
1OT,1:49.0,,N. Vučević makes 2-pt hook shot from 2 ft,116,117
1OT,1:31.0,C. Parsons misses 2-pt jump shot from 5 ft,,116,117
1OT,1:25.0,Offensive rebound by J. Valančiūnas,,116,117
1OT,1:25.0,J. Valančiūnas makes 2-pt layup at rim,,118,117
1OT,1:14.0,,E. Fournier makes 2-pt jump shot from 16 ft,118,119
1OT,1:09.0,Memphis full timeout,,118,119
1OT,0:55.0,J. Valančiūnas misses 2-pt jump shot from 8 ft,,118,119
1OT,0:53.0,,Defensive rebound by E. Fournier,118,119
1OT,0:42.0,,Personal foul by C. Parsons (drawn by E. Fournier),118,119
1OT,0:35.0,,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),118,121
1OT,0:35.0,Memphis full timeout,,118,121
1OT,0:35.0,,M. Carter-Williams enters the game for D. Augustin,118,121
1OT,0:35.0,,J. Isaac enters the game for E. Fournier,118,121
1OT,0:35.0,,W. Iwundu enters the game for T. Ross,118,121
1OT,0:24.0,Shooting foul by J. Isaac (drawn by T. Dorsey),,118,121
1OT,0:24.0,T. Dorsey makes free throw 1 of 3,,119,121
1OT,0:24.0,T. Dorsey misses free throw 2 of 3,,119,121
1OT,0:24.0,Offensive rebound by Team,,119,121
1OT,0:24.0,B. Caboclo enters the game for C. Parsons,,119,121
1OT,0:24.0,T. Dorsey misses free throw 3 of 3,,119,121
1OT,0:22.0,,Defensive rebound by M. Carter-Williams,119,121
1OT,0:22.0,,Orlando full timeout,119,121
1OT,0:22.0,C. Parsons enters the game for B. Caboclo,,119,121
1OT,0:22.0,,D. Augustin enters the game for M. Carter-Williams,119,121
1OT,0:22.0,,E. Fournier enters the game for J. Isaac,119,121
1OT,0:22.0,,T. Ross enters the game for W. Iwundu,119,121
1OT,0:21.0,,Personal foul by D. Wright (drawn by E. Fournier),119,121
1OT,0:21.0,,E. Fournier makes free throw 1 of 2,119,122
1OT,0:21.0,,M. Carter-Williams enters the game for D. Augustin,119,122
1OT,0:21.0,,W. Iwundu enters the game for T. Ross,119,122
1OT,0:21.0,,E. Fournier makes free throw 2 of 2,119,123
1OT,0:10.0,J. Holiday misses 3-pt jump shot from 25 ft,,119,123
1OT,0:08.0,Offensive rebound by J. Holiday,,119,123
1OT,0:06.0,J. Holiday misses 3-pt jump shot from 25 ft,,119,123
1OT,0:04.0,,Defensive rebound by A. Gordon,119,123
