QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
1,11:44.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Knox),0,2
1,11:27.0,B. Portis misses 2-pt layup from 3 ft (block by M. Robinson),,0,2
1,11:23.0,Offensive rebound by T. Satoranský,,0,2
1,11:18.0,T. Brown makes 2-pt jump shot from 8 ft (assist by T. Satoranský),,2,2
1,11:07.0,,M. Hezonja makes 2-pt layup from 1 ft,2,4
1,10:59.0,B. Beal misses 3-pt jump shot from 25 ft,,2,4
1,10:55.0,,Defensive rebound by M. Robinson,2,4
1,10:40.0,,L. Kornet misses 3-pt jump shot from 27 ft,2,4
1,10:36.0,Defensive rebound by T. Bryant,,2,4
1,10:32.0,B. Portis misses 2-pt layup from 1 ft,,2,4
1,10:29.0,,Defensive rebound by D. Dotson,2,4
1,10:15.0,,Turnover by M. Hezonja (bad pass; steal by B. Beal),2,4
1,10:05.0,T. Brown makes 2-pt jump shot from 21 ft,,4,4
1,9:50.0,,D. Dotson misses 3-pt jump shot from 25 ft,4,4
1,9:45.0,Defensive rebound by B. Portis,,4,4
1,9:34.0,T. Satoranský misses 3-pt jump shot from 24 ft,,4,4
1,9:30.0,,Defensive rebound by M. Robinson,4,4
1,9:25.0,,K. Knox misses 3-pt jump shot from 25 ft,4,4
1,9:22.0,Defensive rebound by T. Bryant,,4,4
1,9:11.0,B. Portis misses 3-pt jump shot from 25 ft,,4,4
1,9:05.0,,Defensive rebound by M. Hezonja,4,4
1,8:59.0,,M. Hezonja makes 2-pt layup from 1 ft,4,6
1,8:45.0,B. Beal misses 2-pt jump shot from 19 ft,,4,6
1,8:43.0,,Defensive rebound by K. Knox,4,6
1,8:25.0,,L. Kornet misses 3-pt jump shot from 26 ft,4,6
1,8:19.0,Defensive rebound by T. Brown,,4,6
1,8:12.0,B. Beal misses 2-pt jump shot from 12 ft,,4,6
1,8:10.0,Offensive rebound by B. Portis,,4,6
1,8:09.0,B. Portis misses 2-pt layup from 2 ft (block by L. Kornet),,4,6
1,8:09.0,Offensive rebound by T. Satoranský,,4,6
1,8:04.0,B. Beal misses 3-pt jump shot from 24 ft,,4,6
1,8:02.0,Offensive rebound by B. Portis,,4,6
1,8:01.0,B. Portis misses 2-pt layup from 1 ft (block by L. Kornet),,4,6
1,8:01.0,,Defensive rebound by K. Knox,4,6
1,7:54.0,,K. Knox misses 2-pt layup at rim,4,6
