QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,CLEVELAND_ACTION,NEW ORLEANS_SCORE,CLEVELAND_SCORE
1,11:44.0,E. Payton misses 2-pt layup from 2 ft,,0,0
1,11:43.0,Offensive rebound by J. Randle,,0,0
1,11:41.0,J. Randle misses 2-pt layup from 1 ft,,0,0
1,11:38.0,,Defensive rebound by C. Sexton,0,0
1,11:18.0,,C. Osman misses 2-pt layup from 5 ft,0,0
1,11:13.0,,Offensive rebound by L. Nance,0,0
1,11:13.0,,L. Nance misses 2-pt layup from 1 ft,0,0
1,11:09.0,Defensive rebound by A. Davis,,0,0
1,11:05.0,J. Holiday misses 2-pt jump shot from 8 ft,,0,0
1,11:02.0,,Defensive rebound by A. Burks,0,0
1,10:48.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by C. Osman),0,3
1,10:40.0,E. Payton makes 2-pt layup from 2 ft (assist by J. Holiday),,2,3
1,10:25.0,,A. Burks makes 3-pt jump shot from 28 ft (assist by T. Thompson),2,6
1,10:16.0,J. Holiday makes 2-pt layup from 2 ft (assist by E. Payton),,4,6
1,9:52.0,,C. Osman misses 3-pt jump shot from 25 ft,4,6
1,9:51.0,Defensive rebound by A. Davis,,4,6
1,9:42.0,J. Randle makes 3-pt jump shot from 26 ft (assist by A. Davis),,7,6
1,9:22.0,,Personal foul by E. Payton (drawn by L. Nance),7,6
1,9:08.0,,A. Burks misses 3-pt jump shot from 25 ft,7,6
1,9:08.0,,Offensive rebound by Team,7,6
1,9:08.0,,Turnover by Team (shot clock),7,6
1,8:59.0,Personal foul by C. Sexton (drawn by E. Payton),,7,6
1,8:53.0,J. Holiday makes 2-pt jump shot from 10 ft,,9,6
1,8:35.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by A. Burks),9,9
1,8:21.0,E. Payton misses 2-pt layup from 1 ft,,9,9
1,8:17.0,,Defensive rebound by L. Nance,9,9
1,8:15.0,,Turnover by L. Nance (bad pass),9,9
1,8:06.0,Personal foul by L. Nance (drawn by A. Davis),,9,9
1,7:58.0,A. Davis makes 2-pt jump shot from 20 ft,,11,9
1,7:39.0,,C. Sexton misses 2-pt jump shot from 14 ft,11,9
1,7:37.0,Defensive rebound by A. Davis,,11,9
1,7:32.0,Personal foul by L. Nance (drawn by A. Davis),,11,9
1,7:24.0,Turnover by J. Randle (bad pass; steal by T. Thompson),,11,9
1,7:21.0,,Turnover by L. Nance (bad pass; steal by E. Payton),11,9
1,7:21.0,Personal take foul by C. Osman (drawn by E. Payton),,11,9
1,7:21.0,,J. Clarkson enters the game for L. Nance,11,9
1,7:09.0,Turnover by J. Randle (bad pass),,11,9
1,6:50.0,,C. Osman makes 3-pt jump shot from 27 ft (assist by A. Burks),11,12
1,6:40.0,J. Randle misses 2-pt jump shot from 7 ft (block by T. Thompson),,11,12
1,6:37.0,,Defensive rebound by C. Sexton,11,12
1,6:26.0,,C. Sexton misses 2-pt layup from 1 ft (block by A. Davis),11,12
1,6:22.0,,Offensive rebound by C. Sexton,11,12
1,6:21.0,,Cleveland full timeout,11,12
1,6:21.0,D. Miller enters the game for J. Randle,,11,12
1,6:16.0,,Turnover by C. Sexton (lost ball; steal by A. Davis),11,12
1,6:02.0,Turnover by E. Moore (bad pass; steal by J. Clarkson),,11,12
1,5:46.0,,C. Sexton makes 3-pt jump shot from 22 ft (assist by J. Clarkson),11,15
1,5:36.0,Shooting foul by T. Thompson (drawn by A. Davis),,11,15
