QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
1,11:45.0,,B. Lopez misses 3-pt jump shot from 26 ft,0,0
1,11:42.0,Defensive rebound by J. Butler,,0,0
1,11:33.0,J. Butler misses 2-pt jump shot from 18 ft,,0,0
1,11:29.0,,Defensive rebound by N. Mirotić,0,0
1,11:24.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,0,0
1,11:21.0,Defensive rebound by B. Simmons,,0,0
1,11:18.0,B. Simmons misses 2-pt layup from 3 ft,,0,0
1,11:18.0,Offensive rebound by J. Butler,,0,0
1,11:18.0,J. Butler misses 2-pt layup from 3 ft,,0,0
1,11:18.0,Offensive rebound by J. Embiid,,0,0
1,11:15.0,J. Butler misses 2-pt layup from 1 ft,,0,0
1,11:13.0,Offensive rebound by J. Embiid,,0,0
1,11:11.0,J. Embiid misses 2-pt hook shot from 5 ft,,0,0
1,11:11.0,Offensive rebound by Team,,0,0
1,11:08.0,J. Embiid misses 3-pt jump shot from 28 ft,,0,0
1,11:04.0,,Defensive rebound by K. Middleton,0,0
1,10:53.0,,N. Mirotić misses 3-pt jump shot from 23 ft,0,0
1,10:49.0,Defensive rebound by T. Harris,,0,0
1,10:27.0,J. Redick makes 3-pt jump shot from 27 ft,,3,0
1,10:03.0,,Turnover by B. Lopez (lost ball; steal by J. Embiid),3,0
1,9:56.0,T. Harris misses 2-pt layup from 1 ft,,3,0
1,9:53.0,,Defensive rebound by K. Middleton,3,0
1,9:49.0,,E. Bledsoe makes 3-pt jump shot from 27 ft,3,3
1,9:32.0,J. Butler makes 2-pt layup from 9 ft (assist by J. Embiid),,5,3
1,9:22.0,,E. Bledsoe misses 2-pt layup from 5 ft (block by J. Redick),5,3
1,9:19.0,,Offensive rebound by E. Bledsoe,5,3
1,9:16.0,,N. Mirotić misses 3-pt jump shot from 24 ft,5,3
1,9:13.0,Defensive rebound by J. Embiid,,5,3
1,9:11.0,J. Embiid misses 3-pt jump shot from 28 ft,,5,3
1,9:09.0,,Defensive rebound by G. Antetokounmpo,5,3
1,9:03.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,5,3
1,9:00.0,Defensive rebound by J. Embiid,,5,3
