QUARTER,TIME_REMAINING,BOSTON_ACTION,DETROIT_ACTION,BOSTON_SCORE,DETROIT_SCORE
1,11:40.0,,B. Griffin misses 2-pt hook shot from 5 ft,0,0
1,11:37.0,,Offensive rebound by B. Griffin,0,0
1,11:30.0,,A. Drummond misses 2-pt jump shot from 13 ft,0,0
1,11:28.0,Defensive rebound by M. Smart,,0,0
1,11:18.0,K. Irving misses 2-pt jump shot from 8 ft (block by A. Drummond),,0,0
1,11:15.0,,Defensive rebound by A. Drummond,0,0
1,11:10.0,,Turnover by R. Bullock (bad pass; steal by M. Morris),0,0
1,10:55.0,K. Irving makes 2-pt layup from 2 ft (assist by M. Morris),,2,0
1,10:43.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Bullock),2,2
1,10:29.0,A. Baynes makes 2-pt layup from 1 ft (assist by M. Morris),,4,2
1,10:22.0,,Offensive foul by A. Drummond (drawn by K. Irving),4,2
1,10:22.0,,Turnover by A. Drummond (offensive foul),4,2
1,10:15.0,A. Baynes makes 2-pt dunk at rim (assist by M. Morris),,6,2
1,9:51.0,,L. Kennard makes 3-pt jump shot from 24 ft (assist by A. Drummond),6,5
1,9:38.0,J. Tatum misses 2-pt jump shot from 14 ft,,6,5
1,9:33.0,,Defensive rebound by B. Griffin,6,5
1,9:28.0,,R. Jackson makes 2-pt jump shot from 19 ft,6,7
1,9:15.0,K. Irving misses 2-pt layup from 1 ft,,6,7
1,9:12.0,Offensive rebound by A. Baynes,,6,7
1,9:10.0,A. Baynes makes 2-pt hook shot from 4 ft,,8,7
1,8:54.0,,A. Drummond misses 2-pt hook shot from 8 ft,8,7
1,8:52.0,Defensive rebound by A. Baynes,,8,7
1,8:48.0,K. Irving misses 3-pt jump shot from 28 ft,,8,7
1,8:44.0,Offensive rebound by K. Irving,,8,7
1,8:41.0,M. Morris misses 3-pt jump shot from 26 ft,,8,7
1,8:39.0,,Defensive rebound by B. Griffin,8,7
1,8:28.0,,Shooting foul by M. Smart (drawn by R. Bullock),8,7
1,8:28.0,,R. Bullock misses free throw 1 of 2,8,7
1,8:28.0,,Offensive rebound by Team,8,7
1,8:28.0,,R. Bullock makes free throw 2 of 2,8,8
1,8:13.0,Turnover by K. Irving (3 sec),,8,8
1,7:55.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by B. Griffin),8,11
1,7:43.0,M. Smart makes 3-pt jump shot from 25 ft,,11,11
1,7:24.0,,Shooting foul by K. Irving (drawn by B. Griffin),11,11
1,7:24.0,,B. Griffin makes free throw 1 of 2,11,12
1,7:24.0,,B. Griffin misses free throw 2 of 2,11,12
1,7:22.0,Defensive rebound by K. Irving,,11,12
1,7:06.0,J. Tatum makes 2-pt jump shot from 18 ft,,13,12
1,6:57.0,,A. Drummond makes 2-pt hook shot from 4 ft (assist by R. Jackson),13,14
1,6:43.0,J. Tatum misses 3-pt jump shot from 26 ft,,13,14
1,6:40.0,,Defensive rebound by A. Drummond,13,14
1,6:32.0,,Personal foul by M. Smart (drawn by B. Griffin),13,14
1,6:32.0,,Detroit full timeout,13,14
1,6:32.0,G. Hayward enters the game for J. Tatum,,13,14
1,6:22.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by R. Jackson),13,17
1,6:04.0,Shooting foul by A. Drummond (drawn by M. Morris),,13,17
1,6:04.0,M. Morris misses free throw 1 of 2,,13,17
1,6:04.0,Offensive rebound by Team,,13,17
1,6:04.0,D. Theis enters the game for A. Baynes,,13,17
1,6:04.0,,J. Leuer enters the game for A. Drummond,13,17
1,6:04.0,M. Morris makes free throw 2 of 2,,14,17
1,5:49.0,,R. Jackson makes 2-pt dunk from 1 ft (assist by L. Kennard),14,19
1,5:39.0,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),,17,19
1,5:26.0,,R. Bullock misses 3-pt jump shot from 25 ft,17,19
1,5:23.0,Defensive rebound by K. Irving,,17,19
1,5:18.0,D. Theis makes 3-pt jump shot from 26 ft (assist by K. Irving),,20,19
1,5:01.0,,L. Kennard makes 2-pt jump shot from 16 ft (assist by B. Griffin),20,21
1,4:40.0,K. Irving makes 2-pt jump shot from 10 ft,,22,21
1,4:30.0,,R. Bullock misses 3-pt jump shot from 25 ft,22,21
1,4:28.0,,Offensive rebound by J. Leuer,22,21
1,4:25.0,,Turnover by J. Leuer (bad pass; steal by M. Smart),22,21
1,4:23.0,Offensive foul by M. Smart (drawn by R. Bullock),,22,21
1,4:23.0,Turnover by M. Smart (offensive foul),,22,21
1,4:23.0,J. Brown enters the game for M. Smart,,22,21
1,4:23.0,,J. Calderón enters the game for R. Jackson,22,21
1,4:13.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by J. Calderón),22,24
1,3:54.0,G. Hayward misses 2-pt jump shot from 21 ft,,22,24
1,3:50.0,,Defensive rebound by L. Kennard,22,24
1,3:35.0,,J. Leuer makes 2-pt jump shot from 11 ft,22,26
1,3:24.0,K. Irving makes 2-pt layup from 1 ft,,24,26
1,3:18.0,,Personal foul by J. Brown (drawn by B. Griffin),24,26
1,3:08.0,,B. Griffin misses 2-pt layup from 5 ft,24,26
1,3:04.0,Defensive rebound by G. Hayward,,24,26
1,3:00.0,Shooting foul by L. Kennard (drawn by M. Morris),,24,26
1,3:00.0,M. Morris makes free throw 1 of 2,,25,26
1,3:00.0,,L. Galloway enters the game for R. Bullock,25,26
1,3:00.0,M. Morris makes free throw 2 of 2,,26,26
1,2:49.0,,B. Griffin misses 2-pt layup from 3 ft,26,26
1,2:47.0,Defensive rebound by K. Irving,,26,26
1,2:43.0,Turnover by K. Irving (lost ball; steal by J. Leuer),,26,26
1,2:38.0,,L. Kennard makes 2-pt layup from 2 ft (assist by J. Calderón),26,28
1,2:17.0,M. Morris makes 2-pt layup from 5 ft (assist by K. Irving),,28,28
1,1:57.0,,Turnover by L. Galloway (bad pass; steal by G. Hayward),28,28
1,1:46.0,Turnover by J. Brown (traveling),,28,28
1,1:46.0,Boston full timeout,,28,28
1,1:46.0,T. Rozier enters the game for K. Irving,,28,28
1,1:23.0,,B. Griffin makes 2-pt hook shot from 5 ft (assist by J. Calderón),28,30
1,1:08.0,G. Hayward makes 2-pt jump shot from 6 ft,,30,30
1,0:55.0,,Shooting foul by D. Theis (drawn by B. Griffin),30,30
1,0:55.0,,B. Griffin makes free throw 1 of 2,30,31
1,0:55.0,J. Tatum enters the game for M. Morris,,30,31
1,0:55.0,,B. Griffin misses free throw 2 of 2,30,31
1,0:54.0,Defensive rebound by J. Tatum,,30,31
1,0:38.0,Turnover by T. Rozier (bad pass; steal by B. Griffin),,30,31
1,0:34.0,,J. Leuer makes 2-pt dunk from 1 ft (assist by B. Griffin),30,33
1,0:22.0,D. Theis makes 3-pt jump shot from 26 ft (assist by J. Brown),,33,33
1,0:00.0,,B. Griffin misses 2-pt jump shot from 15 ft,33,33
1,0:00.0,Defensive rebound by J. Tatum,,33,33
2,11:48.0,G. Hayward misses 3-pt jump shot from 28 ft,,33,33
2,11:45.0,Offensive rebound by T. Rozier,,33,33
2,11:41.0,J. Tatum makes 2-pt layup from 2 ft (assist by T. Rozier),,35,33
2,11:20.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by S. Johnson),35,36
2,10:53.0,J. Tatum misses 2-pt jump shot from 20 ft,,35,36
2,10:49.0,,Defensive rebound by B. Brown,35,36
2,10:47.0,,L. Galloway misses 3-pt jump shot from 25 ft,35,36
2,10:43.0,Defensive rebound by D. Theis,,35,36
2,10:34.0,G. Hayward misses 3-pt jump shot from 23 ft,,35,36
2,10:31.0,,Defensive rebound by J. Leuer,35,36
2,10:24.0,,J. Calderón makes 2-pt jump shot from 15 ft,35,38
2,10:07.0,Personal foul by L. Galloway (drawn by J. Brown),,35,38
2,10:01.0,Turnover by G. Hayward (lost ball; steal by J. Calderón),,35,38
2,9:53.0,,Personal foul by T. Rozier (drawn by S. Johnson),35,38
2,9:41.0,,S. Johnson misses 3-pt jump shot from 25 ft,35,38
2,9:37.0,Defensive rebound by D. Theis,,35,38
2,9:32.0,J. Tatum misses 2-pt layup from 4 ft,,35,38
2,9:28.0,Offensive rebound by J. Tatum,,35,38
2,9:28.0,J. Tatum makes 2-pt layup from 1 ft,,37,38
2,9:13.0,,Turnover by B. Brown (lost ball; steal by J. Brown),37,38
2,9:07.0,Turnover by J. Brown (lost ball; steal by L. Galloway),,37,38
2,8:52.0,,B. Brown makes 3-pt jump shot from 24 ft (assist by J. Calderón),37,41
2,8:30.0,J. Brown misses 2-pt layup from 3 ft,,37,41
2,8:28.0,,Defensive rebound by J. Leuer,37,41
2,8:25.0,,B. Brown misses 2-pt layup from 5 ft (block by J. Brown),37,41
2,8:25.0,,Offensive rebound by Team,37,41
2,8:25.0,,Detroit full timeout,37,41
2,8:25.0,M. Smart enters the game for G. Hayward,,37,41
2,8:25.0,R. Williams enters the game for D. Theis,,37,41
2,8:12.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by J. Calderón),37,44
2,7:55.0,M. Smart makes 3-pt jump shot from 24 ft (assist by J. Tatum),,40,44
2,7:41.0,,J. Leuer misses 2-pt layup from 3 ft,40,44
2,7:39.0,Defensive rebound by J. Tatum,,40,44
2,7:31.0,M. Smart misses 3-pt jump shot from 25 ft,,40,44
2,7:28.0,,Defensive rebound by S. Johnson,40,44
2,7:16.0,,B. Brown misses 2-pt layup from 6 ft (block by R. Williams),40,44
2,7:15.0,Defensive rebound by Team,,40,44
2,7:15.0,,A. Drummond enters the game for J. Leuer,40,44
2,7:06.0,Turnover by M. Smart (bad pass; steal by A. Drummond),,40,44
2,7:02.0,,S. Johnson makes 2-pt layup from 1 ft,40,46
2,6:48.0,J. Tatum misses 2-pt layup from 2 ft (block by A. Drummond),,40,46
2,6:48.0,Offensive rebound by Team,,40,46
2,6:48.0,,R. Jackson enters the game for J. Calderón,40,46
2,6:45.0,T. Rozier misses 3-pt jump shot from 23 ft,,40,46
2,6:42.0,,Defensive rebound by A. Drummond,40,46
2,6:36.0,,Turnover by R. Jackson (lost ball; steal by J. Brown),40,46
2,6:32.0,R. Williams makes 2-pt layup from 4 ft (assist by J. Brown),,42,46
2,6:04.0,,L. Galloway makes 2-pt jump shot from 18 ft,42,48
2,5:46.0,M. Smart misses 3-pt jump shot from 26 ft,,42,48
2,5:43.0,,Defensive rebound by A. Drummond,42,48
2,5:29.0,,L. Galloway misses 3-pt jump shot from 23 ft,42,48
2,5:26.0,Defensive rebound by T. Rozier,,42,48
2,5:17.0,J. Brown makes 2-pt jump shot from 15 ft,,44,48
2,4:52.0,,S. Johnson misses 3-pt jump shot from 24 ft,44,48
2,4:49.0,,Offensive rebound by S. Johnson,44,48
2,4:38.0,,R. Jackson misses 2-pt jump shot from 23 ft,44,48
2,4:37.0,,Offensive rebound by Team,44,48
2,4:37.0,,Turnover by Team (shot clock),44,48
2,4:37.0,K. Irving enters the game for M. Smart,,44,48
2,4:37.0,,B. Griffin enters the game for S. Johnson,44,48
2,4:23.0,T. Rozier misses 2-pt layup from 4 ft (block by R. Jackson),,44,48
2,4:19.0,,Defensive rebound by L. Galloway,44,48
2,4:14.0,,B. Griffin makes 2-pt layup from 1 ft (assist by L. Galloway),44,50
2,4:06.0,Personal foul by L. Galloway (drawn by J. Tatum),,44,50
2,4:06.0,A. Baynes enters the game for J. Brown,,44,50
2,4:06.0,G. Hayward enters the game for J. Tatum,,44,50
2,4:06.0,M. Morris enters the game for R. Williams,,44,50
2,4:00.0,K. Irving makes 2-pt layup from 3 ft,,46,50
2,3:46.0,,L. Galloway makes 2-pt jump shot from 18 ft (assist by B. Griffin),46,52
2,3:46.0,,Shooting foul by M. Morris (drawn by L. Galloway),46,52
2,3:46.0,,R. Bullock enters the game for B. Brown,46,52
2,3:46.0,,L. Galloway misses free throw 1 of 1,46,52
2,3:46.0,Defensive rebound by K. Irving,,46,52
2,3:29.0,M. Morris misses 2-pt jump shot from 13 ft,,46,52
2,3:27.0,,Defensive rebound by Team,46,52
2,3:13.0,,B. Griffin misses 2-pt hook shot from 10 ft (block by M. Morris),46,52
2,3:13.0,,Offensive rebound by B. Griffin,46,52
2,3:11.0,,B. Griffin misses 2-pt jump shot from 15 ft,46,52
2,3:05.0,,Offensive rebound by A. Drummond,46,52
2,3:05.0,,A. Drummond misses 2-pt layup at rim,46,52
2,3:04.0,Defensive rebound by K. Irving,,46,52
2,3:02.0,T. Rozier makes 2-pt jump shot from 11 ft,,48,52
2,2:47.0,,Shooting foul by M. Morris (drawn by R. Jackson),48,52
2,2:47.0,Boston full timeout,,48,52
2,2:47.0,,R. Jackson makes free throw 1 of 2,48,53
2,2:47.0,,R. Jackson makes free throw 2 of 2,48,54
2,2:37.0,K. Irving makes 2-pt jump shot from 14 ft (assist by G. Hayward),,50,54
2,2:15.0,,B. Griffin makes 2-pt layup from 5 ft,50,56
2,1:59.0,M. Morris misses 3-pt jump shot from 27 ft,,50,56
2,1:56.0,,Defensive rebound by R. Jackson,50,56
2,1:55.0,,Shooting foul by K. Irving (drawn by A. Drummond),50,56
2,1:55.0,,A. Drummond misses free throw 1 of 2,50,56
2,1:55.0,,Offensive rebound by Team,50,56
2,1:55.0,J. Brown enters the game for T. Rozier,,50,56
2,1:55.0,,A. Drummond makes free throw 2 of 2,50,57
2,1:35.0,K. Irving misses 2-pt layup from 2 ft,,50,57
2,1:32.0,Offensive rebound by A. Baynes,,50,57
2,1:32.0,A. Baynes misses 2-pt layup from 1 ft,,50,57
2,1:30.0,,Defensive rebound by A. Drummond,50,57
2,1:21.0,,R. Bullock misses 3-pt jump shot from 26 ft,50,57
2,1:16.0,Defensive rebound by A. Baynes,,50,57
2,1:10.0,Personal foul by B. Griffin (drawn by K. Irving),,50,57
2,1:10.0,,J. Leuer enters the game for A. Drummond,50,57
2,1:04.0,K. Irving makes 2-pt layup from 3 ft,,52,57
2,0:48.0,,Turnover by R. Jackson (bad pass; steal by K. Irving),52,57
2,0:45.0,K. Irving makes 2-pt layup from 2 ft,,54,57
2,0:39.0,,Turnover by R. Jackson (bad pass),54,57
2,0:29.0,M. Morris makes 2-pt jump shot from 18 ft,,56,57
2,0:05.0,,B. Griffin misses 2-pt jump shot from 7 ft,56,57
2,0:04.0,Defensive rebound by M. Morris,,56,57
2,0:01.0,J. Brown misses 3-pt jump shot from 25 ft,,56,57
2,0:01.0,Offensive rebound by Team,,56,57
3,11:48.0,K. Irving misses 2-pt jump shot from 8 ft,,56,57
3,11:45.0,Offensive rebound by K. Irving,,56,57
3,11:41.0,M. Morris makes 2-pt jump shot from 17 ft (assist by M. Smart),,58,57
3,11:26.0,,Personal foul by M. Morris (drawn by R. Bullock),58,57
3,11:16.0,,R. Jackson misses 3-pt jump shot from 27 ft,58,57
3,11:13.0,Defensive rebound by K. Irving,,58,57
3,11:10.0,J. Tatum makes 2-pt dunk from 1 ft (assist by K. Irving),,60,57
3,10:50.0,,B. Griffin makes 2-pt layup from 2 ft (assist by L. Kennard),60,59
3,10:41.0,J. Tatum misses 3-pt jump shot from 25 ft,,60,59
3,10:37.0,,Defensive rebound by L. Kennard,60,59
3,10:27.0,,R. Bullock makes 2-pt layup from 4 ft (assist by B. Griffin),60,61
3,10:16.0,Personal foul by R. Jackson (drawn by M. Smart),,60,61
3,10:06.0,Shooting foul by L. Kennard (drawn by A. Baynes),,60,61
3,10:06.0,A. Baynes makes free throw 1 of 2,,61,61
3,10:06.0,A. Baynes makes free throw 2 of 2,,62,61
3,9:45.0,,B. Griffin makes 2-pt layup from 1 ft (assist by R. Jackson),62,63
3,9:36.0,K. Irving makes 2-pt layup from 1 ft,,64,63
3,9:24.0,,Def 3 sec tech foul by Team,64,63
3,9:24.0,,R. Jackson misses technical free throw,64,63
3,9:24.0,,Offensive rebound by Team,64,63
3,9:13.0,,R. Bullock misses 3-pt jump shot from 26 ft,64,63
3,9:10.0,Defensive rebound by J. Tatum,,64,63
3,9:05.0,A. Baynes makes 2-pt dunk at rim (assist by J. Tatum),,66,63
3,8:40.0,,A. Drummond misses 2-pt hook shot from 6 ft,66,63
3,8:39.0,Defensive rebound by J. Tatum,,66,63
3,8:36.0,Turnover by J. Tatum (lost ball; steal by A. Drummond),,66,63
3,8:31.0,,A. Drummond misses 2-pt layup from 3 ft,66,63
3,8:28.0,,Offensive rebound by R. Jackson,66,63
3,8:28.0,,R. Jackson makes 2-pt dunk from 1 ft,66,65
3,8:09.0,M. Morris misses 3-pt jump shot from 24 ft,,66,65
3,8:06.0,,Defensive rebound by R. Bullock,66,65
3,7:56.0,,B. Griffin misses 3-pt jump shot from 27 ft,66,65
3,7:51.0,Defensive rebound by M. Smart,,66,65
3,7:47.0,M. Morris misses 3-pt jump shot from 25 ft,,66,65
3,7:44.0,,Defensive rebound by L. Kennard,66,65
3,7:40.0,,Shooting foul by M. Morris (drawn by A. Drummond),66,65
3,7:40.0,,A. Drummond makes free throw 1 of 2,66,66
3,7:40.0,,A. Drummond makes free throw 2 of 2,66,67
3,7:28.0,A. Baynes misses 2-pt hook shot from 8 ft (block by A. Drummond),,66,67
3,7:28.0,Offensive rebound by Team,,66,67
3,7:22.0,K. Irving misses 2-pt jump shot from 9 ft,,66,67
3,7:19.0,,Defensive rebound by A. Drummond,66,67
3,7:15.0,,A. Drummond makes 2-pt layup from 1 ft,66,69
3,7:00.0,K. Irving misses 2-pt layup from 10 ft,,66,69
3,6:57.0,,Defensive rebound by B. Griffin,66,69
3,6:52.0,,L. Kennard makes 3-pt jump shot from 23 ft (assist by R. Jackson),66,72
3,6:33.0,J. Tatum misses 2-pt jump shot from 16 ft,,66,72
3,6:30.0,,Defensive rebound by B. Griffin,66,72
