QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
1,11:40.0,,B. Griffin makes 2-pt layup from 3 ft (assist by W. Ellington),0,2
1,11:23.0,O. Porter makes 3-pt jump shot from 28 ft (assist by K. Dunn),,3,2
1,10:55.0,,R. Jackson misses 2-pt jump shot from 20 ft,3,2
1,10:54.0,,Offensive rebound by Team,3,2
1,10:54.0,,Turnover by Team (shot clock),3,2
1,10:40.0,L. Markkanen misses 3-pt jump shot from 23 ft,,3,2
1,10:36.0,,Defensive rebound by A. Drummond,3,2
1,10:31.0,,W. Ellington makes 2-pt layup from 6 ft (assist by R. Jackson),3,4
1,10:13.0,K. Dunn makes 3-pt jump shot from 27 ft (assist by R. Arcidiacono),,6,4
1,9:57.0,,G. Robinson misses 2-pt layup from 5 ft (block by R. Lopez),6,4
1,9:55.0,Defensive rebound by R. Arcidiacono,,6,4
1,9:52.0,Personal foul by W. Ellington (drawn by K. Dunn),,6,4
1,9:46.0,O. Porter misses 2-pt jump shot from 22 ft,,6,4
1,9:46.0,Offensive rebound by Team,,6,4
1,9:43.0,O. Porter misses 2-pt jump shot from 19 ft,,6,4
1,9:39.0,,Defensive rebound by B. Griffin,6,4
1,9:30.0,,Shooting foul by K. Dunn (drawn by B. Griffin),6,4
1,9:30.0,,B. Griffin makes free throw 1 of 2,6,5
1,9:30.0,,B. Griffin makes free throw 2 of 2,6,6
1,9:13.0,L. Markkanen misses 2-pt jump shot from 8 ft,,6,6
1,9:09.0,Offensive rebound by R. Lopez,,6,6
1,9:06.0,R. Lopez makes 2-pt hook shot from 1 ft,,8,6
1,8:52.0,,B. Griffin misses 3-pt jump shot from 24 ft,8,6
1,8:49.0,Defensive rebound by L. Markkanen,,8,6
1,8:39.0,L. Markkanen makes 2-pt jump shot from 3 ft,,10,6
1,8:25.0,,W. Ellington makes 2-pt jump shot from 16 ft (assist by R. Jackson),10,8
1,8:16.0,K. Dunn misses 2-pt jump shot from 1 ft,,10,8
1,8:14.0,Offensive rebound by R. Lopez,,10,8
1,8:14.0,R. Lopez makes 2-pt layup from 1 ft,,12,8
1,7:44.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by G. Robinson),12,11
1,7:26.0,O. Porter makes 2-pt jump shot from 17 ft,,14,11
1,7:11.0,,Turnover by B. Griffin (lost ball; steal by K. Dunn),14,11
1,7:07.0,K. Dunn makes 2-pt dunk from 1 ft,,16,11
1,7:07.0,,Detroit full timeout,16,11
1,6:50.0,,R. Jackson makes 2-pt jump shot from 19 ft,16,13
