QUARTER,TIME_REMAINING,UTAH_ACTION,CLEVELAND_ACTION,UTAH_SCORE,CLEVELAND_SCORE
1,11:47.0,D. Favors makes 2-pt layup from 2 ft (assist by J. Ingles),,2,0
1,11:47.0,Shooting foul by C. Sexton (drawn by D. Favors),,2,0
1,11:47.0,D. Favors makes free throw 1 of 1,,3,0
1,11:22.0,,T. Thompson misses 2-pt hook shot from 13 ft,3,0
1,11:20.0,Defensive rebound by R. Rubio,,3,0
1,11:13.0,J. Ingles misses 2-pt layup from 2 ft,,3,0
1,11:10.0,,Defensive rebound by L. Nance,3,0
1,10:54.0,,L. Nance makes 2-pt layup from 1 ft (assist by C. Sexton),3,2
1,10:43.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,5,2
1,10:18.0,,R. Hood makes 3-pt jump shot from 26 ft,5,5
1,10:05.0,J. Ingles makes 2-pt layup at rim (assist by R. Gobert),,7,5
1,10:05.0,Shooting foul by C. Osman (drawn by J. Ingles),,7,5
1,10:05.0,J. Ingles makes free throw 1 of 1,,8,5
1,9:49.0,,R. Hood misses 2-pt jump shot from 14 ft,8,5
1,9:47.0,,Offensive rebound by L. Nance,8,5
1,9:34.0,,R. Hood misses 2-pt jump shot from 20 ft,8,5
1,9:32.0,Defensive rebound by J. Ingles,,8,5
1,9:27.0,R. Rubio misses 2-pt layup from 1 ft,,8,5
1,9:25.0,Offensive rebound by D. Favors,,8,5
1,9:19.0,J. Ingles misses 3-pt jump shot from 26 ft,,8,5
1,9:16.0,,Defensive rebound by R. Hood,8,5
1,9:11.0,,C. Osman misses 2-pt layup from 1 ft (block by D. Favors),8,5
1,9:11.0,,Offensive rebound by Team,8,5
1,9:07.0,,T. Thompson misses 2-pt hook shot from 12 ft (block by R. Gobert),8,5
1,9:04.0,Defensive rebound by R. Gobert,,8,5
1,8:55.0,Turnover by R. Gobert (traveling),,8,5
1,8:32.0,,C. Sexton misses 2-pt jump shot from 17 ft,8,5
1,8:30.0,Defensive rebound by D. Mitchell,,8,5
1,8:28.0,R. Rubio misses 3-pt jump shot from 26 ft,,8,5
1,8:28.0,,Defensive rebound by T. Thompson,8,5
1,8:18.0,,Def 3 sec tech foul by Team,8,5
1,8:18.0,,R. Hood makes technical free throw,8,6
1,8:10.0,,Turnover by C. Sexton (palming),8,6
1,7:47.0,J. Ingles misses 3-pt jump shot from 24 ft,,8,6
1,7:45.0,,Defensive rebound by R. Hood,8,6
1,7:30.0,,C. Osman misses 2-pt jump shot from 20 ft,8,6
1,7:26.0,Defensive rebound by D. Favors,,8,6
1,7:20.0,R. Rubio misses 2-pt layup from 2 ft,,8,6
1,7:16.0,,Defensive rebound by T. Thompson,8,6
1,7:06.0,,L. Nance makes 2-pt jump shot from 13 ft (assist by C. Sexton),8,8
1,7:03.0,Utah full timeout,,8,8
1,7:03.0,J. Crowder enters the game for D. Favors,,8,8
1,7:03.0,K. Korver enters the game for J. Ingles,,8,8
1,6:39.0,J. Crowder misses 3-pt jump shot from 27 ft,,8,8
1,6:38.0,,Defensive rebound by Team,8,8
1,6:21.0,,C. Sexton makes 3-pt jump shot from 27 ft,8,11
1,6:07.0,K. Korver misses 3-pt jump shot from 23 ft,,8,11
1,6:03.0,,Defensive rebound by L. Nance,8,11
1,5:59.0,,C. Sexton misses 3-pt jump shot from 26 ft,8,11
1,5:55.0,Defensive rebound by K. Korver,,8,11
1,5:48.0,Shooting foul by T. Thompson (drawn by J. Crowder),,8,11
1,5:48.0,J. Crowder makes free throw 1 of 2,,9,11
1,5:48.0,,J. Clarkson enters the game for R. Hood,9,11
1,5:48.0,J. Crowder misses free throw 2 of 2,,9,11
1,5:45.0,,Defensive rebound by L. Nance,9,11
1,5:28.0,,T. Thompson makes 2-pt hook shot from 10 ft,9,13
1,5:28.0,Violation by Team (def goaltending),,9,13
1,5:14.0,Shooting foul by C. Sexton (drawn by K. Korver),,9,13
1,5:14.0,K. Korver makes free throw 1 of 2,,10,13
1,5:14.0,D. Exum enters the game for R. Rubio,,10,13
1,5:14.0,,A. Burks enters the game for C. Sexton,10,13
1,5:14.0,K. Korver makes free throw 2 of 2,,11,13
1,5:05.0,,Personal foul by K. Korver (drawn by C. Osman),11,13
1,4:54.0,,Turnover by A. Burks (lost ball; steal by J. Crowder),11,13
1,4:45.0,D. Mitchell misses 2-pt dunk at rim,,11,13
1,4:42.0,Offensive rebound by R. Gobert,,11,13
1,4:41.0,K. Korver makes 3-pt jump shot from 26 ft (assist by R. Gobert),,14,13
1,4:28.0,,Personal foul by D. Mitchell (drawn by T. Thompson),14,13
1,4:28.0,,P. McCaw enters the game for L. Nance,14,13
1,4:20.0,,J. Clarkson makes 2-pt jump shot from 15 ft,14,15
1,4:04.0,D. Exum makes 2-pt layup from 1 ft,,16,15
1,3:41.0,,J. Clarkson misses 3-pt jump shot from 24 ft,16,15
1,3:38.0,Defensive rebound by J. Crowder,,16,15
1,3:31.0,D. Exum misses 2-pt layup from 2 ft (block by A. Burks),,16,15
1,3:28.0,,Defensive rebound by T. Thompson,16,15
1,3:28.0,,Turnover by J. Clarkson (out of bounds lost ball),16,15
1,3:13.0,D. Exum makes 3-pt jump shot from 23 ft (assist by K. Korver),,19,15
1,2:54.0,,T. Thompson misses 2-pt hook shot from 11 ft (block by R. Gobert),19,15
1,2:51.0,Defensive rebound by J. Crowder,,19,15
1,2:47.0,D. Mitchell misses 2-pt layup from 1 ft,,19,15
1,2:44.0,,Defensive rebound by T. Thompson,19,15
1,2:38.0,,P. McCaw misses 2-pt jump shot from 15 ft,19,15
1,2:36.0,Defensive rebound by J. Crowder,,19,15
1,2:26.0,K. Korver misses 2-pt jump shot from 18 ft,,19,15
1,2:23.0,,Defensive rebound by C. Osman,19,15
1,2:18.0,,Cleveland full timeout,19,15
1,2:18.0,D. Favors enters the game for R. Gobert,,19,15
1,2:18.0,J. Ingles enters the game for D. Mitchell,,19,15
1,2:18.0,,C. Frye enters the game for C. Osman,19,15
1,2:18.0,,J. Jones enters the game for T. Thompson,19,15
1,2:04.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by P. McCaw),19,18
1,1:50.0,D. Favors makes 2-pt dunk from 1 ft (assist by D. Exum),,21,18
1,1:31.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by C. Frye),21,20
1,1:16.0,D. Exum misses 3-pt jump shot from 24 ft,,21,20
1,1:14.0,,Defensive rebound by P. McCaw,21,20
1,1:07.0,,P. McCaw misses 2-pt layup from 2 ft,21,20
1,1:07.0,,Offensive rebound by A. Burks,21,20
1,0:56.0,,J. Clarkson misses 3-pt jump shot from 27 ft,21,20
1,0:54.0,Defensive rebound by J. Ingles,,21,20
1,0:47.0,J. Ingles makes 2-pt layup from 1 ft (assist by J. Crowder),,23,20
1,0:33.0,,C. Frye misses 3-pt jump shot from 27 ft,23,20
1,0:31.0,Defensive rebound by J. Crowder,,23,20
1,0:28.0,J. Crowder misses 3-pt jump shot from 25 ft,,23,20
1,0:23.0,,Defensive rebound by A. Burks,23,20
1,0:02.0,,A. Burks misses 3-pt jump shot from 26 ft,23,20
1,0:02.0,Defensive rebound by D. Exum,,23,20
2,11:44.0,,C. Frye makes 3-pt jump shot from 23 ft (assist by J. Clarkson),23,23
2,11:22.0,Turnover by J. Ingles (bad pass; steal by C. Frye),,23,23
