QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
1,11:41.0,,N. Jokić misses 2-pt layup from 5 ft (block by S. Adams),0,0
1,11:39.0,,Offensive rebound by T. Craig,0,0
1,11:34.0,,Shooting foul by S. Adams (drawn by N. Jokić),0,0
1,11:34.0,,N. Jokić makes free throw 1 of 2,0,1
1,11:34.0,,N. Jokić makes free throw 2 of 2,0,2
1,11:25.0,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,2
1,11:08.0,,Turnover by M. Plumlee (bad pass; steal by R. Westbrook),2,2
1,11:01.0,S. Adams misses 2-pt layup from 2 ft,,2,2
1,10:56.0,Offensive rebound by S. Adams,,2,2
1,10:56.0,S. Adams makes 2-pt layup at rim,,4,2
1,10:47.0,,Turnover by J. Murray (lost ball; steal by J. Grant),4,2
1,10:40.0,S. Adams makes 2-pt hook shot from 7 ft (assist by R. Westbrook),,6,2
1,10:17.0,,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Plumlee),6,5
1,10:01.0,J. Grant misses 3-pt jump shot from 22 ft,,6,5
1,9:59.0,,Defensive rebound by T. Craig,6,5
1,9:56.0,,Personal foul by J. Grant (drawn by N. Jokić),6,5
1,9:42.0,,T. Craig makes 2-pt jump shot from 12 ft,6,7
1,9:22.0,R. Westbrook makes 2-pt jump shot from 20 ft,,8,7
1,9:07.0,,T. Craig makes 3-pt jump shot from 22 ft (assist by N. Jokić),8,10
1,9:05.0,,Violation by Team (delay of game),8,10
1,8:53.0,Personal foul by J. Hernangómez (drawn by P. George),,8,10
1,8:48.0,S. Adams makes 2-pt hook shot from 8 ft (assist by R. Westbrook),,10,10
1,8:33.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),10,13
1,8:16.0,P. George misses 3-pt jump shot from 22 ft,,10,13
1,8:13.0,,Defensive rebound by T. Craig,10,13
1,8:08.0,,Shooting foul by T. Ferguson (drawn by J. Hernangómez),10,13
1,8:08.0,,J. Hernangómez makes free throw 1 of 2,10,14
1,8:08.0,,J. Hernangómez makes free throw 2 of 2,10,15
1,7:57.0,T. Ferguson misses 3-pt jump shot from 22 ft,,10,15
1,7:53.0,Offensive rebound by S. Adams,,10,15
1,7:53.0,S. Adams misses 2-pt layup from 2 ft (block by M. Plumlee),,10,15
1,7:53.0,Offensive rebound by S. Adams,,10,15
1,7:51.0,Oklahoma City full timeout,,10,15
1,7:43.0,R. Westbrook misses 2-pt jump shot from 21 ft,,10,15
1,7:41.0,,Defensive rebound by J. Hernangómez,10,15
1,7:22.0,,N. Jokić misses 2-pt layup from 2 ft (block by S. Adams),10,15
1,7:20.0,,Offensive rebound by N. Jokić,10,15
1,7:20.0,,N. Jokić misses 2-pt layup from 2 ft,10,15
1,7:20.0,,Offensive rebound by T. Craig,10,15
1,7:16.0,,T. Craig makes 3-pt jump shot from 23 ft (assist by J. Hernangómez),10,18
1,6:55.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,12,18
1,6:39.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by M. Plumlee),12,20
1,6:27.0,Shooting foul by M. Plumlee (drawn by J. Grant),,12,20
1,6:27.0,J. Grant makes free throw 1 of 2,,13,20
1,6:27.0,J. Grant makes free throw 2 of 2,,14,20
1,6:12.0,,N. Jokić misses 2-pt jump shot from 6 ft,14,20
1,6:11.0,,Offensive rebound by Team,14,20
1,6:00.0,,J. Hernangómez makes 2-pt jump shot from 3 ft (assist by M. Plumlee),14,22
1,5:47.0,S. Adams makes 2-pt hook shot from 9 ft,,16,22
1,5:47.0,D. Schröder enters the game for T. Ferguson,,16,22
1,5:47.0,,M. Morris enters the game for J. Murray,16,22
1,5:25.0,,N. Jokić misses 2-pt jump shot from 7 ft,16,22
1,5:23.0,Defensive rebound by R. Westbrook,,16,22
1,5:18.0,R. Westbrook misses 2-pt layup from 3 ft,,16,22
1,5:15.0,,Defensive rebound by M. Plumlee,16,22
1,5:10.0,,Offensive foul by M. Plumlee (drawn by J. Grant),16,22
1,5:10.0,,Turnover by M. Plumlee (offensive foul),16,22
1,5:10.0,,T. Lyles enters the game for M. Plumlee,16,22
1,4:59.0,P. George misses 2-pt layup from 2 ft,,16,22
1,4:58.0,,Defensive rebound by N. Jokić,16,22
1,4:54.0,,M. Morris makes 2-pt layup from 2 ft (assist by T. Craig),16,24
1,4:36.0,J. Grant makes 2-pt layup from 2 ft (assist by S. Adams),,18,24
1,4:27.0,,M. Morris makes 2-pt layup from 2 ft (assist by N. Jokić),18,26
1,4:13.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by S. Adams),,21,26
1,3:53.0,,T. Lyles misses 2-pt jump shot from 6 ft,21,26
1,3:52.0,Defensive rebound by R. Westbrook,,21,26
1,3:45.0,D. Schröder misses 2-pt layup from 2 ft,,21,26
1,3:43.0,Offensive rebound by S. Adams,,21,26
1,3:42.0,S. Adams makes 2-pt layup at rim,,23,26
1,3:31.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by N. Jokić),23,29
1,3:21.0,Turnover by R. Westbrook (bad pass; steal by M. Morris),,23,29
1,3:20.0,,Personal foul by R. Westbrook (drawn by T. Lyles),23,29
1,3:12.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),23,32
1,3:04.0,Personal foul by N. Jokić (drawn by S. Adams),,23,32
1,3:04.0,Á. Abrines enters the game for J. Grant,,23,32
1,2:55.0,Shooting foul by T. Lyles (drawn by S. Adams),,23,32
1,2:55.0,,Denver full timeout,23,32
1,2:55.0,J. Grant enters the game for R. Westbrook,,23,32
1,2:55.0,,M. Beasley enters the game for T. Craig,23,32
1,2:55.0,,J. Murray enters the game for J. Hernangómez,23,32
1,2:55.0,S. Adams makes free throw 1 of 2,,24,32
1,2:55.0,S. Adams misses free throw 2 of 2,,24,32
1,2:53.0,,Defensive rebound by N. Jokić,24,32
1,2:41.0,,N. Jokić makes 2-pt jump shot from 14 ft (assist by T. Lyles),24,34
1,2:13.0,S. Adams makes 2-pt layup from 2 ft,,26,34
