QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
1,8:21.0,Personal foul by D. Miller (drawn by H. Barnes),,4,6
1,8:12.0,H. Barnes misses 2-pt jump shot from 10 ft,,4,6
1,8:07.0,Offensive rebound by H. Barnes,,4,6
1,7:58.0,M. Kleber makes 3-pt jump shot from 27 ft (assist by L. Dončić),,7,6
1,7:51.0,,New Orleans full timeout,7,6
1,7:35.0,,J. Holiday makes 2-pt layup from 3 ft,7,8
1,7:24.0,H. Barnes makes 2-pt layup from 7 ft (assist by M. Kleber),,9,8
1,7:24.0,Shooting foul by D. Miller (drawn by H. Barnes),,9,8
1,7:24.0,,S. Hill enters the game for D. Miller,9,8
1,7:24.0,H. Barnes makes free throw 1 of 1,,10,8
1,7:14.0,,A. Davis makes 2-pt dunk from 1 ft (assist by T. Frazier),10,10
1,6:58.0,L. Dončić misses 3-pt jump shot from 26 ft,,10,10
1,6:54.0,Offensive rebound by D. Jordan,,10,10
1,6:50.0,D. Smith misses 3-pt jump shot from 23 ft,,10,10
1,6:47.0,,Defensive rebound by J. Randle,10,10
1,6:39.0,,J. Randle misses 3-pt jump shot from 25 ft,10,10
1,6:36.0,,Offensive rebound by T. Frazier,10,10
1,6:25.0,,T. Frazier makes 3-pt jump shot from 22 ft (assist by J. Randle),10,13
1,6:03.0,L. Dončić makes 2-pt layup from 1 ft,,12,13
1,5:58.0,,Turnover by T. Frazier (bad pass; steal by D. Smith),12,13
1,5:51.0,D. Smith makes 3-pt jump shot from 26 ft,,15,13
1,5:36.0,,T. Frazier misses 3-pt jump shot from 23 ft,15,13
1,5:34.0,,Offensive rebound by Team,15,13
1,5:34.0,D. Finney-Smith enters the game for M. Kleber,,15,13
1,5:34.0,,E. Moore enters the game for T. Frazier,15,13
1,5:28.0,,S. Hill misses 3-pt jump shot from 23 ft,15,13
1,5:25.0,,Offensive rebound by A. Davis,15,13
1,5:17.0,,E. Moore makes 2-pt jump shot from 16 ft (assist by J. Holiday),15,15
1,5:02.0,Turnover by L. Dončić (bad pass),,15,15
1,4:53.0,,Away from play foul by D. Finney-Smith (drawn by A. Davis),15,15
1,4:53.0,M. Kleber enters the game for D. Finney-Smith,,15,15
1,4:53.0,,J. Okafor enters the game for J. Randle,15,15
1,4:53.0,,A. Davis misses free throw 1 of 1,15,15
1,4:53.0,,Offensive rebound by Team,15,15
1,4:36.0,,J. Okafor makes 2-pt jump shot from 15 ft,15,17
1,4:16.0,M. Kleber misses 3-pt jump shot from 26 ft,,15,17
1,4:12.0,,Defensive rebound by J. Holiday,15,17
1,4:09.0,,Turnover by J. Holiday (traveling),15,17
1,4:00.0,D. Smith makes 2-pt layup from 2 ft,,17,17
1,4:00.0,Shooting foul by J. Okafor (drawn by D. Smith),,17,17
1,4:00.0,D. Smith makes free throw 1 of 1,,18,17
1,3:53.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),18,19
1,3:40.0,L. Dončić makes 3-pt jump shot from 25 ft,,21,19
1,3:25.0,,Shooting foul by M. Kleber (drawn by A. Davis),21,19
1,3:25.0,Dallas full timeout,,21,19
1,3:25.0,,F. Jackson enters the game for J. Holiday,21,19
1,3:25.0,,A. Davis misses free throw 1 of 2,21,19
1,3:25.0,,Offensive rebound by Team,21,19
1,3:25.0,,A. Davis makes free throw 2 of 2,21,20
1,3:11.0,Shooting foul by F. Jackson (drawn by H. Barnes),,21,20
1,3:11.0,H. Barnes makes free throw 1 of 2,,22,20
1,3:11.0,J. Barea enters the game for M. Kleber,,22,20
1,3:11.0,D. Finney-Smith enters the game for D. Smith,,22,20
1,3:11.0,H. Barnes makes free throw 2 of 2,,23,20
1,2:50.0,,E. Moore misses 2-pt jump shot from 12 ft,23,20
1,2:46.0,,Offensive rebound by J. Okafor,23,20
1,2:40.0,,F. Jackson misses 3-pt jump shot from 24 ft,23,20
1,2:32.0,,Offensive rebound by A. Davis,23,20
1,2:32.0,,A. Davis makes 2-pt dunk from 1 ft,23,22
1,2:23.0,Turnover by D. Jordan (3 sec),,23,22
1,2:10.0,,A. Davis misses 2-pt jump shot from 11 ft,23,22
1,2:06.0,,Offensive rebound by E. Moore,23,22
1,1:58.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by F. Jackson),23,24
1,1:45.0,Turnover by J. Barea (bad pass; steal by J. Okafor),,23,24
1,1:37.0,,F. Jackson misses 2-pt jump shot from 16 ft,23,24
1,1:32.0,Defensive rebound by H. Barnes,,23,24
1,1:27.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by J. Barea),,26,24
1,1:15.0,,Offensive foul by J. Okafor (drawn by J. Barea),26,24
1,1:15.0,,Turnover by J. Okafor (offensive foul),26,24
1,1:15.0,D. Harris enters the game for H. Barnes,,26,24
1,1:15.0,D. Nowitzki enters the game for L. Dončić,,26,24
1,1:15.0,D. Powell enters the game for D. Jordan,,26,24
1,0:57.0,D. Powell misses 2-pt layup from 2 ft,,26,24
1,0:55.0,,Defensive rebound by A. Davis,26,24
1,0:46.0,,A. Davis makes 2-pt dunk from 1 ft,26,26
1,0:29.0,D. Powell makes 2-pt layup from 1 ft (assist by J. Barea),,28,26
1,0:29.0,Shooting foul by J. Okafor (drawn by D. Powell),,28,26
1,0:29.0,D. Powell makes free throw 1 of 1,,29,26
1,0:22.0,,Personal foul by D. Powell (drawn by A. Davis),29,26
1,0:08.0,,A. Davis misses 2-pt jump shot from 10 ft,29,26
1,0:04.0,Defensive rebound by D. Powell,,29,26
1,0:00.0,D. Powell misses 2-pt layup from 2 ft,,29,26
1,0:00.0,Offensive rebound by Team,,29,26
2,11:38.0,,J. Randle makes 2-pt layup from 11 ft,29,28
2,11:21.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Harris),,31,28
2,11:15.0,,Turnover by J. Holiday (bad pass; steal by J. Barea),31,28
2,11:10.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by J. Barea),,34,28
2,11:02.0,,New Orleans full timeout,34,28
2,10:51.0,,J. Randle makes 2-pt jump shot from 9 ft (assist by S. Hill),34,30
2,10:31.0,D. Harris misses 2-pt layup from 5 ft (block by S. Hill),,34,30
2,10:31.0,Offensive rebound by Team,,34,30
2,10:31.0,,W. Johnson enters the game for C. Diallo,34,30
2,10:31.0,Turnover by J. Barea (back court),,34,30
2,10:21.0,,Shooting foul by D. Nowitzki (drawn by J. Holiday),34,30
2,10:21.0,,J. Holiday makes free throw 1 of 2,34,31
2,10:21.0,,J. Holiday makes free throw 2 of 2,34,32
2,10:02.0,Turnover by D. Nowitzki (lost ball; steal by J. Holiday),,34,32
2,10:01.0,,Shooting foul by D. Harris (drawn by J. Randle),34,32
2,10:01.0,,J. Randle makes free throw 1 of 2,34,33
2,10:01.0,,J. Randle misses free throw 2 of 2,34,33
2,9:58.0,Defensive rebound by D. Powell,,34,33
2,9:48.0,Shooting foul by W. Johnson (drawn by D. Powell),,34,33
2,9:48.0,D. Powell misses free throw 1 of 2,,34,33
2,9:48.0,Offensive rebound by Team,,34,33
2,9:48.0,D. Powell makes free throw 2 of 2,,35,33
2,9:35.0,,J. Randle misses 2-pt layup from 1 ft,35,33
2,9:33.0,Defensive rebound by D. Powell,,35,33
2,9:25.0,J. Barea makes 3-pt jump shot from 25 ft (assist by D. Powell),,38,33
2,9:09.0,,J. Holiday misses 3-pt jump shot from 26 ft,38,33
2,9:06.0,,Offensive rebound by J. Randle,38,33
2,9:03.0,,J. Holiday makes 2-pt layup from 1 ft (assist by J. Randle),38,35
2,8:40.0,Personal foul by E. Moore (drawn by D. Powell),,38,35
2,8:37.0,Shooting foul by J. Randle (drawn by D. Powell),,38,35
2,8:37.0,D. Powell makes free throw 1 of 2,,39,35
2,8:37.0,D. Powell makes free throw 2 of 2,,40,35
2,8:21.0,,J. Holiday makes 2-pt jump shot from 6 ft,40,37
2,8:09.0,D. Harris misses 3-pt jump shot from 23 ft,,40,37
2,8:06.0,,Defensive rebound by J. Holiday,40,37
2,7:56.0,,Turnover by J. Holiday (bad pass; steal by D. Harris),40,37
2,7:53.0,Offensive foul by J. Barea (drawn by W. Johnson),,40,37
2,7:53.0,Turnover by J. Barea (offensive foul),,40,37
2,7:53.0,,T. Frazier enters the game for E. Moore,40,37
2,7:53.0,Violation by Team (delay of game),,40,37
2,7:40.0,,J. Holiday misses 2-pt jump shot from 13 ft,40,37
2,7:37.0,Defensive rebound by J. Barea,,40,37
2,7:32.0,D. Harris misses 2-pt layup from 1 ft,,40,37
2,7:25.0,Offensive rebound by D. Powell,,40,37
2,7:25.0,D. Powell makes 2-pt layup at rim,,42,37
2,7:14.0,,Personal foul by D. Powell (drawn by J. Randle),42,37
2,7:05.0,,Shooting foul by D. Powell (drawn by J. Holiday),42,37
2,7:05.0,,J. Holiday makes free throw 1 of 2,42,38
2,7:05.0,D. Jordan enters the game for D. Powell,,42,38
2,7:05.0,,J. Holiday makes free throw 2 of 2,42,39
2,6:58.0,Personal foul by S. Hill (drawn by J. Barea),,42,39
2,6:58.0,,A. Davis enters the game for W. Johnson,42,39
2,6:52.0,D. Harris misses 2-pt layup from 1 ft,,42,39
2,6:49.0,,Defensive rebound by A. Davis,42,39
2,6:40.0,,S. Hill misses 3-pt jump shot from 26 ft,42,39
2,6:36.0,Defensive rebound by D. Finney-Smith,,42,39
2,6:31.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,42,39
2,6:27.0,,Defensive rebound by S. Hill,42,39
2,6:15.0,,A. Davis misses 3-pt jump shot from 22 ft,42,39
2,6:12.0,Defensive rebound by D. Nowitzki,,42,39
2,6:05.0,Turnover by D. Jordan (3 sec),,42,39
2,6:05.0,L. Dončić enters the game for D. Finney-Smith,,42,39
2,6:05.0,M. Kleber enters the game for D. Nowitzki,,42,39
2,6:05.0,Violation by Team (delay of game),,42,39
2,6:05.0,,A. Davis makes technical free throw,42,40
2,6:05.0,H. Barnes enters the game for D. Harris,,42,40
2,5:49.0,,J. Holiday misses 2-pt layup from 5 ft,42,40
2,5:46.0,,Offensive rebound by A. Davis,42,40
2,5:46.0,,A. Davis makes 2-pt dunk from 1 ft,42,42
2,5:46.0,Dallas full timeout,,42,42
2,5:46.0,D. Smith enters the game for J. Barea,,42,42
2,5:46.0,,W. Johnson enters the game for S. Hill,42,42
2,5:46.0,,D. Miller enters the game for J. Holiday,42,42
2,5:46.0,,E. Moore enters the game for J. Randle,42,42
2,5:30.0,Shooting foul by E. Moore (drawn by L. Dončić),,42,42
2,5:30.0,L. Dončić makes free throw 1 of 2,,43,42
2,5:30.0,L. Dončić makes free throw 2 of 2,,44,42
2,5:16.0,,Turnover by D. Miller (bad pass; steal by D. Smith),44,42
2,5:12.0,D. Smith makes 2-pt layup from 2 ft,,46,42
2,4:56.0,,Personal foul by D. Smith (drawn by A. Davis),46,42
2,4:56.0,,A. Davis makes free throw 1 of 2,46,43
2,4:56.0,,A. Davis makes free throw 2 of 2,46,44
2,4:38.0,Shooting foul by E. Moore (drawn by L. Dončić),,46,44
2,4:38.0,,Violation by Team (delay of game),46,44
2,4:38.0,L. Dončić misses free throw 1 of 2,,46,44
2,4:38.0,Offensive rebound by Team,,46,44
2,4:38.0,,J. Holiday enters the game for E. Moore,46,44
2,4:38.0,L. Dončić makes free throw 2 of 2,,47,44
2,4:18.0,,A. Davis makes 2-pt layup from 2 ft (assist by J. Holiday),47,46
2,4:18.0,,Shooting foul by M. Kleber (drawn by A. Davis),47,46
2,4:18.0,,A. Davis misses free throw 1 of 1,47,46
2,4:15.0,Defensive rebound by M. Kleber,,47,46
2,4:07.0,M. Kleber makes 2-pt dunk from 1 ft (assist by D. Jordan),,49,46
2,3:52.0,,J. Holiday misses 2-pt layup from 3 ft,49,46
2,3:47.0,,Offensive rebound by A. Davis,49,46
2,3:47.0,,A. Davis misses 2-pt layup from 1 ft,49,46
2,3:47.0,Defensive rebound by H. Barnes,,49,46
2,3:45.0,L. Dončić makes 3-pt jump shot from 23 ft (assist by M. Kleber),,52,46
2,3:27.0,,A. Davis misses 2-pt jump shot from 14 ft (block by D. Jordan),52,46
2,3:23.0,Defensive rebound by D. Jordan,,52,46
2,3:16.0,M. Kleber misses 3-pt jump shot from 23 ft,,52,46
2,3:12.0,Offensive rebound by L. Dončić,,52,46
2,3:11.0,L. Dončić misses 2-pt layup from 2 ft (block by A. Davis),,52,46
2,3:11.0,,Defensive rebound by T. Frazier,52,46
2,3:06.0,,D. Miller misses 3-pt jump shot from 23 ft,52,46
2,2:59.0,,Offensive rebound by J. Holiday,52,46
2,2:59.0,,J. Holiday makes 2-pt layup from 1 ft,52,48
2,2:36.0,D. Smith makes 3-pt jump shot from 25 ft,,55,48
2,2:25.0,,W. Johnson misses 3-pt jump shot from 23 ft,55,48
2,2:22.0,Defensive rebound by M. Kleber,,55,48
2,2:18.0,D. Jordan makes 2-pt dunk at rim (assist by L. Dončić),,57,48
2,2:18.0,Shooting foul by A. Davis (drawn by D. Jordan),,57,48
2,2:18.0,D. Finney-Smith enters the game for M. Kleber,,57,48
2,2:18.0,,J. Randle enters the game for W. Johnson,57,48
2,2:18.0,D. Jordan misses free throw 1 of 1,,57,48
2,2:15.0,,Defensive rebound by J. Randle,57,48
2,2:07.0,,T. Frazier makes 2-pt layup from 1 ft (assist by A. Davis),57,50
2,1:57.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by D. Smith),,60,50
2,1:33.0,,J. Randle misses 3-pt jump shot from 23 ft,60,50
2,1:29.0,Defensive rebound by D. Finney-Smith,,60,50
2,1:21.0,L. Dončić makes 3-pt jump shot from 25 ft,,63,50
2,1:00.0,,J. Randle makes 2-pt layup from 7 ft,63,52
2,1:00.0,,Shooting foul by D. Jordan (drawn by J. Randle),63,52
2,1:00.0,,J. Randle makes free throw 1 of 1,63,53
2,0:44.0,H. Barnes makes 2-pt layup from 1 ft,,65,53
2,0:36.0,,T. Frazier makes 2-pt jump shot from 8 ft,65,55
2,0:23.0,Personal foul by J. Holiday (drawn by L. Dončić),,65,55
2,0:23.0,L. Dončić makes free throw 1 of 2,,66,55
2,0:23.0,,E. Moore enters the game for T. Frazier,66,55
2,0:23.0,L. Dončić misses free throw 2 of 2,,66,55
2,0:21.0,,Defensive rebound by J. Randle,66,55
2,0:01.0,,J. Holiday misses 2-pt layup from 7 ft (block by D. Jordan),66,55
2,0:01.0,,Offensive rebound by J. Holiday,66,55
2,0:00.0,,J. Holiday misses 2-pt layup from 4 ft (block by D. Jordan),66,55
2,0:00.0,,Offensive rebound by Team,66,55
3,12:00.0,,Violation by Team (delay of game),66,55
3,12:00.0,H. Barnes makes technical free throw,,67,55
3,11:48.0,,Personal foul by H. Barnes (drawn by J. Holiday),67,55
3,11:48.0,,J. Holiday makes free throw 1 of 2,67,56
3,11:48.0,,J. Holiday makes free throw 2 of 2,67,57
3,11:37.0,H. Barnes misses 3-pt jump shot from 26 ft,,67,57
3,11:34.0,Offensive rebound by M. Kleber,,67,57
3,11:33.0,L. Dončić makes 3-pt jump shot from 26 ft (assist by M. Kleber),,70,57
3,11:16.0,,Turnover by J. Holiday (bad pass; steal by H. Barnes),70,57
3,11:11.0,M. Kleber makes 2-pt layup at rim (assist by H. Barnes),,72,57
3,10:54.0,,J. Randle misses 2-pt jump shot from 3 ft,72,57
3,10:54.0,,Offensive rebound by J. Randle,72,57
3,10:51.0,,J. Randle misses 2-pt layup from 2 ft (block by M. Kleber),72,57
3,10:47.0,,Offensive rebound by J. Randle,72,57
3,10:46.0,,J. Randle makes 2-pt layup from 2 ft,72,59
3,10:29.0,H. Barnes misses 2-pt layup from 2 ft,,72,59
3,10:27.0,,Defensive rebound by A. Davis,72,59
3,10:20.0,,E. Moore misses 2-pt jump shot from 7 ft,72,59
3,10:18.0,Defensive rebound by L. Dončić,,72,59
3,10:15.0,Turnover by L. Dončić (bad pass),,72,59
3,10:07.0,,J. Holiday misses 3-pt jump shot from 25 ft,72,59
3,10:04.0,Defensive rebound by D. Smith,,72,59
3,9:51.0,Turnover by M. Kleber (traveling),,72,59
3,9:38.0,,A. Davis makes 2-pt jump shot from 10 ft,72,61
3,9:14.0,Turnover by D. Smith (bad pass; steal by A. Davis),,72,61
3,9:06.0,,J. Randle makes 2-pt jump shot from 11 ft (assist by E. Moore),72,63
3,8:43.0,L. Dončić misses 2-pt jump shot from 14 ft,,72,63
3,8:40.0,,Defensive rebound by S. Hill,72,63
3,8:33.0,,J. Randle misses 2-pt jump shot from 21 ft,72,63
3,8:30.0,Defensive rebound by D. Jordan,,72,63
3,8:19.0,H. Barnes makes 2-pt jump shot from 14 ft (assist by D. Smith),,74,63
3,8:06.0,,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),74,66
3,7:42.0,Shooting foul by J. Holiday (drawn by L. Dončić),,74,66
3,7:42.0,L. Dončić makes free throw 1 of 3,,75,66
3,7:42.0,L. Dončić makes free throw 2 of 3,,76,66
3,7:42.0,L. Dončić misses free throw 3 of 3,,76,66
3,7:40.0,,Defensive rebound by S. Hill,76,66
3,7:25.0,,S. Hill misses 2-pt layup from 5 ft,76,66
3,7:23.0,,Offensive rebound by J. Randle,76,66
3,7:22.0,,J. Randle makes 2-pt dunk from 1 ft,76,68
3,7:03.0,M. Kleber misses 2-pt layup from 2 ft,,76,68
3,7:01.0,,Defensive rebound by A. Davis,76,68
3,6:58.0,,Shooting foul by D. Jordan (drawn by A. Davis),76,68
3,6:58.0,,New Orleans full timeout,76,68
3,6:58.0,,A. Davis makes free throw 1 of 2,76,69
3,6:58.0,,A. Davis makes free throw 2 of 2,76,70
3,6:39.0,H. Barnes misses 2-pt jump shot from 10 ft,,76,70
3,6:33.0,,Defensive rebound by J. Randle,76,70
3,6:30.0,,S. Hill misses 3-pt jump shot from 25 ft,76,70
3,6:27.0,Defensive rebound by D. Jordan,,76,70
3,6:19.0,Personal foul by J. Holiday (drawn by L. Dončić),,76,70
3,6:05.0,L. Dončić makes 2-pt jump shot from 21 ft,,78,70
3,5:57.0,,Turnover by J. Holiday (bad pass),78,70
3,5:35.0,D. Smith misses 2-pt layup from 3 ft (block by A. Davis),,78,70
3,5:31.0,,Defensive rebound by A. Davis,78,70
3,5:30.0,,S. Hill makes 2-pt dunk from 1 ft (assist by A. Davis),78,72
3,5:30.0,,Shooting foul by M. Kleber (drawn by S. Hill),78,72
3,5:30.0,Dallas full timeout,,78,72
3,5:30.0,,I. Clark enters the game for E. Moore,78,72
3,5:30.0,,S. Hill makes free throw 1 of 1,78,73
3,5:22.0,Turnover by M. Kleber (bad pass),,78,73
3,5:03.0,,I. Clark misses 3-pt jump shot from 23 ft,78,73
3,5:01.0,,Offensive rebound by S. Hill,78,73
3,4:58.0,,J. Randle makes 2-pt layup from 2 ft,78,75
3,4:43.0,H. Barnes makes 3-pt jump shot from 26 ft,,81,75
3,4:18.0,,J. Holiday misses 3-pt jump shot from 23 ft,81,75
3,4:16.0,Defensive rebound by D. Jordan,,81,75
3,4:10.0,D. Smith makes 2-pt dunk at rim (assist by L. Dončić),,83,75
3,4:10.0,Shooting foul by J. Randle (drawn by D. Smith),,83,75
3,4:10.0,D. Smith makes free throw 1 of 1,,84,75
3,3:58.0,,J. Holiday misses 2-pt layup from 2 ft (block by D. Jordan),84,75
3,3:58.0,,Offensive rebound by Team,84,75
3,3:58.0,,J. Okafor enters the game for J. Randle,84,75
3,3:57.0,,A. Davis makes 2-pt jump shot from 12 ft (assist by I. Clark),84,77
3,3:32.0,Personal foul by J. Holiday (drawn by L. Dončić),,84,77
3,3:19.0,Turnover by L. Dončić (bad pass; steal by J. Holiday),,84,77
3,3:15.0,,J. Holiday misses 2-pt layup from 3 ft,84,77
3,3:07.0,,Offensive rebound by A. Davis,84,77
3,3:07.0,,A. Davis makes 2-pt layup at rim,84,79
3,2:57.0,L. Dončić misses 3-pt jump shot from 29 ft,,84,79
3,2:56.0,Offensive rebound by D. Jordan,,84,79
3,2:56.0,Shooting foul by J. Holiday (drawn by D. Jordan),,84,79
3,2:56.0,D. Jordan makes free throw 1 of 2,,85,79
3,2:56.0,J. Barea enters the game for M. Kleber,,85,79
3,2:56.0,D. Finney-Smith enters the game for D. Smith,,85,79
3,2:56.0,,T. Frazier enters the game for J. Holiday,85,79
3,2:56.0,D. Jordan makes free throw 2 of 2,,86,79
3,2:46.0,,I. Clark misses 3-pt jump shot from 25 ft,86,79
3,2:42.0,Defensive rebound by D. Finney-Smith,,86,79
3,2:35.0,Shooting foul by J. Okafor (drawn by D. Jordan),,86,79
3,2:35.0,D. Jordan misses free throw 1 of 2,,86,79
3,2:35.0,Offensive rebound by Team,,86,79
3,2:35.0,D. Jordan makes free throw 2 of 2,,87,79
3,2:20.0,,A. Davis makes 2-pt layup from 3 ft,87,81
3,2:08.0,Shooting foul by J. Okafor (drawn by H. Barnes),,87,81
3,2:08.0,H. Barnes makes free throw 1 of 2,,88,81
3,2:08.0,D. Harris enters the game for L. Dončić,,88,81
3,2:08.0,,J. Randle enters the game for J. Okafor,88,81
3,2:08.0,H. Barnes misses free throw 2 of 2,,88,81
3,2:06.0,,Defensive rebound by J. Randle,88,81
3,1:55.0,,Turnover by S. Hill (offensive foul),88,81
3,1:55.0,,Offensive foul by S. Hill (drawn by D. Harris),88,81
3,1:55.0,D. Powell enters the game for D. Jordan,,88,81
3,1:42.0,H. Barnes misses 2-pt jump shot from 16 ft,,88,81
3,1:38.0,,Defensive rebound by A. Davis,88,81
3,1:30.0,,I. Clark makes 3-pt jump shot from 26 ft (assist by A. Davis),88,84
3,1:11.0,H. Barnes misses 2-pt jump shot from 17 ft,,88,84
3,1:08.0,,Defensive rebound by I. Clark,88,84
3,0:55.0,,S. Hill misses 3-pt jump shot from 26 ft,88,84
3,0:52.0,Defensive rebound by D. Powell,,88,84
3,0:48.0,J. Barea misses 3-pt jump shot from 26 ft,,88,84
3,0:45.0,,Defensive rebound by A. Davis,88,84
3,0:45.0,,Personal foul by D. Powell (drawn by A. Davis),88,84
3,0:22.0,,J. Randle misses 2-pt layup from 2 ft,88,84
3,0:22.0,,Offensive rebound by Team,88,84
3,0:22.0,,Away from play foul by D. Powell (drawn by S. Hill),88,84
3,0:22.0,Technical foul by D. Powell,,88,84
3,0:22.0,,A. Davis makes technical free throw,88,85
3,0:22.0,,S. Hill misses free throw 1 of 2,88,85
3,0:22.0,,Offensive rebound by Team,88,85
3,0:22.0,,S. Hill makes free throw 2 of 2,88,86
3,0:22.0,D. Nowitzki enters the game for H. Barnes,,88,86
3,0:02.0,J. Barea misses 3-pt jump shot from 27 ft,,88,86
3,0:02.0,Offensive rebound by Team,,88,86
4,12:00.0,,Technical foul by S. Hill,88,86
4,12:00.0,D. Nowitzki makes technical free throw,,89,86
4,11:44.0,Turnover by J. Barea (bad pass),,89,86
4,11:28.0,,A. Davis makes 2-pt jump shot from 5 ft,89,88
4,11:09.0,D. Nowitzki makes 2-pt jump shot from 17 ft (assist by J. Barea),,91,88
4,10:47.0,,A. Davis misses 2-pt jump shot from 7 ft,91,88
4,10:47.0,Defensive rebound by Team,,91,88
4,10:47.0,,Loose ball foul by J. Randle (drawn by D. Nowitzki),91,88
4,10:34.0,J. Barea misses 2-pt jump shot from 13 ft,,91,88
4,10:30.0,,Defensive rebound by I. Clark,91,88
4,10:21.0,,Shooting foul by D. Nowitzki (drawn by J. Randle),91,88
4,10:21.0,,J. Randle makes free throw 1 of 2,91,89
4,10:21.0,,J. Randle makes free throw 2 of 2,91,90
4,10:05.0,D. Nowitzki makes 2-pt jump shot from 15 ft,,93,90
4,10:05.0,Shooting foul by I. Clark (drawn by D. Nowitzki),,93,90
4,10:05.0,D. Nowitzki makes free throw 1 of 1,,94,90
4,9:49.0,,A. Davis makes 2-pt layup from 5 ft,94,92
4,9:37.0,Turnover by J. Barea (bad pass; steal by A. Davis),,94,92
4,9:34.0,,F. Jackson makes 2-pt dunk from 1 ft (assist by T. Frazier),94,94
4,9:34.0,Dallas full timeout,,94,94
4,9:16.0,D. Nowitzki misses 3-pt jump shot from 28 ft,,94,94
4,9:11.0,Offensive rebound by D. Powell,,94,94
4,9:07.0,D. Nowitzki misses 2-pt jump shot from 23 ft,,94,94
4,9:05.0,Offensive rebound by D. Powell,,94,94
4,9:03.0,D. Powell makes 2-pt dunk from 2 ft,,96,94
4,8:51.0,,Personal foul by J. Barea (drawn by A. Davis),96,94
4,8:37.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Clark),96,96
4,8:25.0,J. Barea misses 2-pt jump shot from 12 ft,,96,96
4,8:22.0,,Defensive rebound by T. Frazier,96,96
4,8:11.0,,Turnover by J. Randle (lost ball; steal by D. Harris),96,96
4,8:11.0,Personal foul by J. Randle (drawn by D. Harris),,96,96
4,8:11.0,M. Kleber enters the game for D. Nowitzki,,96,96
4,8:02.0,D. Powell misses 3-pt jump shot from 25 ft,,96,96
4,8:00.0,,Defensive rebound by Team,96,96
4,7:46.0,,F. Jackson makes 3-pt jump shot from 24 ft (assist by T. Frazier),96,99
4,7:28.0,J. Barea makes 3-pt jump shot from 26 ft,,99,99
4,7:07.0,,A. Davis misses 2-pt layup from 3 ft,99,99
4,7:04.0,Defensive rebound by D. Powell,,99,99
4,6:51.0,J. Barea misses 2-pt layup from 1 ft,,99,99
4,6:51.0,,Defensive rebound by Team,99,99
