QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
1,11:39.0,,K. Love misses 3-pt jump shot from 27 ft,0,0
1,11:37.0,Defensive rebound by Team,,0,0
1,11:20.0,J. Isaac misses 2-pt layup from 2 ft,,0,0
1,11:17.0,,Defensive rebound by L. Nance,0,0
1,11:08.0,,Turnover by C. Sexton (bad pass; steal by N. Vučević),0,0
1,10:59.0,D. Augustin misses 2-pt jump shot from 10 ft,,0,0
1,10:59.0,,Defensive rebound by Team,0,0
1,10:44.0,,C. Osman makes 2-pt jump shot from 13 ft (assist by L. Nance),0,2
1,10:26.0,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),,2,2
1,10:12.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by B. Knight),2,5
1,10:00.0,A. Gordon misses 3-pt jump shot from 26 ft,,2,5
1,9:57.0,,Defensive rebound by C. Sexton,2,5
1,9:52.0,,B. Knight misses 3-pt jump shot from 27 ft,2,5
1,9:52.0,Defensive rebound by N. Vučević,,2,5
1,9:46.0,Personal foul by C. Sexton (drawn by J. Isaac),,2,5
1,9:38.0,N. Vučević makes 2-pt jump shot from 22 ft (assist by E. Fournier),,4,5
1,9:28.0,,Personal foul by J. Isaac (drawn by K. Love),4,5
1,9:15.0,,K. Love makes 3-pt jump shot from 26 ft,4,8
1,9:00.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),,7,8
1,8:43.0,,L. Nance makes 2-pt dunk from 2 ft (assist by C. Osman),7,10
1,8:30.0,Shooting foul by C. Sexton (drawn by D. Augustin),,7,10
1,8:30.0,D. Augustin makes free throw 1 of 2,,8,10
1,8:30.0,D. Augustin makes free throw 2 of 2,,9,10
1,8:15.0,,C. Osman makes 2-pt jump shot from 14 ft,9,12
1,8:00.0,Turnover by D. Augustin (bad pass; steal by C. Sexton),,9,12
1,7:53.0,,L. Nance misses 3-pt jump shot from 26 ft,9,12
1,7:49.0,Defensive rebound by D. Augustin,,9,12
1,7:35.0,N. Vučević makes 2-pt hook shot from 7 ft,,11,12
1,7:19.0,,K. Love misses 2-pt jump shot from 6 ft,11,12
1,7:17.0,Defensive rebound by N. Vučević,,11,12
1,7:15.0,A. Gordon makes 2-pt layup from 2 ft,,13,12
1,6:53.0,,C. Sexton misses 3-pt jump shot from 25 ft,13,12
1,6:50.0,Defensive rebound by A. Gordon,,13,12
1,6:38.0,Personal foul by C. Osman (drawn by N. Vučević),,13,12
1,6:38.0,,Cleveland full timeout,13,12
1,6:29.0,N. Vučević misses 2-pt hook shot from 14 ft,,13,12
1,6:27.0,,Defensive rebound by C. Osman,13,12
1,6:12.0,,K. Love misses 2-pt hook shot from 10 ft,13,12
1,6:10.0,Defensive rebound by A. Gordon,,13,12
1,5:59.0,D. Augustin makes 3-pt jump shot from 30 ft (assist by N. Vučević),,16,12
1,5:41.0,,C. Osman misses 2-pt jump shot from 7 ft,16,12
1,5:33.0,,Offensive rebound by L. Nance,16,12
1,5:33.0,,L. Nance makes 2-pt layup from 1 ft,16,14
1,5:23.0,A. Gordon misses 2-pt jump shot from 14 ft,,16,14
1,5:19.0,,Defensive rebound by K. Love,16,14
