QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
1,11:42.0,K. Love makes 2-pt hook shot from 4 ft (assist by C. Osman),,2,0
1,11:23.0,,A. Gordon misses 2-pt layup from 6 ft (block by K. Love),2,0
1,11:19.0,Defensive rebound by A. Žižić,,2,0
1,11:14.0,C. Sexton misses 3-pt jump shot from 27 ft,,2,0
1,11:12.0,,Defensive rebound by N. Vučević,2,0
1,11:04.0,,N. Vučević misses 2-pt hook shot from 7 ft,2,0
1,11:01.0,Defensive rebound by K. Love,,2,0
1,10:54.0,B. Knight makes 3-pt jump shot from 27 ft,,5,0
1,10:35.0,,J. Isaac makes 2-pt layup from 5 ft (assist by D. Augustin),5,2
1,10:35.0,,Shooting foul by C. Sexton (drawn by J. Isaac),5,2
1,10:35.0,,J. Isaac makes free throw 1 of 1,5,3
1,10:18.0,C. Osman misses 3-pt jump shot from 27 ft,,5,3
1,10:14.0,,Defensive rebound by D. Augustin,5,3
1,10:04.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by J. Isaac),5,5
1,9:44.0,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),,7,5
1,9:27.0,,N. Vučević makes 2-pt layup from 3 ft (assist by E. Fournier),7,7
1,9:27.0,,Shooting foul by A. Žižić (drawn by N. Vučević),7,7
1,9:27.0,,N. Vučević makes free throw 1 of 1,7,8
1,9:11.0,Turnover by C. Sexton (bad pass),,7,8
1,9:00.0,,E. Fournier misses 2-pt layup from 3 ft,7,8
1,8:54.0,,Offensive rebound by N. Vučević,7,8
1,8:54.0,,N. Vučević makes 2-pt dunk from 1 ft,7,10
1,8:42.0,C. Sexton misses 2-pt jump shot from 5 ft,,7,10
1,8:38.0,,Defensive rebound by N. Vučević,7,10
1,8:28.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),7,13
1,8:17.0,B. Knight makes 2-pt jump shot from 6 ft,,9,13
1,7:51.0,,J. Isaac misses 3-pt jump shot from 23 ft,9,13
1,7:46.0,Defensive rebound by C. Osman,,9,13
1,7:44.0,C. Sexton makes 2-pt layup from 2 ft (assist by C. Osman),,11,13
1,7:30.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by D. Augustin),11,16
1,7:12.0,K. Love misses 3-pt jump shot from 26 ft,,11,16
1,7:10.0,,Defensive rebound by E. Fournier,11,16
1,7:05.0,,E. Fournier misses 2-pt layup from 6 ft,11,16
1,7:03.0,Defensive rebound by C. Osman,,11,16
1,6:59.0,Turnover by K. Love (out of bounds lost ball),,11,16
1,6:59.0,,Orlando full timeout,11,16
1,6:43.0,,N. Vučević makes 2-pt jump shot from 6 ft (assist by D. Augustin),11,18
1,6:22.0,C. Osman misses 3-pt jump shot from 28 ft,,11,18
1,6:20.0,,Defensive rebound by N. Vučević,11,18
1,6:10.0,,J. Isaac misses 3-pt jump shot from 24 ft,11,18
1,6:08.0,Defensive rebound by A. Žižić,,11,18
1,5:54.0,B. Knight misses 2-pt jump shot from 5 ft,,11,18
1,5:51.0,,Defensive rebound by A. Gordon,11,18
1,5:45.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),11,21
1,5:33.0,A. Žižić misses 2-pt jump shot from 17 ft,,11,21
1,5:31.0,,Defensive rebound by A. Gordon,11,21
1,5:14.0,,J. Isaac misses 2-pt jump shot from 14 ft,11,21
1,5:11.0,Defensive rebound by K. Love,,11,21
1,5:05.0,C. Sexton makes 2-pt jump shot from 8 ft,,13,21
1,4:47.0,,N. Vučević makes 2-pt hook shot from 6 ft,13,23
1,4:47.0,Cleveland full timeout,,13,23
1,4:47.0,J. Clarkson enters the game for B. Knight,,13,23
1,4:47.0,D. Nwaba enters the game for K. Love,,13,23
1,4:47.0,,W. Iwundu enters the game for A. Gordon,13,23
1,4:33.0,C. Osman makes 2-pt layup from 3 ft,,15,23
1,4:17.0,,Turnover by E. Fournier (bad pass),15,23
1,4:17.0,M. Chriss enters the game for A. Žižić,,15,23
1,4:00.0,J. Clarkson misses 2-pt jump shot from 10 ft,,15,23
1,3:58.0,Offensive rebound by J. Clarkson,,15,23
1,3:55.0,M. Chriss misses 3-pt jump shot from 24 ft,,15,23
1,3:53.0,,Defensive rebound by W. Iwundu,15,23
1,3:41.0,,D. Augustin makes 2-pt jump shot from 21 ft,15,25
1,3:21.0,C. Sexton makes 3-pt jump shot from 26 ft (assist by C. Osman),,18,25
1,3:04.0,,E. Fournier makes 2-pt layup from 5 ft,18,27
1,2:40.0,Turnover by C. Sexton (bad pass; steal by E. Fournier),,18,27
1,2:38.0,,E. Fournier misses 2-pt layup from 2 ft (block by M. Chriss),18,27
1,2:33.0,,Offensive rebound by D. Augustin,18,27
1,2:32.0,,D. Augustin makes 2-pt layup from 4 ft,18,29
1,2:26.0,C. Sexton makes 2-pt jump shot from 8 ft,,20,29
1,2:12.0,,D. Augustin misses 2-pt jump shot from 7 ft (block by D. Nwaba),20,29
1,2:12.0,,Offensive rebound by Team,20,29
1,2:12.0,B. Knight enters the game for C. Osman,,20,29
1,2:12.0,N. Stauskas enters the game for C. Sexton,,20,29
1,2:12.0,,A. Gordon enters the game for D. Augustin,20,29
1,2:12.0,,J. Grant enters the game for E. Fournier,20,29
1,2:12.0,,T. Ross enters the game for J. Isaac,20,29
1,2:03.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by T. Ross),20,31
1,1:38.0,D. Nwaba misses 3-pt jump shot from 24 ft,,20,31
1,1:36.0,,Defensive rebound by J. Grant,20,31
1,1:30.0,,Turnover by A. Gordon (bad pass; steal by N. Stauskas),20,31
1,1:14.0,M. Chriss misses 3-pt jump shot from 25 ft,,20,31
1,1:12.0,,Defensive rebound by W. Iwundu,20,31
1,1:09.0,,Personal foul by D. Nwaba (drawn by W. Iwundu),20,31
1,1:09.0,,K. Birch enters the game for N. Vučević,20,31
1,1:00.0,,A. Gordon makes 2-pt jump shot from 11 ft,20,33
1,0:49.0,B. Knight misses 2-pt layup from 7 ft,,20,33
1,0:49.0,,Defensive rebound by A. Gordon,20,33
1,0:31.0,,T. Ross misses 2-pt hook shot from 5 ft,20,33
1,0:29.0,,Offensive rebound by K. Birch,20,33
1,0:28.0,,K. Birch misses 2-pt layup from 3 ft,20,33
1,0:26.0,Defensive rebound by B. Knight,,20,33
1,0:22.0,N. Stauskas misses 2-pt jump shot from 21 ft,,20,33
1,0:19.0,,Defensive rebound by A. Gordon,20,33
1,0:02.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by J. Grant),20,36
1,0:00.0,J. Clarkson misses 3-pt jump shot from 38 ft,,20,36
1,0:00.0,Offensive rebound by Team,,20,36
2,11:33.0,,A. Gordon misses 3-pt jump shot from 26 ft,20,36
2,11:31.0,Defensive rebound by N. Stauskas,,20,36
2,11:07.0,D. Nwaba misses 3-pt jump shot from 27 ft,,20,36
2,11:04.0,,Defensive rebound by T. Ross,20,36
2,10:57.0,,Turnover by E. Fournier (bad pass; steal by B. Knight),20,36
2,10:48.0,J. Clarkson misses 2-pt layup from 3 ft,,20,36
2,10:48.0,Offensive rebound by Team,,20,36
2,10:48.0,,Loose ball foul by E. Fournier (drawn by M. Chriss),20,36
2,10:37.0,J. Clarkson misses 2-pt jump shot from 8 ft,,20,36
2,10:31.0,,Defensive rebound by K. Birch,20,36
2,10:28.0,,E. Fournier makes 3-pt jump shot from 23 ft (assist by T. Ross),20,39
2,10:19.0,Offensive foul by M. Chriss (drawn by E. Fournier),,20,39
2,10:19.0,Turnover by M. Chriss (offensive foul),,20,39
2,10:10.0,,K. Birch makes 2-pt dunk from 4 ft (assist by T. Ross),20,41
2,10:10.0,Cleveland full timeout,,20,41
2,10:10.0,K. Love enters the game for M. Chriss,,20,41
2,10:10.0,C. Osman enters the game for J. Clarkson,,20,41
2,10:10.0,C. Sexton enters the game for D. Nwaba,,20,41
2,10:10.0,A. Žižić enters the game for N. Stauskas,,20,41
2,9:50.0,A. Žižić misses 2-pt layup from 5 ft,,20,41
2,9:48.0,,Defensive rebound by K. Birch,20,41
2,9:38.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),20,44
2,9:24.0,K. Love makes 2-pt layup from 4 ft (assist by C. Sexton),,22,44
2,9:07.0,,Personal foul by C. Osman (drawn by A. Gordon),22,44
2,9:01.0,,A. Gordon misses 2-pt jump shot from 11 ft,22,44
2,9:01.0,Defensive rebound by C. Osman,,22,44
2,9:01.0,Personal foul by K. Birch (drawn by C. Osman),,22,44
2,8:36.0,C. Sexton misses 2-pt jump shot from 18 ft (block by A. Gordon),,22,44
2,8:36.0,Offensive rebound by Team,,22,44
2,8:36.0,Turnover by Team (shot clock),,22,44
2,8:12.0,,J. Grant misses 2-pt jump shot from 10 ft,22,44
2,8:10.0,Defensive rebound by K. Love,,22,44
2,7:59.0,C. Sexton makes 2-pt jump shot from 10 ft,,24,44
2,7:43.0,,A. Gordon misses 2-pt jump shot from 15 ft,24,44
2,7:43.0,,Offensive rebound by E. Fournier,24,44
2,7:39.0,,E. Fournier misses 3-pt jump shot from 24 ft,24,44
2,7:36.0,Defensive rebound by C. Sexton,,24,44
2,7:30.0,Turnover by K. Love (bad pass; steal by K. Birch),,24,44
2,7:25.0,,K. Birch makes 2-pt layup from 4 ft,24,46
2,7:10.0,K. Love misses 2-pt jump shot from 14 ft,,24,46
2,7:10.0,Offensive rebound by A. Žižić,,24,46
2,7:09.0,A. Žižić makes 2-pt layup at rim,,26,46
2,6:57.0,,J. Grant misses 2-pt jump shot from 21 ft,26,46
2,6:54.0,Defensive rebound by C. Osman,,26,46
2,6:48.0,C. Osman makes 2-pt layup from 5 ft,,28,46
2,6:48.0,,Orlando full timeout,28,46
2,6:48.0,J. Clarkson enters the game for B. Knight,,28,46
2,6:48.0,,D. Augustin enters the game for K. Birch,28,46
2,6:48.0,,J. Isaac enters the game for E. Fournier,28,46
2,6:48.0,,W. Iwundu enters the game for A. Gordon,28,46
2,6:48.0,,N. Vučević enters the game for J. Grant,28,46
2,6:26.0,,T. Ross misses 2-pt jump shot from 21 ft,28,46
2,6:23.0,Defensive rebound by K. Love,,28,46
2,6:12.0,Turnover by K. Love (bad pass; steal by N. Vučević),,28,46
2,6:01.0,,J. Isaac misses 3-pt jump shot from 26 ft,28,46
2,5:58.0,Defensive rebound by K. Love,,28,46
2,5:51.0,C. Sexton misses 2-pt jump shot from 8 ft,,28,46
2,5:49.0,,Defensive rebound by N. Vučević,28,46
2,5:39.0,,N. Vučević misses 2-pt jump shot from 19 ft,28,46
2,5:37.0,Defensive rebound by C. Osman,,28,46
2,5:16.0,Turnover by C. Osman (bad pass; steal by D. Augustin),,28,46
2,5:12.0,,D. Augustin makes 2-pt layup from 2 ft,28,48
2,4:55.0,K. Love misses 2-pt jump shot from 15 ft,,28,48
2,4:53.0,,Defensive rebound by W. Iwundu,28,48
2,4:43.0,,D. Augustin misses 2-pt layup from 6 ft (block by C. Sexton),28,48
2,4:41.0,Defensive rebound by C. Osman,,28,48
2,4:29.0,J. Clarkson misses 3-pt jump shot from 27 ft,,28,48
2,4:26.0,,Defensive rebound by N. Vučević,28,48
2,4:16.0,,T. Ross misses 3-pt jump shot from 27 ft,28,48
2,4:13.0,Defensive rebound by A. Žižić,,28,48
2,4:01.0,J. Clarkson misses 3-pt jump shot from 23 ft,,28,48
2,4:01.0,,Defensive rebound by Team,28,48
2,3:48.0,,J. Isaac misses 3-pt jump shot from 23 ft,28,48
2,3:45.0,Defensive rebound by C. Osman,,28,48
2,3:37.0,K. Love makes 3-pt jump shot from 28 ft (assist by C. Osman),,31,48
2,3:16.0,,Shooting foul by J. Clarkson (drawn by D. Augustin),31,48
2,3:16.0,,D. Augustin makes free throw 1 of 3,31,49
2,3:16.0,,D. Augustin makes free throw 2 of 3,31,50
2,3:16.0,M. Chriss enters the game for A. Žižić,,31,50
2,3:16.0,,D. Augustin makes free throw 3 of 3,31,51
2,2:59.0,J. Clarkson misses 2-pt layup from 6 ft,,31,51
2,2:54.0,Offensive rebound by J. Clarkson,,31,51
2,2:54.0,J. Clarkson makes 2-pt layup at rim,,33,51
2,2:44.0,,Personal foul by K. Love (drawn by N. Vučević),33,51
2,2:30.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by N. Vučević),33,54
2,2:12.0,C. Osman makes 2-pt layup from 2 ft,,35,54
2,1:54.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by D. Augustin),35,56
2,1:28.0,J. Clarkson misses 2-pt layup from 4 ft,,35,56
2,1:25.0,Offensive rebound by M. Chriss,,35,56
2,1:25.0,M. Chriss makes 2-pt layup at rim,,37,56
2,1:10.0,,D. Augustin makes 2-pt jump shot from 12 ft,37,58
2,0:57.0,K. Love misses 3-pt jump shot from 27 ft,,37,58
2,0:57.0,,Defensive rebound by Team,37,58
2,0:57.0,D. Nwaba enters the game for K. Love,,37,58
2,0:57.0,,A. Gordon enters the game for J. Isaac,37,58
2,0:43.0,,Turnover by T. Ross (bad pass; steal by J. Clarkson),37,58
2,0:41.0,Shooting foul by W. Iwundu (drawn by J. Clarkson),,37,58
2,0:41.0,J. Clarkson makes free throw 1 of 2,,38,58
2,0:41.0,J. Clarkson makes free throw 2 of 2,,39,58
2,0:31.0,,D. Augustin makes 3-pt jump shot from 25 ft,39,61
2,0:11.0,J. Clarkson makes 2-pt jump shot from 6 ft,,41,61
3,11:33.0,,A. Gordon misses 2-pt layup from 3 ft,41,61
3,11:30.0,Defensive rebound by A. Žižić,,41,61
3,11:25.0,B. Knight makes 2-pt layup from 5 ft,,43,61
3,11:07.0,,N. Vučević makes 2-pt layup from 4 ft (assist by D. Augustin),43,63
3,10:52.0,C. Sexton misses 2-pt jump shot from 7 ft,,43,63
3,10:49.0,,Defensive rebound by N. Vučević,43,63
3,10:45.0,,J. Isaac makes 2-pt dunk from 3 ft (assist by D. Augustin),43,65
3,10:26.0,B. Knight misses 3-pt jump shot from 26 ft,,43,65
3,10:23.0,,Defensive rebound by J. Isaac,43,65
3,10:08.0,,N. Vučević misses 2-pt layup from 6 ft,43,65
