QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
1,11:40.0,,Turnover by D. Fox (bad pass),0,0
1,11:24.0,Shooting foul by I. Shumpert (drawn by B. Bogdanović),,0,0
1,11:24.0,B. Bogdanović makes free throw 1 of 2,,1,0
1,11:24.0,B. Bogdanović makes free throw 2 of 2,,2,0
1,11:15.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),2,3
1,10:59.0,Turnover by D. Collison (bad pass),,2,3
1,10:51.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,2,3
1,10:48.0,Defensive rebound by D. Collison,,2,3
1,10:38.0,D. Collison misses 2-pt layup from 4 ft,,2,3
1,10:36.0,,Defensive rebound by D. Fox,2,3
1,10:31.0,,I. Shumpert misses 2-pt jump shot from 23 ft,2,3
1,10:28.0,,Offensive rebound by W. Cauley-Stein,2,3
1,10:28.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),2,5
1,10:08.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,4,5
1,9:59.0,,D. Fox misses 3-pt jump shot from 26 ft,4,5
1,9:56.0,Defensive rebound by M. Turner,,4,5
1,9:48.0,T. Evans makes 2-pt layup from 3 ft,,6,5
1,9:38.0,,I. Shumpert misses 2-pt jump shot from 19 ft,6,5
1,9:33.0,Defensive rebound by M. Turner,,6,5
1,9:28.0,T. Evans misses 2-pt jump shot from 23 ft,,6,5
1,9:25.0,,Defensive rebound by N. Bjelica,6,5
1,9:16.0,,W. Cauley-Stein misses 2-pt hook shot from 3 ft,6,5
1,9:16.0,Defensive rebound by M. Turner,,6,5
1,9:08.0,Personal foul by W. Cauley-Stein (drawn by B. Bogdanović),,6,5
1,8:58.0,Turnover by B. Bogdanović (lost ball; steal by D. Fox),,6,5
1,8:53.0,,B. Hield misses 3-pt jump shot from 25 ft,6,5
1,8:52.0,,Offensive rebound by Team,6,5
1,8:52.0,Loose ball foul by M. Turner (drawn by N. Bjelica),,6,5
1,8:49.0,,Personal foul by B. Bogdanović (drawn by I. Shumpert),6,5
1,8:41.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,6,5
1,8:37.0,Defensive rebound by M. Turner,,6,5
1,8:25.0,B. Bogdanović misses 2-pt jump shot from 7 ft,,6,5
1,8:23.0,,Defensive rebound by I. Shumpert,6,5
1,8:17.0,,I. Shumpert makes 2-pt jump shot from 16 ft,6,7
1,8:04.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,8,7
1,7:51.0,,I. Shumpert misses 2-pt layup from 2 ft (block by M. Turner),8,7
1,7:47.0,,Offensive rebound by N. Bjelica,8,7
1,7:46.0,,N. Bjelica makes 2-pt layup from 3 ft,8,9
1,7:26.0,B. Bogdanović makes 2-pt layup from 2 ft,,10,9
1,7:16.0,,Personal foul by T. Young (drawn by N. Bjelica),10,9
1,7:02.0,,N. Bjelica makes 2-pt jump shot from 4 ft (assist by B. Hield),10,11
1,6:35.0,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Collison),,13,11
1,6:19.0,,N. Bjelica misses 3-pt jump shot from 26 ft,13,11
1,6:17.0,Defensive rebound by T. Evans,,13,11
1,6:11.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Evans),,16,11
1,6:06.0,,Sacramento full timeout,16,11
1,6:06.0,,B. Bogdanović enters the game for B. Hield,16,11
1,5:52.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,16,13
1,5:39.0,M. Turner misses 3-pt jump shot from 25 ft,,16,13
1,5:36.0,,Defensive rebound by W. Cauley-Stein,16,13
1,5:24.0,,Turnover by B. Bogdanović (bad pass; steal by T. Evans),16,13
1,5:20.0,T. Evans makes 2-pt layup from 1 ft,,18,13
1,5:15.0,,Turnover by D. Fox (lost ball; steal by D. Collison),18,13
1,5:05.0,Turnover by T. Young (bad pass),,18,13
1,4:57.0,,Shooting foul by D. Collison (drawn by D. Fox),18,13
1,4:57.0,,D. Fox makes free throw 1 of 2,18,14
1,4:57.0,,D. Fox makes free throw 2 of 2,18,15
1,4:48.0,Turnover by B. Bogdanović (bad pass),,18,15
1,4:48.0,D. Sabonis enters the game for T. Young,,18,15
1,4:48.0,,J. Jackson enters the game for N. Bjelica,18,15
1,4:33.0,,Personal foul by T. Evans (drawn by B. Bogdanović),18,15
1,4:33.0,,B. Bogdanović makes free throw 1 of 2,18,16
1,4:33.0,,B. Bogdanović makes free throw 2 of 2,18,17
1,4:13.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),,20,17
1,4:06.0,,D. Fox misses 2-pt layup from 3 ft (block by M. Turner),20,17
1,4:01.0,Defensive rebound by M. Turner,,20,17
1,3:57.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by D. Sabonis),,22,17
1,3:43.0,,W. Cauley-Stein makes 2-pt jump shot from 14 ft,22,19
1,3:28.0,M. Turner makes 2-pt layup from 3 ft (assist by T. Evans),,24,19
1,3:20.0,,J. Jackson makes 2-pt jump shot from 16 ft,24,21
1,3:14.0,Indiana full timeout,,24,21
1,3:14.0,C. Joseph enters the game for B. Bogdanović,,24,21
1,3:14.0,,B. Hield enters the game for D. Fox,24,21
1,3:14.0,,K. Koufos enters the game for I. Shumpert,24,21
1,2:56.0,Turnover by D. Sabonis (3 sec),,24,21
1,2:41.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),24,23
1,2:24.0,Shooting foul by B. Hield (drawn by D. Collison),,24,23
1,2:24.0,,Technical foul by B. Hield,24,23
1,2:24.0,D. Collison makes technical free throw,,25,23
1,2:24.0,,T. Williams enters the game for W. Cauley-Stein,25,23
1,2:24.0,D. Collison makes free throw 1 of 2,,26,23
1,2:24.0,D. Collison makes free throw 2 of 2,,27,23
1,2:09.0,,K. Koufos misses 2-pt layup from 2 ft,27,23
1,2:05.0,Defensive rebound by M. Turner,,27,23
1,1:53.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by T. Evans),,30,23
1,1:34.0,,Turnover by B. Bogdanović (traveling),30,23
1,1:34.0,A. Holiday enters the game for D. Collison,,30,23
1,1:34.0,D. McDermott enters the game for T. Evans,,30,23
1,1:34.0,T. Young enters the game for M. Turner,,30,23
1,1:32.0,Violation by Team (delay of game),,30,23
1,1:14.0,Turnover by D. Sabonis (traveling),,30,23
1,0:57.0,,J. Jackson misses 3-pt jump shot from 26 ft,30,23
1,0:55.0,Defensive rebound by D. Sabonis,,30,23
1,0:47.0,Turnover by A. Holiday (bad pass; steal by T. Williams),,30,23
1,0:36.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by B. Hield),30,26
1,0:18.0,A. Holiday misses 3-pt jump shot from 23 ft,,30,26
