QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
1,11:47.0,,E. Gordon misses 3-pt jump shot from 25 ft,0,0
1,11:44.0,,Offensive rebound by C. Capela,0,0
1,11:42.0,,C. Capela makes 2-pt dunk at rim,0,2
1,11:19.0,J. Jackson makes 2-pt jump shot from 15 ft,,2,2
1,11:06.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),2,5
1,10:52.0,Turnover by E. Okobo (bad pass; steal by J. Harden),,2,5
1,10:34.0,,C. Paul makes 3-pt jump shot from 26 ft,2,8
1,10:12.0,E. Okobo misses 3-pt jump shot from 23 ft,,2,8
1,10:10.0,,Defensive rebound by J. Harden,2,8
1,10:04.0,,Turnover by J. Harden (bad pass; steal by D. Bender),2,8
1,9:59.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by E. Okobo),,5,8
1,9:37.0,,E. Gordon makes 3-pt jump shot from 28 ft (assist by C. Paul),5,11
1,9:23.0,M. Bridges misses 3-pt jump shot from 26 ft,,5,11
1,9:20.0,,Defensive rebound by C. Capela,5,11
1,9:12.0,,P. Tucker misses 3-pt jump shot from 22 ft,5,11
1,9:10.0,Defensive rebound by D. Bender,,5,11
1,8:59.0,R. Spalding misses 2-pt layup from 6 ft,,5,11
1,8:57.0,,Defensive rebound by C. Capela,5,11
1,8:53.0,,Personal foul by E. Okobo (drawn by J. Harden),5,11
1,8:47.0,,P. Tucker misses 3-pt jump shot from 25 ft,5,11
1,8:45.0,Defensive rebound by J. Jackson,,5,11
1,8:37.0,Turnover by R. Spalding (bad pass; steal by E. Gordon),,5,11
1,8:27.0,,J. Harden misses 2-pt layup from 4 ft,5,11
1,8:22.0,Defensive rebound by J. Jackson,,5,11
1,8:20.0,J. Jackson misses 2-pt jump shot from 7 ft,,5,11
1,8:13.0,J. Jackson makes 2-pt layup at rim,,7,11
1,8:13.0,Offensive rebound by J. Jackson,,7,11
1,8:12.0,,Shooting foul by R. Spalding (drawn by C. Capela),7,11
1,8:12.0,,C. Capela makes free throw 1 of 2,7,12
1,8:12.0,,C. Capela makes free throw 2 of 2,7,13
1,8:00.0,M. Bridges makes 2-pt layup from 2 ft (assist by J. Jackson),,9,13
1,7:39.0,,P. Tucker misses 2-pt layup from 2 ft,9,13
1,7:33.0,,Offensive rebound by C. Capela,9,13
1,7:33.0,,C. Capela makes 2-pt dunk from 1 ft,9,15
1,7:18.0,J. Jackson misses 3-pt jump shot from 25 ft,,9,15
1,7:16.0,,Defensive rebound by J. Harden,9,15
1,7:13.0,,Personal foul by M. Bridges (drawn by J. Harden),9,15
1,7:06.0,,P. Tucker misses 3-pt jump shot from 25 ft,9,15
1,7:02.0,,Offensive rebound by C. Capela,9,15
1,7:00.0,,C. Capela misses 2-pt hook shot from 5 ft,9,15
1,6:58.0,,Offensive rebound by P. Tucker,9,15
1,6:56.0,,C. Paul makes 3-pt jump shot from 26 ft (assist by P. Tucker),9,18
1,6:56.0,Phoenix full timeout,,9,18
1,6:56.0,T. Daniels enters the game for R. Spalding,,9,18
1,6:56.0,,D. House enters the game for C. Paul,9,18
1,6:51.0,J. Jackson misses 3-pt jump shot from 23 ft,,9,18
1,6:50.0,,Defensive rebound by D. House,9,18
1,6:44.0,,E. Gordon makes 3-pt jump shot from 25 ft (assist by J. Harden),9,21
1,6:22.0,D. Bender makes 2-pt hook shot from 4 ft (assist by J. Jackson),,11,21
1,6:11.0,,C. Capela makes 2-pt layup from 2 ft (assist by P. Tucker),11,23
1,5:52.0,D. Bender misses 2-pt hook shot from 11 ft,,11,23
1,5:48.0,,Defensive rebound by D. House,11,23
1,5:36.0,,E. Gordon misses 3-pt jump shot from 25 ft,11,23
1,5:34.0,Defensive rebound by D. Bender,,11,23
1,5:22.0,T. Daniels misses 2-pt jump shot from 22 ft,,11,23
1,5:21.0,,Defensive rebound by J. Harden,11,23
1,5:15.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),11,25
1,4:59.0,T. Daniels misses 3-pt jump shot from 25 ft,,11,25
1,4:55.0,,Defensive rebound by C. Capela,11,25
1,4:44.0,,Turnover by J. Harden (lost ball; steal by T. Daniels),11,25
1,4:42.0,Personal foul by P. Tucker (drawn by T. Daniels),,11,25
1,4:42.0,,A. Rivers enters the game for E. Gordon,11,25
1,4:42.0,,I. Shumpert enters the game for P. Tucker,11,25
1,4:30.0,D. Bender misses 3-pt jump shot from 26 ft,,11,25
1,4:27.0,,Defensive rebound by D. House,11,25
1,4:15.0,,I. Shumpert misses 3-pt jump shot from 25 ft,11,25
1,4:13.0,Defensive rebound by E. Okobo,,11,25
1,4:07.0,E. Okobo misses 2-pt layup from 1 ft,,11,25
1,4:06.0,Offensive rebound by D. Bender,,11,25
1,4:06.0,D. Bender makes 2-pt layup at rim,,13,25
1,3:54.0,,J. Harden makes 2-pt layup from 1 ft,13,27
1,3:40.0,Personal foul by J. Harden (drawn by D. Bender),,13,27
1,3:40.0,J. Crawford enters the game for M. Bridges,,13,27
1,3:25.0,D. Bender misses 2-pt layup from 4 ft,,13,27
1,3:24.0,,Defensive rebound by C. Capela,13,27
1,3:18.0,,Offensive foul by J. Harden (drawn by J. Jackson),13,27
1,3:18.0,,Turnover by J. Harden (offensive foul),13,27
1,3:02.0,J. Crawford makes 2-pt layup from 3 ft,,15,27
1,2:53.0,,Houston full timeout,15,27
1,2:53.0,,N. Hilário enters the game for C. Capela,15,27
1,2:53.0,,C. Paul enters the game for J. Harden,15,27
1,2:39.0,,D. House misses 3-pt jump shot from 26 ft,15,27
1,2:37.0,Defensive rebound by T. Daniels,,15,27
1,2:20.0,T. Daniels misses 2-pt jump shot from 16 ft,,15,27
1,2:19.0,,Defensive rebound by D. House,15,27
1,2:12.0,,I. Shumpert misses 2-pt jump shot from 21 ft,15,27
1,2:11.0,Defensive rebound by E. Okobo,,15,27
1,2:05.0,Shooting foul by C. Paul (drawn by D. Bender),,15,27
1,2:05.0,D. Bender makes free throw 1 of 2,,16,27
1,2:05.0,M. Bridges enters the game for J. Jackson,,16,27
1,2:05.0,D. Melton enters the game for E. Okobo,,16,27
1,2:05.0,D. Bender makes free throw 2 of 2,,17,27
1,1:47.0,,N. Hilário misses 2-pt jump shot from 11 ft,17,27
1,1:45.0,Defensive rebound by J. Crawford,,17,27
1,1:35.0,Shooting foul by N. Hilário (drawn by J. Crawford),,17,27
1,1:35.0,J. Crawford makes free throw 1 of 3,,18,27
1,1:35.0,J. Crawford makes free throw 2 of 3,,19,27
1,1:35.0,J. Crawford makes free throw 3 of 3,,20,27
1,1:22.0,,A. Rivers makes 2-pt jump shot from 9 ft (assist by C. Paul),20,29
1,1:09.0,Turnover by J. Crawford (bad pass; steal by C. Paul),,20,29
1,1:01.0,,D. House misses 2-pt layup from 4 ft,20,29
1,0:58.0,Defensive rebound by D. Bender,,20,29
1,0:49.0,D. Bender misses 2-pt layup from 1 ft (block by N. Hilário),,20,29
1,0:48.0,Offensive rebound by D. Bender,,20,29
1,0:48.0,Shooting foul by N. Hilário (drawn by D. Bender),,20,29
1,0:48.0,Offensive rebound by Team,,20,29
1,0:48.0,D. Bender misses free throw 1 of 2,,20,29
1,0:48.0,D. Bender makes free throw 2 of 2,,21,29
1,0:39.0,,A. Rivers makes 3-pt jump shot from 25 ft (assist by C. Paul),21,32
1,0:32.0,D. Melton makes 3-pt jump shot from 23 ft (assist by J. Crawford),,24,32
1,0:20.0,,A. Rivers misses 2-pt layup from 4 ft,24,32
1,0:19.0,,Offensive rebound by N. Hilário,24,32
1,0:19.0,,N. Hilário makes 2-pt dunk from 1 ft,24,34
1,0:00.0,D. Bender misses 2-pt layup from 3 ft,,24,34
1,0:00.0,Offensive rebound by Team,,24,34
2,11:44.0,J. Crawford misses 2-pt jump shot from 20 ft,,24,34
2,11:42.0,,Defensive rebound by C. Paul,24,34
2,11:26.0,,C. Paul misses 3-pt jump shot from 24 ft,24,34
2,11:25.0,Defensive rebound by M. Bridges,,24,34
2,11:18.0,M. Bridges misses 2-pt jump shot from 22 ft,,24,34
2,11:16.0,,Defensive rebound by D. House,24,34
2,11:09.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by A. Rivers),24,36
2,10:44.0,J. Crawford makes 3-pt jump shot from 25 ft (assist by D. Melton),,27,36
2,10:27.0,,D. House makes 3-pt jump shot from 23 ft (assist by N. Hilário),27,39
2,10:09.0,R. Spalding makes 2-pt jump shot from 11 ft (assist by J. Crawford),,29,39
2,9:51.0,,E. Gordon misses 3-pt jump shot from 26 ft,29,39
2,9:49.0,Defensive rebound by M. Bridges,,29,39
2,9:43.0,J. Crawford misses 3-pt jump shot from 26 ft,,29,39
2,9:39.0,,Defensive rebound by D. House,29,39
2,9:32.0,,Turnover by C. Paul (lost ball; steal by R. Spalding),29,39
2,9:30.0,Turnover by D. Melton (bad pass; steal by C. Paul),,29,39
2,9:28.0,,Turnover by C. Paul (bad pass; steal by J. Crawford),29,39
2,9:24.0,D. Melton misses 2-pt layup from 2 ft (block by D. House),,29,39
2,9:22.0,Offensive rebound by Team,,29,39
2,9:22.0,J. Jackson enters the game for T. Daniels,,29,39
