QUARTER,TIME_REMAINING,BOSTON_ACTION,HOUSTON_ACTION,BOSTON_SCORE,HOUSTON_SCORE
1,11:41.0,J. Tatum misses 2-pt jump shot from 13 ft,,0,0
1,11:39.0,,Defensive rebound by P. Tucker,0,0
1,11:32.0,,Turnover by J. Harden (bad pass; steal by A. Horford),0,0
1,11:25.0,K. Irving makes 2-pt layup from 4 ft,,2,0
1,11:07.0,,E. Gordon misses 3-pt jump shot from 29 ft,2,0
1,11:03.0,,Offensive rebound by C. Capela,2,0
1,11:02.0,,C. Capela makes 2-pt layup from 3 ft,2,2
1,10:46.0,K. Irving misses 3-pt jump shot from 29 ft,,2,2
1,10:44.0,,Defensive rebound by D. House,2,2
1,10:39.0,,C. Capela misses 2-pt layup from 3 ft,2,2
1,10:37.0,Defensive rebound by M. Morris,,2,2
1,10:25.0,Turnover by A. Horford (bad pass; steal by P. Tucker),,2,2
1,10:13.0,,J. Harden makes 3-pt jump shot from 27 ft,2,5
1,9:50.0,A. Horford misses 2-pt hook shot from 4 ft,,2,5
1,9:47.0,,Defensive rebound by P. Tucker,2,5
1,9:41.0,,Shooting foul by A. Horford (drawn by C. Capela),2,5
1,9:41.0,,C. Capela makes free throw 1 of 2,2,6
1,9:41.0,,C. Capela misses free throw 2 of 2,2,6
1,9:41.0,Defensive rebound by A. Horford,,2,6
1,9:23.0,J. Tatum makes 2-pt jump shot from 19 ft (assist by A. Horford),,4,6
1,9:14.0,,E. Gordon makes 2-pt layup from 2 ft,4,8
1,9:02.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,7,8
1,8:37.0,,J. Harden misses 3-pt jump shot from 26 ft,7,8
1,8:34.0,Defensive rebound by K. Irving,,7,8
1,8:27.0,Personal foul by J. Harden (drawn by A. Horford),,7,8
1,8:20.0,Shooting foul by D. House (drawn by M. Morris),,7,8
1,8:20.0,M. Morris makes free throw 1 of 3,,8,8
1,8:20.0,M. Morris makes free throw 2 of 3,,9,8
1,8:20.0,M. Morris makes free throw 3 of 3,,10,8
1,8:14.0,,E. Gordon misses 3-pt jump shot from 29 ft,10,8
1,8:10.0,Defensive rebound by K. Irving,,10,8
1,8:03.0,K. Irving misses 2-pt layup from 4 ft,,10,8
1,8:02.0,,Defensive rebound by D. House,10,8
1,7:48.0,,J. Harden makes 2-pt layup from 2 ft,10,10
1,7:29.0,Turnover by A. Horford (out of bounds lost ball),,10,10
1,7:18.0,,E. Gordon makes 2-pt hook shot from 2 ft (assist by J. Harden),10,12
1,7:01.0,M. Smart misses 3-pt jump shot from 23 ft,,10,12
1,6:57.0,,Defensive rebound by E. Gordon,10,12
1,6:52.0,,P. Tucker misses 3-pt jump shot from 24 ft,10,12
1,6:50.0,,Offensive rebound by C. Capela,10,12
1,6:49.0,,C. Capela makes 2-pt layup from 2 ft,10,14
1,6:40.0,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),,13,14
1,6:25.0,,J. Harden makes 3-pt jump shot from 25 ft,13,17
1,6:06.0,M. Morris misses 2-pt hook shot from 5 ft,,13,17
1,6:04.0,,Defensive rebound by C. Capela,13,17
1,5:58.0,,J. Harden misses 3-pt jump shot from 26 ft,13,17
1,5:54.0,Defensive rebound by A. Horford,,13,17
1,5:52.0,M. Smart makes 2-pt dunk from 1 ft (assist by K. Irving),,15,17
1,5:51.0,,Houston full timeout,15,17
1,5:51.0,G. Hayward enters the game for A. Horford,,15,17
1,5:51.0,D. Theis enters the game for M. Morris,,15,17
1,5:51.0,,G. Green enters the game for E. Gordon,15,17
1,5:51.0,,A. Rivers enters the game for D. House,15,17
1,5:39.0,,Personal foul by J. Tatum (drawn by C. Capela),15,17
1,5:26.0,,J. Harden makes 3-pt jump shot from 27 ft,15,20
1,5:06.0,Shooting foul by A. Rivers (drawn by M. Smart),,15,20
1,5:06.0,M. Smart makes free throw 1 of 2,,16,20
1,5:06.0,M. Smart misses free throw 2 of 2,,16,20
1,5:06.0,,Defensive rebound by J. Harden,16,20
1,4:55.0,,Turnover by C. Capela (lost ball; steal by J. Tatum),16,20
1,4:46.0,J. Tatum misses 2-pt layup from 4 ft,,16,20
1,4:44.0,,Defensive rebound by P. Tucker,16,20
1,4:21.0,,C. Capela misses 2-pt layup from 3 ft,16,20
1,4:19.0,Defensive rebound by G. Hayward,,16,20
1,4:11.0,G. Hayward makes 3-pt jump shot from 23 ft (assist by K. Irving),,19,20
1,3:54.0,,C. Capela makes 2-pt hook shot from 7 ft (assist by G. Green),19,22
1,3:37.0,M. Smart misses 3-pt jump shot from 23 ft,,19,22
1,3:34.0,,Defensive rebound by A. Rivers,19,22
1,3:20.0,,G. Green misses 3-pt jump shot from 26 ft,19,22
1,3:17.0,Defensive rebound by J. Tatum,,19,22
1,3:00.0,Offensive foul by J. Tatum (drawn by P. Tucker),,19,22
1,3:00.0,Turnover by J. Tatum (offensive foul),,19,22
1,3:00.0,J. Brown enters the game for K. Irving,,19,22
1,3:00.0,T. Rozier enters the game for M. Smart,,19,22
1,3:00.0,,N. Hilário enters the game for C. Capela,19,22
1,2:40.0,,J. Harden makes 3-pt jump shot from 26 ft,19,25
1,2:31.0,Boston full timeout,,19,25
1,2:31.0,,E. Gordon enters the game for P. Tucker,19,25
1,2:23.0,Shooting foul by N. Hilário (drawn by D. Theis),,19,25
1,2:23.0,D. Theis makes free throw 1 of 2,,20,25
1,2:23.0,D. Theis misses free throw 2 of 2,,20,25
1,2:23.0,,Defensive rebound by N. Hilário,20,25
1,2:11.0,,Personal foul by G. Hayward (drawn by N. Hilário),20,25
1,1:57.0,,J. Harden makes 3-pt jump shot from 27 ft,20,28
1,1:39.0,G. Hayward misses 3-pt jump shot from 26 ft,,20,28
1,1:37.0,,Defensive rebound by N. Hilário,20,28
1,1:25.0,,E. Gordon makes 3-pt jump shot from 23 ft (assist by J. Harden),20,31
1,1:03.0,D. Theis misses 2-pt hook shot from 9 ft,,20,31
1,1:00.0,,Defensive rebound by N. Hilário,20,31
1,0:54.0,,A. Rivers makes 2-pt layup from 3 ft (assist by J. Harden),20,33
1,0:39.0,T. Rozier makes 2-pt jump shot from 22 ft,,22,33
1,0:27.0,,J. Harden misses 3-pt jump shot from 30 ft,22,33
1,0:21.0,Defensive rebound by G. Hayward,,22,33
1,0:19.0,J. Brown makes 2-pt layup from 3 ft (assist by G. Hayward),,24,33
1,0:02.0,,N. Hilário makes 2-pt dunk from 2 ft (assist by J. Harden),24,35
2,11:47.0,,A. Rivers makes 3-pt jump shot from 27 ft,24,38
2,11:28.0,T. Rozier misses 3-pt jump shot from 25 ft,,24,38
2,11:26.0,,Defensive rebound by Team,24,38
2,11:14.0,,D. House makes 3-pt jump shot from 23 ft (assist by E. Gordon),24,41
2,10:56.0,J. Brown makes 3-pt jump shot from 27 ft (assist by G. Hayward),,27,41
2,10:41.0,,E. Gordon makes 2-pt layup from 2 ft,27,43
