QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
1,11:40.0,,Turnover by A. Davis (discontinued dribble),0,0
1,11:24.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Gasol),,2,0
1,11:07.0,,J. Holiday misses 2-pt layup from 7 ft (block by G. Temple),2,0
1,11:06.0,,Offensive rebound by J. Holiday,2,0
1,11:02.0,,J. Holiday misses 2-pt layup from 4 ft,2,0
1,11:01.0,Defensive rebound by M. Gasol,,2,0
1,10:53.0,M. Gasol misses 3-pt jump shot from 26 ft,,2,0
1,10:48.0,,Defensive rebound by J. Randle,2,0
1,10:39.0,,E. Payton misses 2-pt layup from 2 ft,2,0
1,10:37.0,Defensive rebound by G. Temple,,2,0
1,10:22.0,Turnover by M. Gasol (bad pass),,2,0
1,10:09.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Payton),2,2
1,10:00.0,M. Conley makes 2-pt jump shot from 2 ft,,4,2
1,9:51.0,,J. Holiday makes 2-pt layup from 1 ft (assist by E. Payton),4,4
1,9:34.0,K. Anderson makes 2-pt layup from 2 ft (assist by M. Conley),,6,4
1,9:21.0,,A. Davis makes 2-pt jump shot from 8 ft (assist by D. Miller),6,6
1,9:03.0,K. Anderson misses 2-pt jump shot from 12 ft (block by D. Miller),,6,6
1,9:00.0,Offensive rebound by K. Anderson,,6,6
1,8:58.0,Turnover by G. Temple (lost ball; steal by J. Holiday),,6,6
1,8:54.0,,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),6,8
1,8:24.0,G. Temple misses 2-pt layup from 5 ft (block by A. Davis),,6,8
1,8:20.0,,Defensive rebound by A. Davis,6,8
1,8:15.0,,E. Payton makes 2-pt layup from 2 ft,6,10
1,8:03.0,G. Temple makes 3-pt jump shot from 25 ft (assist by M. Conley),,9,10
1,7:49.0,,Personal foul by K. Anderson (drawn by A. Davis),9,10
1,7:41.0,,D. Miller misses 3-pt jump shot from 27 ft,9,10
1,7:40.0,Defensive rebound by K. Anderson,,9,10
1,7:32.0,M. Gasol misses 3-pt jump shot from 25 ft,,9,10
1,7:27.0,,Defensive rebound by J. Randle,9,10
1,7:17.0,,J. Randle misses 3-pt jump shot from 25 ft,9,10
1,7:15.0,Defensive rebound by Team,,9,10
1,6:57.0,Personal foul by D. Miller (drawn by J. Jackson),,9,10
1,6:57.0,,New Orleans full timeout,9,10
1,6:47.0,M. Gasol misses 2-pt hook shot from 8 ft (block by A. Davis),,9,10
1,6:44.0,,Defensive rebound by E. Payton,9,10
1,6:43.0,,A. Davis makes 2-pt layup from 1 ft (assist by E. Payton),9,12
1,6:43.0,,Shooting foul by J. Jackson (drawn by A. Davis),9,12
1,6:43.0,,A. Davis makes free throw 1 of 1,9,13
1,6:24.0,G. Temple misses 3-pt jump shot from 25 ft,,9,13
1,6:20.0,,Defensive rebound by J. Holiday,9,13
1,6:15.0,,A. Davis makes 2-pt dunk from 2 ft (assist by J. Randle),9,15
1,5:57.0,J. Jackson makes 2-pt hook shot from 6 ft (assist by M. Conley),,11,15
1,5:43.0,,Turnover by A. Davis (bad pass),11,15
1,5:43.0,,K. Williams enters the game for D. Miller,11,15
1,5:30.0,J. Jackson makes 2-pt layup from 2 ft (assist by M. Conley),,13,15
1,5:25.0,,Turnover by J. Holiday (bad pass),13,15
1,5:12.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,15,15
1,5:12.0,Shooting foul by K. Williams (drawn by M. Gasol),,15,15
1,5:12.0,O. Casspi enters the game for K. Anderson,,15,15
1,5:12.0,M. Gasol makes free throw 1 of 1,,16,15
1,4:55.0,,A. Davis makes 2-pt layup from 4 ft,16,17
1,4:41.0,M. Conley misses 3-pt jump shot from 25 ft,,16,17
1,4:37.0,,Defensive rebound by A. Davis,16,17
1,4:18.0,,J. Randle makes 2-pt layup from 2 ft,16,19
1,4:18.0,,Shooting foul by M. Gasol (drawn by J. Randle),16,19
1,4:18.0,J. Carter enters the game for M. Conley,,16,19
1,4:18.0,J. Green enters the game for J. Jackson,,16,19
1,4:18.0,,F. Jackson enters the game for J. Holiday,16,19
1,4:18.0,,J. Randle makes free throw 1 of 1,16,20
1,4:00.0,M. Gasol makes 2-pt layup from 2 ft,,18,20
1,3:46.0,,A. Davis makes 2-pt jump shot from 8 ft,18,22
1,3:35.0,,Violation by Team (kicked ball),18,22
1,3:28.0,J. Green makes 2-pt jump shot from 15 ft (assist by G. Temple),,20,22
1,3:28.0,Shooting foul by J. Randle (drawn by J. Green),,20,22
1,3:28.0,J. Noah enters the game for M. Gasol,,20,22
1,3:28.0,,J. Okafor enters the game for J. Randle,20,22
1,3:28.0,J. Green makes free throw 1 of 1,,21,22
1,3:14.0,,A. Davis misses 2-pt jump shot from 10 ft,21,22
1,3:11.0,Defensive rebound by J. Green,,21,22
1,2:53.0,G. Temple makes 2-pt jump shot from 18 ft,,23,22
1,2:44.0,Memphis full timeout,,23,22
1,2:30.0,,Turnover by E. Payton (lost ball; steal by J. Noah),23,22
1,2:25.0,O. Casspi makes 2-pt dunk from 1 ft (assist by J. Noah),,25,22
1,2:14.0,,Turnover by E. Payton (bad pass; steal by J. Noah),25,22
1,2:09.0,J. Noah makes 2-pt dunk from 1 ft (assist by J. Carter),,27,22
1,1:58.0,,E. Payton makes 2-pt layup from 3 ft,27,24
1,1:58.0,,Shooting foul by J. Noah (drawn by E. Payton),27,24
1,1:58.0,,E. Payton makes free throw 1 of 1,27,25
1,1:45.0,G. Temple misses 2-pt jump shot from 17 ft,,27,25
1,1:45.0,,Defensive rebound by A. Davis,27,25
1,1:24.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by K. Williams),27,27
1,1:10.0,Turnover by J. Green (bad pass; steal by E. Payton),,27,27
1,1:03.0,,Turnover by E. Payton (bad pass; steal by O. Casspi),27,27
1,0:50.0,Turnover by J. Noah (lost ball; steal by E. Payton),,27,27
1,0:45.0,,J. Okafor makes 2-pt layup from 4 ft (assist by K. Williams),27,29
1,0:30.0,J. Carter misses 3-pt jump shot from 24 ft,,27,29
