QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
1,11:38.0,,B. Griffin misses 2-pt layup from 3 ft,0,0
1,11:36.0,Defensive rebound by E. Fournier,,0,0
1,11:20.0,E. Fournier misses 2-pt layup from 4 ft (block by A. Drummond),,0,0
1,11:20.0,Offensive rebound by Team,,0,0
1,11:14.0,E. Fournier misses 3-pt jump shot from 26 ft,,0,0
1,11:12.0,,Defensive rebound by A. Drummond,0,0
1,11:03.0,,R. Jackson makes 2-pt layup from 3 ft,0,2
1,10:45.0,A. Gordon makes 2-pt layup from 3 ft (assist by E. Fournier),,2,2
1,10:34.0,,W. Ellington makes 3-pt jump shot from 26 ft (assist by B. Griffin),2,5
1,10:11.0,E. Fournier misses 2-pt jump shot from 15 ft,,2,5
1,10:08.0,,Defensive rebound by B. Brown,2,5
1,10:00.0,,R. Jackson misses 3-pt jump shot from 27 ft,2,5
1,10:00.0,Defensive rebound by Team,,2,5
1,9:41.0,N. Vučević misses 2-pt hook shot from 8 ft,,2,5
1,9:38.0,,Defensive rebound by A. Drummond,2,5
1,9:31.0,,Turnover by R. Jackson (bad pass; steal by J. Isaac),2,5
1,9:26.0,J. Isaac makes 2-pt dunk from 1 ft (assist by A. Gordon),,4,5
1,9:00.0,,R. Jackson makes 2-pt jump shot from 12 ft,4,7
1,8:47.0,Turnover by D. Augustin (bad pass; steal by W. Ellington),,4,7
1,8:43.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Brown),4,9
1,8:25.0,J. Isaac makes 3-pt jump shot from 23 ft (assist by N. Vučević),,7,9
1,8:16.0,,W. Ellington misses 3-pt jump shot from 27 ft,7,9
1,8:14.0,Defensive rebound by D. Augustin,,7,9
1,8:07.0,N. Vučević misses 2-pt hook shot from 9 ft,,7,9
1,8:03.0,Offensive rebound by J. Isaac,,7,9
1,7:56.0,N. Vučević misses 2-pt hook shot from 1 ft,,7,9
1,7:52.0,J. Isaac misses 2-pt layup at rim,,7,9
1,7:52.0,Offensive rebound by J. Isaac,,7,9
1,7:51.0,,Defensive rebound by A. Drummond,7,9
1,7:47.0,,R. Jackson misses 2-pt jump shot from 14 ft,7,9
1,7:45.0,Defensive rebound by N. Vučević,,7,9
1,7:33.0,N. Vučević misses 3-pt jump shot from 26 ft,,7,9
1,7:30.0,,Defensive rebound by B. Griffin,7,9
1,7:12.0,,B. Brown makes 3-pt jump shot from 30 ft (assist by B. Griffin),7,12
1,6:56.0,A. Gordon misses 2-pt layup from 2 ft (block by A. Drummond),,7,12
1,6:56.0,Offensive rebound by Team,,7,12
1,6:56.0,,Detroit full timeout,7,12
1,6:44.0,J. Isaac misses 2-pt jump shot from 21 ft,,7,12
1,6:42.0,,Defensive rebound by B. Griffin,7,12
1,6:33.0,,A. Drummond makes 2-pt layup from 5 ft (assist by R. Jackson),7,14
1,6:19.0,D. Augustin misses 2-pt layup from 1 ft,,7,14
1,6:19.0,,Defensive rebound by A. Drummond,7,14
1,6:00.0,,B. Griffin makes 2-pt hook shot from 5 ft,7,16
1,5:40.0,A. Gordon misses 2-pt dunk from 3 ft (block by A. Drummond),,7,16
1,5:40.0,Offensive rebound by Team,,7,16
1,5:40.0,W. Iwundu enters the game for J. Isaac,,7,16
1,5:36.0,E. Fournier makes 2-pt jump shot from 9 ft (assist by D. Augustin),,9,16
1,5:16.0,,B. Griffin misses 2-pt layup from 2 ft,9,16
1,5:13.0,Defensive rebound by N. Vučević,,9,16
1,5:00.0,W. Iwundu makes 3-pt jump shot from 26 ft (assist by E. Fournier),,12,16
1,4:34.0,,B. Griffin misses 2-pt jump shot from 6 ft,12,16
1,4:32.0,Defensive rebound by N. Vučević,,12,16
1,4:29.0,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),,14,16
1,4:20.0,,Detroit full timeout,14,16
1,4:20.0,T. Ross enters the game for E. Fournier,,14,16
1,4:20.0,,L. Galloway enters the game for B. Brown,14,16
1,4:20.0,,I. Smith enters the game for R. Jackson,14,16
1,4:10.0,,B. Griffin makes 3-pt jump shot from 27 ft (assist by I. Smith),14,19
1,3:53.0,A. Gordon makes 3-pt jump shot from 27 ft (assist by N. Vučević),,17,19
1,3:24.0,,B. Griffin misses 2-pt jump shot from 15 ft,17,19
1,3:22.0,Defensive rebound by N. Vučević,,17,19
1,3:12.0,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),,19,19
1,3:01.0,,W. Ellington makes 2-pt jump shot from 14 ft (assist by A. Drummond),19,21
1,2:45.0,N. Vučević misses 2-pt hook shot from 5 ft,,19,21
1,2:42.0,,Defensive rebound by B. Griffin,19,21
1,2:37.0,,A. Drummond makes 2-pt layup from 2 ft (assist by I. Smith),19,23
1,2:18.0,D. Augustin makes 2-pt layup from 2 ft,,21,23
1,2:04.0,,Turnover by A. Drummond (lost ball; steal by D. Augustin),21,23
1,1:57.0,D. Augustin makes 2-pt layup from 1 ft,,23,23
1,1:43.0,,B. Griffin makes 2-pt layup from 3 ft,23,25
1,1:30.0,D. Augustin makes 3-pt jump shot from 25 ft,,26,25
1,1:30.0,Shooting foul by L. Galloway (drawn by D. Augustin),,26,25
1,1:30.0,K. Birch enters the game for A. Gordon,,26,25
1,1:30.0,,L. Kennard enters the game for W. Ellington,26,25
1,1:30.0,,T. Maker enters the game for B. Griffin,26,25
1,1:30.0,D. Augustin makes free throw 1 of 1,,27,25
1,1:13.0,,L. Kennard misses 2-pt jump shot from 10 ft,27,25
1,1:11.0,Defensive rebound by D. Augustin,,27,25
1,1:11.0,D. Augustin misses 3-pt jump shot from 26 ft,,27,25
1,1:11.0,,Defensive rebound by Team,27,25
1,1:11.0,M. Carter-Williams enters the game for D. Augustin,,27,25
1,1:11.0,J. Isaac enters the game for N. Vučević,,27,25
1,1:01.0,,I. Smith makes 2-pt jump shot from 19 ft,27,27
1,0:50.0,J. Isaac misses 3-pt jump shot from 26 ft,,27,27
1,0:45.0,Offensive rebound by K. Birch,,27,27
1,0:43.0,K. Birch misses 2-pt hook shot from 6 ft (block by A. Drummond),,27,27
1,0:40.0,Offensive rebound by M. Carter-Williams,,27,27
1,0:37.0,M. Carter-Williams misses 2-pt layup from 2 ft (block by T. Maker),,27,27
1,0:37.0,,Defensive rebound by I. Smith,27,27
1,0:25.0,,T. Maker makes 3-pt jump shot from 23 ft (assist by A. Drummond),27,30
1,0:08.0,T. Ross misses 2-pt jump shot from 17 ft,,27,30
1,0:04.0,,Defensive rebound by A. Drummond,27,30
1,0:00.0,,T. Maker misses 3-pt jump shot from 26 ft,27,30
1,0:00.0,,Offensive rebound by Team,27,30
2,11:45.0,T. Ross misses 2-pt hook shot from 11 ft,,27,30
2,11:43.0,,Defensive rebound by T. Maker,27,30
2,11:37.0,,I. Smith makes 2-pt jump shot from 15 ft,27,32
2,11:23.0,Personal foul by Z. Pachulia (drawn by K. Birch),,27,32
2,11:17.0,E. Fournier makes 3-pt jump shot from 25 ft,,30,32
2,11:04.0,,Personal foul by T. Ross (drawn by Z. Pachulia),30,32
2,10:54.0,,L. Galloway misses 2-pt layup from 4 ft,30,32
2,10:50.0,Defensive rebound by Team,,30,32
2,10:40.0,J. Isaac misses 2-pt layup from 2 ft,,30,32
2,10:39.0,,Defensive rebound by Z. Pachulia,30,32
2,10:27.0,,I. Smith makes 2-pt layup from 3 ft,30,34
2,10:07.0,Personal foul by I. Smith (drawn by M. Carter-Williams),,30,34
2,10:04.0,E. Fournier misses 3-pt jump shot from 27 ft,,30,34
2,10:01.0,,Defensive rebound by L. Kennard,30,34
2,9:58.0,,I. Smith makes 2-pt layup from 3 ft (assist by L. Kennard),30,36
2,9:45.0,M. Carter-Williams misses 2-pt layup from 3 ft (block by T. Maker),,30,36
2,9:42.0,,Defensive rebound by I. Smith,30,36
2,9:39.0,,T. Maker makes 3-pt jump shot from 27 ft (assist by I. Smith),30,39
2,9:31.0,Orlando full timeout,,30,39
2,9:14.0,M. Carter-Williams misses 2-pt jump shot from 5 ft,,30,39
2,9:12.0,Offensive rebound by K. Birch,,30,39
2,9:04.0,T. Ross misses 3-pt jump shot from 26 ft,,30,39
2,9:01.0,Offensive rebound by M. Carter-Williams,,30,39
2,8:45.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,30,39
2,8:43.0,Offensive rebound by Team,,30,39
2,8:43.0,Away from play foul by L. Galloway (drawn by T. Ross),,30,39
2,8:43.0,T. Ross makes free throw 1 of 1,,31,39
2,8:34.0,T. Ross misses 2-pt jump shot from 16 ft,,31,39
2,8:31.0,Offensive rebound by K. Birch,,31,39
2,8:27.0,M. Carter-Williams misses 3-pt jump shot from 24 ft,,31,39
2,8:27.0,,Defensive rebound by Team,31,39
2,8:27.0,Loose ball foul by K. Birch (drawn by T. Maker),,31,39
2,8:11.0,,Turnover by I. Smith (bad pass; steal by T. Ross),31,39
2,8:06.0,T. Ross makes 2-pt layup from 2 ft,,33,39
2,7:41.0,,L. Galloway makes 2-pt jump shot from 14 ft (assist by T. Maker),33,41
2,7:22.0,T. Ross misses 2-pt jump shot from 18 ft,,33,41
2,7:20.0,,Defensive rebound by T. Maker,33,41
2,7:10.0,,I. Smith misses 2-pt jump shot from 5 ft (block by M. Carter-Williams),33,41
2,7:10.0,,Offensive rebound by Team,33,41
2,7:10.0,W. Iwundu enters the game for E. Fournier,,33,41
2,7:08.0,,L. Galloway makes 2-pt jump shot from 14 ft (assist by I. Smith),33,43
2,6:51.0,T. Ross misses 2-pt jump shot from 11 ft,,33,43
2,6:50.0,Offensive rebound by J. Isaac,,33,43
2,6:49.0,J. Isaac makes 2-pt dunk at rim,,35,43
2,6:36.0,,Turnover by Z. Pachulia (bad pass),35,43
2,6:36.0,N. Vučević enters the game for K. Birch,,35,43
2,6:20.0,J. Isaac misses 3-pt jump shot from 24 ft,,35,43
2,6:18.0,Offensive rebound by M. Carter-Williams,,35,43
2,6:17.0,N. Vučević misses 2-pt jump shot from 19 ft,,35,43
2,6:13.0,Offensive rebound by J. Isaac,,35,43
2,6:12.0,Shooting foul by Z. Pachulia (drawn by N. Vučević),,35,43
2,6:12.0,N. Vučević makes free throw 1 of 2,,36,43
2,6:12.0,D. Augustin enters the game for M. Carter-Williams,,36,43
2,6:12.0,A. Gordon enters the game for W. Iwundu,,36,43
2,6:12.0,,A. Drummond enters the game for T. Maker,36,43
2,6:12.0,,B. Griffin enters the game for Z. Pachulia,36,43
2,6:12.0,N. Vučević makes free throw 2 of 2,,37,43
2,5:51.0,,B. Griffin makes 2-pt layup at rim,37,45
2,5:34.0,D. Augustin misses 2-pt jump shot from 13 ft,,37,45
2,5:32.0,,Defensive rebound by A. Drummond,37,45
2,5:27.0,,Personal foul by J. Isaac (drawn by B. Griffin),37,45
2,5:13.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Smith),37,48
2,4:56.0,T. Ross makes 2-pt jump shot from 7 ft (assist by N. Vučević),,39,48
2,4:37.0,,L. Galloway misses 3-pt jump shot from 27 ft,39,48
2,4:35.0,Defensive rebound by J. Isaac,,39,48
2,4:31.0,,Violation by Team (kicked ball),39,48
2,4:31.0,,W. Ellington enters the game for L. Galloway,39,48
2,4:31.0,,R. Jackson enters the game for I. Smith,39,48
2,4:17.0,A. Gordon makes 2-pt jump shot from 8 ft,,41,48
2,4:04.0,,B. Griffin misses 3-pt jump shot from 28 ft,41,48
2,4:01.0,Defensive rebound by J. Isaac,,41,48
2,3:51.0,Offensive foul by A. Gordon (drawn by B. Griffin),,41,48
