QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
1,11:42.0,,T. Bryant misses 2-pt jump shot from 12 ft,0,0
1,11:40.0,Defensive rebound by D. Collison,,0,0
1,11:21.0,M. Turner makes 2-pt jump shot from 13 ft,,2,0
1,11:08.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Ariza),2,2
1,10:52.0,M. Turner makes 2-pt jump shot from 19 ft (assist by E. Sumner),,4,2
1,10:32.0,,T. Satoranský makes 2-pt jump shot from 17 ft (assist by B. Beal),4,4
1,10:04.0,Turnover by T. Young (lost ball; steal by B. Beal),,4,4
1,9:59.0,,B. Beal misses 2-pt layup from 2 ft,4,4
1,9:57.0,Defensive rebound by T. Young,,4,4
1,9:53.0,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Young),,7,4
1,9:26.0,,Turnover by T. Ariza (bad pass; steal by M. Turner),7,4
1,9:15.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,9,4
1,9:01.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by T. Satoranský),9,7
1,8:45.0,E. Sumner makes 2-pt layup from 5 ft (assist by T. Young),,11,7
1,8:34.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by O. Porter),11,9
1,8:16.0,Shooting foul by O. Porter (drawn by M. Turner),,11,9
1,8:16.0,M. Turner misses free throw 1 of 2,,11,9
1,8:16.0,Offensive rebound by Team,,11,9
1,8:16.0,M. Turner makes free throw 2 of 2,,12,9
1,8:08.0,,Shooting foul by E. Sumner (drawn by T. Ariza),12,9
1,8:08.0,,T. Ariza makes free throw 1 of 2,12,10
1,8:08.0,,T. Ariza makes free throw 2 of 2,12,11
1,7:59.0,Personal foul by T. Ariza (drawn by M. Turner),,12,11
1,7:52.0,Personal foul by T. Satoranský (drawn by M. Turner),,12,11
1,7:43.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,12,11
1,7:39.0,Offensive rebound by T. Young,,12,11
1,7:32.0,B. Bogdanović makes 2-pt jump shot from 12 ft,,14,11
1,7:20.0,,B. Beal makes 2-pt jump shot from 21 ft,14,13
1,7:02.0,T. Young makes 2-pt layup from 2 ft (assist by E. Sumner),,16,13
1,6:48.0,,B. Beal misses 3-pt jump shot from 26 ft,16,13
1,6:45.0,,Offensive rebound by Team,16,13
1,6:45.0,,Washington full timeout,16,13
1,6:39.0,,Shooting foul by E. Sumner (drawn by T. Satoranský),16,13
1,6:39.0,,T. Satoranský misses free throw 1 of 2,16,13
1,6:39.0,,Offensive rebound by Team,16,13
1,6:39.0,,T. Satoranský makes free throw 2 of 2,16,14
