QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHILADELPHIA_ACTION,CHICAGO_SCORE,PHILADELPHIA_SCORE
1,11:37.0,Turnover by W. Selden (bad pass),,0,0
1,11:18.0,,T. McConnell makes 2-pt jump shot from 9 ft (assist by B. Marjanović),0,2
1,11:07.0,R. Lopez misses 3-pt jump shot from 26 ft,,0,2
1,11:03.0,,Defensive rebound by M. Scott,0,2
1,10:53.0,,Z. Smith misses 3-pt jump shot from 26 ft,0,2
1,10:49.0,Defensive rebound by S. Harrison,,0,2
1,10:43.0,S. Harrison makes 2-pt jump shot from 9 ft,,2,2
1,10:25.0,,F. Korkmaz misses 3-pt jump shot from 25 ft,2,2
1,10:21.0,Defensive rebound by W. Selden,,2,2
1,10:07.0,T. Luwawu-Cabarrot misses 2-pt jump shot from 17 ft,,2,2
1,10:04.0,,Defensive rebound by M. Scott,2,2
1,9:51.0,,M. Scott misses 2-pt jump shot from 7 ft,2,2
1,9:49.0,Defensive rebound by W. Selden,,2,2
1,9:39.0,R. Lopez misses 2-pt hook shot from 8 ft,,2,2
1,9:36.0,,Defensive rebound by F. Korkmaz,2,2
1,9:28.0,,F. Korkmaz makes 2-pt jump shot from 12 ft,2,4
1,9:11.0,R. Lopez misses 2-pt hook shot from 4 ft,,2,4
1,9:09.0,,Defensive rebound by B. Marjanović,2,4
1,8:58.0,,T. McConnell makes 2-pt layup at rim,2,6
1,8:36.0,S. Harrison misses 2-pt layup from 2 ft (block by B. Marjanović),,2,6
1,8:29.0,,Defensive rebound by M. Scott,2,6
1,8:26.0,,T. McConnell makes 2-pt layup from 1 ft,2,8
1,8:26.0,Chicago full timeout,,2,8
1,8:10.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by T. Luwawu-Cabarrot),,4,8
1,7:52.0,,F. Korkmaz misses 2-pt layup from 5 ft (block by S. Harrison),4,8
1,7:52.0,,Offensive rebound by Team,4,8
1,7:50.0,,B. Marjanović makes 3-pt jump shot from 24 ft (assist by T. McConnell),4,11
1,7:37.0,S. Harrison makes 3-pt jump shot from 26 ft,,7,11
1,7:14.0,,T. McConnell misses 2-pt jump shot from 15 ft,7,11
1,7:11.0,Defensive rebound by R. Lopez,,7,11
1,7:02.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,7,11
1,6:59.0,,Defensive rebound by B. Marjanović,7,11
1,6:48.0,,Z. Smith makes 2-pt jump shot from 16 ft (assist by T. McConnell),7,13
1,6:38.0,R. Arcidiacono misses 2-pt jump shot from 12 ft,,7,13
1,6:33.0,,Defensive rebound by B. Marjanović,7,13
1,6:25.0,,B. Marjanović makes 2-pt layup from 3 ft (assist by T. McConnell),7,15
1,6:07.0,R. Lopez makes 2-pt hook shot from 6 ft,,9,15
1,5:52.0,,M. Scott makes 2-pt jump shot from 13 ft (assist by Z. Smith),9,17
1,5:40.0,R. Arcidiacono misses 2-pt jump shot from 8 ft (block by B. Marjanović),,9,17
1,5:40.0,Offensive rebound by Team,,9,17
1,5:40.0,B. Sampson enters the game for W. Selden,,9,17
1,5:40.0,,S. Milton enters the game for F. Korkmaz,9,17
1,5:40.0,,J. Simmons enters the game for T. McConnell,9,17
1,5:31.0,S. Harrison misses 2-pt layup from 5 ft,,9,17
1,5:27.0,Offensive rebound by R. Arcidiacono,,9,17
1,5:16.0,R. Lopez misses 2-pt hook shot from 3 ft,,9,17
1,5:14.0,,Defensive rebound by M. Scott,9,17
1,4:57.0,,M. Scott makes 2-pt jump shot from 3 ft (assist by B. Marjanović),9,19
1,4:45.0,R. Lopez misses 3-pt jump shot from 26 ft,,9,19
1,4:43.0,,Defensive rebound by B. Marjanović,9,19
1,4:34.0,,S. Milton misses 2-pt jump shot from 12 ft,9,19
1,4:30.0,,Offensive rebound by Z. Smith,9,19
1,4:30.0,,Z. Smith makes 2-pt dunk from 1 ft,9,21
1,4:30.0,Chicago full timeout,,9,21
1,4:30.0,C. Felício enters the game for S. Harrison,,9,21
1,4:30.0,W. Lemon enters the game for R. Lopez,,9,21
1,4:30.0,,A. Johnson enters the game for B. Marjanović,9,21
1,4:30.0,,G. Monroe enters the game for M. Scott,9,21
1,4:15.0,C. Felício misses 2-pt layup from 6 ft (block by A. Johnson),,9,21
1,4:11.0,,Defensive rebound by J. Simmons,9,21
1,4:09.0,,J. Simmons misses 2-pt layup from 3 ft,9,21
1,4:06.0,,Offensive rebound by G. Monroe,9,21
1,4:05.0,,G. Monroe makes 2-pt layup from 3 ft,9,23
1,3:50.0,R. Arcidiacono makes 2-pt jump shot from 17 ft,,11,23
1,3:33.0,,Turnover by Z. Smith (bad pass; steal by R. Arcidiacono),11,23
1,3:29.0,T. Luwawu-Cabarrot makes 2-pt dunk from 1 ft (assist by R. Arcidiacono),,13,23
1,3:28.0,,Philadelphia full timeout,13,23
1,3:28.0,,T. McConnell enters the game for Z. Smith,13,23
1,3:05.0,,Shooting foul by C. Felício (drawn by G. Monroe),13,23
1,3:05.0,,G. Monroe makes free throw 1 of 2,13,24
1,3:05.0,,G. Monroe misses free throw 2 of 2,13,24
1,3:01.0,Defensive rebound by W. Lemon,,13,24
1,2:51.0,Turnover by W. Lemon (bad pass; steal by A. Johnson),,13,24
1,2:39.0,,T. McConnell makes 2-pt layup from 1 ft (assist by G. Monroe),13,26
1,2:30.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,,13,26
1,2:30.0,,Defensive rebound by Team,13,26
1,2:30.0,A. Blakeney enters the game for R. Arcidiacono,,13,26
1,2:08.0,,J. Simmons misses 2-pt layup from 4 ft,13,26
1,2:06.0,Defensive rebound by T. Luwawu-Cabarrot,,13,26
1,2:03.0,Shooting foul by A. Johnson (drawn by T. Luwawu-Cabarrot),,13,26
1,2:03.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,14,26
1,2:03.0,T. Luwawu-Cabarrot misses free throw 2 of 2,,14,26
1,2:00.0,,Defensive rebound by G. Monroe,14,26
1,1:41.0,,G. Monroe misses 2-pt layup from 3 ft,14,26
1,1:38.0,,Offensive rebound by A. Johnson,14,26
1,1:36.0,,A. Johnson makes 2-pt layup from 2 ft,14,28
1,1:24.0,W. Lemon makes 2-pt jump shot from 11 ft,,16,28
1,1:12.0,,S. Milton makes 2-pt dunk from 1 ft (assist by A. Johnson),16,30
1,0:59.0,A. Blakeney misses 2-pt jump shot from 11 ft (block by S. Milton),,16,30
1,0:53.0,,Defensive rebound by A. Johnson,16,30
1,0:48.0,,S. Milton misses 2-pt layup from 4 ft,16,30
1,0:46.0,Defensive rebound by Team,,16,30
1,0:46.0,W. Selden enters the game for T. Luwawu-Cabarrot,,16,30
