QUARTER,TIME_REMAINING,CHICAGO_ACTION,DALLAS_ACTION,CHICAGO_SCORE,DALLAS_SCORE
1,11:47.0,W. Carter makes 2-pt jump shot from 11 ft (assist by K. Dunn),,2,0
1,11:29.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),2,2
1,11:07.0,Z. LaVine makes 3-pt jump shot from 23 ft (assist by K. Dunn),,5,2
1,10:45.0,,D. Smith misses 2-pt layup from 2 ft (block by W. Carter),5,2
1,10:44.0,,Offensive rebound by Team,5,2
1,10:41.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft (block by B. Portis),5,2
1,10:38.0,Defensive rebound by K. Dunn,,5,2
1,10:33.0,B. Portis makes 2-pt jump shot from 4 ft,,7,2
1,10:25.0,,Personal foul by K. Dunn (drawn by L. Dončić),7,2
1,10:19.0,,L. Dončić misses 3-pt jump shot from 27 ft,7,2
1,10:17.0,Defensive rebound by K. Dunn,,7,2
1,10:09.0,K. Dunn misses 2-pt jump shot from 12 ft,,7,2
1,10:07.0,,Defensive rebound by D. Jordan,7,2
1,9:59.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by L. Dončić),7,5
1,9:42.0,K. Dunn misses 2-pt jump shot from 18 ft,,7,5
1,9:41.0,,Defensive rebound by Team,7,5
1,9:32.0,,D. Smith makes 2-pt jump shot from 16 ft,7,7
1,9:15.0,Shooting foul by D. Finney-Smith (drawn by B. Portis),,7,7
1,9:15.0,B. Portis makes free throw 1 of 2,,8,7
1,9:15.0,B. Portis makes free throw 2 of 2,,9,7
1,9:03.0,,Personal foul by Z. LaVine (drawn by L. Dončić),9,7
1,8:57.0,,D. Smith misses 3-pt jump shot from 26 ft,9,7
1,8:53.0,Defensive rebound by B. Portis,,9,7
1,8:50.0,J. Holiday misses 3-pt jump shot from 23 ft,,9,7
1,8:50.0,,Defensive rebound by D. Jordan,9,7
1,8:40.0,,L. Dončić makes 2-pt jump shot from 3 ft,9,9
1,8:31.0,Turnover by B. Portis (lost ball; steal by W. Matthews),,9,9
1,8:27.0,,L. Dončić makes 3-pt jump shot from 26 ft,9,12
1,8:06.0,K. Dunn makes 2-pt layup from 1 ft (assist by W. Carter),,11,12
1,8:04.0,,Dallas full timeout,11,12
1,7:46.0,,D. Jordan misses 2-pt layup from 2 ft,11,12
1,7:42.0,Defensive rebound by W. Carter,,11,12
1,7:33.0,W. Carter misses 2-pt layup from 2 ft (block by D. Jordan),,11,12
1,7:30.0,Offensive rebound by B. Portis,,11,12
1,7:23.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by K. Dunn),,14,12
1,6:56.0,,W. Matthews misses 3-pt jump shot from 28 ft,14,12
1,6:53.0,Defensive rebound by B. Portis,,14,12
1,6:49.0,Turnover by Z. LaVine (bad pass),,14,12
1,6:37.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),14,15
1,6:11.0,J. Holiday misses 2-pt layup from 3 ft,,14,15
1,6:09.0,Offensive rebound by W. Carter,,14,15
1,6:07.0,K. Dunn misses 3-pt jump shot from 24 ft,,14,15
1,6:07.0,,Defensive rebound by Team,14,15
1,6:07.0,R. Lopez enters the game for W. Carter,,14,15
1,5:40.0,,D. Smith misses 2-pt layup from 1 ft,14,15
1,5:36.0,,Offensive rebound by D. Jordan,14,15
1,5:36.0,,D. Jordan makes 2-pt dunk from 1 ft,14,17
1,5:17.0,R. Lopez makes 2-pt hook shot from 10 ft,,16,17
1,5:10.0,,Turnover by D. Smith (bad pass),16,17
1,4:52.0,B. Portis misses 2-pt hook shot from 7 ft,,16,17
1,4:49.0,,Defensive rebound by D. Jordan,16,17
1,4:40.0,,D. Jordan makes 2-pt hook shot from 5 ft (assist by L. Dončić),16,19
1,4:27.0,Z. LaVine makes 2-pt jump shot from 15 ft,,18,19
1,4:20.0,,Personal foul by Z. LaVine (drawn by W. Matthews),18,19
1,4:20.0,C. Hutchison enters the game for Z. LaVine,,18,19
1,4:20.0,J. Parker enters the game for B. Portis,,18,19
1,4:20.0,,J. Barea enters the game for D. Finney-Smith,18,19
1,4:20.0,,M. Kleber enters the game for D. Smith,18,19
1,4:12.0,,Offensive foul by D. Jordan (drawn by J. Holiday),18,19
1,4:12.0,,Turnover by D. Jordan (offensive foul),18,19
1,3:57.0,K. Dunn makes 2-pt jump shot from 14 ft,,20,19
1,3:46.0,,J. Barea misses 3-pt jump shot from 27 ft,20,19
1,3:43.0,Defensive rebound by C. Hutchison,,20,19
1,3:37.0,Offensive foul by K. Dunn (drawn by J. Barea),,20,19
1,3:37.0,Turnover by K. Dunn (offensive foul),,20,19
1,3:37.0,C. Payne enters the game for K. Dunn,,20,19
1,3:26.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),20,22
1,3:09.0,J. Parker misses 2-pt jump shot from 6 ft,,20,22
1,3:07.0,Offensive rebound by C. Hutchison,,20,22
1,3:04.0,Chicago full timeout,,20,22
1,3:04.0,,D. Powell enters the game for D. Jordan,20,22
1,2:59.0,J. Parker makes 2-pt jump shot from 19 ft,,22,22
1,2:37.0,,M. Kleber makes 2-pt layup from 2 ft (assist by D. Powell),22,24
1,2:29.0,Turnover by J. Holiday (bad pass; steal by D. Powell),,22,24
1,2:24.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Barea),22,27
1,2:03.0,J. Parker misses 2-pt layup from 4 ft,,22,27
1,2:00.0,Offensive rebound by J. Parker,,22,27
1,1:59.0,J. Parker makes 2-pt layup from 1 ft,,24,27
1,1:46.0,,J. Barea makes 2-pt layup from 1 ft,24,29
