QUARTER,TIME_REMAINING,MINNESOTA_ACTION,OKLAHOMA CITY_ACTION,MINNESOTA_SCORE,OKLAHOMA CITY_SCORE
1,11:32.0,A. Wiggins makes 2-pt jump shot from 20 ft,,2,0
1,11:18.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),2,3
1,11:06.0,Personal foul by P. George (drawn by A. Wiggins),,2,3
1,10:57.0,K. Towns misses 2-pt layup from 3 ft,,2,3
1,10:55.0,,Defensive rebound by J. Grant,2,3
1,10:38.0,,Personal foul by K. Towns (drawn by S. Adams),2,3
1,10:27.0,,R. Westbrook misses 2-pt layup from 2 ft,2,3
1,10:26.0,Defensive rebound by Team,,2,3
1,10:26.0,,Loose ball foul by S. Adams (drawn by K. Towns),2,3
1,10:08.0,T. Gibson misses 2-pt hook shot from 4 ft (block by T. Ferguson),,2,3
1,10:06.0,Offensive rebound by T. Gibson,,2,3
1,10:04.0,T. Gibson makes 2-pt layup from 2 ft,,4,3
1,9:50.0,,P. George misses 2-pt jump shot from 11 ft,4,3
1,9:47.0,Defensive rebound by K. Towns,,4,3
1,9:40.0,K. Towns misses 3-pt jump shot from 25 ft,,4,3
1,9:38.0,Offensive rebound by K. Towns,,4,3
1,9:33.0,J. Teague makes 3-pt jump shot from 25 ft (assist by J. Okogie),,7,3
1,9:12.0,,R. Westbrook makes 2-pt jump shot from 17 ft,7,5
1,8:58.0,T. Gibson misses 2-pt jump shot from 19 ft,,7,5
1,8:54.0,,Defensive rebound by T. Ferguson,7,5
1,8:54.0,,Personal take foul by T. Gibson (drawn by T. Ferguson),7,5
1,8:48.0,,Turnover by R. Westbrook (lost ball; steal by J. Teague),7,5
1,8:42.0,Shooting foul by T. Ferguson (drawn by J. Okogie),,7,5
1,8:42.0,J. Okogie makes free throw 1 of 2,,8,5
1,8:42.0,J. Okogie misses free throw 2 of 2,,8,5
1,8:41.0,,Defensive rebound by R. Westbrook,8,5
1,8:32.0,,R. Westbrook misses 2-pt jump shot from 4 ft,8,5
1,8:31.0,,Offensive rebound by Team,8,5
1,8:31.0,Loose ball foul by K. Towns (drawn by R. Westbrook),,8,5
1,8:31.0,G. Dieng enters the game for K. Towns,,8,5
1,8:21.0,,T. Ferguson makes 3-pt jump shot from 24 ft (assist by P. George),8,8
1,8:05.0,Personal foul by T. Ferguson (drawn by A. Wiggins),,8,8
1,8:00.0,A. Wiggins misses 2-pt layup from 4 ft,,8,8
1,7:57.0,,Defensive rebound by S. Adams,8,8
1,7:55.0,,Turnover by R. Westbrook (bad pass; steal by T. Gibson),8,8
1,7:45.0,J. Okogie misses 2-pt jump shot from 6 ft,,8,8
1,7:40.0,,Defensive rebound by S. Adams,8,8
1,7:33.0,,S. Adams makes 2-pt jump shot from 9 ft (assist by R. Westbrook),8,10
1,7:06.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),,10,10
1,6:54.0,,P. George makes 2-pt layup from 2 ft,10,12
1,6:46.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),,12,12
1,6:36.0,,T. Ferguson misses 2-pt jump shot from 22 ft,12,12
1,6:35.0,,Offensive rebound by P. George,12,12
1,6:34.0,,P. George makes 2-pt layup from 1 ft,12,14
1,6:26.0,A. Wiggins misses 2-pt layup from 1 ft (block by J. Grant),,12,14
1,6:26.0,,Defensive rebound by S. Adams,12,14
1,6:16.0,,P. George misses 2-pt jump shot from 17 ft,12,14
1,6:13.0,Defensive rebound by J. Teague,,12,14
1,6:04.0,J. Teague misses 2-pt jump shot from 12 ft,,12,14
1,6:03.0,,Defensive rebound by Team,12,14
1,6:03.0,,Oklahoma City full timeout,12,14
1,6:03.0,,D. Schröder enters the game for T. Ferguson,12,14
1,5:48.0,,R. Westbrook misses 2-pt jump shot from 11 ft,12,14
1,5:46.0,Defensive rebound by T. Gibson,,12,14
1,5:37.0,G. Dieng misses 2-pt jump shot from 19 ft,,12,14
1,5:34.0,,Defensive rebound by S. Adams,12,14
1,5:27.0,,Shooting foul by A. Wiggins (drawn by P. George),12,14
1,5:27.0,,P. George makes free throw 1 of 2,12,15
1,5:27.0,D. Šarić enters the game for T. Gibson,,12,15
1,5:27.0,,P. George makes free throw 2 of 2,12,16
1,5:23.0,A. Wiggins makes 2-pt jump shot from 13 ft (assist by J. Teague),,14,16
1,5:12.0,,Turnover by R. Westbrook (traveling),14,16
1,4:58.0,D. Šarić makes 2-pt layup from 1 ft (assist by A. Wiggins),,16,16
1,4:43.0,,Turnover by R. Westbrook (bad pass; steal by J. Teague),16,16
1,4:41.0,J. Teague makes 2-pt dunk from 1 ft,,18,16
1,4:26.0,,R. Westbrook misses 3-pt jump shot from 25 ft,18,16
1,4:23.0,Defensive rebound by A. Wiggins,,18,16
1,4:17.0,Personal foul by D. Schröder (drawn by A. Wiggins),,18,16
1,4:17.0,A. Wiggins makes free throw 1 of 2,,19,16
1,4:17.0,A. Tolliver enters the game for J. Okogie,,19,16
1,4:17.0,,Oklahoma City full timeout,19,16
1,4:17.0,A. Wiggins makes free throw 2 of 2,,20,16
1,4:00.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by R. Westbrook),20,19
1,3:35.0,A. Wiggins misses 3-pt jump shot from 26 ft,,20,19
1,3:32.0,,Defensive rebound by S. Adams,20,19
1,3:28.0,,D. Schröder misses 3-pt jump shot from 25 ft,20,19
1,3:23.0,,Offensive rebound by R. Westbrook,20,19
1,3:11.0,,D. Schröder misses 3-pt jump shot from 25 ft,20,19
1,3:08.0,Defensive rebound by A. Wiggins,,20,19
1,2:51.0,G. Dieng misses 2-pt layup from 2 ft,,20,19
1,2:47.0,Offensive rebound by D. Šarić,,20,19
1,2:47.0,D. Šarić misses 2-pt layup from 1 ft,,20,19
1,2:47.0,,Defensive rebound by S. Adams,20,19
1,2:43.0,,R. Westbrook makes 2-pt layup from 2 ft,20,21
1,2:28.0,J. Teague makes 2-pt jump shot from 8 ft,,22,21
1,2:11.0,,P. George misses 3-pt jump shot from 24 ft,22,21
1,2:07.0,Defensive rebound by A. Wiggins,,22,21
1,1:55.0,Turnover by J. Teague (lost ball; steal by J. Grant),,22,21
1,1:52.0,,Turnover by J. Grant (lost ball; steal by G. Dieng),22,21
1,1:49.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Teague),,24,21
1,1:49.0,Shooting foul by D. Schröder (drawn by D. Šarić),,24,21
1,1:49.0,T. Jones enters the game for J. Teague,,24,21
1,1:49.0,,A. Nader enters the game for J. Grant,24,21
1,1:49.0,,P. Patterson enters the game for R. Westbrook,24,21
1,1:49.0,D. Šarić misses free throw 1 of 1,,24,21
1,1:42.0,,Defensive rebound by P. Patterson,24,21
1,1:30.0,,S. Adams makes 2-pt dunk from 1 ft,24,23
1,1:08.0,Minnesota full timeout,,24,23
1,1:04.0,A. Wiggins makes 2-pt jump shot from 18 ft (assist by A. Tolliver),,26,23
1,0:44.0,,P. George misses 2-pt jump shot from 15 ft,26,23
1,0:41.0,,Offensive rebound by S. Adams,26,23
1,0:41.0,,S. Adams misses 2-pt layup from 1 ft,26,23
1,0:37.0,Defensive rebound by A. Tolliver,,26,23
1,0:26.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,29,23
1,0:08.0,Violation by Team (kicked ball),,29,23
1,0:04.0,,P. George misses 2-pt dunk at rim (block by G. Dieng),29,23
1,0:01.0,Defensive rebound by A. Tolliver,,29,23
1,0:00.0,T. Jones misses 3-pt jump shot from 25 ft,,29,23
1,0:00.0,Offensive rebound by Team,,29,23
2,11:44.0,,Shooting foul by T. Jones (drawn by D. Schröder),29,23
2,11:44.0,,D. Schröder makes free throw 1 of 2,29,24
2,11:44.0,,D. Schröder makes free throw 2 of 2,29,25
2,11:29.0,A. Wiggins misses 2-pt layup from 2 ft,,29,25
2,11:25.0,,Defensive rebound by H. Diallo,29,25
2,11:18.0,,H. Diallo makes 2-pt dunk at rim (assist by D. Schröder),29,27
2,11:03.0,A. Tolliver makes 2-pt jump shot from 19 ft (assist by T. Jones),,31,27
2,10:42.0,,D. Schröder makes 2-pt jump shot from 10 ft,31,29
2,10:29.0,K. Towns makes 2-pt layup from 1 ft,,33,29
2,10:17.0,,A. Nader misses 2-pt jump shot from 10 ft,33,29
2,10:15.0,Defensive rebound by K. Towns,,33,29
2,10:10.0,Shooting foul by A. Nader (drawn by A. Wiggins),,33,29
2,10:10.0,A. Wiggins makes free throw 1 of 2,,34,29
2,10:10.0,A. Wiggins makes free throw 2 of 2,,35,29
2,10:00.0,,A. Nader misses 2-pt jump shot from 6 ft,35,29
2,9:56.0,Defensive rebound by D. Šarić,,35,29
2,9:51.0,D. Šarić misses 3-pt jump shot from 26 ft,,35,29
2,9:48.0,Offensive rebound by K. Towns,,35,29
2,9:48.0,K. Towns makes 2-pt layup from 1 ft,,37,29
2,9:48.0,Shooting foul by N. Noel (drawn by K. Towns),,37,29
2,9:48.0,J. Okogie enters the game for A. Wiggins,,37,29
2,9:48.0,K. Towns misses free throw 1 of 1,,37,29
2,9:44.0,Offensive rebound by D. Šarić,,37,29
2,9:42.0,A. Tolliver misses 3-pt jump shot from 24 ft,,37,29
2,9:38.0,,Defensive rebound by H. Diallo,37,29
2,9:38.0,Violation by Team (kicked ball),,37,29
2,9:29.0,,D. Schröder misses 2-pt layup from 1 ft,37,29
2,9:24.0,,Offensive rebound by N. Noel,37,29
2,9:24.0,,N. Noel makes 2-pt dunk at rim,37,31
2,9:11.0,J. Okogie makes 2-pt jump shot from 2 ft (assist by T. Jones),,39,31
2,9:11.0,Shooting foul by H. Diallo (drawn by J. Okogie),,39,31
2,9:11.0,J. Okogie makes free throw 1 of 1,,40,31
2,8:59.0,,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),40,33
2,8:46.0,Personal foul by N. Noel (drawn by K. Towns),,40,33
2,8:46.0,,R. Westbrook enters the game for A. Nader,40,33
2,8:34.0,K. Towns makes 2-pt dunk from 1 ft (assist by D. Šarić),,42,33
2,8:17.0,,N. Noel misses 2-pt jump shot from 10 ft,42,33
2,8:14.0,Defensive rebound by K. Towns,,42,33
2,8:05.0,T. Jones makes 2-pt layup from 1 ft,,44,33
2,7:55.0,,H. Diallo makes 2-pt layup from 1 ft (assist by D. Schröder),44,35
2,7:55.0,,S. Adams enters the game for N. Noel,44,35
2,7:37.0,K. Towns makes 2-pt dunk at rim (assist by A. Tolliver),,46,35
2,7:25.0,,Turnover by S. Adams (lost ball),46,35
2,7:25.0,,Loose ball foul by D. Schröder (drawn by T. Jones),46,35
2,7:25.0,T. Jones makes free throw 1 of 2,,47,35
2,7:25.0,J. Teague enters the game for A. Tolliver,,47,35
2,7:25.0,,T. Ferguson enters the game for D. Schröder,47,35
2,7:25.0,T. Jones makes free throw 2 of 2,,48,35
2,7:17.0,,P. Patterson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),48,38
2,7:05.0,Offensive foul by D. Šarić (drawn by T. Ferguson),,48,38
2,7:05.0,Turnover by D. Šarić (offensive foul),,48,38
2,6:58.0,,S. Adams makes 2-pt hook shot from 9 ft (assist by R. Westbrook),48,40
2,6:43.0,K. Towns makes 2-pt hook shot from 5 ft,,50,40
2,6:35.0,,Shooting foul by K. Towns (drawn by S. Adams),50,40
2,6:35.0,,Oklahoma City full timeout,50,40
2,6:35.0,G. Dieng enters the game for D. Šarić,,50,40
2,6:35.0,T. Gibson enters the game for K. Towns,,50,40
2,6:35.0,,P. George enters the game for H. Diallo,50,40
2,6:35.0,,S. Adams makes free throw 1 of 2,50,41
