QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CHICAGO_ACTION,GOLDEN STATE_SCORE,CHICAGO_SCORE
1,11:44.0,K. Durant makes 2-pt jump shot from 16 ft (assist by D. Green),,2,0
1,11:23.0,,W. Carter misses 2-pt jump shot from 16 ft,2,0
1,11:21.0,Defensive rebound by S. Curry,,2,0
1,11:09.0,D. Green misses 3-pt jump shot from 25 ft,,2,0
1,11:06.0,,Defensive rebound by C. Payne,2,0
1,10:55.0,,Z. LaVine misses 2-pt jump shot from 12 ft,2,0
1,10:52.0,Defensive rebound by D. Green,,2,0
1,10:47.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by K. Durant),,4,0
1,10:28.0,,J. Holiday misses 3-pt jump shot from 23 ft,4,0
1,10:25.0,Defensive rebound by S. Curry,,4,0
1,10:15.0,K. Durant misses 3-pt jump shot from 25 ft,,4,0
1,10:12.0,,Defensive rebound by W. Carter,4,0
1,10:03.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),4,3
1,9:50.0,K. Thompson makes 3-pt jump shot from 22 ft,,7,3
1,9:44.0,,Personal foul by K. Thompson (drawn by Z. LaVine),7,3
1,9:37.0,,W. Carter misses 2-pt layup from 3 ft,7,3
1,9:34.0,Defensive rebound by S. Curry,,7,3
1,9:31.0,S. Curry makes 2-pt layup from 1 ft,,9,3
1,9:17.0,,C. Payne makes 2-pt jump shot from 12 ft (assist by Z. LaVine),9,5
1,9:07.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by S. Curry),,12,5
1,8:53.0,,C. Payne misses 3-pt jump shot from 25 ft,12,5
1,8:51.0,Defensive rebound by D. Green,,12,5
1,8:46.0,Personal foul by J. Holiday (drawn by K. Thompson),,12,5
1,8:40.0,K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green),,15,5
1,8:39.0,,Chicago full timeout,15,5
1,8:17.0,,Z. LaVine misses 2-pt jump shot from 10 ft,15,5
1,8:16.0,,Offensive rebound by Team,15,5
1,8:16.0,Loose ball foul by D. Jones (drawn by W. Carter),,15,5
1,8:09.0,,Turnover by C. Hutchison (lost ball; steal by S. Curry),15,5
1,8:05.0,K. Thompson misses 3-pt jump shot from 25 ft,,15,5
1,8:01.0,,Defensive rebound by C. Payne,15,5
1,7:54.0,,C. Payne misses 2-pt layup from 1 ft,15,5
1,7:51.0,,Offensive rebound by C. Payne,15,5
1,7:49.0,,W. Carter misses 3-pt jump shot from 25 ft,15,5
1,7:46.0,Defensive rebound by S. Curry,,15,5
1,7:36.0,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),,17,5
1,7:18.0,,Z. LaVine makes 2-pt layup from 1 ft,17,7
1,7:18.0,,Shooting foul by D. Jones (drawn by Z. LaVine),17,7
1,7:18.0,,J. Parker enters the game for C. Hutchison,17,7
1,7:18.0,,Z. LaVine makes free throw 1 of 1,17,8
1,7:08.0,Shooting foul by C. Payne (drawn by S. Curry),,17,8
1,7:08.0,S. Curry makes free throw 1 of 2,,18,8
1,7:08.0,S. Curry makes free throw 2 of 2,,19,8
1,6:46.0,,W. Carter misses 3-pt jump shot from 23 ft,19,8
1,6:43.0,Defensive rebound by D. Jones,,19,8
1,6:26.0,D. Green misses 2-pt jump shot from 7 ft,,19,8
1,6:24.0,Offensive rebound by Team,,19,8
1,6:19.0,Turnover by K. Thompson (lost ball; steal by Z. LaVine),,19,8
1,6:15.0,,Z. LaVine makes 2-pt layup at rim (assist by J. Holiday),19,10
1,6:09.0,S. Curry makes 3-pt jump shot from 29 ft,,22,10
1,5:53.0,,Z. LaVine makes 3-pt jump shot from 29 ft,22,13
1,5:40.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),,24,13
1,5:30.0,,J. Parker misses 2-pt jump shot from 9 ft (block by D. Green),24,13
1,5:30.0,Defensive rebound by D. Green,,24,13
1,5:21.0,D. Jones misses 2-pt layup from 1 ft (block by C. Payne),,24,13
1,5:19.0,,Defensive rebound by W. Carter,24,13
1,5:17.0,,Personal foul by S. Curry (drawn by Z. LaVine),24,13
1,5:17.0,K. Looney enters the game for D. Jones,,24,13
1,5:03.0,,Z. LaVine misses 3-pt jump shot from 27 ft,24,13
1,5:01.0,Defensive rebound by D. Green,,24,13
1,4:58.0,Shooting foul by J. Holiday (drawn by D. Green),,24,13
1,4:58.0,D. Green misses free throw 1 of 2,,24,13
1,4:58.0,Offensive rebound by Team,,24,13
1,4:58.0,,C. Hutchison enters the game for J. Holiday,24,13
