QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
1,11:46.0,E. Bledsoe misses 2-pt layup from 2 ft,,0,0
1,11:44.0,,Defensive rebound by R. Westbrook,0,0
1,11:40.0,,T. Ferguson misses 3-pt jump shot from 23 ft,0,0
1,11:37.0,Defensive rebound by G. Antetokounmpo,,0,0
1,11:28.0,B. Lopez makes 3-pt jump shot from 24 ft (assist by M. Brogdon),,3,0
1,11:09.0,,J. Grant misses 2-pt jump shot from 21 ft,3,0
1,11:06.0,Defensive rebound by E. Bledsoe,,3,0
1,10:51.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,3,0
1,10:49.0,,Defensive rebound by R. Westbrook,3,0
1,10:34.0,,Turnover by S. Adams (lost ball; steal by K. Middleton),3,0
1,10:27.0,K. Middleton makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,6,0
1,10:08.0,,P. George misses 3-pt jump shot from 25 ft,6,0
1,10:06.0,Defensive rebound by G. Antetokounmpo,,6,0
1,10:01.0,Turnover by G. Antetokounmpo (traveling),,6,0
1,9:51.0,,P. George misses 2-pt layup from 4 ft (block by B. Lopez),6,0
1,9:48.0,Defensive rebound by G. Antetokounmpo,,6,0
1,9:48.0,Shooting foul by J. Grant (drawn by G. Antetokounmpo),,6,0
1,9:48.0,G. Antetokounmpo makes free throw 1 of 2,,7,0
1,9:48.0,G. Antetokounmpo makes free throw 2 of 2,,8,0
1,9:32.0,,R. Westbrook misses 3-pt jump shot from 25 ft,8,0
1,9:27.0,,Offensive rebound by S. Adams,8,0
1,9:27.0,,S. Adams makes 2-pt layup from 1 ft,8,2
1,9:10.0,M. Brogdon misses 3-pt jump shot from 24 ft,,8,2
1,9:08.0,,Defensive rebound by S. Adams,8,2
1,9:03.0,,P. George makes 3-pt jump shot from 26 ft,8,5
1,8:55.0,Offensive foul by K. Middleton (drawn by P. George),,8,5
1,8:55.0,Turnover by K. Middleton (offensive foul),,8,5
1,8:39.0,,R. Westbrook misses 2-pt layup from 5 ft,8,5
1,8:37.0,,Offensive rebound by R. Westbrook,8,5
1,8:32.0,,R. Westbrook misses 2-pt jump shot from 16 ft,8,5
1,8:29.0,Defensive rebound by G. Antetokounmpo,,8,5
1,8:22.0,K. Middleton makes 2-pt jump shot from 15 ft,,10,5
