QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
1,11:38.0,Turnover by T. Thompson (lost ball; steal by R. Jackson),,0,0
1,11:30.0,,Turnover by R. Jackson (bad pass; steal by L. Nance),0,0
1,11:27.0,C. Osman misses 2-pt layup from 3 ft,,0,0
1,11:25.0,,Defensive rebound by R. Jackson,0,0
1,11:21.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Bullock),0,2
1,11:03.0,,Violation by Team (kicked ball),0,2
1,10:54.0,C. Sexton makes 2-pt layup from 3 ft (assist by R. Hood),,2,2
1,10:41.0,,R. Bullock makes 3-pt jump shot from 24 ft (assist by G. Robinson),2,5
1,10:27.0,R. Hood misses 2-pt hook shot from 7 ft,,2,5
1,10:25.0,Offensive rebound by R. Hood,,2,5
1,10:21.0,C. Sexton makes 2-pt jump shot from 18 ft,,4,5
1,10:10.0,,A. Drummond makes 2-pt hook shot from 8 ft,4,7
1,9:45.0,L. Nance misses 2-pt hook shot from 14 ft,,4,7
1,9:42.0,,Defensive rebound by A. Drummond,4,7
1,9:21.0,,R. Jackson misses 3-pt jump shot from 27 ft,4,7
1,9:17.0,Defensive rebound by L. Nance,,4,7
1,9:12.0,R. Hood misses 2-pt layup from 3 ft,,4,7
1,9:09.0,Offensive rebound by L. Nance,,4,7
1,9:00.0,R. Hood makes 3-pt jump shot from 24 ft,,7,7
1,8:49.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Bullock),7,9
1,8:26.0,C. Sexton makes 2-pt jump shot from 18 ft,,9,9
1,8:15.0,,G. Robinson misses 2-pt jump shot from 15 ft,9,9
1,8:13.0,,Offensive rebound by Team,9,9
1,8:02.0,,R. Jackson makes 3-pt jump shot from 30 ft (assist by B. Griffin),9,12
1,7:44.0,Personal foul by A. Drummond (drawn by T. Thompson),,9,12
1,7:36.0,T. Thompson misses 2-pt hook shot from 7 ft,,9,12
1,7:33.0,,Defensive rebound by B. Griffin,9,12
1,7:24.0,,Turnover by R. Jackson (bad pass; steal by T. Thompson),9,12
1,7:16.0,Personal foul by R. Jackson (drawn by T. Thompson),,9,12
1,7:09.0,L. Nance makes 2-pt jump shot from 13 ft (assist by C. Sexton),,11,12
1,6:55.0,,B. Griffin makes 2-pt dunk from 1 ft,11,14
1,6:30.0,C. Sexton misses 2-pt jump shot from 21 ft,,11,14
1,6:26.0,Offensive rebound by T. Thompson,,11,14
1,6:25.0,L. Nance makes 2-pt layup from 1 ft (assist by T. Thompson),,13,14
1,6:21.0,,Detroit full timeout,13,14
1,6:08.0,,R. Jackson makes 2-pt layup from 1 ft (assist by A. Drummond),13,16
1,5:54.0,C. Osman misses 2-pt jump shot from 18 ft,,13,16
1,5:50.0,,Defensive rebound by A. Drummond,13,16
1,5:44.0,,B. Griffin makes 2-pt layup from 3 ft,13,18
1,5:44.0,,Shooting foul by L. Nance (drawn by B. Griffin),13,18
1,5:44.0,,I. Smith enters the game for R. Jackson,13,18
1,5:44.0,,B. Griffin makes free throw 1 of 1,13,19
1,5:26.0,C. Osman misses 3-pt jump shot from 22 ft,,13,19
1,5:22.0,,Defensive rebound by B. Griffin,13,19
1,5:20.0,Clear path foul by A. Drummond,,13,19
1,5:20.0,,A. Drummond makes clear path free throw 1 of 2,13,20
1,5:20.0,J. Clarkson enters the game for C. Osman,,13,20
1,5:20.0,,A. Drummond makes clear path free throw 2 of 2,13,21
1,5:00.0,,B. Griffin misses 2-pt hook shot from 10 ft,13,21
1,4:53.0,Defensive rebound by L. Nance,,13,21
1,4:46.0,R. Hood makes 2-pt jump shot from 15 ft,,15,21
1,4:30.0,,Shooting foul by J. Clarkson (drawn by R. Bullock),15,21
1,4:30.0,,R. Bullock misses free throw 1 of 3,15,21
1,4:30.0,,Offensive rebound by Team,15,21
1,4:30.0,,R. Bullock makes free throw 2 of 3,15,22
1,4:30.0,,L. Galloway enters the game for G. Robinson,15,22
1,4:30.0,,R. Bullock makes free throw 3 of 3,15,23
1,4:16.0,C. Sexton misses 2-pt jump shot from 20 ft,,15,23
1,4:12.0,,Defensive rebound by A. Drummond,15,23
1,4:02.0,,I. Smith makes 2-pt layup from 2 ft,15,25
1,3:51.0,T. Thompson makes 2-pt hook shot from 10 ft (assist by C. Sexton),,17,25
1,3:38.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by I. Smith),17,27
1,3:19.0,Turnover by J. Clarkson (bad pass),,17,27
1,3:19.0,J. Smith enters the game for R. Hood,,17,27
1,3:19.0,,S. Johnson enters the game for B. Griffin,17,27
1,3:02.0,,I. Smith makes 2-pt layup from 1 ft,17,29
1,2:53.0,Cleveland full timeout,,17,29
1,2:53.0,A. Harrison enters the game for L. Nance,,17,29
1,2:53.0,D. Nwaba enters the game for C. Sexton,,17,29
1,2:53.0,,K. Thomas enters the game for R. Bullock,17,29
1,2:45.0,J. Clarkson makes 2-pt jump shot from 18 ft,,19,29
1,2:45.0,Shooting foul by L. Galloway (drawn by J. Clarkson),,19,29
1,2:45.0,J. Clarkson misses free throw 1 of 1,,19,29
1,2:45.0,Offensive rebound by J. Clarkson,,19,29
1,2:33.0,J. Smith makes 2-pt layup from 8 ft,,21,29
1,2:15.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by S. Johnson),21,32
1,1:54.0,J. Clarkson makes 2-pt jump shot from 15 ft,,23,32
1,1:35.0,,L. Galloway makes 3-pt jump shot from 23 ft (assist by K. Thomas),23,35
1,1:27.0,Personal foul by I. Smith (drawn by T. Thompson),,23,35
1,1:27.0,A. Žižić enters the game for T. Thompson,,23,35
1,1:20.0,A. Harrison misses 2-pt jump shot from 16 ft,,23,35
1,1:17.0,,Defensive rebound by A. Drummond,23,35
1,1:03.0,,A. Drummond makes 2-pt hook shot from 8 ft,23,37
1,1:03.0,,Shooting foul by A. Žižić (drawn by A. Drummond),23,37
1,1:03.0,,A. Drummond makes free throw 1 of 1,23,38
1,0:49.0,J. Clarkson makes 2-pt jump shot from 16 ft,,25,38
1,0:39.0,,L. Galloway misses 2-pt jump shot from 13 ft,25,38
1,0:36.0,Defensive rebound by J. Clarkson,,25,38
1,0:30.0,D. Nwaba makes 2-pt layup from 2 ft (assist by J. Clarkson),,27,38
1,0:10.0,,I. Smith misses 3-pt jump shot from 24 ft,27,38
1,0:07.0,Defensive rebound by A. Žižić,,27,38
1,0:00.0,D. Nwaba misses 2-pt layup from 4 ft,,27,38
1,0:00.0,Offensive rebound by D. Nwaba,,27,38
2,11:42.0,,L. Galloway misses 3-pt jump shot from 26 ft,27,38
2,11:40.0,Defensive rebound by Team,,27,38
2,11:23.0,J. Smith misses 2-pt jump shot from 18 ft,,27,38
2,11:20.0,,Defensive rebound by I. Smith,27,38
2,11:13.0,,B. Griffin misses 3-pt jump shot from 27 ft,27,38
2,11:08.0,Defensive rebound by A. Harrison,,27,38
2,11:01.0,J. Smith misses 2-pt jump shot from 20 ft,,27,38
2,11:00.0,,Defensive rebound by I. Smith,27,38
2,10:54.0,,Personal foul by J. Smith (drawn by Z. Pachulia),27,38
2,10:50.0,,Personal foul by D. Nwaba (drawn by B. Griffin),27,38
2,10:48.0,,Personal foul by D. Nwaba (drawn by B. Griffin),27,38
2,10:37.0,,L. Galloway misses 3-pt jump shot from 27 ft,27,38
2,10:34.0,,Offensive rebound by B. Griffin,27,38
2,10:30.0,,L. Galloway misses 3-pt jump shot from 27 ft,27,38
2,10:29.0,Defensive rebound by Team,,27,38
2,10:29.0,,Loose ball foul by Z. Pachulia (drawn by A. Žižić),27,38
2,10:17.0,Personal foul by I. Smith (drawn by A. Harrison),,27,38
2,10:15.0,J. Smith misses 3-pt jump shot from 25 ft,,27,38
2,10:11.0,,Defensive rebound by S. Johnson,27,38
2,10:06.0,,Personal foul by A. Harrison (drawn by L. Galloway),27,38
2,9:50.0,,Z. Pachulia misses 2-pt jump shot from 8 ft,27,38
2,9:48.0,Defensive rebound by A. Žižić,,27,38
2,9:45.0,Turnover by J. Clarkson (bad pass),,27,38
2,9:27.0,,Personal foul by D. Nwaba (drawn by Z. Pachulia),27,38
2,9:27.0,,Z. Pachulia makes free throw 1 of 2,27,39
2,9:27.0,L. Nance enters the game for D. Nwaba,,27,39
2,9:27.0,C. Osman enters the game for J. Smith,,27,39
2,9:27.0,,Z. Pachulia makes free throw 2 of 2,27,40
2,9:09.0,A. Žižić misses 2-pt layup from 4 ft (block by B. Griffin),,27,40
2,9:08.0,,Defensive rebound by S. Johnson,27,40
2,9:04.0,,S. Johnson makes 2-pt layup from 2 ft,27,42
2,8:48.0,A. Harrison misses 3-pt jump shot from 24 ft,,27,42
2,8:43.0,Offensive rebound by L. Nance,,27,42
2,8:41.0,J. Clarkson misses 2-pt jump shot from 17 ft,,27,42
2,8:38.0,,Defensive rebound by B. Griffin,27,42
2,8:35.0,,Shooting foul by C. Osman (drawn by S. Johnson),27,42
2,8:35.0,,S. Johnson makes free throw 1 of 2,27,43
2,8:35.0,K. Korver enters the game for A. Harrison,,27,43
2,8:35.0,,R. Bullock enters the game for L. Galloway,27,43
2,8:35.0,,S. Johnson makes free throw 2 of 2,27,44
2,8:12.0,J. Clarkson misses 2-pt jump shot from 17 ft,,27,44
2,8:09.0,,Defensive rebound by Z. Pachulia,27,44
2,8:01.0,,Z. Pachulia misses 2-pt hook shot from 7 ft,27,44
2,7:59.0,Defensive rebound by C. Osman,,27,44
2,7:50.0,Offensive foul by L. Nance (drawn by I. Smith),,27,44
2,7:50.0,Turnover by L. Nance (offensive foul),,27,44
2,7:50.0,R. Hood enters the game for J. Clarkson,,27,44
2,7:50.0,T. Thompson enters the game for A. Žižić,,27,44
2,7:34.0,,B. Griffin makes 2-pt layup from 1 ft (assist by S. Johnson),27,46
2,7:12.0,K. Korver misses 2-pt jump shot from 16 ft,,27,46
2,7:09.0,,Defensive rebound by S. Johnson,27,46
2,7:07.0,,S. Johnson makes 2-pt layup from 1 ft,27,48
2,7:07.0,,Shooting foul by L. Nance (drawn by S. Johnson),27,48
2,7:07.0,,S. Johnson makes free throw 1 of 1,27,49
2,6:59.0,K. Korver makes 3-pt jump shot from 25 ft (assist by C. Osman),,30,49
2,6:39.0,,I. Smith makes 2-pt layup from 3 ft (assist by B. Griffin),30,51
2,6:31.0,Cleveland full timeout,,30,51
2,6:31.0,C. Sexton enters the game for L. Nance,,30,51
2,6:31.0,,A. Drummond enters the game for S. Johnson,30,51
2,6:31.0,,R. Jackson enters the game for Z. Pachulia,30,51
2,6:31.0,,G. Robinson enters the game for I. Smith,30,51
2,6:21.0,C. Osman makes 2-pt layup from 2 ft,,32,51
2,6:21.0,Shooting foul by G. Robinson (drawn by C. Osman),,32,51
2,6:21.0,C. Osman makes free throw 1 of 1,,33,51
2,6:03.0,,A. Drummond misses 3-pt jump shot from 23 ft,33,51
2,6:00.0,Defensive rebound by K. Korver,,33,51
2,5:54.0,R. Hood misses 3-pt jump shot from 27 ft,,33,51
2,5:51.0,Offensive rebound by T. Thompson,,33,51
2,5:44.0,R. Hood makes 3-pt jump shot from 25 ft (assist by C. Sexton),,36,51
2,5:17.0,,A. Drummond misses 2-pt layup from 8 ft,36,51
2,5:15.0,Defensive rebound by K. Korver,,36,51
2,5:10.0,R. Hood misses 2-pt layup from 9 ft,,36,51
2,5:07.0,,Defensive rebound by B. Griffin,36,51
2,5:03.0,,Turnover by B. Griffin (bad pass; steal by C. Osman),36,51
2,5:01.0,Shooting foul by R. Jackson (drawn by C. Osman),,36,51
2,5:01.0,C. Osman misses free throw 1 of 2,,36,51
2,5:01.0,Offensive rebound by Team,,36,51
2,5:01.0,C. Osman makes free throw 2 of 2,,37,51
2,4:50.0,,G. Robinson makes 2-pt jump shot from 15 ft,37,53
2,4:46.0,Personal foul by B. Griffin (drawn by C. Sexton),,37,53
2,4:46.0,C. Sexton makes free throw 1 of 2,,38,53
2,4:46.0,C. Sexton makes free throw 2 of 2,,39,53
2,4:35.0,,R. Jackson makes 3-pt jump shot from 24 ft (assist by B. Griffin),39,56
2,4:15.0,C. Sexton makes 3-pt jump shot from 24 ft (assist by C. Osman),,42,56
2,4:01.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by G. Robinson),42,59
2,3:51.0,K. Korver misses 3-pt jump shot from 25 ft,,42,59
2,3:48.0,,Defensive rebound by A. Drummond,42,59
2,3:36.0,,R. Bullock misses 3-pt jump shot from 22 ft,42,59
2,3:33.0,Defensive rebound by T. Thompson,,42,59
2,3:25.0,Turnover by R. Hood (bad pass; steal by R. Jackson),,42,59
2,3:21.0,,R. Bullock makes 2-pt layup from 2 ft (assist by R. Jackson),42,61
2,3:10.0,Personal foul by R. Jackson (drawn by C. Sexton),,42,61
2,3:10.0,C. Sexton makes free throw 1 of 2,,43,61
2,3:10.0,C. Sexton misses free throw 2 of 2,,43,61
2,3:08.0,,Defensive rebound by B. Griffin,43,61
2,3:04.0,,Detroit full timeout,43,61
2,3:04.0,,L. Galloway enters the game for R. Jackson,43,61
2,3:04.0,,I. Smith enters the game for G. Robinson,43,61
2,2:51.0,,R. Bullock misses 3-pt jump shot from 25 ft,43,61
2,2:48.0,Defensive rebound by C. Osman,,43,61
