QUARTER,TIME_REMAINING,UTAH_ACTION,LA LAKERS_ACTION,UTAH_SCORE,LA LAKERS_SCORE
1,4:03.0,,Defensive rebound by L. James,8,19
1,3:58.0,,L. James misses 2-pt jump shot from 20 ft,8,19
1,3:54.0,Defensive rebound by J. Ingles,,8,19
1,3:49.0,A. Burks misses 3-pt jump shot from 24 ft,,8,19
1,3:47.0,,Defensive rebound by K. Kuzma,8,19
1,3:42.0,,L. Ball misses 2-pt layup from 2 ft,8,19
1,3:40.0,Defensive rebound by R. Gobert,,8,19
1,3:36.0,J. Crowder misses 2-pt layup from 3 ft (block by L. Ball),,8,19
1,3:36.0,Offensive rebound by Team,,8,19
1,3:36.0,D. Exum enters the game for R. Rubio,,8,19
1,3:36.0,,K. Caldwell-Pope enters the game for B. Ingram,8,19
1,3:29.0,J. Ingles misses 2-pt layup from 4 ft,,8,19
1,3:24.0,Offensive rebound by J. Ingles,,8,19
1,3:24.0,J. Ingles makes 2-pt layup from 1 ft,,10,19
1,3:08.0,,L. James misses 2-pt layup from 2 ft,10,19
1,3:05.0,Defensive rebound by R. Gobert,,10,19
1,2:58.0,J. Ingles makes 2-pt layup from 2 ft,,12,19
1,2:58.0,,LA Lakers full timeout,12,19
1,2:58.0,D. Favors enters the game for A. Burks,,12,19
1,2:58.0,D. Mitchell enters the game for R. Gobert,,12,19
1,2:58.0,R. O'Neale enters the game for J. Ingles,,12,19
1,2:58.0,,J. Hart enters the game for L. Ball,12,19
1,2:58.0,,B. Ingram enters the game for L. James,12,19
1,2:58.0,,L. Stephenson enters the game for K. Kuzma,12,19
1,2:45.0,,Personal foul by D. Exum (drawn by B. Ingram),12,19
1,2:40.0,,Turnover by L. Stephenson (bad pass; steal by J. Crowder),12,19
1,2:34.0,D. Mitchell misses 3-pt jump shot from 26 ft,,12,19
1,2:31.0,,Defensive rebound by J. Hart,12,19
1,2:19.0,,B. Ingram misses 2-pt jump shot from 10 ft,12,19
1,2:15.0,Defensive rebound by R. O'Neale,,12,19
1,2:08.0,Turnover by R. O'Neale (bad pass; steal by B. Ingram),,12,19
1,2:05.0,,Shooting foul by D. Exum (drawn by B. Ingram),12,19
1,2:05.0,,B. Ingram makes free throw 1 of 2,12,20
1,2:05.0,,B. Ingram misses free throw 2 of 2,12,20
1,2:02.0,,Offensive rebound by K. Caldwell-Pope,12,20
1,1:59.0,,J. Hart misses 3-pt jump shot from 23 ft,12,20
1,1:54.0,Defensive rebound by D. Mitchell,,12,20
1,1:46.0,D. Mitchell makes 2-pt jump shot from 16 ft,,14,20
1,1:23.0,,L. Stephenson misses 3-pt jump shot from 22 ft,14,20
1,1:20.0,Defensive rebound by D. Favors,,14,20
1,1:15.0,R. O'Neale misses 3-pt jump shot from 24 ft,,14,20
1,1:10.0,Offensive rebound by D. Exum,,14,20
1,1:04.0,D. Exum makes 2-pt hook shot from 6 ft (assist by D. Mitchell),,16,20
1,0:51.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,16,20
1,0:48.0,Defensive rebound by D. Mitchell,,16,20
1,0:37.0,D. Mitchell misses 3-pt jump shot from 27 ft,,16,20
1,0:33.0,,Defensive rebound by B. Ingram,16,20
1,0:15.0,,B. Ingram makes 2-pt dunk from 1 ft,16,22
