QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
1,11:37.0,J. Nurkić misses 2-pt hook shot from 6 ft,,0,0
1,11:35.0,,Defensive rebound by D. White,0,0
1,11:27.0,,B. Forbes misses 3-pt jump shot from 24 ft,0,0
1,11:23.0,Defensive rebound by D. Lillard,,0,0
1,11:11.0,J. Nurkić misses 2-pt jump shot from 6 ft,,0,0
1,11:08.0,Offensive rebound by M. Harkless,,0,0
1,11:06.0,C. McCollum misses 3-pt jump shot from 26 ft,,0,0
1,11:02.0,,Defensive rebound by L. Aldridge,0,0
1,10:38.0,,L. Aldridge makes 2-pt jump shot from 14 ft (assist by D. DeRozan),0,2
1,10:22.0,J. Nurkić makes 2-pt jump shot from 19 ft (assist by A. Aminu),,2,2
1,10:10.0,,Shooting foul by D. Lillard (drawn by D. DeRozan),2,2
1,10:10.0,,D. DeRozan makes free throw 1 of 2,2,3
1,10:10.0,,D. DeRozan makes free throw 2 of 2,2,4
1,9:52.0,Shooting foul by J. Poeltl (drawn by J. Nurkić),,2,4
1,9:52.0,J. Nurkić makes free throw 1 of 2,,3,4
1,9:52.0,J. Nurkić makes free throw 2 of 2,,4,4
1,9:28.0,,J. Poeltl misses 2-pt layup from 2 ft,4,4
1,9:26.0,Defensive rebound by A. Aminu,,4,4
1,9:15.0,A. Aminu makes 2-pt jump shot from 4 ft (assist by C. McCollum),,6,4
1,9:02.0,,D. DeRozan misses 2-pt jump shot from 18 ft,6,4
1,9:00.0,Defensive rebound by J. Nurkić,,6,4
1,8:51.0,M. Harkless makes 2-pt layup at rim (assist by D. Lillard),,8,4
1,8:51.0,Shooting foul by D. White (drawn by M. Harkless),,8,4
1,8:51.0,M. Harkless makes free throw 1 of 1,,9,4
1,8:31.0,,B. Forbes misses 2-pt jump shot from 13 ft,9,4
1,8:29.0,Defensive rebound by A. Aminu,,9,4
1,8:17.0,D. Lillard misses 2-pt jump shot from 8 ft,,9,4
1,8:16.0,,Defensive rebound by L. Aldridge,9,4
1,7:53.0,,B. Forbes misses 2-pt layup from 4 ft,9,4
1,7:51.0,Defensive rebound by J. Nurkić,,9,4
1,7:45.0,C. McCollum misses 2-pt jump shot from 8 ft,,9,4
1,7:43.0,,Defensive rebound by L. Aldridge,9,4
1,7:23.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. White),9,6
1,7:05.0,D. Lillard misses 3-pt jump shot from 24 ft,,9,6
1,7:05.0,,Defensive rebound by J. Poeltl,9,6
1,6:53.0,,L. Aldridge misses 2-pt jump shot from 18 ft,9,6
1,6:51.0,,Offensive rebound by J. Poeltl,9,6
1,6:48.0,,J. Poeltl misses 2-pt layup from 1 ft,9,6
1,6:45.0,Defensive rebound by A. Aminu,,9,6
1,6:41.0,D. Lillard misses 3-pt jump shot from 29 ft,,9,6
1,6:37.0,,Defensive rebound by D. DeRozan,9,6
1,6:21.0,,L. Aldridge makes 2-pt jump shot from 20 ft (assist by D. White),9,8
1,6:02.0,A. Aminu misses 3-pt jump shot from 26 ft,,9,8
1,5:59.0,,Defensive rebound by B. Forbes,9,8
1,5:51.0,,L. Aldridge makes 2-pt jump shot from 14 ft,9,10
1,5:51.0,,Shooting foul by A. Aminu (drawn by L. Aldridge),9,10
1,5:51.0,,San Antonio full timeout,9,10
1,5:51.0,,R. Gay enters the game for J. Poeltl,9,10
1,5:51.0,,L. Aldridge makes free throw 1 of 1,9,11
1,5:38.0,C. McCollum makes 2-pt jump shot from 16 ft (assist by D. Lillard),,11,11
1,5:26.0,,Personal foul by D. Lillard (drawn by D. White),11,11
1,5:26.0,,M. Belinelli enters the game for B. Forbes,11,11
1,5:16.0,,D. DeRozan makes 2-pt jump shot from 14 ft,11,13
1,5:04.0,C. McCollum misses 2-pt jump shot from 17 ft,,11,13
1,5:01.0,,Defensive rebound by L. Aldridge,11,13
1,4:56.0,,Shooting foul by M. Harkless (drawn by D. DeRozan),11,13
1,4:56.0,,D. DeRozan makes free throw 1 of 2,11,14
1,4:56.0,,D. DeRozan makes free throw 2 of 2,11,15
1,4:37.0,M. Harkless makes 2-pt layup from 2 ft (assist by A. Aminu),,13,15
1,4:37.0,R. Hood enters the game for A. Aminu,,13,15
1,4:37.0,E. Turner enters the game for M. Harkless,,13,15
1,4:37.0,,P. Mills enters the game for D. White,13,15
1,4:16.0,,Turnover by R. Gay (bad pass; steal by J. Nurkić),13,15
1,4:11.0,D. Lillard misses 3-pt jump shot from 25 ft,,13,15
1,4:07.0,,Defensive rebound by P. Mills,13,15
1,3:54.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by P. Mills),13,17
1,3:37.0,D. Lillard misses 3-pt jump shot from 27 ft,,13,17
