QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
1,11:44.0,B. Bogdanović makes 2-pt jump shot from 9 ft (assist by M. Turner),,2,0
1,11:30.0,,N. Jokić makes 2-pt layup from 3 ft (assist by J. Murray),2,2
1,11:17.0,M. Turner makes 2-pt jump shot from 13 ft (assist by D. Collison),,4,2
1,11:00.0,,G. Harris misses 2-pt jump shot from 16 ft,4,2
1,10:58.0,Defensive rebound by D. Collison,,4,2
1,10:53.0,D. Collison misses 2-pt jump shot from 23 ft,,4,2
1,10:50.0,,Defensive rebound by P. Millsap,4,2
1,10:39.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),4,5
1,10:23.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Collison),,7,5
1,10:06.0,,W. Barton misses 3-pt jump shot from 25 ft,7,5
1,10:03.0,Defensive rebound by B. Bogdanović,,7,5
1,9:56.0,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,10,5
1,9:44.0,,J. Murray makes 2-pt jump shot from 8 ft,10,7
1,9:30.0,M. Turner misses 2-pt jump shot from 18 ft,,10,7
1,9:28.0,,Defensive rebound by P. Millsap,10,7
1,9:23.0,,Turnover by J. Murray (bad pass; steal by D. Collison),10,7
1,9:17.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by W. Matthews),,12,7
1,9:17.0,,Denver full timeout,12,7
1,9:01.0,,P. Millsap misses 3-pt jump shot from 25 ft,12,7
1,8:57.0,Defensive rebound by M. Turner,,12,7
1,8:45.0,M. Turner misses 2-pt jump shot from 14 ft,,12,7
1,8:42.0,Offensive rebound by T. Young,,12,7
1,8:41.0,T. Young makes 2-pt layup from 2 ft,,14,7
1,8:19.0,,P. Millsap misses 2-pt layup from 2 ft (block by W. Matthews),14,7
1,8:19.0,Defensive rebound by M. Turner,,14,7
1,8:04.0,D. Collison makes 3-pt jump shot from 24 ft (assist by W. Matthews),,17,7
