QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
1,11:46.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by L. James),0,3
1,11:28.0,D. DeRozan makes 2-pt layup from 2 ft,,2,3
1,11:11.0,,L. James misses 2-pt layup from 3 ft,2,3
1,11:08.0,Defensive rebound by D. Cunningham,,2,3
1,10:55.0,D. Cunningham makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,5,3
1,10:39.0,,Personal foul by L. Aldridge (drawn by J. McGee),5,3
1,10:31.0,,K. Kuzma makes 2-pt hook shot from 6 ft (assist by L. Ball),5,5
1,10:17.0,D. DeRozan makes 2-pt jump shot from 22 ft,,7,5
1,10:00.0,,K. Kuzma misses 2-pt jump shot from 16 ft,7,5
1,9:57.0,Defensive rebound by L. Aldridge,,7,5
1,9:47.0,L. Aldridge makes 2-pt jump shot from 23 ft (assist by B. Forbes),,9,5
1,9:31.0,,L. James misses 2-pt layup from 2 ft,9,5
1,9:28.0,Defensive rebound by D. Cunningham,,9,5
1,9:22.0,L. Aldridge misses 2-pt jump shot from 21 ft,,9,5
1,9:19.0,,Defensive rebound by K. Caldwell-Pope,9,5
1,9:13.0,,Turnover by K. Kuzma (lost ball; steal by D. Cunningham),9,5
1,9:11.0,Turnover by R. Gay (bad pass),,9,5
1,9:00.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,9,5
1,8:58.0,Defensive rebound by D. DeRozan,,9,5
1,8:50.0,D. DeRozan makes 2-pt jump shot from 10 ft,,11,5
1,8:30.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),11,7
1,8:30.0,,Shooting foul by L. Aldridge (drawn by J. McGee),11,7
1,8:30.0,,J. McGee misses free throw 1 of 1,11,7
1,8:30.0,Defensive rebound by D. Cunningham,,11,7
1,8:08.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Cunningham),,14,7
1,7:58.0,,L. Ball misses 3-pt jump shot from 26 ft,14,7
1,7:55.0,Defensive rebound by D. Cunningham,,14,7
1,7:46.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),,16,7
1,7:32.0,,L. James misses 3-pt jump shot from 25 ft,16,7
1,7:29.0,Defensive rebound by B. Forbes,,16,7
1,7:21.0,Turnover by L. Aldridge (bad pass),,16,7
1,7:12.0,,J. McGee misses 2-pt jump shot from 13 ft,16,7
1,7:09.0,Defensive rebound by L. Aldridge,,16,7
1,6:50.0,R. Gay makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,18,7
1,6:49.0,,LA Lakers full timeout,18,7
1,6:36.0,,L. Ball misses 3-pt jump shot from 24 ft,18,7
1,6:34.0,Defensive rebound by Team,,18,7
1,6:16.0,R. Gay makes 2-pt jump shot from 8 ft,,20,7
1,6:05.0,,L. James misses 3-pt jump shot from 26 ft,20,7
1,6:02.0,Defensive rebound by R. Gay,,20,7
1,5:55.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by R. Gay),,22,7
1,5:43.0,,J. McGee misses 2-pt hook shot from 5 ft,22,7
1,5:39.0,Defensive rebound by B. Forbes,,22,7
1,5:36.0,Personal foul by K. Caldwell-Pope (drawn by D. DeRozan),,22,7
1,5:36.0,,M. Beasley enters the game for K. Kuzma,22,7
1,5:36.0,,J. Hart enters the game for J. McGee,22,7
1,5:26.0,D. DeRozan makes 2-pt jump shot from 19 ft,,24,7
1,5:12.0,,L. Ball makes 2-pt layup from 3 ft,24,9
1,4:57.0,Turnover by R. Gay (bad pass; steal by L. James),,24,9
1,4:53.0,,K. Caldwell-Pope makes 2-pt dunk from 2 ft (assist by L. James),24,11
1,4:41.0,B. Forbes misses 2-pt layup from 3 ft,,24,11
1,4:38.0,,Defensive rebound by L. James,24,11
1,4:35.0,,J. Hart makes 2-pt layup from 2 ft (assist by L. James),24,13
1,4:35.0,San Antonio full timeout,,24,13
1,4:35.0,M. Belinelli enters the game for L. Aldridge,,24,13
1,4:35.0,P. Gasol enters the game for B. Forbes,,24,13
1,4:35.0,P. Mills enters the game for R. Gay,,24,13
