QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
1,11:42.0,,J. Nurkić misses 2-pt hook shot from 3 ft,0,0
1,11:39.0,,Offensive rebound by J. Nurkić,0,0
1,11:38.0,,J. Nurkić makes 2-pt hook shot from 6 ft,0,2
1,11:16.0,Turnover by J. Isaac (out of bounds lost ball),,0,2
1,11:00.0,,C. McCollum makes 2-pt layup at rim,0,4
1,10:44.0,Shooting foul by C. McCollum (drawn by D. Augustin),,0,4
1,10:44.0,D. Augustin makes free throw 1 of 2,,1,4
1,10:44.0,D. Augustin makes free throw 2 of 2,,2,4
1,10:34.0,,C. McCollum makes 2-pt jump shot from 14 ft (assist by J. Nurkić),2,6
1,10:16.0,N. Vučević makes 2-pt layup from 2 ft (assist by J. Isaac),,4,6
1,10:00.0,,M. Harkless misses 2-pt layup from 1 ft,4,6
1,9:58.0,Defensive rebound by J. Isaac,,4,6
1,9:49.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,7,6
1,9:36.0,,C. McCollum makes 2-pt jump shot from 18 ft,7,8
1,9:25.0,,Violation by Team (kicked ball),7,8
1,9:12.0,J. Simmons misses 3-pt jump shot from 27 ft,,7,8
1,9:09.0,,Defensive rebound by J. Nurkić,7,8
1,9:01.0,,Shooting foul by E. Fournier (drawn by C. McCollum),7,8
1,9:01.0,,C. McCollum makes free throw 1 of 2,7,9
1,9:01.0,,C. McCollum makes free throw 2 of 2,7,10
1,8:44.0,J. Isaac misses 2-pt jump shot from 14 ft,,7,10
1,8:42.0,,Defensive rebound by J. Nurkić,7,10
1,8:26.0,,J. Nurkić misses 2-pt hook shot from 8 ft,7,10
1,8:25.0,Defensive rebound by J. Isaac,,7,10
1,8:15.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),,10,10
1,7:54.0,,J. Nurkić makes 2-pt layup from 3 ft (assist by D. Lillard),10,12
1,7:37.0,E. Fournier misses 3-pt jump shot from 26 ft,,10,12
1,7:36.0,,Defensive rebound by Team,10,12
1,7:23.0,,M. Harkless misses 3-pt jump shot from 23 ft,10,12
1,7:20.0,,Offensive rebound by J. Nurkić,10,12
1,7:18.0,,M. Harkless misses 2-pt jump shot from 4 ft,10,12
1,7:16.0,,Offensive rebound by J. Nurkić,10,12
1,7:16.0,,Shooting foul by N. Vučević (drawn by J. Nurkić),10,12
1,7:16.0,,J. Nurkić makes free throw 1 of 2,10,13
1,7:16.0,,J. Nurkić makes free throw 2 of 2,10,14
1,6:57.0,N. Vučević makes 2-pt jump shot from 20 ft (assist by D. Augustin),,12,14
1,6:36.0,,Shooting foul by E. Fournier (drawn by A. Aminu),12,14
1,6:36.0,,Portland full timeout,12,14
1,6:36.0,Technical foul by E. Fournier,,12,14
1,6:36.0,W. Iwundu enters the game for E. Fournier,,12,14
1,6:36.0,,D. Lillard makes technical free throw,12,15
1,6:36.0,,A. Aminu makes free throw 1 of 2,12,16
1,6:36.0,,A. Aminu makes free throw 2 of 2,12,17
1,6:21.0,Personal foul by D. Lillard (drawn by D. Augustin),,12,17
1,6:14.0,N. Vučević makes 2-pt layup from 2 ft (assist by J. Simmons),,14,17
1,5:57.0,,M. Harkless makes 2-pt layup from 3 ft (assist by J. Nurkić),14,19
1,5:36.0,D. Augustin misses 2-pt layup from 1 ft,,14,19
1,5:31.0,,Defensive rebound by J. Nurkić,14,19
1,5:29.0,,A. Aminu misses 3-pt jump shot from 24 ft,14,19
1,5:27.0,,Offensive rebound by J. Nurkić,14,19
1,5:26.0,,J. Nurkić misses 2-pt hook shot from 4 ft,14,19
1,5:24.0,Defensive rebound by N. Vučević,,14,19
1,5:06.0,N. Vučević makes 2-pt layup from 1 ft (assist by D. Augustin),,16,19
1,4:47.0,,Turnover by C. McCollum (traveling),16,19
1,4:47.0,J. Grant enters the game for D. Augustin,,16,19
1,4:47.0,J. Martin enters the game for J. Isaac,,16,19
1,4:47.0,,E. Turner enters the game for M. Harkless,16,19
1,4:31.0,J. Grant misses 2-pt jump shot from 14 ft,,16,19
1,4:29.0,,Defensive rebound by D. Lillard,16,19
1,4:25.0,,D. Lillard makes 2-pt layup from 1 ft,16,21
1,4:10.0,Turnover by J. Simmons (lost ball; steal by C. McCollum),,16,21
1,4:06.0,,C. McCollum misses 2-pt layup from 1 ft,16,21
1,4:04.0,Defensive rebound by W. Iwundu,,16,21
1,3:53.0,Turnover by J. Simmons (lost ball; steal by A. Aminu),,16,21
1,3:48.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by C. McCollum),16,24
1,3:24.0,J. Simmons makes 3-pt jump shot from 25 ft (assist by N. Vučević),,19,24
1,3:08.0,,D. Lillard makes 3-pt jump shot from 26 ft (assist by A. Aminu),19,27
1,3:01.0,Orlando full timeout,,19,27
1,3:01.0,T. Ross enters the game for J. Simmons,,19,27
1,3:01.0,,Z. Collins enters the game for A. Aminu,19,27
1,3:01.0,,M. Leonard enters the game for J. Nurkić,19,27
1,2:55.0,N. Vučević misses 2-pt jump shot from 13 ft,,19,27
1,2:53.0,,Defensive rebound by D. Lillard,19,27
1,2:38.0,,C. McCollum misses 3-pt jump shot from 26 ft,19,27
1,2:36.0,Defensive rebound by N. Vučević,,19,27
1,2:29.0,T. Ross makes 2-pt jump shot from 18 ft (assist by N. Vučević),,21,27
1,2:03.0,,Z. Collins misses 2-pt jump shot from 17 ft,21,27
1,2:00.0,Defensive rebound by N. Vučević,,21,27
1,1:53.0,T. Ross misses 3-pt jump shot from 26 ft,,21,27
1,1:52.0,,Defensive rebound by D. Lillard,21,27
1,1:47.0,,C. McCollum misses 2-pt layup at rim,21,27
1,1:45.0,Defensive rebound by N. Vučević,,21,27
1,1:39.0,W. Iwundu misses 2-pt layup from 1 ft,,21,27
1,1:37.0,,Defensive rebound by C. McCollum,21,27
1,1:31.0,,Personal foul by J. Grant (drawn by D. Lillard),21,27
1,1:31.0,M. Bamba enters the game for N. Vučević,,21,27
1,1:31.0,,S. Curry enters the game for D. Lillard,21,27
1,1:31.0,,N. Stauskas enters the game for C. McCollum,21,27
1,1:17.0,,Z. Collins makes 3-pt jump shot from 25 ft (assist by M. Leonard),21,30
1,1:06.0,J. Grant makes 2-pt layup from 1 ft,,23,30
1,1:06.0,Shooting foul by S. Curry (drawn by J. Grant),,23,30
1,1:06.0,J. Grant makes free throw 1 of 1,,24,30
1,0:53.0,,M. Leonard misses 2-pt layup from 4 ft,24,30
1,0:51.0,,Offensive rebound by Z. Collins,24,30
1,0:43.0,,M. Leonard misses 2-pt layup from 3 ft,24,30
1,0:41.0,Defensive rebound by J. Martin,,24,30
1,0:33.0,J. Martin makes 3-pt jump shot from 27 ft (assist by T. Ross),,27,30
1,0:16.0,,N. Stauskas makes 3-pt jump shot from 27 ft (assist by S. Curry),27,33
1,0:00.0,J. Martin makes 3-pt jump shot from 26 ft (assist by J. Grant),,30,33
2,11:42.0,J. Isaac makes 2-pt layup from 1 ft (assist by J. Grant),,32,33
2,11:25.0,,M. Leonard misses 3-pt jump shot from 25 ft,32,33
2,11:23.0,Defensive rebound by T. Ross,,32,33
2,11:16.0,M. Bamba makes 2-pt dunk from 1 ft (assist by J. Grant),,34,33
2,10:53.0,,N. Stauskas misses 3-pt jump shot from 25 ft,34,33
2,10:50.0,Defensive rebound by T. Ross,,34,33
2,10:38.0,Shooting foul by Z. Collins (drawn by J. Isaac),,34,33
2,10:38.0,J. Isaac makes free throw 1 of 3,,35,33
2,10:38.0,J. Isaac makes free throw 2 of 3,,36,33
2,10:38.0,J. Isaac misses free throw 3 of 3,,36,33
2,10:35.0,,Defensive rebound by Z. Collins,36,33
2,10:27.0,,Z. Collins makes 2-pt dunk from 1 ft (assist by N. Stauskas),36,35
2,10:14.0,E. Fournier misses 2-pt jump shot from 12 ft,,36,35
2,10:12.0,,Defensive rebound by Z. Collins,36,35
2,10:06.0,,N. Stauskas misses 3-pt jump shot from 24 ft,36,35
2,10:03.0,Defensive rebound by J. Isaac,,36,35
2,10:00.0,Shooting foul by Z. Collins (drawn by J. Isaac),,36,35
2,10:00.0,J. Isaac makes free throw 1 of 2,,37,35
2,10:00.0,J. Isaac makes free throw 2 of 2,,38,35
2,9:49.0,,S. Curry misses 2-pt jump shot from 21 ft,38,35
2,9:46.0,Defensive rebound by J. Grant,,38,35
2,9:37.0,M. Bamba makes 3-pt jump shot from 26 ft (assist by J. Grant),,41,35
2,9:18.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by E. Turner),41,38
2,9:03.0,E. Fournier makes 2-pt jump shot from 14 ft,,43,38
2,8:42.0,,M. Leonard misses 3-pt jump shot from 25 ft,43,38
2,8:38.0,Defensive rebound by J. Isaac,,43,38
2,8:37.0,Turnover by J. Isaac (lost ball; steal by S. Curry),,43,38
2,8:34.0,,Shooting foul by M. Bamba (drawn by M. Leonard),43,38
2,8:34.0,,M. Leonard makes free throw 1 of 2,43,39
2,8:34.0,,M. Leonard misses free throw 2 of 2,43,39
2,8:31.0,Defensive rebound by M. Bamba,,43,39
2,8:22.0,T. Ross makes 2-pt hook shot from 9 ft (assist by E. Fournier),,45,39
2,8:05.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by E. Turner),45,42
2,7:46.0,T. Ross misses 2-pt jump shot from 22 ft,,45,42
2,7:44.0,,Defensive rebound by E. Turner,45,42
2,7:38.0,,N. Stauskas makes 3-pt jump shot from 26 ft (assist by E. Turner),45,45
2,7:21.0,E. Fournier misses 2-pt jump shot from 19 ft,,45,45
2,7:19.0,,Defensive rebound by E. Turner,45,45
2,7:12.0,,S. Curry misses 3-pt jump shot from 23 ft,45,45
2,7:10.0,Defensive rebound by Team,,45,45
2,7:10.0,J. Martin enters the game for J. Isaac,,45,45
2,6:58.0,T. Ross misses 2-pt jump shot from 19 ft,,45,45
2,6:56.0,Offensive rebound by Team,,45,45
2,6:56.0,,Loose ball foul by M. Leonard (drawn by M. Bamba),45,45
2,6:56.0,,Portland full timeout,45,45
2,6:56.0,,D. Lillard enters the game for S. Curry,45,45
2,6:56.0,,C. McCollum enters the game for M. Leonard,45,45
2,6:56.0,,J. Nurkić enters the game for E. Turner,45,45
2,6:51.0,E. Fournier misses 3-pt jump shot from 26 ft,,45,45
2,6:49.0,,Defensive rebound by D. Lillard,45,45
2,6:44.0,,Personal foul by J. Grant (drawn by D. Lillard),45,45
2,6:38.0,,Turnover by D. Lillard (bad pass),45,45
2,6:24.0,J. Grant makes 3-pt jump shot from 26 ft (assist by E. Fournier),,48,45
2,6:09.0,,N. Stauskas makes 3-pt jump shot from 27 ft (assist by D. Lillard),48,48
2,5:50.0,M. Bamba misses 3-pt jump shot from 26 ft,,48,48
2,5:47.0,,Defensive rebound by N. Stauskas,48,48
2,5:35.0,,Turnover by N. Stauskas (lost ball; steal by T. Ross),48,48
2,5:27.0,M. Bamba misses 2-pt jump shot from 15 ft,,48,48
2,5:25.0,,Defensive rebound by D. Lillard,48,48
2,5:13.0,,J. Nurkić misses 2-pt hook shot from 1 ft,48,48
2,5:12.0,,Offensive rebound by J. Nurkić,48,48
