QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,TORONTO_ACTION,PHILADELPHIA_SCORE,TORONTO_SCORE
1,11:38.0,J. Embiid makes 2-pt hook shot from 8 ft,,2,0
1,11:24.0,,K. Lowry misses 3-pt jump shot from 27 ft,2,0
1,11:22.0,Defensive rebound by J. Embiid,,2,0
1,11:19.0,J. Redick misses 3-pt jump shot from 25 ft,,2,0
1,11:16.0,,Defensive rebound by K. Leonard,2,0
1,10:53.0,,S. Ibaka misses 2-pt jump shot from 21 ft,2,0
1,10:49.0,,Offensive rebound by P. Siakam,2,0
1,10:48.0,,P. Siakam misses 2-pt layup from 1 ft,2,0
1,10:48.0,Defensive rebound by J. Embiid,,2,0
1,10:45.0,Turnover by B. Simmons (out of bounds lost ball),,2,0
1,10:36.0,,K. Leonard makes 2-pt jump shot from 9 ft,2,2
1,10:21.0,B. Simmons makes 2-pt layup at rim (assist by W. Chandler),,4,2
1,9:59.0,,S. Ibaka makes 2-pt dunk from 1 ft,4,4
1,9:37.0,W. Chandler makes 3-pt jump shot from 23 ft (assist by J. Butler),,7,4
1,9:26.0,,P. Siakam misses 2-pt hook shot from 2 ft,7,4
1,9:24.0,,Offensive rebound by P. Siakam,7,4
1,9:21.0,,K. Lowry misses 3-pt jump shot from 27 ft,7,4
1,9:18.0,Defensive rebound by B. Simmons,,7,4
1,9:14.0,J. Redick misses 3-pt jump shot from 25 ft,,7,4
1,9:11.0,,Defensive rebound by S. Ibaka,7,4
1,9:09.0,,Turnover by K. Lowry (bad pass),7,4
1,8:51.0,J. Embiid misses 2-pt layup from 1 ft (block by D. Green),,7,4
1,8:50.0,,Defensive rebound by D. Green,7,4
1,8:47.0,,Turnover by D. Green (bad pass),7,4
1,8:29.0,J. Embiid misses 2-pt jump shot from 9 ft,,7,4
1,8:27.0,Offensive rebound by W. Chandler,,7,4
1,8:25.0,Turnover by J. Embiid (lost ball; steal by K. Lowry),,7,4
1,8:20.0,,K. Leonard makes 2-pt dunk from 2 ft (assist by P. Siakam),7,6
1,8:09.0,Personal foul by P. Siakam (drawn by B. Simmons),,7,6
1,7:58.0,J. Butler makes 3-pt jump shot from 26 ft (assist by J. Redick),,10,6
1,7:47.0,Violation by Team (kicked ball),,10,6
1,7:40.0,,K. Leonard makes 2-pt jump shot from 15 ft,10,8
1,7:32.0,J. Redick makes 2-pt jump shot from 19 ft (assist by B. Simmons),,12,8
1,7:15.0,,Turnover by S. Ibaka (traveling),12,8
1,7:05.0,J. Butler misses 2-pt jump shot from 19 ft,,12,8
1,7:01.0,,Defensive rebound by K. Lowry,12,8
1,6:57.0,,S. Ibaka makes 2-pt layup from 1 ft (assist by K. Lowry),12,10
1,6:42.0,W. Chandler misses 2-pt jump shot from 16 ft,,12,10
1,6:38.0,,Defensive rebound by P. Siakam,12,10
1,6:36.0,,Personal foul by B. Simmons (drawn by P. Siakam),12,10
1,6:36.0,,Toronto full timeout,12,10
1,6:36.0,T. McConnell enters the game for W. Chandler,,12,10
1,6:36.0,M. Muscala enters the game for J. Embiid,,12,10
1,6:36.0,L. Shamet enters the game for J. Redick,,12,10
1,6:22.0,,Shooting foul by J. Butler (drawn by K. Leonard),12,10
1,6:22.0,,K. Leonard makes free throw 1 of 2,12,11
1,6:22.0,,K. Leonard makes free throw 2 of 2,12,12
1,6:03.0,B. Simmons makes 2-pt layup from 1 ft (assist by M. Muscala),,14,12
1,5:48.0,,D. Green misses 3-pt jump shot from 27 ft,14,12
1,5:46.0,Defensive rebound by J. Butler,,14,12
1,5:39.0,Turnover by T. McConnell (traveling),,14,12
1,5:25.0,,P. Siakam misses 2-pt jump shot from 3 ft,14,12
1,5:23.0,,Offensive rebound by S. Ibaka,14,12
1,5:22.0,,S. Ibaka misses 2-pt hook shot from 7 ft,14,12
1,5:18.0,Defensive rebound by J. Butler,,14,12
1,4:59.0,J. Butler misses 2-pt hook shot from 4 ft,,14,12
1,4:57.0,,Defensive rebound by K. Leonard,14,12
1,4:51.0,,K. Lowry misses 3-pt jump shot from 27 ft,14,12
1,4:48.0,Defensive rebound by M. Muscala,,14,12
1,4:44.0,L. Shamet makes 2-pt jump shot from 14 ft (assist by B. Simmons),,16,12
1,4:27.0,,S. Ibaka misses 2-pt jump shot from 18 ft,16,12
1,4:23.0,Defensive rebound by B. Simmons,,16,12
1,4:18.0,J. Butler makes 2-pt layup from 1 ft (assist by B. Simmons),,18,12
1,4:03.0,,Personal foul by M. Muscala (drawn by K. Leonard),18,12
