QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
1,11:45.0,,B. Hield misses 2-pt jump shot from 17 ft,0,0
1,11:40.0,Defensive rebound by L. Dončić,,0,0
1,11:30.0,J. Jackson makes 2-pt jump shot from 15 ft (assist by D. Powell),,2,0
1,11:04.0,,D. Fox makes 3-pt jump shot from 26 ft (assist by N. Bjelica),2,3
1,10:41.0,L. Dončić makes 3-pt jump shot from 27 ft,,5,3
1,10:31.0,,Shooting foul by J. Brunson (drawn by D. Fox),5,3
1,10:31.0,,D. Fox makes free throw 1 of 2,5,4
1,10:31.0,,D. Fox misses free throw 2 of 2,5,4
1,10:25.0,Defensive rebound by L. Dončić,,5,4
1,10:07.0,D. Powell misses 2-pt layup from 3 ft,,5,4
1,10:05.0,,Defensive rebound by W. Cauley-Stein,5,4
1,10:02.0,,N. Bjelica misses 3-pt jump shot from 28 ft,5,4
1,9:56.0,Defensive rebound by J. Jackson,,5,4
1,9:47.0,J. Brunson makes 2-pt hook shot from 3 ft,,7,4
1,9:27.0,,B. Hield misses 3-pt jump shot from 23 ft,7,4
1,9:22.0,Defensive rebound by M. Kleber,,7,4
1,9:17.0,Shooting foul by N. Bjelica (drawn by L. Dončić),,7,4
1,9:17.0,L. Dončić makes free throw 1 of 2,,8,4
1,9:17.0,L. Dončić makes free throw 2 of 2,,9,4
1,8:55.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),9,6
1,8:41.0,J. Brunson makes 2-pt jump shot from 6 ft (assist by L. Dončić),,11,6
1,8:27.0,,Turnover by H. Barnes (traveling),11,6
1,8:27.0,S. Mejri enters the game for D. Powell,,11,6
1,8:01.0,J. Jackson misses 3-pt jump shot from 26 ft,,11,6
1,8:00.0,,Defensive rebound by W. Cauley-Stein,11,6
1,7:40.0,,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by B. Hield),11,8
1,7:40.0,,Shooting foul by S. Mejri (drawn by W. Cauley-Stein),11,8
1,7:40.0,,W. Cauley-Stein misses free throw 1 of 1,11,8
1,7:37.0,,Offensive rebound by H. Barnes,11,8
1,7:29.0,,H. Barnes makes 2-pt hook shot from 6 ft,11,10
1,7:07.0,J. Jackson makes 2-pt jump shot from 13 ft (assist by J. Brunson),,13,10
1,6:54.0,,H. Barnes misses 3-pt jump shot from 25 ft,13,10
1,6:50.0,Defensive rebound by S. Mejri,,13,10
1,6:43.0,L. Dončić misses 2-pt jump shot from 9 ft,,13,10
1,6:41.0,,Defensive rebound by D. Fox,13,10
1,6:39.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Fox),13,13
1,6:36.0,Dallas full timeout,,13,13
1,6:17.0,Turnover by M. Kleber (lost ball; steal by W. Cauley-Stein),,13,13
1,6:11.0,,B. Hield misses 2-pt layup from 3 ft (block by S. Mejri),13,13
1,6:08.0,Defensive rebound by J. Jackson,,13,13
1,6:05.0,J. Jackson makes 2-pt jump shot from 7 ft (assist by J. Brunson),,15,13
1,5:43.0,,D. Fox misses 2-pt layup from 3 ft (block by S. Mejri),15,13
1,5:38.0,Defensive rebound by L. Dončić,,15,13
1,5:36.0,J. Brunson misses 3-pt jump shot from 25 ft,,15,13
1,5:29.0,,Defensive rebound by B. Hield,15,13
1,5:29.0,,B. Hield makes 2-pt dunk from 3 ft (assist by D. Fox),15,15
1,5:17.0,L. Dončić misses 3-pt jump shot from 25 ft,,15,15
1,5:17.0,,Defensive rebound by Team,15,15
1,5:17.0,D. Powell enters the game for M. Kleber,,15,15
1,5:17.0,,M. Bagley enters the game for N. Bjelica,15,15
1,5:17.0,,H. Giles enters the game for W. Cauley-Stein,15,15
1,5:02.0,,B. Hield misses 2-pt layup from 4 ft,15,15
1,4:59.0,,Offensive rebound by M. Bagley,15,15
1,4:58.0,,M. Bagley makes 2-pt hook shot from 4 ft,15,17
1,4:45.0,Personal foul by B. Hield (drawn by J. Jackson),,15,17
1,4:45.0,D. Nowitzki enters the game for S. Mejri,,15,17
1,4:35.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,15,17
1,4:33.0,,Defensive rebound by M. Bagley,15,17
1,4:28.0,,D. Fox makes 2-pt dunk from 1 ft,15,19
1,4:09.0,L. Dončić makes 2-pt layup from 4 ft,,17,19
1,4:09.0,Shooting foul by M. Bagley (drawn by L. Dončić),,17,19
1,4:09.0,D. Harris enters the game for J. Brunson,,17,19
1,4:09.0,L. Dončić misses free throw 1 of 1,,17,19
1,4:05.0,Offensive rebound by D. Harris,,17,19
1,4:05.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Harris),,19,19
1,4:05.0,,Sacramento full timeout,19,19
1,3:51.0,,H. Barnes misses 2-pt jump shot from 5 ft,19,19
1,3:47.0,Defensive rebound by D. Powell,,19,19
1,3:35.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,19,19
