QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DALLAS_ACTION,LA CLIPPERS_SCORE,DALLAS_SCORE
1,11:45.0,,H. Barnes misses 2-pt layup from 2 ft (block by T. Harris),0,0
1,11:42.0,Defensive rebound by P. Beverley,,0,0
1,11:26.0,P. Beverley misses 3-pt jump shot from 24 ft,,0,0
1,11:24.0,Offensive rebound by M. Harrell,,0,0
1,11:14.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by D. Jordan),,0,0
1,11:11.0,,Defensive rebound by D. Smith,0,0
1,11:02.0,,D. Jordan misses 2-pt hook shot from 4 ft,0,0
1,10:59.0,Defensive rebound by A. Bradley,,0,0
1,10:52.0,Shooting foul by D. Jordan (drawn by M. Harrell),,0,0
1,10:52.0,M. Harrell makes free throw 1 of 2,,1,0
1,10:52.0,M. Harrell makes free throw 2 of 2,,2,0
1,10:33.0,,H. Barnes makes 2-pt jump shot from 3 ft,2,2
1,10:33.0,,Shooting foul by M. Harrell (drawn by H. Barnes),2,2
1,10:33.0,,H. Barnes misses free throw 1 of 1,2,2
1,10:30.0,Defensive rebound by M. Harrell,,2,2
1,10:16.0,S. Gilgeous-Alexander misses 2-pt jump shot from 4 ft (block by L. Dončić),,2,2
1,10:16.0,Offensive rebound by Team,,2,2
1,10:13.0,T. Harris makes 3-pt jump shot from 24 ft (assist by P. Beverley),,5,2
1,9:58.0,,D. Smith misses 2-pt layup from 2 ft,5,2
1,9:56.0,Defensive rebound by M. Harrell,,5,2
1,9:35.0,A. Bradley misses 2-pt jump shot from 19 ft,,5,2
1,9:33.0,,Defensive rebound by L. Dončić,5,2
1,9:21.0,,D. Smith misses 3-pt jump shot from 25 ft,5,2
1,9:16.0,Defensive rebound by T. Harris,,5,2
1,9:11.0,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,,5,2
1,9:09.0,Offensive rebound by M. Harrell,,5,2
1,8:57.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by P. Beverley),,8,2
1,8:41.0,,W. Matthews misses 2-pt jump shot from 7 ft,8,2
1,8:39.0,Defensive rebound by T. Harris,,8,2
1,8:37.0,Personal foul by W. Matthews (drawn by T. Harris),,8,2
1,8:25.0,M. Harrell makes 2-pt jump shot from 15 ft (assist by P. Beverley),,10,2
1,8:15.0,,Personal foul by A. Bradley (drawn by L. Dončić),10,2
1,8:08.0,,Shooting foul by T. Harris (drawn by D. Jordan),10,2
1,8:08.0,,D. Jordan makes free throw 1 of 2,10,3
1,8:08.0,,D. Jordan misses free throw 2 of 2,10,3
1,8:05.0,Defensive rebound by M. Harrell,,10,3
1,7:54.0,M. Harrell misses 2-pt layup from 3 ft (block by D. Jordan),,10,3
1,7:52.0,Offensive rebound by Team,,10,3
1,7:37.0,T. Harris misses 3-pt jump shot from 25 ft,,10,3
1,7:35.0,,Defensive rebound by D. Jordan,10,3
1,7:29.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),10,5
1,7:13.0,A. Bradley makes 2-pt jump shot from 19 ft,,12,5
1,7:03.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),12,7
1,6:49.0,Turnover by T. Harris (bad pass; steal by D. Smith),,12,7
1,6:47.0,,Turnover by D. Smith (bad pass),12,7
1,6:47.0,,Dallas full timeout,12,7
1,6:32.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,15,7
1,6:10.0,,D. Smith misses 3-pt jump shot from 25 ft,15,7
1,6:06.0,,Offensive rebound by D. Smith,15,7
1,6:04.0,,D. Smith makes 2-pt layup from 1 ft,15,9
1,5:49.0,S. Gilgeous-Alexander makes 2-pt jump shot from 4 ft,,17,9
1,5:36.0,,D. Smith misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),17,9
1,5:34.0,Defensive rebound by S. Gilgeous-Alexander,,17,9
1,5:29.0,Shooting foul by H. Barnes (drawn by T. Harris),,17,9
1,5:29.0,T. Harris makes free throw 1 of 2,,18,9
1,5:29.0,T. Harris makes free throw 2 of 2,,19,9
1,5:16.0,,Personal foul by A. Bradley (drawn by L. Dončić),19,9
1,5:08.0,,Turnover by L. Dončić (bad pass; steal by T. Harris),19,9
1,4:47.0,S. Gilgeous-Alexander misses 2-pt jump shot from 4 ft,,19,9
1,4:45.0,,Defensive rebound by H. Barnes,19,9
1,4:38.0,,W. Matthews misses 3-pt jump shot from 25 ft,19,9
1,4:35.0,,Offensive rebound by D. Jordan,19,9
1,4:35.0,S. Thornwell enters the game for A. Bradley,,19,9
1,4:29.0,,L. Dončić makes 2-pt jump shot from 12 ft (assist by W. Matthews),19,11
1,4:17.0,S. Gilgeous-Alexander misses 2-pt layup from 5 ft (block by D. Jordan),,19,11
1,4:17.0,Offensive rebound by Team,,19,11
1,4:16.0,Personal foul by W. Matthews (drawn by T. Harris),,19,11
1,4:16.0,L. Williams enters the game for S. Gilgeous-Alexander,,19,11
1,4:16.0,,D. Finney-Smith enters the game for L. Dončić,19,11
1,4:16.0,,D. Harris enters the game for W. Matthews,19,11
1,4:03.0,T. Harris misses 2-pt jump shot from 10 ft,,19,11
1,4:00.0,,Defensive rebound by D. Jordan,19,11
1,3:56.0,,D. Smith makes 2-pt layup at rim (assist by D. Jordan),19,13
1,3:46.0,Shooting foul by D. Smith (drawn by S. Thornwell),,19,13
1,3:46.0,LA Clippers full timeout,,19,13
1,3:46.0,S. Thornwell misses free throw 1 of 2,,19,13
1,3:46.0,Offensive rebound by Team,,19,13
1,3:46.0,S. Thornwell misses free throw 2 of 2,,19,13
1,3:43.0,,Defensive rebound by D. Finney-Smith,19,13
1,3:24.0,,H. Barnes makes 2-pt layup from 1 ft,19,15
1,3:01.0,L. Williams makes 2-pt layup at rim,,21,15
