QUARTER,TIME_REMAINING,NEW YORK_ACTION,NEW ORLEANS_ACTION,NEW YORK_SCORE,NEW ORLEANS_SCORE
4,7:54.0,,J. Holiday misses 2-pt layup from 5 ft (block by T. Burke),109,100
4,7:54.0,,Offensive rebound by Team,109,100
4,7:43.0,,A. Davis misses 2-pt dunk from 1 ft,109,100
4,7:40.0,Defensive rebound by T. Burke,,109,100
4,7:36.0,Loose ball foul by T. Burke (drawn by J. Holiday),,109,100
4,7:36.0,Turnover by T. Burke (turnover),,109,100
4,7:36.0,D. Dotson enters the game for T. Burke,,109,100
4,7:36.0,M. Robinson enters the game for E. Freedom,,109,100
4,7:36.0,,E. Moore enters the game for D. Miller,109,100
4,7:25.0,,Turnover by F. Jackson (bad pass; steal by D. Dotson),109,100
4,7:22.0,Shooting foul by J. Holiday (drawn by T. Hardaway),,109,100
4,7:22.0,T. Hardaway makes free throw 1 of 2,,110,100
4,7:22.0,T. Hardaway makes free throw 2 of 2,,111,100
4,7:13.0,,J. Holiday makes 3-pt jump shot from 24 ft,111,103
4,7:04.0,Personal foul by F. Jackson (drawn by E. Mudiay),,111,103
4,7:04.0,E. Mudiay makes free throw 1 of 2,,112,103
4,7:04.0,E. Mudiay misses free throw 2 of 2,,112,103
4,7:02.0,,Defensive rebound by J. Randle,112,103
4,6:56.0,,Turnover by J. Holiday (lost ball; steal by T. Hardaway),112,103
4,6:53.0,T. Hardaway makes 2-pt dunk from 1 ft,,114,103
4,6:49.0,,New Orleans full timeout,114,103
4,6:49.0,,D. Miller enters the game for F. Jackson,114,103
4,6:40.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),114,106
4,6:24.0,Turnover by T. Hardaway (traveling),,114,106
4,6:14.0,,J. Randle misses 3-pt jump shot from 23 ft,114,106
4,6:11.0,,Offensive rebound by A. Davis,114,106
4,6:06.0,,E. Moore misses 3-pt jump shot from 25 ft,114,106
4,6:01.0,,Offensive rebound by A. Davis,114,106
4,6:01.0,,A. Davis misses 2-pt layup from 1 ft,114,106
4,6:01.0,,Offensive rebound by A. Davis,114,106
4,6:01.0,,Personal foul by T. Hardaway (drawn by J. Randle),114,106
4,6:01.0,,J. Randle misses free throw 1 of 2,114,106
4,6:01.0,,Offensive rebound by Team,114,106
4,6:01.0,K. Knox enters the game for N. Vonleh,,114,106
4,6:01.0,,J. Randle misses free throw 2 of 2,114,106
4,5:57.0,,Offensive rebound by D. Miller,114,106
4,5:48.0,,A. Davis makes 2-pt dunk from 1 ft (assist by D. Miller),114,108
4,5:29.0,Turnover by T. Hardaway (lost ball; steal by J. Holiday),,114,108
4,5:27.0,,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),114,110
4,5:27.0,New York full timeout,,114,110
4,5:27.0,T. Burke enters the game for E. Mudiay,,114,110
4,5:13.0,Turnover by M. Robinson (lost ball; steal by J. Randle),,114,110
4,5:01.0,,J. Holiday makes 2-pt layup from 2 ft,114,112
4,4:39.0,D. Dotson misses 2-pt hook shot from 8 ft,,114,112
4,4:35.0,Offensive rebound by M. Robinson,,114,112
4,4:35.0,M. Robinson makes 2-pt dunk from 1 ft,,116,112
4,4:27.0,,J. Holiday misses 3-pt jump shot from 24 ft,116,112
4,4:23.0,Defensive rebound by M. Robinson,,116,112
4,4:12.0,T. Burke makes 2-pt jump shot from 16 ft,,118,112
4,4:12.0,Shooting foul by E. Moore (drawn by T. Burke),,118,112
4,4:12.0,A. Trier enters the game for D. Dotson,,118,112
4,4:12.0,T. Burke misses free throw 1 of 1,,118,112
4,4:12.0,,Defensive rebound by J. Randle,118,112
4,4:01.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),118,114
4,3:47.0,T. Burke misses 2-pt layup from 1 ft,,118,114
4,3:45.0,,Defensive rebound by A. Davis,118,114
4,3:38.0,,E. Moore makes 2-pt jump shot from 2 ft (assist by J. Holiday),118,116
4,3:24.0,Shooting foul by A. Davis (drawn by T. Hardaway),,118,116
4,3:24.0,T. Hardaway makes free throw 1 of 2,,119,116
4,3:24.0,F. Ntilikina enters the game for T. Burke,,119,116
4,3:24.0,T. Hardaway misses free throw 2 of 2,,119,116
4,3:22.0,,Defensive rebound by J. Randle,119,116
4,3:07.0,,A. Davis misses 3-pt jump shot from 24 ft,119,116
4,3:03.0,,Offensive rebound by J. Randle,119,116
4,3:02.0,,J. Randle makes 2-pt layup from 1 ft,119,118
4,2:47.0,K. Knox misses 2-pt jump shot from 19 ft,,119,118
4,2:45.0,,Defensive rebound by J. Randle,119,118
4,2:33.0,,Personal foul by M. Robinson (drawn by J. Randle),119,118
4,2:33.0,,J. Randle makes free throw 1 of 2,119,119
4,2:33.0,T. Burke enters the game for F. Ntilikina,,119,119
4,2:33.0,,J. Randle makes free throw 2 of 2,119,120
4,2:11.0,A. Trier misses 3-pt jump shot from 28 ft,,119,120
4,2:07.0,,Defensive rebound by J. Randle,119,120
4,1:54.0,,J. Holiday misses 2-pt layup from 2 ft,119,120
4,1:54.0,,Offensive rebound by J. Holiday,119,120
4,1:47.0,,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),119,122
4,1:47.0,New York full timeout,,119,122
4,1:39.0,Personal foul by J. Holiday (drawn by T. Hardaway),,119,122
4,1:39.0,T. Hardaway makes free throw 1 of 2,,120,122
4,1:39.0,F. Ntilikina enters the game for T. Burke,,120,122
4,1:39.0,N. Vonleh enters the game for K. Knox,,120,122
4,1:39.0,T. Hardaway makes free throw 2 of 2,,121,122
4,1:28.0,,Shooting foul by N. Vonleh (drawn by A. Davis),121,122
4,1:28.0,,A. Davis misses free throw 1 of 2,121,122
4,1:28.0,,Offensive rebound by Team,121,122
4,1:28.0,T. Burke enters the game for F. Ntilikina,,121,122
4,1:28.0,K. Knox enters the game for N. Vonleh,,121,122
4,1:28.0,,A. Davis misses free throw 2 of 2,121,122
4,1:23.0,,Offensive rebound by J. Randle,121,122
4,1:23.0,,J. Randle makes 2-pt layup at rim,121,124
4,1:07.0,T. Hardaway misses 3-pt jump shot from 25 ft,,121,124
4,1:04.0,Offensive rebound by K. Knox,,121,124
4,0:55.0,A. Trier misses 2-pt jump shot from 17 ft,,121,124
4,0:51.0,,Defensive rebound by A. Davis,121,124
4,0:35.0,,J. Holiday makes 3-pt jump shot from 24 ft,121,127
4,0:34.0,New York full timeout,,121,127
4,0:27.0,T. Burke makes 2-pt layup from 1 ft,,123,127
4,0:27.0,Shooting foul by E. Moore (drawn by T. Burke),,123,127
4,0:27.0,F. Ntilikina enters the game for K. Knox,,123,127
4,0:27.0,,N. Mirotić enters the game for J. Randle,123,127
4,0:27.0,T. Burke makes free throw 1 of 1,,124,127
4,0:14.0,,Personal take foul by F. Ntilikina (drawn by J. Holiday),124,127
4,0:14.0,,J. Holiday makes free throw 1 of 2,124,128
4,0:14.0,K. Knox enters the game for F. Ntilikina,,124,128
4,0:14.0,,W. Johnson enters the game for N. Mirotić,124,128
4,0:14.0,,J. Holiday makes free throw 2 of 2,124,129
4,0:08.0,T. Hardaway misses 3-pt jump shot from 27 ft,,124,129
4,0:04.0,,Defensive rebound by A. Davis,124,129
