QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
1,11:42.0,,F. VanVleet misses 3-pt jump shot from 26 ft,0,0
1,11:40.0,Defensive rebound by L. Markkanen,,0,0
1,11:25.0,W. Carter makes 2-pt jump shot from 11 ft (assist by Z. LaVine),,2,0
1,11:04.0,,Turnover by S. Ibaka (bad pass),2,0
1,10:47.0,W. Carter misses 3-pt jump shot from 24 ft,,2,0
1,10:45.0,,Defensive rebound by P. Siakam,2,0
1,10:38.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by P. Siakam),2,2
1,10:13.0,Z. LaVine misses 3-pt jump shot from 29 ft,,2,2
1,10:11.0,,Defensive rebound by F. VanVleet,2,2
1,10:02.0,,P. Siakam misses 2-pt layup from 2 ft,2,2
1,10:00.0,Defensive rebound by L. Markkanen,,2,2
1,9:56.0,Shooting foul by S. Ibaka (drawn by Z. LaVine),,2,2
1,9:56.0,Z. LaVine makes free throw 1 of 2,,3,2
1,9:56.0,Z. LaVine makes free throw 2 of 2,,4,2
1,9:35.0,,S. Ibaka misses 2-pt hook shot from 7 ft,4,2
1,9:32.0,Defensive rebound by W. Carter,,4,2
1,9:25.0,Turnover by K. Dunn (traveling),,4,2
1,9:09.0,,K. Leonard misses 2-pt jump shot from 20 ft,4,2
1,9:05.0,Defensive rebound by J. Holiday,,4,2
1,8:58.0,Turnover by K. Dunn (out of bounds lost ball),,4,2
1,8:49.0,,D. Green makes 2-pt jump shot from 22 ft (assist by S. Ibaka),4,4
1,8:34.0,J. Holiday makes 2-pt layup from 5 ft (assist by L. Markkanen),,6,4
1,8:21.0,,K. Leonard misses 2-pt jump shot from 18 ft,6,4
1,8:18.0,Defensive rebound by W. Carter,,6,4
1,8:11.0,K. Dunn misses 2-pt jump shot from 17 ft,,6,4
1,8:09.0,,Defensive rebound by K. Leonard,6,4
1,7:54.0,,Turnover by K. Leonard (bad pass; steal by J. Holiday),6,4
1,7:51.0,J. Holiday misses 2-pt layup from 1 ft (block by D. Green),,6,4
1,7:47.0,,Defensive rebound by D. Green,6,4
1,7:41.0,,P. Siakam makes 2-pt dunk at rim (assist by S. Ibaka),6,6
1,7:41.0,Chicago full timeout,,6,6
1,7:22.0,Shooting foul by S. Ibaka (drawn by W. Carter),,6,6
1,7:22.0,W. Carter makes free throw 1 of 2,,7,6
