QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DETROIT_ACTION,CHARLOTTE_SCORE,DETROIT_SCORE
1,11:41.0,,W. Ellington misses 3-pt jump shot from 26 ft,0,0
1,11:37.0,Defensive rebound by B. Biyombo,,0,0
1,11:30.0,D. Bacon misses 2-pt layup from 4 ft,,0,0
1,11:27.0,,Defensive rebound by B. Griffin,0,0
1,11:23.0,,B. Griffin misses 3-pt jump shot from 26 ft,0,0
1,11:18.0,Defensive rebound by K. Walker,,0,0
1,11:13.0,B. Biyombo makes 2-pt dunk from 1 ft (assist by K. Walker),,2,0
1,10:51.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by W. Ellington),2,3
1,10:26.0,K. Walker misses 3-pt jump shot from 25 ft,,2,3
1,10:24.0,,Defensive rebound by A. Drummond,2,3
1,10:19.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Brown),2,6
1,9:58.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by N. Batum),,5,6
1,9:50.0,,B. Griffin makes 2-pt layup from 3 ft (assist by R. Jackson),5,8
1,9:37.0,K. Walker makes 2-pt layup from 2 ft,,7,8
1,9:29.0,,B. Griffin makes 3-pt jump shot from 27 ft (assist by R. Jackson),7,11
1,9:14.0,N. Batum misses 3-pt jump shot from 25 ft,,7,11
1,9:10.0,,Defensive rebound by R. Jackson,7,11
1,9:03.0,,R. Jackson misses 3-pt jump shot from 25 ft,7,11
1,8:59.0,Defensive rebound by N. Batum,,7,11
1,8:45.0,B. Biyombo misses 2-pt jump shot from 16 ft,,7,11
1,8:42.0,,Defensive rebound by B. Brown,7,11
1,8:24.0,,B. Griffin misses 3-pt jump shot from 25 ft,7,11
1,8:21.0,,Offensive rebound by B. Brown,7,11
1,8:19.0,,W. Ellington misses 3-pt jump shot from 25 ft,7,11
1,8:16.0,Defensive rebound by B. Biyombo,,7,11
1,8:10.0,D. Bacon makes 2-pt layup from 1 ft (assist by K. Walker),,9,11
1,7:51.0,,W. Ellington makes 3-pt jump shot from 23 ft (assist by R. Jackson),9,14
1,7:35.0,K. Walker misses 3-pt jump shot from 24 ft,,9,14
1,7:33.0,,Defensive rebound by A. Drummond,9,14
1,7:25.0,,R. Jackson misses 2-pt jump shot from 7 ft,9,14
1,7:24.0,,Offensive rebound by A. Drummond,9,14
1,7:22.0,,A. Drummond makes 2-pt dunk from 1 ft,9,16
1,7:21.0,Charlotte full timeout,,9,16
1,7:06.0,M. Bridges misses 2-pt layup from 2 ft,,9,16
1,7:05.0,Offensive rebound by M. Bridges,,9,16
1,7:05.0,M. Bridges misses 2-pt layup from 1 ft,,9,16
1,7:01.0,,Defensive rebound by R. Jackson,9,16
1,6:51.0,,A. Drummond makes 2-pt dunk at rim (assist by B. Griffin),9,18
1,6:30.0,M. Bridges misses 3-pt jump shot from 24 ft,,9,18
1,6:27.0,,Defensive rebound by B. Griffin,9,18
1,6:10.0,,B. Griffin misses 2-pt hook shot from 6 ft,9,18
1,6:06.0,Defensive rebound by K. Walker,,9,18
1,5:58.0,K. Walker makes 2-pt layup from 4 ft,,11,18
1,5:35.0,,Turnover by W. Ellington (bad pass; steal by K. Walker),11,18
1,5:28.0,K. Walker misses 2-pt jump shot from 7 ft,,11,18
1,5:24.0,Offensive rebound by M. Bridges,,11,18
1,5:22.0,D. Bacon makes 2-pt layup from 2 ft (assist by N. Batum),,13,18
1,5:22.0,Shooting foul by R. Jackson (drawn by D. Bacon),,13,18
1,5:22.0,F. Kaminsky enters the game for M. Bridges,,13,18
1,5:22.0,D. Bacon makes free throw 1 of 1,,14,18
