QUARTER,TIME_REMAINING,BOSTON_ACTION,MIAMI_ACTION,BOSTON_SCORE,MIAMI_SCORE
1,11:37.0,M. Morris makes 3-pt jump shot from 26 ft,,3,0
1,11:08.0,,J. Winslow makes 2-pt jump shot from 9 ft (assist by J. Richardson),3,2
1,10:55.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by A. Horford),,6,2
1,10:40.0,,J. Johnson misses 2-pt jump shot from 10 ft (block by A. Horford),6,2
1,10:40.0,,Offensive rebound by Team,6,2
1,10:32.0,,R. McGruder makes 3-pt jump shot from 26 ft (assist by J. Richardson),6,5
1,10:19.0,K. Irving makes 2-pt jump shot from 18 ft (assist by A. Horford),,8,5
1,10:02.0,,J. Johnson makes 3-pt jump shot from 26 ft,8,8
1,9:55.0,Personal foul by R. McGruder (drawn by K. Irving),,8,8
1,9:46.0,A. Horford misses 3-pt jump shot from 25 ft,,8,8
1,9:43.0,,Defensive rebound by R. McGruder,8,8
1,9:32.0,,J. Winslow misses 3-pt jump shot from 23 ft,8,8
1,9:30.0,Defensive rebound by K. Irving,,8,8
1,9:24.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,11,8
1,9:04.0,,H. Whiteside makes 2-pt layup from 1 ft (assist by J. Richardson),11,10
1,8:47.0,K. Irving makes 2-pt jump shot from 16 ft,,13,10
1,8:35.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),13,13
1,8:17.0,K. Irving makes 2-pt jump shot from 19 ft,,15,13
1,7:59.0,,J. Johnson misses 2-pt jump shot from 21 ft,15,13
1,7:57.0,Defensive rebound by M. Morris,,15,13
1,7:54.0,M. Smart misses 3-pt jump shot from 24 ft,,15,13
1,7:52.0,,Defensive rebound by J. Johnson,15,13
1,7:37.0,,R. McGruder misses 3-pt jump shot from 24 ft,15,13
1,7:33.0,Defensive rebound by A. Horford,,15,13
1,7:27.0,K. Irving misses 3-pt jump shot from 25 ft,,15,13
1,7:24.0,,Defensive rebound by H. Whiteside,15,13
1,7:16.0,,Personal foul by K. Irving (drawn by H. Whiteside),15,13
1,7:06.0,,J. Richardson misses 2-pt jump shot from 2 ft (block by M. Morris),15,13
1,7:02.0,Defensive rebound by A. Horford,,15,13
1,6:55.0,M. Morris misses 2-pt layup from 2 ft,,15,13
1,6:53.0,,Defensive rebound by R. McGruder,15,13
1,6:48.0,,J. Richardson makes 2-pt jump shot from 22 ft (assist by R. McGruder),15,15
1,6:32.0,J. Tatum misses 3-pt jump shot from 25 ft,,15,15
1,6:29.0,,Defensive rebound by H. Whiteside,15,15
1,6:22.0,,J. Johnson makes 2-pt dunk from 1 ft,15,17
1,6:07.0,K. Irving makes 3-pt jump shot from 25 ft,,18,17
1,5:49.0,,Turnover by R. McGruder (lost ball; steal by K. Irving),18,17
1,5:30.0,J. Tatum misses 2-pt jump shot from 16 ft,,18,17
1,5:27.0,,Defensive rebound by J. Richardson,18,17
1,5:07.0,,J. Johnson misses 3-pt jump shot from 23 ft,18,17
1,5:06.0,,Offensive rebound by J. Winslow,18,17
1,5:06.0,,Turnover by Team (shot clock),18,17
1,5:06.0,,Miami full timeout,18,17
1,5:06.0,G. Hayward enters the game for A. Horford,,18,17
1,5:06.0,D. Theis enters the game for M. Morris,,18,17
1,5:06.0,,D. Wade enters the game for R. McGruder,18,17
1,4:53.0,M. Smart misses 3-pt jump shot from 26 ft,,18,17
1,4:47.0,,Defensive rebound by H. Whiteside,18,17
1,4:36.0,,J. Johnson misses 2-pt layup from 1 ft,18,17
1,4:35.0,,Offensive rebound by H. Whiteside,18,17
1,4:32.0,,H. Whiteside makes 2-pt layup from 2 ft,18,19
1,4:19.0,K. Irving makes 2-pt jump shot from 17 ft,,20,19
1,3:59.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Johnson),20,21
1,3:44.0,M. Smart misses 2-pt jump shot from 11 ft,,20,21
1,3:41.0,,Defensive rebound by H. Whiteside,20,21
1,3:32.0,,J. Johnson misses 3-pt jump shot from 26 ft,20,21
1,3:30.0,Defensive rebound by J. Tatum,,20,21
1,3:23.0,J. Tatum misses 2-pt jump shot from 15 ft,,20,21
1,3:14.0,,Defensive rebound by J. Winslow,20,21
1,3:07.0,,D. Wade makes 2-pt jump shot from 19 ft (assist by H. Whiteside),20,23
1,3:07.0,Boston full timeout,,20,23
1,3:07.0,J. Brown enters the game for M. Smart,,20,23
1,3:07.0,T. Rozier enters the game for J. Tatum,,20,23
1,2:58.0,G. Hayward makes 2-pt jump shot from 16 ft (assist by K. Irving),,22,23
1,2:41.0,,J. Johnson misses 2-pt jump shot from 6 ft,22,23
1,2:39.0,,Offensive rebound by H. Whiteside,22,23
1,2:37.0,,H. Whiteside misses 2-pt layup from 4 ft,22,23
1,2:35.0,Defensive rebound by K. Irving,,22,23
1,2:29.0,Personal foul by H. Whiteside (drawn by J. Brown),,22,23
1,2:29.0,,B. Adebayo enters the game for H. Whiteside,22,23
1,2:29.0,,D. Waiters enters the game for J. Winslow,22,23
1,2:21.0,J. Brown misses 2-pt jump shot from 8 ft (block by J. Johnson),,22,23
1,2:20.0,,Defensive rebound by J. Johnson,22,23
1,2:08.0,,J. Johnson makes 2-pt layup from 2 ft (assist by D. Wade),22,25
1,1:52.0,T. Rozier misses 2-pt jump shot from 14 ft,,22,25
1,1:48.0,,Defensive rebound by D. Waiters,22,25
1,1:41.0,,D. Waiters misses 2-pt jump shot from 18 ft,22,25
1,1:39.0,Defensive rebound by G. Hayward,,22,25
1,1:31.0,G. Hayward makes 2-pt jump shot from 11 ft,,24,25
1,1:17.0,,D. Wade makes 3-pt jump shot from 23 ft (assist by J. Johnson),24,28
1,0:57.0,T. Rozier misses 3-pt jump shot from 25 ft,,24,28
1,0:56.0,,Defensive rebound by J. Richardson,24,28
1,0:37.0,,D. Wade misses 3-pt jump shot from 24 ft,24,28
1,0:34.0,Defensive rebound by T. Rozier,,24,28
1,0:29.0,J. Brown misses 3-pt jump shot from 25 ft,,24,28
1,0:27.0,,Defensive rebound by D. Waiters,24,28
1,0:03.0,,J. Johnson misses 2-pt jump shot from 18 ft,24,28
1,0:01.0,Defensive rebound by T. Rozier,,24,28
1,0:00.0,T. Rozier misses 3-pt jump shot from 36 ft,,24,28
1,0:00.0,Offensive rebound by Team,,24,28
2,11:40.0,,D. Jones misses 2-pt jump shot from 5 ft,24,28
2,11:40.0,Defensive rebound by Team,,24,28
2,11:40.0,,Loose ball foul by B. Adebayo (drawn by M. Morris),24,28
2,11:15.0,M. Morris misses 2-pt jump shot from 18 ft (block by B. Adebayo),,24,28
2,11:10.0,,Defensive rebound by K. Olynyk,24,28
2,10:58.0,,D. Waiters makes 3-pt jump shot from 25 ft,24,31
2,10:35.0,M. Morris makes 2-pt jump shot from 17 ft (assist by G. Hayward),,26,31
2,10:19.0,,K. Olynyk misses 3-pt jump shot from 23 ft,26,31
2,10:16.0,,Offensive rebound by D. Waiters,26,31
2,10:12.0,,D. Waiters misses 2-pt layup from 2 ft (block by J. Brown),26,31
2,10:12.0,,Offensive rebound by Team,26,31
2,10:06.0,,D. Waiters misses 3-pt jump shot from 25 ft,26,31
2,10:06.0,Defensive rebound by Team,,26,31
2,9:46.0,J. Brown misses 2-pt jump shot from 13 ft,,26,31
2,9:44.0,,Defensive rebound by K. Olynyk,26,31
2,9:32.0,,D. Wade makes 2-pt jump shot from 18 ft,26,33
2,9:16.0,G. Hayward misses 3-pt jump shot from 24 ft,,26,33
2,9:14.0,Offensive rebound by D. Theis,,26,33
2,9:13.0,D. Theis makes 2-pt layup from 1 ft,,28,33
2,8:56.0,,Turnover by D. Wade (bad pass; steal by D. Theis),28,33
2,8:51.0,M. Morris misses 3-pt jump shot from 26 ft,,28,33
2,8:46.0,Offensive rebound by T. Rozier,,28,33
2,8:46.0,T. Rozier misses 2-pt layup at rim,,28,33
2,8:45.0,Offensive rebound by M. Morris,,28,33
2,8:44.0,M. Morris makes 2-pt layup from 1 ft,,30,33
2,8:20.0,,D. Wade misses 2-pt jump shot from 18 ft,30,33
2,8:16.0,Defensive rebound by T. Rozier,,30,33
2,8:11.0,G. Hayward misses 2-pt jump shot from 5 ft,,30,33
2,8:09.0,Offensive rebound by J. Brown,,30,33
2,8:08.0,J. Brown misses 2-pt jump shot from 3 ft (block by D. Jones),,30,33
2,8:08.0,,Defensive rebound by D. Jones,30,33
2,8:02.0,,D. Jones makes 2-pt layup from 1 ft (assist by D. Waiters),30,35
2,7:44.0,G. Hayward misses 2-pt jump shot from 10 ft,,30,35
2,7:42.0,Offensive rebound by D. Theis,,30,35
2,7:40.0,D. Theis misses 2-pt layup at rim,,30,35
2,7:39.0,Offensive rebound by D. Theis,,30,35
2,7:39.0,D. Theis misses 2-pt layup at rim,,30,35
2,7:39.0,,Defensive rebound by D. Jones,30,35
2,7:26.0,,Turnover by D. Wade (bad pass; steal by T. Rozier),30,35
2,7:21.0,T. Rozier makes 2-pt layup from 2 ft,,32,35
2,7:12.0,,Miami full timeout,32,35
2,7:12.0,M. Smart enters the game for J. Brown,,32,35
2,7:12.0,J. Tatum enters the game for G. Hayward,,32,35
2,7:12.0,,J. Winslow enters the game for D. Wade,32,35
2,6:56.0,,D. Waiters misses 2-pt layup from 2 ft,32,35
2,6:52.0,Defensive rebound by J. Tatum,,32,35
2,6:48.0,D. Theis misses 2-pt layup from 2 ft,,32,35
2,6:46.0,,Defensive rebound by D. Jones,32,35
2,6:44.0,,Shooting foul by M. Smart (drawn by J. Winslow),32,35
2,6:44.0,,J. Winslow misses free throw 1 of 2,32,35
2,6:44.0,,Offensive rebound by Team,32,35
2,6:44.0,,T. Johnson enters the game for K. Olynyk,32,35
2,6:44.0,,J. Winslow makes free throw 2 of 2,32,36
2,6:35.0,Personal foul by D. Jones (drawn by M. Morris),,32,36
2,6:35.0,A. Horford enters the game for M. Morris,,32,36
2,6:35.0,K. Irving enters the game for D. Theis,,32,36
2,6:22.0,K. Irving misses 2-pt layup from 2 ft,,32,36
2,6:21.0,Offensive rebound by Team,,32,36
2,6:20.0,Turnover by Team (shot clock),,32,36
2,6:03.0,,T. Johnson misses 2-pt jump shot from 14 ft,32,36
2,6:03.0,,Offensive rebound by Team,32,36
2,5:56.0,,D. Jones makes 2-pt layup from 1 ft (assist by J. Winslow),32,38
2,5:41.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by M. Smart),,35,38
2,5:21.0,,D. Waiters misses 3-pt jump shot from 25 ft,35,38
2,5:21.0,,Offensive rebound by J. Winslow,35,38
2,5:11.0,,J. Winslow makes 2-pt jump shot from 6 ft,35,40
2,4:59.0,K. Irving makes 2-pt jump shot from 16 ft (assist by A. Horford),,37,40
2,4:38.0,,B. Adebayo makes 2-pt jump shot from 12 ft (assist by J. Winslow),37,42
2,4:27.0,Turnover by M. Smart (lost ball; steal by D. Waiters),,37,42
2,4:20.0,,D. Waiters makes 2-pt layup from 1 ft (assist by J. Winslow),37,44
2,4:18.0,Boston full timeout,,37,44
2,4:18.0,G. Hayward enters the game for T. Rozier,,37,44
2,4:18.0,,J. Richardson enters the game for B. Adebayo,37,44
2,4:18.0,,H. Whiteside enters the game for D. Waiters,37,44
2,4:02.0,Personal foul by J. Winslow (drawn by J. Tatum),,37,44
2,3:55.0,J. Tatum misses 3-pt jump shot from 23 ft,,37,44
2,3:51.0,,Defensive rebound by H. Whiteside,37,44
2,3:41.0,,T. Johnson misses 3-pt jump shot from 25 ft,37,44
2,3:40.0,Defensive rebound by Team,,37,44
2,3:28.0,K. Irving makes 2-pt jump shot from 18 ft,,39,44
2,3:07.0,,J. Richardson makes 2-pt layup from 6 ft (assist by J. Winslow),39,46
2,2:58.0,K. Irving makes 2-pt jump shot from 12 ft,,41,46
2,2:47.0,,J. Winslow makes 3-pt jump shot from 25 ft (assist by J. Richardson),41,49
2,2:36.0,A. Horford misses 3-pt jump shot from 26 ft,,41,49
2,2:34.0,,Defensive rebound by T. Johnson,41,49
2,2:19.0,,H. Whiteside makes 2-pt jump shot from 4 ft (assist by J. Winslow),41,51
2,2:02.0,G. Hayward makes 2-pt jump shot from 12 ft,,43,51
2,1:47.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by H. Whiteside),43,54
2,1:32.0,Turnover by K. Irving (lost ball; steal by D. Jones),,43,54
2,1:27.0,,D. Jones makes 2-pt dunk at rim,43,56
2,1:11.0,K. Irving misses 2-pt jump shot from 21 ft,,43,56
2,1:09.0,,Defensive rebound by J. Winslow,43,56
2,0:52.0,,J. Richardson misses 3-pt jump shot from 25 ft,43,56
2,0:52.0,Defensive rebound by Team,,43,56
2,0:52.0,M. Morris enters the game for M. Smart,,43,56
2,0:52.0,,D. Wade enters the game for T. Johnson,43,56
2,0:37.0,G. Hayward misses 3-pt jump shot from 25 ft,,43,56
2,0:35.0,,Defensive rebound by D. Jones,43,56
2,0:20.0,,J. Winslow makes 2-pt jump shot from 17 ft,43,58
2,0:03.0,Offensive foul by K. Irving (drawn by J. Winslow),,43,58
2,0:03.0,Turnover by K. Irving (offensive foul),,43,58
2,0:00.0,,D. Jones makes 3-pt jump shot from 41 ft (assist by J. Winslow),43,61
3,11:40.0,,J. Johnson misses 3-pt jump shot from 27 ft,43,61
3,11:40.0,Defensive rebound by Team,,43,61
