QUARTER,TIME_REMAINING,PHOENIX_ACTION,GOLDEN STATE_ACTION,PHOENIX_SCORE,GOLDEN STATE_SCORE
1,11:40.0,,K. Durant misses 2-pt jump shot from 12 ft,0,0
1,11:39.0,Defensive rebound by K. Oubre,,0,0
1,11:23.0,K. Oubre misses 3-pt jump shot from 26 ft,,0,0
1,11:21.0,,Defensive rebound by D. Green,0,0
1,11:15.0,,D. Green misses 2-pt layup from 2 ft,0,0
1,11:14.0,Defensive rebound by D. Ayton,,0,0
1,11:04.0,Turnover by D. Booker (lost ball; steal by D. Green),,0,0
1,11:01.0,,Shooting foul by D. Bender (drawn by K. Durant),0,0
1,11:01.0,,K. Durant makes free throw 1 of 2,0,1
1,11:01.0,,K. Durant makes free throw 2 of 2,0,2
1,10:45.0,T. Johnson misses 2-pt layup from 8 ft (block by D. Cousins),,0,2
1,10:43.0,,Defensive rebound by S. Curry,0,2
1,10:32.0,,D. Cousins misses 3-pt jump shot from 28 ft,0,2
1,10:30.0,Defensive rebound by D. Booker,,0,2
1,10:25.0,Personal foul by K. Durant (drawn by D. Booker),,0,2
1,10:16.0,D. Ayton misses 2-pt jump shot from 19 ft,,0,2
1,10:15.0,,Defensive rebound by K. Thompson,0,2
1,10:03.0,,D. Green misses 2-pt layup from 3 ft,0,2
1,10:02.0,Defensive rebound by D. Bender,,0,2
1,9:53.0,T. Johnson misses 3-pt jump shot from 26 ft,,0,2
1,9:51.0,,Defensive rebound by S. Curry,0,2
1,9:40.0,,S. Curry misses 3-pt jump shot from 26 ft,0,2
1,9:38.0,Defensive rebound by K. Oubre,,0,2
1,9:33.0,Turnover by K. Oubre (lost ball; steal by K. Durant),,0,2
1,9:27.0,,K. Durant makes 2-pt jump shot from 15 ft (assist by S. Curry),0,4
1,9:11.0,Shooting foul by S. Curry (drawn by T. Johnson),,0,4
1,9:11.0,T. Johnson makes free throw 1 of 2,,1,4
1,9:11.0,T. Johnson misses free throw 2 of 2,,1,4
1,9:10.0,,Defensive rebound by D. Cousins,1,4
1,9:01.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),1,7
1,8:46.0,K. Oubre makes 2-pt jump shot from 22 ft (assist by T. Johnson),,3,7
1,8:39.0,,K. Durant misses 2-pt layup from 2 ft,3,7
1,8:38.0,Defensive rebound by T. Johnson,,3,7
1,8:33.0,Turnover by K. Oubre (bad pass),,3,7
1,8:19.0,,K. Thompson makes 3-pt jump shot from 27 ft,3,10
1,8:04.0,D. Booker misses 2-pt jump shot from 6 ft (block by K. Thompson),,3,10
1,8:02.0,,Defensive rebound by K. Thompson,3,10
1,7:56.0,,K. Thompson makes 2-pt dunk from 1 ft (assist by S. Curry),3,12
1,7:56.0,Phoenix full timeout,,3,12
1,7:44.0,D. Bender misses 2-pt hook shot from 7 ft,,3,12
1,7:43.0,Offensive rebound by D. Bender,,3,12
1,7:43.0,Personal foul by D. Green (drawn by D. Bender),,3,12
1,7:38.0,D. Booker makes 2-pt jump shot from 12 ft,,5,12
1,7:19.0,,K. Thompson makes 2-pt jump shot from 17 ft (assist by D. Green),5,14
1,7:02.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,7,14
1,6:45.0,,K. Thompson misses 3-pt jump shot from 27 ft,7,14
1,6:43.0,Defensive rebound by D. Ayton,,7,14
1,6:30.0,D. Bender misses 3-pt jump shot from 27 ft,,7,14
1,6:28.0,,Defensive rebound by D. Cousins,7,14
1,6:20.0,,D. Green misses 3-pt jump shot from 23 ft,7,14
1,6:16.0,Defensive rebound by D. Ayton,,7,14
1,6:13.0,D. Booker misses 3-pt jump shot from 26 ft,,7,14
1,6:11.0,,Defensive rebound by D. Cousins,7,14
1,6:05.0,,S. Curry misses 3-pt jump shot from 30 ft,7,14
1,6:03.0,Defensive rebound by K. Oubre,,7,14
1,5:56.0,K. Oubre misses 2-pt layup from 9 ft,,7,14
1,5:55.0,,Defensive rebound by D. Green,7,14
1,5:47.0,,K. Durant makes 2-pt dunk at rim (assist by D. Green),7,16
1,5:29.0,D. Ayton makes 2-pt hook shot from 7 ft,,9,16
1,5:17.0,,D. Green makes 2-pt layup from 5 ft (assist by S. Curry),9,18
1,4:53.0,T. Johnson misses 3-pt jump shot from 26 ft,,9,18
1,4:52.0,K. Oubre misses 2-pt layup at rim,,9,18
1,4:52.0,Offensive rebound by K. Oubre,,9,18
1,4:50.0,,Defensive rebound by Team,9,18
1,4:50.0,T. Daniels enters the game for D. Booker,,9,18
1,4:50.0,,K. Looney enters the game for D. Green,9,18
1,4:38.0,,D. Cousins misses 2-pt layup from 4 ft,9,18
1,4:37.0,,Offensive rebound by K. Looney,9,18
1,4:32.0,,Shooting foul by T. Johnson (drawn by K. Durant),9,18
1,4:32.0,,K. Durant makes free throw 1 of 2,9,19
1,4:32.0,,K. Durant misses free throw 2 of 2,9,19
1,4:30.0,Defensive rebound by D. Bender,,9,19
1,4:07.0,D. Ayton misses 2-pt jump shot from 12 ft,,9,19
1,4:06.0,Offensive rebound by T. Johnson,,9,19
1,4:00.0,D. Ayton makes 2-pt hook shot from 9 ft (assist by T. Johnson),,11,19
1,3:41.0,,D. Cousins makes 2-pt layup from 2 ft (assist by K. Thompson),11,21
1,3:41.0,,Shooting foul by D. Bender (drawn by D. Cousins),11,21
1,3:41.0,R. Holmes enters the game for D. Ayton,,11,21
1,3:41.0,J. Jackson enters the game for D. Bender,,11,21
1,3:41.0,,A. Iguodala enters the game for K. Thompson,11,21
1,3:41.0,,D. Cousins makes free throw 1 of 1,11,22
1,3:29.0,T. Daniels misses 3-pt jump shot from 26 ft,,11,22
1,3:27.0,,Defensive rebound by S. Curry,11,22
1,3:21.0,,D. Cousins makes 2-pt hook shot from 5 ft (assist by S. Curry),11,24
1,3:12.0,T. Johnson misses 2-pt jump shot from 8 ft (block by S. Curry),,11,24
1,3:11.0,,Defensive rebound by S. Curry,11,24
1,3:05.0,,S. Curry misses 3-pt jump shot from 26 ft,11,24
1,3:03.0,,Offensive rebound by K. Looney,11,24
1,2:58.0,,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Cousins),11,27
1,2:58.0,Phoenix full timeout,,11,27
1,2:58.0,M. Bridges enters the game for K. Oubre,,11,27
1,2:58.0,,A. McKinnie enters the game for D. Cousins,11,27
1,2:41.0,J. Jackson makes 3-pt jump shot from 27 ft (assist by T. Johnson),,14,27
1,2:32.0,,Offensive foul by S. Curry (drawn by M. Bridges),14,27
1,2:32.0,,Turnover by S. Curry (offensive foul),14,27
1,2:14.0,R. Holmes misses 2-pt hook shot from 10 ft,,14,27
1,2:13.0,,Defensive rebound by K. Looney,14,27
1,2:01.0,,S. Curry misses 2-pt jump shot from 21 ft,14,27
1,2:00.0,,Offensive rebound by K. Looney,14,27
1,2:00.0,,K. Looney misses 2-pt layup from 4 ft,14,27
1,1:59.0,Defensive rebound by R. Holmes,,14,27
1,1:43.0,Turnover by J. Jackson (lost ball; steal by K. Durant),,14,27
1,1:39.0,,A. McKinnie makes 2-pt dunk from 2 ft (assist by A. Iguodala),14,29
1,1:25.0,T. Daniels misses 3-pt jump shot from 28 ft,,14,29
1,1:23.0,,Defensive rebound by A. McKinnie,14,29
1,1:13.0,,Turnover by K. Durant (bad pass; steal by T. Daniels),14,29
