QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
1,11:42.0,D. White misses 2-pt jump shot from 14 ft,,0,0
1,11:39.0,,Defensive rebound by M. Gasol,0,0
1,11:24.0,,M. Conley makes 2-pt jump shot from 11 ft,0,2
1,11:15.0,B. Forbes misses 2-pt jump shot from 7 ft (block by J. Jackson),,0,2
1,11:15.0,Offensive rebound by Team,,0,2
1,11:08.0,D. DeRozan misses 2-pt jump shot from 9 ft,,0,2
1,11:06.0,,Defensive rebound by M. Gasol,0,2
1,10:56.0,,M. Conley misses 2-pt jump shot from 16 ft,0,2
1,10:53.0,Defensive rebound by D. White,,0,2
1,10:37.0,L. Aldridge misses 2-pt jump shot from 11 ft,,0,2
1,10:34.0,,Defensive rebound by M. Gasol,0,2
1,10:28.0,,Personal foul by J. Poeltl (drawn by J. Jackson),0,2
1,10:18.0,,M. Conley misses 3-pt jump shot from 26 ft,0,2
1,10:15.0,Defensive rebound by J. Poeltl,,0,2
1,10:01.0,L. Aldridge misses 2-pt hook shot from 8 ft,,0,2
1,9:59.0,,Defensive rebound by J. Jackson,0,2
1,9:54.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Conley),0,5
1,9:39.0,D. White makes 2-pt jump shot from 5 ft (assist by D. DeRozan),,2,5
1,9:39.0,Shooting foul by G. Temple (drawn by D. White),,2,5
1,9:39.0,D. White makes free throw 1 of 1,,3,5
1,9:26.0,,M. Conley misses 2-pt layup from 1 ft,3,5
1,9:24.0,Defensive rebound by D. White,,3,5
1,9:17.0,Personal foul by J. Jackson (drawn by D. DeRozan),,3,5
1,9:11.0,B. Forbes misses 3-pt jump shot from 25 ft,,3,5
1,9:08.0,,Defensive rebound by M. Gasol,3,5
1,9:02.0,,Turnover by M. Gasol (bad pass),3,5
1,8:47.0,Turnover by J. Poeltl (bad pass; steal by M. Gasol),,3,5
1,8:42.0,,G. Temple misses 3-pt jump shot from 23 ft,3,5
1,8:39.0,Defensive rebound by B. Forbes,,3,5
1,8:24.0,Offensive foul by D. White (drawn by M. Conley),,3,5
1,8:24.0,Turnover by D. White (offensive foul),,3,5
1,8:07.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Conley),3,7
1,7:58.0,Turnover by D. DeRozan (out of bounds lost ball),,3,7
1,7:44.0,,K. Anderson misses 3-pt jump shot from 27 ft,3,7
1,7:44.0,,Offensive rebound by Team,3,7
1,7:44.0,Loose ball foul by D. White (drawn by M. Gasol),,3,7
1,7:44.0,P. Mills enters the game for D. White,,3,7
1,7:36.0,,K. Anderson misses 2-pt jump shot from 1 ft,3,7
1,7:33.0,Defensive rebound by L. Aldridge,,3,7
1,7:27.0,Turnover by P. Mills (bad pass),,3,7
1,7:14.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),3,9
1,7:12.0,San Antonio full timeout,,3,9
1,7:04.0,D. DeRozan makes 2-pt jump shot from 13 ft,,5,9
1,6:47.0,,M. Gasol misses 2-pt jump shot from 19 ft,5,9
1,6:44.0,Defensive rebound by L. Aldridge,,5,9
1,6:36.0,B. Forbes misses 3-pt jump shot from 26 ft,,5,9
1,6:33.0,,Defensive rebound by M. Gasol,5,9
1,6:31.0,,M. Conley makes 2-pt layup at rim (assist by M. Gasol),5,11
1,6:16.0,L. Aldridge misses 2-pt jump shot from 10 ft,,5,11
1,6:13.0,Offensive rebound by L. Aldridge,,5,11
1,6:05.0,D. DeRozan misses 2-pt jump shot from 19 ft (block by M. Gasol),,5,11
1,6:05.0,Offensive rebound by D. DeRozan,,5,11
1,6:05.0,Turnover by Team (shot clock),,5,11
1,6:05.0,M. Belinelli enters the game for D. DeRozan,,5,11
1,6:05.0,D. Bertāns enters the game for J. Poeltl,,5,11
1,5:42.0,,J. Jackson misses 3-pt jump shot from 26 ft,5,11
1,5:38.0,Defensive rebound by D. Bertāns,,5,11
1,5:28.0,Shooting foul by G. Temple (drawn by M. Belinelli),,5,11
