QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
1,11:38.0,A. Wiggins misses 2-pt jump shot from 8 ft,,0,0
1,11:35.0,,Defensive rebound by L. Nance,0,0
1,11:17.0,,R. Hood makes 2-pt jump shot from 2 ft (assist by L. Nance),0,2
1,11:05.0,Personal foul by L. Nance (drawn by T. Gibson),,0,2
1,10:52.0,A. Wiggins misses 2-pt jump shot from 16 ft,,0,2
1,10:49.0,,Defensive rebound by C. Sexton,0,2
1,10:40.0,,T. Thompson makes 2-pt hook shot from 11 ft (assist by L. Nance),0,4
1,10:31.0,Turnover by T. Gibson (traveling),,0,4
1,10:23.0,,Turnover by R. Hood (bad pass),0,4
1,10:08.0,K. Towns misses 2-pt jump shot from 13 ft,,0,4
1,10:05.0,,Defensive rebound by T. Thompson,0,4
1,9:59.0,,C. Sexton misses 2-pt jump shot from 15 ft,0,4
1,9:51.0,,Offensive rebound by T. Thompson,0,4
1,9:51.0,,T. Thompson makes 2-pt dunk from 1 ft,0,6
1,9:48.0,R. Covington makes 2-pt jump shot from 18 ft (assist by K. Towns),,2,6
1,9:35.0,,Personal foul by R. Covington (drawn by T. Thompson),2,6
1,9:24.0,,L. Nance misses 3-pt jump shot from 25 ft,2,6
1,9:20.0,Defensive rebound by K. Towns,,2,6
1,9:11.0,T. Gibson misses 2-pt hook shot from 3 ft,,2,6
1,9:09.0,,Defensive rebound by T. Thompson,2,6
1,8:58.0,,R. Hood misses 3-pt jump shot from 25 ft,2,6
1,8:56.0,,Offensive rebound by T. Thompson,2,6
1,8:46.0,,C. Sexton misses 2-pt jump shot from 21 ft,2,6
1,8:43.0,Defensive rebound by K. Towns,,2,6
1,8:33.0,J. Teague makes 2-pt layup from 1 ft,,4,6
1,8:13.0,,Turnover by T. Thompson (lost ball; steal by T. Gibson),4,6
1,8:04.0,J. Teague misses 3-pt jump shot from 26 ft,,4,6
1,8:00.0,,Defensive rebound by C. Osman,4,6
1,7:53.0,,C. Osman misses 2-pt layup from 5 ft (block by R. Covington),4,6
1,7:49.0,Defensive rebound by R. Covington,,4,6
1,7:47.0,R. Covington makes 3-pt jump shot from 25 ft,,7,6
1,7:28.0,,C. Sexton makes 2-pt jump shot from 21 ft,7,8
