QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
1,11:40.0,K. Kuzma makes 2-pt jump shot from 16 ft (assist by R. Rondo),,2,0
1,11:24.0,,M. Morris misses 3-pt jump shot from 26 ft,2,0
1,11:22.0,Defensive rebound by R. Rondo,,2,0
1,11:11.0,B. Ingram misses 2-pt layup at rim,,2,0
1,11:09.0,,Defensive rebound by K. Irving,2,0
1,11:00.0,,M. Smart misses 3-pt jump shot from 23 ft,2,0
1,10:58.0,Defensive rebound by J. McGee,,2,0
1,10:51.0,J. McGee misses 2-pt layup from 2 ft,,2,0
1,10:49.0,,Defensive rebound by A. Horford,2,0
1,10:44.0,,K. Irving makes 2-pt layup from 2 ft (assist by J. Tatum),2,2
1,10:30.0,L. James misses 2-pt jump shot from 13 ft,,2,2
1,10:28.0,Offensive rebound by R. Rondo,,2,2
1,10:15.0,L. James misses 3-pt jump shot from 24 ft,,2,2
1,10:13.0,,Defensive rebound by K. Irving,2,2
1,10:02.0,,K. Irving misses 2-pt layup from 2 ft (block by B. Ingram),2,2
1,9:59.0,Defensive rebound by K. Kuzma,,2,2
1,9:50.0,K. Kuzma misses 3-pt jump shot from 28 ft,,2,2
1,9:47.0,,Defensive rebound by K. Irving,2,2
1,9:45.0,,Shooting foul by K. Kuzma (drawn by K. Irving),2,2
1,9:45.0,,K. Irving makes free throw 1 of 2,2,3
1,9:45.0,,K. Irving makes free throw 2 of 2,2,4
1,9:29.0,J. McGee misses 2-pt dunk from 2 ft (block by M. Smart),,2,4
1,9:25.0,Offensive rebound by J. McGee,,2,4
1,9:24.0,J. McGee makes 2-pt hook shot from 7 ft,,4,4
1,9:15.0,,J. Tatum makes 2-pt jump shot from 13 ft (assist by M. Smart),4,6
1,9:04.0,Turnover by R. Rondo (bad pass; steal by A. Horford),,4,6
1,8:59.0,,K. Irving misses 3-pt jump shot from 25 ft,4,6
1,8:57.0,Defensive rebound by J. McGee,,4,6
1,8:52.0,Personal foul by J. Tatum (drawn by L. James),,4,6
1,8:44.0,B. Ingram misses 2-pt jump shot from 18 ft,,4,6
1,8:42.0,Offensive rebound by J. McGee,,4,6
1,8:40.0,Turnover by J. McGee (lost ball; steal by K. Irving),,4,6
1,8:36.0,,Turnover by A. Horford (discontinued dribble),4,6
1,8:19.0,B. Ingram misses 2-pt jump shot from 9 ft,,4,6
1,8:17.0,,Defensive rebound by M. Morris,4,6
1,8:11.0,,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),4,8
1,7:43.0,L. James makes 2-pt layup from 2 ft,,6,8
1,7:30.0,,Offensive foul by M. Morris (drawn by R. Rondo),6,8
1,7:30.0,,Turnover by M. Morris (offensive foul),6,8
1,7:30.0,,Violation by Team (delay of game),6,8
1,7:14.0,B. Ingram misses 3-pt jump shot from 23 ft,,6,8
1,7:11.0,Offensive rebound by R. Rondo,,6,8
1,7:05.0,R. Rondo makes 3-pt jump shot from 28 ft (assist by K. Kuzma),,9,8
1,6:48.0,,M. Smart makes 3-pt jump shot from 25 ft (assist by J. Tatum),9,11
1,6:36.0,J. McGee misses 2-pt hook shot from 11 ft,,9,11
1,6:35.0,,Defensive rebound by A. Horford,9,11
1,6:28.0,,A. Horford misses 2-pt jump shot from 11 ft,9,11
1,6:26.0,Defensive rebound by L. James,,9,11
1,6:18.0,,Violation by Team (kicked ball),9,11
1,6:18.0,,Boston full timeout,9,11
1,6:18.0,K. Caldwell-Pope enters the game for R. Rondo,,9,11
1,6:18.0,,G. Hayward enters the game for J. Tatum,9,11
1,6:11.0,K. Kuzma misses 2-pt jump shot from 8 ft,,9,11
1,6:08.0,Offensive rebound by J. McGee,,9,11
1,6:06.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,9,11
1,6:03.0,,Defensive rebound by M. Morris,9,11
1,5:50.0,,K. Irving makes 2-pt jump shot from 14 ft,9,13
1,5:39.0,Shooting foul by M. Smart (drawn by J. McGee),,9,13
1,5:39.0,J. McGee misses free throw 1 of 2,,9,13
1,5:39.0,Offensive rebound by Team,,9,13
1,5:39.0,J. McGee makes free throw 2 of 2,,10,13
1,5:26.0,,Turnover by A. Horford (lost ball; steal by L. James),10,13
1,5:21.0,Turnover by L. James (bad pass; steal by A. Horford),,10,13
1,5:15.0,,M. Smart makes 3-pt jump shot from 24 ft (assist by K. Irving),10,16
1,4:58.0,Shooting foul by A. Horford (drawn by B. Ingram),,10,16
1,4:58.0,B. Ingram misses free throw 1 of 2,,10,16
1,4:58.0,Offensive rebound by Team,,10,16
1,4:58.0,T. Chandler enters the game for J. McGee,,10,16
1,4:58.0,B. Ingram misses free throw 2 of 2,,10,16
1,4:56.0,,Defensive rebound by A. Horford,10,16
1,4:35.0,,A. Horford misses 2-pt hook shot from 4 ft,10,16
1,4:34.0,Defensive rebound by L. James,,10,16
1,4:30.0,L. James makes 2-pt layup at rim,,12,16
1,4:30.0,Shooting foul by A. Horford (drawn by L. James),,12,16
1,4:30.0,L. James makes free throw 1 of 1,,13,16
1,4:23.0,,Personal foul by T. Chandler (drawn by A. Horford),13,16
