QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW YORK_ACTION,WASHINGTON_SCORE,NEW YORK_SCORE
1,11:47.0,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),,2,0
1,11:21.0,,E. Freedom makes 2-pt layup from 1 ft,2,2
1,11:07.0,T. Satoranský misses 3-pt jump shot from 23 ft,,2,2
1,11:05.0,,Defensive rebound by E. Freedom,2,2
1,10:51.0,,E. Freedom misses 2-pt jump shot from 7 ft,2,2
1,10:49.0,Defensive rebound by T. Bryant,,2,2
1,10:41.0,B. Beal makes 2-pt jump shot from 16 ft (assist by J. Wall),,4,2
1,10:27.0,,E. Mudiay misses 2-pt jump shot from 7 ft (block by O. Porter),4,2
1,10:26.0,Defensive rebound by Team,,4,2
1,10:07.0,J. Wall misses 3-pt jump shot from 28 ft,,4,2
1,10:05.0,,Defensive rebound by N. Vonleh,4,2
1,9:58.0,,E. Mudiay misses 2-pt layup from 1 ft (block by O. Porter),4,2
1,9:56.0,Defensive rebound by T. Bryant,,4,2
1,9:49.0,J. Wall misses 2-pt jump shot from 14 ft,,4,2
1,9:47.0,,Defensive rebound by E. Freedom,4,2
1,9:39.0,,Turnover by E. Mudiay (bad pass; steal by O. Porter),4,2
1,9:25.0,J. Wall misses 2-pt jump shot from 14 ft,,4,2
1,9:23.0,,Defensive rebound by N. Vonleh,4,2
1,9:09.0,,M. Hezonja misses 3-pt jump shot from 22 ft,4,2
1,9:07.0,Defensive rebound by B. Beal,,4,2
1,8:59.0,Shooting foul by M. Hezonja (drawn by T. Bryant),,4,2
1,8:59.0,T. Bryant makes free throw 1 of 2,,5,2
1,8:59.0,T. Bryant makes free throw 2 of 2,,6,2
1,8:52.0,,T. Hardaway misses 3-pt jump shot from 29 ft,6,2
1,8:50.0,,Offensive rebound by N. Vonleh,6,2
1,8:48.0,,N. Vonleh makes 2-pt hook shot from 1 ft,6,4
1,8:31.0,T. Satoranský misses 2-pt jump shot from 12 ft,,6,4
1,8:29.0,,Defensive rebound by M. Hezonja,6,4
1,8:22.0,,Turnover by M. Hezonja (bad pass; steal by O. Porter),6,4
1,8:18.0,B. Beal makes 2-pt jump shot from 10 ft (assist by T. Satoranský),,8,4
1,8:08.0,,T. Hardaway makes 2-pt layup at rim,8,6
1,7:55.0,O. Porter makes 2-pt jump shot from 15 ft,,10,6
1,7:34.0,,T. Hardaway makes 3-pt jump shot from 24 ft,10,9
1,7:28.0,Turnover by J. Wall (bad pass),,10,9
1,7:10.0,,Shooting foul by B. Beal (drawn by M. Hezonja),10,9
1,7:10.0,,M. Hezonja makes free throw 1 of 2,10,10
1,7:10.0,,M. Hezonja makes free throw 2 of 2,10,11
1,6:57.0,Turnover by B. Beal (bad pass; steal by E. Freedom),,10,11
1,6:51.0,,M. Hezonja makes 2-pt jump shot from 8 ft,10,13
1,6:33.0,J. Wall makes 2-pt layup at rim,,12,13
1,6:23.0,,N. Vonleh makes 3-pt jump shot from 25 ft (assist by E. Mudiay),12,16
1,5:57.0,T. Bryant misses 3-pt jump shot from 24 ft,,12,16
1,5:55.0,,Defensive rebound by E. Freedom,12,16
1,5:49.0,,E. Mudiay misses 2-pt layup from 2 ft,12,16
1,5:47.0,,Offensive rebound by E. Freedom,12,16
1,5:47.0,,E. Freedom makes 2-pt layup from 1 ft,12,18
1,5:47.0,Washington full timeout,,12,18
1,5:24.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by J. Wall),,15,18
1,5:07.0,,M. Hezonja misses 2-pt layup from 1 ft,15,18
1,5:05.0,,Offensive rebound by E. Freedom,15,18
1,5:05.0,,E. Freedom makes 2-pt layup from 1 ft,15,20
1,4:50.0,Offensive foul by J. Wall (drawn by T. Hardaway),,15,20
1,4:50.0,Turnover by J. Wall (offensive foul),,15,20
1,4:50.0,M. Morris enters the game for T. Bryant,,15,20
1,4:40.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by T. Hardaway),15,23
1,4:16.0,O. Porter misses 3-pt jump shot from 23 ft,,15,23
1,4:14.0,,Defensive rebound by E. Mudiay,15,23
1,4:01.0,,N. Vonleh makes 2-pt layup from 1 ft (assist by E. Freedom),15,25
1,3:48.0,J. Wall makes 2-pt layup from 1 ft,,17,25
1,3:40.0,,Offensive foul by E. Freedom (drawn by M. Morris),17,25
1,3:40.0,,Turnover by E. Freedom (offensive foul),17,25
1,3:40.0,K. Oubre enters the game for O. Porter,,17,25
1,3:40.0,,K. Knox enters the game for M. Hezonja,17,25
1,3:40.0,,A. Trier enters the game for E. Mudiay,17,25
1,3:32.0,B. Beal misses 3-pt jump shot from 25 ft,,17,25
1,3:30.0,,Defensive rebound by E. Freedom,17,25
1,3:19.0,,T. Hardaway misses 3-pt jump shot from 27 ft,17,25
1,3:17.0,Defensive rebound by M. Morris,,17,25
1,3:05.0,Shooting foul by E. Freedom (drawn by J. Wall),,17,25
1,3:05.0,J. Green enters the game for T. Satoranský,,17,25
1,3:05.0,,M. Robinson enters the game for E. Freedom,17,25
1,3:05.0,J. Wall makes free throw 1 of 2,,18,25
1,3:05.0,J. Wall makes free throw 2 of 2,,19,25
1,2:53.0,,K. Knox makes 2-pt jump shot from 19 ft,19,27
1,2:34.0,Turnover by J. Wall (bad pass),,19,27
1,2:34.0,,New York full timeout,19,27
1,2:34.0,A. Rivers enters the game for J. Wall,,19,27
1,2:25.0,,Turnover by N. Vonleh (out of bounds lost ball),19,27
1,2:13.0,A. Rivers misses 3-pt jump shot from 27 ft,,19,27
1,2:11.0,,Defensive rebound by Team,19,27
1,1:53.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Knox),19,29
1,1:36.0,B. Beal makes 2-pt jump shot from 17 ft,,21,29
1,1:24.0,,T. Hardaway makes 3-pt jump shot from 26 ft,21,32
1,1:09.0,B. Beal misses 2-pt jump shot from 15 ft,,21,32
1,1:07.0,,Defensive rebound by N. Vonleh,21,32
1,0:58.0,,Offensive foul by N. Vonleh (drawn by K. Oubre),21,32
1,0:58.0,,Turnover by N. Vonleh (offensive foul),21,32
1,0:58.0,,D. Dotson enters the game for N. Vonleh,21,32
1,0:46.0,K. Oubre makes 3-pt jump shot from 24 ft (assist by M. Morris),,24,32
1,0:27.0,,T. Hardaway misses 3-pt jump shot from 26 ft,24,32
1,0:25.0,Defensive rebound by M. Morris,,24,32
1,0:07.0,Personal foul by M. Robinson (drawn by B. Beal),,24,32
1,0:00.0,B. Beal makes 2-pt layup from 2 ft,,26,32
2,11:45.0,,D. Dotson misses 3-pt jump shot from 26 ft (block by K. Oubre),26,32
2,11:43.0,,Offensive rebound by D. Dotson,26,32
2,11:40.0,,D. Dotson misses 2-pt jump shot from 14 ft,26,32
2,11:38.0,Defensive rebound by J. Green,,26,32
2,11:28.0,K. Oubre misses 2-pt jump shot from 19 ft (block by M. Robinson),,26,32
2,11:26.0,Offensive rebound by Team,,26,32
2,11:26.0,Away from play foul by C. Lee (drawn by A. Rivers),,26,32
2,11:26.0,J. Green misses free throw 1 of 1,,26,32
2,11:26.0,Offensive rebound by Team,,26,32
2,11:16.0,M. Morris misses 2-pt hook shot from 7 ft,,26,32
2,11:14.0,,Defensive rebound by K. Knox,26,32
2,11:08.0,,K. Knox misses 2-pt jump shot from 13 ft,26,32
2,11:07.0,Defensive rebound by M. Morris,,26,32
2,10:54.0,T. Satoranský misses 3-pt jump shot from 25 ft,,26,32
2,10:52.0,Offensive rebound by K. Oubre,,26,32
2,10:47.0,Shooting foul by D. Dotson (drawn by M. Morris),,26,32
2,10:47.0,M. Morris misses free throw 1 of 2,,26,32
2,10:47.0,Offensive rebound by Team,,26,32
2,10:47.0,M. Morris makes free throw 2 of 2,,27,32
2,10:32.0,,K. Knox makes 2-pt jump shot from 21 ft,27,34
2,10:17.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by A. Rivers),,30,34
2,10:07.0,,K. Knox misses 3-pt jump shot from 26 ft,30,34
2,10:05.0,,Offensive rebound by Team,30,34
2,10:05.0,,Away from play foul by J. Green (drawn by D. Dotson),30,34
2,10:05.0,,C. Lee makes free throw 1 of 1,30,35
2,10:02.0,,A. Trier misses 3-pt jump shot from 26 ft,30,35
2,10:02.0,Defensive rebound by K. Oubre,,30,35
2,9:49.0,K. Oubre makes 2-pt dunk from 2 ft,,32,35
2,9:38.0,,Personal foul by J. Green (drawn by K. Knox),32,35
2,9:33.0,,D. Dotson makes 2-pt jump shot from 20 ft (assist by M. Robinson),32,37
2,9:20.0,J. Green misses 2-pt jump shot from 23 ft,,32,37
2,9:18.0,,Defensive rebound by D. Dotson,32,37
2,9:07.0,,A. Trier misses 2-pt jump shot from 22 ft,32,37
2,9:04.0,,Offensive rebound by C. Lee,32,37
2,8:51.0,,K. Knox misses 2-pt layup from 1 ft,32,37
2,8:49.0,Defensive rebound by M. Morris,,32,37
2,8:45.0,K. Oubre makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,35,37
2,8:38.0,,New York full timeout,35,37
2,8:38.0,,E. Mudiay enters the game for A. Trier,35,37
2,8:26.0,,K. Knox makes 2-pt jump shot from 21 ft (assist by D. Dotson),35,39
2,8:12.0,M. Morris misses 2-pt layup from 1 ft (block by M. Robinson),,35,39
2,8:12.0,Offensive rebound by Team,,35,39
2,8:12.0,J. Wall enters the game for T. Satoranský,,35,39
2,8:04.0,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),,38,39
2,7:48.0,,D. Dotson makes 3-pt jump shot from 25 ft (assist by E. Mudiay),38,42
2,7:36.0,Offensive foul by M. Morris (drawn by E. Mudiay),,38,42
2,7:36.0,Turnover by M. Morris (offensive foul),,38,42
2,7:36.0,,N. Vonleh enters the game for M. Robinson,38,42
2,7:17.0,,N. Vonleh makes 2-pt hook shot at rim (assist by K. Knox),38,44
2,7:16.0,,Violation by Team (delay of game),38,44
2,7:05.0,J. Wall misses 2-pt layup from 2 ft (block by N. Vonleh),,38,44
2,7:03.0,,Defensive rebound by E. Mudiay,38,44
2,7:02.0,,Shooting foul by A. Rivers (drawn by K. Knox),38,44
2,7:02.0,Washington full timeout,,38,44
2,7:02.0,B. Beal enters the game for A. Rivers,,38,44
2,7:02.0,,T. Hardaway enters the game for C. Lee,38,44
2,7:02.0,,K. Knox makes free throw 1 of 2,38,45
2,7:02.0,,K. Knox makes free throw 2 of 2,38,46
2,6:43.0,Def 3 sec tech foul by Team,,38,46
2,6:43.0,O. Porter enters the game for J. Green,,38,46
2,6:43.0,B. Beal makes technical free throw,,39,46
2,6:40.0,B. Beal misses 2-pt jump shot from 20 ft,,39,46
2,6:39.0,Offensive rebound by Team,,39,46
2,6:39.0,Personal foul by K. Knox (drawn by O. Porter),,39,46
2,6:35.0,Personal foul by T. Hardaway (drawn by B. Beal),,39,46
2,6:25.0,J. Wall misses 2-pt layup from 1 ft,,39,46
2,6:21.0,Offensive rebound by B. Beal,,39,46
2,6:17.0,J. Wall makes 2-pt layup at rim,,41,46
2,5:59.0,,Shooting foul by M. Morris (drawn by K. Knox),41,46
2,5:59.0,,K. Knox misses free throw 1 of 2,41,46
2,5:59.0,,Offensive rebound by Team,41,46
2,5:59.0,,K. Knox misses free throw 2 of 2,41,46
2,5:57.0,Defensive rebound by O. Porter,,41,46
2,5:44.0,M. Morris makes 2-pt layup from 1 ft (assist by B. Beal),,43,46
2,5:23.0,,K. Knox misses 3-pt jump shot from 23 ft,43,46
2,5:21.0,Defensive rebound by K. Oubre,,43,46
2,5:16.0,Personal foul by T. Hardaway (drawn by J. Wall),,43,46
2,5:16.0,I. Mahinmi enters the game for M. Morris,,43,46
2,5:16.0,,M. Hezonja enters the game for D. Dotson,43,46
2,5:16.0,,E. Freedom enters the game for K. Knox,43,46
2,5:16.0,J. Wall makes free throw 1 of 2,,44,46
2,5:16.0,J. Wall misses free throw 2 of 2,,44,46
2,5:14.0,,Defensive rebound by E. Freedom,44,46
2,5:04.0,,E. Mudiay misses 2-pt layup from 2 ft (block by O. Porter),44,46
2,5:02.0,Defensive rebound by B. Beal,,44,46
2,4:57.0,B. Beal misses 2-pt layup from 2 ft,,44,46
2,4:55.0,,Defensive rebound by E. Freedom,44,46
2,4:41.0,,Personal foul by O. Porter (drawn by M. Hezonja),44,46
2,4:41.0,,M. Hezonja makes free throw 1 of 2,44,47
2,4:41.0,,M. Hezonja makes free throw 2 of 2,44,48
2,4:31.0,Turnover by J. Wall (step out of bounds),,44,48
2,4:12.0,,M. Hezonja misses 3-pt jump shot from 25 ft,44,48
2,4:10.0,Defensive rebound by O. Porter,,44,48
2,3:55.0,B. Beal makes 2-pt jump shot from 5 ft (assist by J. Wall),,46,48
2,3:43.0,,T. Hardaway makes 2-pt layup from 1 ft,46,50
2,3:37.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,48,50
2,3:22.0,,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),48,52
2,3:10.0,B. Beal misses 3-pt jump shot from 24 ft,,48,52
2,3:08.0,,Defensive rebound by M. Hezonja,48,52
2,2:50.0,,E. Mudiay misses 3-pt jump shot from 26 ft,48,52
2,2:49.0,,Offensive rebound by E. Freedom,48,52
