QUARTER,TIME_REMAINING,INDIANA_ACTION,GOLDEN STATE_ACTION,INDIANA_SCORE,GOLDEN STATE_SCORE
1,11:48.0,,K. Thompson misses 3-pt jump shot from 27 ft,0,0
1,11:46.0,,Offensive rebound by D. Cousins,0,0
1,11:42.0,,D. Cousins misses 2-pt hook shot from 3 ft,0,0
1,11:41.0,Defensive rebound by W. Matthews,,0,0
1,11:26.0,W. Matthews misses 3-pt jump shot from 27 ft,,0,0
1,11:24.0,,Defensive rebound by D. Cousins,0,0
1,11:14.0,,Turnover by K. Durant (step out of bounds),0,0
1,10:54.0,T. Young misses 2-pt dunk from 3 ft (block by K. Durant),,0,0
1,10:52.0,,Defensive rebound by D. Green,0,0
1,10:48.0,,K. Thompson misses 3-pt jump shot from 23 ft,0,0
1,10:46.0,Defensive rebound by B. Bogdanović,,0,0
1,10:39.0,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Cousins),,0,0
1,10:37.0,Offensive rebound by T. Young,,0,0
1,10:32.0,T. Young makes 3-pt jump shot from 23 ft,,3,0
1,10:23.0,,K. Thompson misses 2-pt layup from 2 ft,3,0
1,10:22.0,Defensive rebound by M. Turner,,3,0
1,10:11.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,3,0
1,10:09.0,,Defensive rebound by Team,3,0
1,9:59.0,,K. Durant makes 2-pt jump shot from 19 ft (assist by K. Thompson),3,2
1,9:48.0,M. Turner misses 3-pt jump shot from 27 ft,,3,2
1,9:46.0,Offensive rebound by T. Young,,3,2
1,9:42.0,T. Young misses 3-pt jump shot from 23 ft,,3,2
1,9:40.0,,Defensive rebound by K. Durant,3,2
1,9:31.0,,K. Durant makes 2-pt jump shot from 17 ft,3,4
1,9:07.0,Turnover by W. Matthews (back court),,3,4
1,8:52.0,,D. Cousins misses 3-pt jump shot from 27 ft,3,4
1,8:50.0,Defensive rebound by T. Young,,3,4
1,8:35.0,C. Joseph misses 2-pt jump shot from 19 ft,,3,4
1,8:34.0,,Defensive rebound by D. Cousins,3,4
1,8:11.0,,K. Thompson misses 2-pt jump shot from 21 ft,3,4
1,8:10.0,Defensive rebound by T. Young,,3,4
1,7:53.0,T. Young misses 2-pt hook shot from 11 ft,,3,4
1,7:52.0,,Defensive rebound by D. Cousins,3,4
1,7:44.0,,D. Cousins makes 2-pt layup from 2 ft (assist by S. Curry),3,6
1,7:44.0,,Shooting foul by T. Young (drawn by D. Cousins),3,6
1,7:44.0,,D. Cousins makes free throw 1 of 1,3,7
1,7:38.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,7
1,7:36.0,,Defensive rebound by K. Thompson,3,7
1,7:26.0,,Turnover by S. Curry (bad pass; steal by C. Joseph),3,7
1,7:21.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Young),,5,7
1,7:04.0,,K. Thompson misses 2-pt jump shot from 19 ft,5,7
1,7:03.0,Defensive rebound by M. Turner,,5,7
1,6:42.0,M. Turner misses 2-pt layup from 2 ft,,5,7
1,6:41.0,Offensive rebound by T. Young,,5,7
1,6:41.0,T. Young makes 2-pt layup at rim,,7,7
1,6:25.0,,K. Thompson misses 3-pt jump shot from 28 ft,7,7
1,6:23.0,Defensive rebound by B. Bogdanović,,7,7
1,6:07.0,M. Turner makes 2-pt jump shot from 10 ft (assist by C. Joseph),,9,7
1,5:57.0,,Shooting foul by M. Turner (drawn by D. Cousins),9,7
1,5:57.0,,Golden State full timeout,9,7
1,5:57.0,T. Evans enters the game for B. Bogdanović,,9,7
1,5:57.0,D. Sabonis enters the game for T. Young,,9,7
1,5:57.0,,D. Cousins misses free throw 1 of 2,9,7
1,5:57.0,,Offensive rebound by Team,9,7
1,5:57.0,,D. Cousins makes free throw 2 of 2,9,8
1,5:43.0,C. Joseph misses 2-pt layup from 4 ft,,9,8
1,5:42.0,,Defensive rebound by Team,9,8
1,5:25.0,,D. Cousins makes 2-pt layup from 3 ft,9,10
1,5:02.0,D. Sabonis misses 2-pt jump shot from 8 ft,,9,10
1,5:02.0,Offensive rebound by Team,,9,10
1,5:02.0,,Loose ball foul by D. Cousins (drawn by M. Turner),9,10
1,5:02.0,,S. Livingston enters the game for D. Cousins,9,10
1,5:02.0,,K. Looney enters the game for K. Thompson,9,10
1,4:50.0,M. Turner misses 2-pt layup from 5 ft (block by K. Durant),,9,10
1,4:48.0,,Defensive rebound by K. Looney,9,10
1,4:41.0,,Turnover by K. Durant (traveling),9,10
1,4:21.0,Shooting foul by S. Livingston (drawn by D. Sabonis),,9,10
1,4:21.0,D. Sabonis makes free throw 1 of 2,,10,10
1,4:21.0,D. Sabonis misses free throw 2 of 2,,10,10
1,4:20.0,,Defensive rebound by D. Green,10,10
1,4:03.0,,S. Livingston makes 2-pt jump shot from 16 ft (assist by K. Looney),10,12
1,4:03.0,,Shooting foul by T. Evans (drawn by S. Livingston),10,12
1,4:03.0,,S. Livingston misses free throw 1 of 1,10,12
1,4:02.0,Defensive rebound by W. Matthews,,10,12
1,3:47.0,T. Evans misses 2-pt jump shot from 20 ft,,10,12
1,3:45.0,,Defensive rebound by S. Livingston,10,12
1,3:39.0,,K. Durant misses 3-pt jump shot from 27 ft,10,12
1,3:37.0,Defensive rebound by T. Evans,,10,12
1,3:29.0,M. Turner misses 2-pt jump shot from 5 ft (block by K. Durant),,10,12
1,3:27.0,,Defensive rebound by K. Looney,10,12
1,3:13.0,,S. Curry misses 3-pt jump shot from 26 ft,10,12
1,3:11.0,Defensive rebound by D. Sabonis,,10,12
1,3:04.0,Indiana full timeout,,10,12
1,3:04.0,D. McDermott enters the game for W. Matthews,,10,12
1,3:04.0,,A. Iguodala enters the game for K. Durant,10,12
1,2:48.0,C. Joseph misses 3-pt jump shot from 26 ft,,10,12
1,2:43.0,,Defensive rebound by K. Looney,10,12
1,2:41.0,,A. Iguodala makes 2-pt dunk from 2 ft (assist by S. Curry),10,14
1,2:34.0,Violation by Team (delay of game),,10,14
1,2:28.0,M. Turner misses 3-pt jump shot from 26 ft,,10,14
1,2:25.0,,Defensive rebound by A. Iguodala,10,14
1,2:17.0,,Turnover by D. Green (bad pass; steal by C. Joseph),10,14
1,2:13.0,Shooting foul by K. Looney (drawn by T. Evans),,10,14
1,2:13.0,T. Evans makes free throw 1 of 2,,11,14
1,2:13.0,B. Bogdanović enters the game for M. Turner,,11,14
1,2:13.0,T. Evans makes free throw 2 of 2,,12,14
1,1:59.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by S. Livingston),12,17
1,1:46.0,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),,14,17
1,1:46.0,Shooting foul by K. Looney (drawn by D. McDermott),,14,17
1,1:46.0,D. McDermott makes free throw 1 of 1,,15,17
1,1:46.0,,A. Bogut enters the game for K. Looney,15,17
1,1:29.0,,S. Curry misses 3-pt jump shot from 27 ft,15,17
1,1:27.0,,Offensive rebound by A. Bogut,15,17
1,1:25.0,,A. Bogut misses 2-pt layup from 1 ft,15,17
1,1:24.0,Defensive rebound by D. Sabonis,,15,17
1,1:19.0,D. Sabonis makes 2-pt layup from 3 ft,,17,17
1,1:08.0,,Turnover by A. Bogut (bad pass; steal by C. Joseph),17,17
1,1:04.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,17,17
1,0:59.0,Offensive rebound by D. Sabonis,,17,17
1,0:52.0,D. McDermott misses 3-pt jump shot from 26 ft,,17,17
1,0:49.0,Offensive rebound by C. Joseph,,17,17
1,0:47.0,Turnover by Team (shot clock),,17,17
1,0:47.0,A. Holiday enters the game for C. Joseph,,17,17
1,0:37.0,,S. Curry misses 3-pt jump shot from 30 ft,17,17
1,0:28.0,Defensive rebound by B. Bogdanović,,17,17
1,0:27.0,Turnover by B. Bogdanović (lost ball; steal by S. Livingston),,17,17
1,0:23.0,,D. Green makes 2-pt dunk from 1 ft (assist by S. Livingston),17,19
1,0:03.0,Personal foul by A. Bogut (drawn by A. Holiday),,17,19
1,0:03.0,A. Holiday makes free throw 1 of 2,,18,19
1,0:03.0,,Q. Cook enters the game for A. Bogut,18,19
1,0:03.0,,K. Durant enters the game for A. Iguodala,18,19
1,0:03.0,,K. Thompson enters the game for S. Livingston,18,19
1,0:03.0,A. Holiday makes free throw 2 of 2,,19,19
1,0:01.0,,S. Curry misses 3-pt jump shot from 48 ft,19,19
1,0:00.0,,Offensive rebound by Team,19,19
2,11:47.0,Personal foul by D. Cousins (drawn by T. Evans),,19,19
2,11:38.0,D. McDermott misses 2-pt layup from 2 ft,,19,19
2,11:32.0,,Defensive rebound by D. Cousins,19,19
2,11:15.0,,Turnover by A. Iguodala (bad pass),19,19
2,11:05.0,Shooting foul by S. Livingston (drawn by B. Bogdanović),,19,19
2,11:05.0,B. Bogdanović makes free throw 1 of 2,,20,19
2,11:05.0,B. Bogdanović makes free throw 2 of 2,,21,19
2,10:46.0,,Q. Cook makes 2-pt jump shot from 20 ft (assist by K. Thompson),21,21
2,10:39.0,T. Evans misses 3-pt jump shot from 27 ft,,21,21
2,10:29.0,,Defensive rebound by D. Cousins,21,21
2,10:22.0,,S. Livingston makes 2-pt layup from 2 ft (assist by D. Cousins),21,23
2,10:13.0,Turnover by D. McDermott (bad pass),,21,23
2,9:58.0,,D. Cousins makes 2-pt jump shot from 19 ft (assist by K. Thompson),21,25
2,9:40.0,D. Sabonis misses 2-pt jump shot from 17 ft,,21,25
2,9:37.0,,Defensive rebound by K. Thompson,21,25
2,9:29.0,,Q. Cook misses 3-pt jump shot from 26 ft,21,25
2,9:25.0,,Offensive rebound by K. Thompson,21,25
2,9:22.0,,K. Thompson misses 2-pt jump shot from 20 ft,21,25
2,9:19.0,Defensive rebound by B. Bogdanović,,21,25
2,9:13.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,24,25
2,8:48.0,,D. Cousins misses 2-pt jump shot from 17 ft,24,25
2,8:45.0,Defensive rebound by D. Sabonis,,24,25
2,8:39.0,T. Evans makes 2-pt jump shot from 19 ft,,26,25
2,8:21.0,,Shooting foul by D. Sabonis (drawn by K. Thompson),26,25
2,8:21.0,,K. Thompson makes free throw 1 of 2,26,26
2,8:21.0,T. Young enters the game for B. Bogdanović,,26,26
2,8:21.0,,K. Durant enters the game for S. Livingston,26,26
2,8:21.0,,K. Thompson makes free throw 2 of 2,26,27
2,8:05.0,T. Young makes 2-pt hook shot from 9 ft,,28,27
2,7:46.0,,K. Thompson makes 2-pt jump shot from 11 ft (assist by K. Durant),28,29
2,7:37.0,Offensive foul by T. Evans (drawn by D. Cousins),,28,29
2,7:37.0,Turnover by T. Evans (offensive foul),,28,29
2,7:25.0,,K. Thompson misses 3-pt jump shot from 26 ft,28,29
2,7:22.0,Defensive rebound by D. Sabonis,,28,29
2,7:18.0,T. Evans misses 2-pt layup from 5 ft (block by K. Thompson),,28,29
2,7:17.0,,Defensive rebound by D. Cousins,28,29
2,7:12.0,,K. Thompson makes 2-pt layup from 3 ft (assist by D. Cousins),28,31
2,7:03.0,Indiana full timeout,,28,31
2,7:03.0,W. Matthews enters the game for T. Evans,,28,31
2,7:03.0,,J. Jerebko enters the game for A. Iguodala,28,31
2,6:51.0,D. Sabonis misses 2-pt jump shot from 6 ft (block by J. Jerebko),,28,31
2,6:47.0,,Defensive rebound by J. Jerebko,28,31
2,6:32.0,,Shooting foul by D. Sabonis (drawn by D. Cousins),28,31
2,6:32.0,,Offensive rebound by Team,28,31
2,6:32.0,,D. Cousins misses free throw 1 of 2,28,31
2,6:32.0,C. Joseph enters the game for A. Holiday,,28,31
2,6:32.0,M. Turner enters the game for D. Sabonis,,28,31
2,6:32.0,,D. Cousins makes free throw 2 of 2,28,32
2,6:14.0,D. McDermott makes 2-pt jump shot from 11 ft,,30,32
