QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
1,11:45.0,N. Bjelica misses 2-pt jump shot from 9 ft,,0,0
1,11:40.0,,Defensive rebound by J. Jackson,0,0
1,11:22.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by G. Temple),0,2
1,11:12.0,D. Fox misses 2-pt jump shot from 18 ft,,0,2
1,11:10.0,,Defensive rebound by M. Gasol,0,2
1,11:01.0,,J. Jackson misses 2-pt hook shot from 5 ft,0,2
1,10:58.0,Defensive rebound by N. Bjelica,,0,2
1,10:40.0,Turnover by B. Hield (bad pass; steal by G. Temple),,0,2
1,10:38.0,,G. Temple makes 2-pt layup at rim,0,4
1,10:38.0,,Shooting foul by N. Bjelica (drawn by G. Temple),0,4
1,10:38.0,,G. Temple makes free throw 1 of 1,0,5
1,10:27.0,N. Bjelica misses 3-pt jump shot from 27 ft,,0,5
1,10:24.0,,Defensive rebound by Team,0,5
1,10:12.0,,Turnover by M. Gasol (lost ball; steal by B. Hield),0,5
1,10:07.0,B. Hield makes 2-pt layup from 1 ft,,2,5
1,9:51.0,,J. Jackson makes 2-pt layup from 2 ft,2,7
1,9:42.0,Turnover by N. Bjelica (bad pass),,2,7
1,9:22.0,,K. Anderson misses 2-pt layup from 6 ft,2,7
1,9:18.0,Defensive rebound by D. Fox,,2,7
1,9:15.0,B. Hield misses 3-pt jump shot from 26 ft,,2,7
1,9:12.0,,Defensive rebound by G. Temple,2,7
1,8:56.0,,J. Jackson makes 2-pt layup from 1 ft,2,9
1,8:55.0,Sacramento full timeout,,2,9
1,8:38.0,N. Bjelica misses 3-pt jump shot from 26 ft,,2,9
1,8:34.0,,Defensive rebound by K. Anderson,2,9
1,8:20.0,,J. Jackson misses 2-pt hook shot from 4 ft,2,9
1,8:16.0,Defensive rebound by W. Cauley-Stein,,2,9
1,8:12.0,B. Hield misses 2-pt layup from 2 ft,,2,9
1,8:08.0,,Defensive rebound by M. Gasol,2,9
1,8:02.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),2,12
1,7:44.0,I. Shumpert misses 2-pt jump shot from 18 ft (block by K. Anderson),,2,12
1,7:40.0,,Defensive rebound by K. Anderson,2,12
1,7:21.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by M. Conley),2,15
1,7:11.0,D. Fox makes 2-pt jump shot from 21 ft,,4,15
1,6:52.0,,J. Jackson misses 2-pt layup from 3 ft,4,15
1,6:50.0,Defensive rebound by W. Cauley-Stein,,4,15
1,6:43.0,Offensive foul by W. Cauley-Stein (drawn by M. Gasol),,4,15
1,6:43.0,Turnover by W. Cauley-Stein (offensive foul),,4,15
1,6:43.0,B. Bogdanović enters the game for B. Hield,,4,15
1,6:21.0,,M. Conley misses 2-pt jump shot from 21 ft,4,15
1,6:17.0,Defensive rebound by B. Bogdanović,,4,15
1,6:13.0,W. Cauley-Stein makes 2-pt layup at rim (assist by D. Fox),,6,15
1,5:51.0,,M. Conley misses 2-pt layup from 2 ft,6,15
1,5:48.0,Defensive rebound by N. Bjelica,,6,15
1,5:46.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,8,15
1,5:40.0,,Memphis full timeout,8,15
1,5:40.0,,O. Casspi enters the game for J. Jackson,8,15
1,5:40.0,,W. Selden enters the game for G. Temple,8,15
1,5:20.0,,M. Conley makes 2-pt jump shot from 12 ft (assist by W. Selden),8,17
1,5:05.0,I. Shumpert makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,10,17
1,5:05.0,Shooting foul by M. Gasol (drawn by I. Shumpert),,10,17
1,5:05.0,,M. Brooks enters the game for K. Anderson,10,17
1,5:05.0,,S. Mack enters the game for M. Conley,10,17
1,5:05.0,I. Shumpert makes free throw 1 of 1,,11,17
1,4:49.0,,Turnover by M. Gasol (traveling),11,17
1,4:40.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,14,17
1,4:16.0,,M. Brooks misses 2-pt jump shot from 22 ft,14,17
1,4:16.0,,Offensive rebound by Team,14,17
1,4:16.0,Loose ball foul by W. Cauley-Stein (drawn by M. Gasol),,14,17
1,4:04.0,,M. Brooks misses 2-pt jump shot from 7 ft,14,17
1,3:59.0,Defensive rebound by I. Shumpert,,14,17
1,3:58.0,D. Fox makes 2-pt layup at rim,,16,17
1,3:58.0,Shooting foul by M. Brooks (drawn by D. Fox),,16,17
1,3:58.0,H. Giles enters the game for W. Cauley-Stein,,16,17
1,3:58.0,D. Fox makes free throw 1 of 1,,17,17
1,3:38.0,,W. Selden misses 3-pt jump shot from 25 ft,17,17
1,3:37.0,,Offensive rebound by M. Gasol,17,17
1,3:27.0,,M. Brooks makes 2-pt layup from 1 ft (assist by S. Mack),17,19
1,3:27.0,,Shooting foul by H. Giles (drawn by M. Brooks),17,19
1,3:27.0,,M. Brooks makes free throw 1 of 1,17,20
1,3:17.0,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),,19,20
1,3:03.0,,O. Casspi misses 2-pt jump shot from 11 ft,19,20
1,3:01.0,,Offensive rebound by M. Gasol,19,20
1,2:57.0,,O. Casspi makes 2-pt dunk from 1 ft (assist by S. Mack),19,22
1,2:49.0,D. Fox misses 2-pt layup from 1 ft,,19,22
1,2:47.0,,Defensive rebound by M. Gasol,19,22
1,2:36.0,,M. Brooks makes 3-pt jump shot from 25 ft,19,25
1,2:10.0,N. Bjelica misses 3-pt jump shot from 23 ft,,19,25
1,2:07.0,,Defensive rebound by S. Mack,19,25
1,2:01.0,,M. Gasol misses 3-pt jump shot from 25 ft,19,25
1,1:55.0,Defensive rebound by D. Fox,,19,25
1,1:39.0,D. Fox makes 3-pt jump shot from 27 ft,,22,25
1,1:39.0,M. Bagley enters the game for N. Bjelica,,22,25
1,1:39.0,B. Hield enters the game for D. Fox,,22,25
1,1:39.0,F. Mason enters the game for I. Shumpert,,22,25
1,1:39.0,,J. Jackson enters the game for M. Gasol,22,25
1,1:21.0,,O. Casspi makes 3-pt jump shot from 25 ft (assist by S. Mack),22,28
1,1:05.0,Turnover by F. Mason (bad pass; steal by J. Jackson),,22,28
1,0:57.0,,W. Selden misses 2-pt layup from 2 ft,22,28
1,0:57.0,Defensive rebound by Team,,22,28
1,0:57.0,,Loose ball foul by O. Casspi (drawn by H. Giles),22,28
1,0:40.0,B. Hield makes 2-pt jump shot from 21 ft,,24,28
1,0:40.0,Loose ball foul by H. Giles (drawn by J. Jackson),,24,28
1,0:33.0,,Turnover by S. Mack (lost ball; steal by B. Hield),24,28
1,0:30.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by B. Hield),,26,28
1,0:11.0,,Shooting foul by H. Giles (drawn by O. Casspi),26,28
1,0:11.0,,O. Casspi misses free throw 1 of 2,26,28
1,0:11.0,,Offensive rebound by Team,26,28
1,0:11.0,D. Fox enters the game for H. Giles,,26,28
1,0:11.0,,G. Temple enters the game for M. Brooks,26,28
1,0:11.0,,O. Casspi makes free throw 2 of 2,26,29
1,0:00.0,D. Fox makes 2-pt jump shot from 7 ft,,28,29
2,11:45.0,,Turnover by S. Mack (bad pass; steal by N. Bjelica),28,29
2,11:45.0,Personal foul by W. Selden (drawn by N. Bjelica),,28,29
2,11:45.0,,M. Conley enters the game for S. Mack,28,29
2,11:29.0,Turnover by B. Bogdanović (lost ball; steal by J. Jackson),,28,29
2,11:26.0,,W. Selden makes 2-pt dunk from 1 ft (assist by M. Conley),28,31
2,11:12.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by F. Mason),,31,31
2,10:47.0,,G. Temple makes 3-pt jump shot from 23 ft (assist by M. Conley),31,34
2,10:21.0,M. Bagley misses 2-pt layup from 1 ft (block by J. Jackson),,31,34
2,10:18.0,,Defensive rebound by G. Temple,31,34
2,10:07.0,,J. Jackson misses 2-pt hook shot from 8 ft,31,34
2,10:05.0,,Offensive rebound by J. Jackson,31,34
2,10:03.0,,J. Jackson makes 2-pt layup from 1 ft,31,36
2,9:57.0,Personal foul by G. Temple (drawn by F. Mason),,31,36
2,9:49.0,B. Hield makes 2-pt layup from 1 ft,,33,36
2,9:34.0,,M. Conley makes 2-pt layup from 5 ft,33,38
2,9:21.0,Shooting foul by J. Jackson (drawn by M. Bagley),,33,38
2,9:21.0,M. Bagley makes free throw 1 of 2,,34,38
2,9:21.0,M. Bagley makes free throw 2 of 2,,35,38
2,8:59.0,,Personal foul by B. Hield (drawn by G. Temple),35,38
2,8:59.0,W. Cauley-Stein enters the game for N. Bjelica,,35,38
2,8:50.0,,W. Selden makes 2-pt layup from 5 ft,35,40
2,8:39.0,M. Bagley makes 2-pt hook shot from 6 ft (assist by B. Hield),,37,40
2,8:21.0,,Turnover by M. Conley (bad pass; steal by W. Cauley-Stein),37,40
2,8:20.0,Turnover by M. Bagley (bad pass),,37,40
2,8:13.0,,Offensive foul by K. Anderson (drawn by F. Mason),37,40
2,8:13.0,,Turnover by K. Anderson (offensive foul),37,40
2,7:59.0,B. Hield makes 3-pt jump shot from 26 ft (assist by M. Bagley),,40,40
