QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,UTAH_ACTION,GOLDEN STATE_SCORE,UTAH_SCORE
1,11:48.0,,D. Favors makes 2-pt jump shot from 10 ft (assist by R. Rubio),0,2
1,11:34.0,K. Thompson misses 3-pt jump shot from 25 ft,,0,2
1,11:32.0,,Defensive rebound by R. Rubio,0,2
1,11:17.0,,R. Rubio misses 3-pt jump shot from 24 ft (block by D. Jones),0,2
1,11:13.0,Defensive rebound by K. Durant,,0,2
1,11:10.0,K. Durant makes 2-pt jump shot from 18 ft,,2,2
1,10:54.0,,J. Ingles misses 2-pt layup from 2 ft,2,2
1,10:51.0,Defensive rebound by D. Green,,2,2
1,10:45.0,D. Green misses 3-pt jump shot from 25 ft,,2,2
1,10:38.0,,Defensive rebound by D. Mitchell,2,2
1,10:35.0,,Shooting foul by D. Jones (drawn by D. Mitchell),2,2
1,10:35.0,,D. Mitchell misses free throw 1 of 2,2,2
1,10:35.0,,Offensive rebound by Team,2,2
1,10:35.0,,D. Mitchell makes free throw 2 of 2,2,3
1,10:29.0,K. Thompson misses 2-pt jump shot from 15 ft,,2,3
1,10:26.0,,Defensive rebound by Team,2,3
1,10:09.0,,R. Gobert misses 2-pt hook shot from 8 ft,2,3
1,10:06.0,Defensive rebound by D. Green,,2,3
1,10:04.0,D. Jones makes 2-pt dunk from 2 ft (assist by D. Green),,4,3
1,9:38.0,,J. Ingles makes 2-pt layup from 4 ft,4,5
1,9:29.0,Personal foul by D. Mitchell (drawn by K. Thompson),,4,5
1,9:27.0,S. Curry makes 2-pt jump shot from 16 ft,,6,5
1,9:03.0,,D. Favors misses 3-pt jump shot from 23 ft,6,5
1,8:58.0,,Offensive rebound by Team,6,5
1,8:54.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Gobert),6,8
1,8:41.0,D. Green misses 3-pt jump shot from 25 ft,,6,8
1,8:38.0,,Defensive rebound by J. Ingles,6,8
1,8:36.0,,Shooting foul by D. Jones (drawn by R. Gobert),6,8
1,8:36.0,,R. Gobert misses free throw 1 of 2,6,8
1,8:36.0,,Offensive rebound by Team,6,8
1,8:36.0,,R. Gobert makes free throw 2 of 2,6,9
1,8:20.0,Shooting foul by D. Favors (drawn by K. Durant),,6,9
1,8:20.0,K. Durant makes free throw 1 of 2,,7,9
1,8:20.0,K. Durant makes free throw 2 of 2,,8,9
1,8:14.0,,Shooting foul by K. Thompson (drawn by R. Gobert),8,9
1,8:14.0,,R. Gobert makes free throw 1 of 2,8,10
1,8:14.0,,R. Gobert makes free throw 2 of 2,8,11
