QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
1,11:41.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),0,2
1,11:23.0,T. Ferguson misses 3-pt jump shot from 26 ft,,0,2
1,11:20.0,,Defensive rebound by R. Bullock,0,2
1,11:04.0,,A. Drummond misses 2-pt layup from 2 ft,0,2
1,11:03.0,Defensive rebound by S. Adams,,0,2
1,10:58.0,S. Adams makes 2-pt dunk from 1 ft (assist by P. George),,2,2
1,10:43.0,,G. Robinson misses 2-pt layup from 1 ft,2,2
1,10:42.0,Defensive rebound by S. Adams,,2,2
1,10:34.0,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Ferguson),,5,2
1,10:07.0,,B. Griffin misses 2-pt jump shot from 12 ft,5,2
1,10:06.0,Defensive rebound by P. George,,5,2
1,9:55.0,R. Westbrook misses 3-pt jump shot from 25 ft,,5,2
1,9:52.0,,Defensive rebound by R. Jackson,5,2
1,9:48.0,,R. Jackson makes 2-pt layup from 1 ft,5,4
1,9:36.0,Personal foul by A. Drummond (drawn by P. George),,5,4
1,9:30.0,P. George makes 2-pt layup from 3 ft,,7,4
1,9:17.0,,R. Bullock misses 2-pt jump shot from 10 ft,7,4
1,9:15.0,Defensive rebound by P. George,,7,4
1,9:09.0,J. Grant makes 2-pt layup from 6 ft (assist by T. Ferguson),,9,4
1,9:03.0,,Detroit full timeout,9,4
1,9:03.0,,L. Galloway enters the game for R. Bullock,9,4
1,8:52.0,,R. Jackson misses 3-pt jump shot from 26 ft,9,4
1,8:49.0,Defensive rebound by T. Ferguson,,9,4
1,8:46.0,P. George misses 3-pt jump shot from 26 ft,,9,4
1,8:41.0,,Defensive rebound by G. Robinson,9,4
1,8:35.0,,A. Drummond makes 2-pt layup from 2 ft,9,6
1,8:24.0,S. Adams makes 2-pt jump shot from 13 ft (assist by P. George),,11,6
1,8:08.0,,Personal foul by J. Grant (drawn by A. Drummond),11,6
1,7:54.0,,G. Robinson makes 2-pt layup from 2 ft (assist by B. Griffin),11,8
1,7:41.0,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams),,14,8
1,7:30.0,,B. Griffin makes 3-pt jump shot from 23 ft,14,11
1,7:17.0,R. Westbrook misses 2-pt jump shot from 12 ft,,14,11
1,7:15.0,,Defensive rebound by A. Drummond,14,11
1,7:08.0,,Personal foul by R. Westbrook (drawn by A. Drummond),14,11
1,6:55.0,,G. Robinson misses 3-pt jump shot from 25 ft,14,11
1,6:51.0,Defensive rebound by P. George,,14,11
1,6:40.0,J. Grant makes 2-pt jump shot from 9 ft,,16,11
1,6:29.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Griffin),16,13
1,6:14.0,Turnover by S. Adams (traveling),,16,13
1,5:55.0,,Turnover by G. Robinson (bad pass; steal by R. Westbrook),16,13
1,5:50.0,,Violation by Team (kicked ball),16,13
1,5:49.0,,Violation by Team (kicked ball),16,13
1,5:45.0,R. Westbrook misses 2-pt jump shot from 17 ft,,16,13
1,5:39.0,,Defensive rebound by A. Drummond,16,13
1,5:32.0,,G. Robinson misses 2-pt layup from 3 ft,16,13
1,5:30.0,Defensive rebound by P. George,,16,13
1,5:27.0,Turnover by R. Westbrook (bad pass),,16,13
1,5:09.0,,Turnover by A. Drummond (lost ball; steal by P. George),16,13
1,5:02.0,R. Westbrook misses 3-pt jump shot from 25 ft,,16,13
1,4:57.0,,Defensive rebound by A. Drummond,16,13
1,4:51.0,,Personal foul by J. Grant (drawn by B. Griffin),16,13
1,4:46.0,,B. Griffin misses 2-pt layup from 5 ft,16,13
1,4:44.0,,Offensive rebound by G. Robinson,16,13
1,4:41.0,,A. Drummond misses 3-pt jump shot from 26 ft,16,13
1,4:37.0,Defensive rebound by R. Westbrook,,16,13
1,4:33.0,R. Westbrook makes 2-pt jump shot from 8 ft,,18,13
1,4:12.0,,A. Drummond misses 2-pt layup from 6 ft,18,13
1,4:10.0,Defensive rebound by S. Adams,,18,13
1,3:59.0,S. Adams makes 2-pt jump shot from 10 ft (assist by T. Ferguson),,20,13
1,3:45.0,,R. Jackson misses 2-pt layup from 7 ft,20,13
1,3:45.0,,Offensive rebound by Team,20,13
1,3:45.0,P. Patterson enters the game for T. Ferguson,,20,13
1,3:45.0,D. Schröder enters the game for J. Grant,,20,13
1,3:45.0,,S. Johnson enters the game for R. Jackson,20,13
1,3:45.0,,I. Smith enters the game for G. Robinson,20,13
1,3:34.0,,A. Drummond misses 2-pt layup from 5 ft (block by S. Adams),20,13
1,3:31.0,Defensive rebound by R. Westbrook,,20,13
1,3:29.0,Turnover by R. Westbrook (bad pass),,20,13
1,3:18.0,,B. Griffin misses 2-pt jump shot from 11 ft,20,13
1,3:17.0,Defensive rebound by P. George,,20,13
1,3:11.0,P. George misses 3-pt jump shot from 25 ft,,20,13
1,3:07.0,,Defensive rebound by L. Galloway,20,13
1,3:03.0,,S. Johnson misses 3-pt jump shot from 26 ft,20,13
1,3:00.0,Defensive rebound by Team,,20,13
1,3:00.0,Oklahoma City full timeout,,20,13
1,3:00.0,Á. Abrines enters the game for R. Westbrook,,20,13
1,3:00.0,,Z. Pachulia enters the game for A. Drummond,20,13
1,2:45.0,Turnover by D. Schröder (bad pass; steal by Z. Pachulia),,20,13
1,2:37.0,,Offensive foul by Z. Pachulia (drawn by Á. Abrines),20,13
1,2:37.0,,Turnover by Z. Pachulia (offensive foul),20,13
1,2:27.0,P. George misses 2-pt jump shot from 15 ft,,20,13
1,2:25.0,,Defensive rebound by I. Smith,20,13
1,2:16.0,,S. Johnson makes 2-pt layup from 6 ft,20,15
1,2:03.0,D. Schröder makes 2-pt jump shot from 14 ft,,22,15
1,1:44.0,,B. Griffin makes 2-pt layup from 4 ft,22,17
1,1:44.0,,Shooting foul by S. Adams (drawn by B. Griffin),22,17
1,1:44.0,N. Noel enters the game for S. Adams,,22,17
1,1:44.0,,B. Griffin misses free throw 1 of 1,22,17
1,1:44.0,Defensive rebound by N. Noel,,22,17
1,1:31.0,Á. Abrines makes 2-pt layup from 3 ft (assist by D. Schröder),,24,17
1,1:15.0,,Z. Pachulia misses 2-pt jump shot from 8 ft,24,17
1,1:13.0,,Offensive rebound by Z. Pachulia,24,17
1,1:02.0,,S. Johnson misses 3-pt jump shot from 25 ft,24,17
1,0:59.0,Defensive rebound by P. Patterson,,24,17
1,0:53.0,P. Patterson misses 2-pt jump shot from 8 ft,,24,17
1,0:52.0,,Defensive rebound by Team,24,17
1,0:36.0,,B. Griffin misses 2-pt layup from 6 ft (block by N. Noel),24,17
1,0:36.0,,Offensive rebound by Team,24,17
1,0:34.0,,B. Griffin misses 3-pt jump shot from 26 ft,24,17
1,0:31.0,Defensive rebound by P. George,,24,17
1,0:17.0,D. Schröder makes 2-pt jump shot from 11 ft,,26,17
1,0:00.0,,I. Smith misses 2-pt jump shot from 21 ft,26,17
1,0:00.0,Defensive rebound by P. George,,26,17
1,0:00.0,P. George misses 3-pt jump shot from 40 ft,,26,17
1,0:00.0,Offensive rebound by Team,,26,17
2,11:41.0,D. Schröder misses 2-pt layup from 4 ft,,26,17
2,11:37.0,Offensive rebound by N. Noel,,26,17
2,11:37.0,N. Noel misses 2-pt layup from 4 ft,,26,17
2,11:35.0,,Defensive rebound by Z. Pachulia,26,17
2,11:34.0,,L. Kennard misses 3-pt jump shot from 24 ft,26,17
2,11:33.0,,Offensive rebound by Team,26,17
2,11:31.0,,S. Johnson misses 3-pt jump shot from 25 ft,26,17
2,11:29.0,,Offensive rebound by Z. Pachulia,26,17
2,11:29.0,,Z. Pachulia misses 2-pt layup from 1 ft,26,17
2,11:27.0,Defensive rebound by D. Schröder,,26,17
2,11:19.0,D. Schröder makes 2-pt layup from 2 ft,,28,17
2,11:04.0,,B. Brown misses 3-pt jump shot from 26 ft,28,17
2,11:01.0,Defensive rebound by D. Schröder,,28,17
2,10:59.0,P. Patterson makes 2-pt layup from 1 ft (assist by D. Schröder),,30,17
2,10:59.0,Shooting foul by I. Smith (drawn by P. Patterson),,30,17
2,10:59.0,P. Patterson misses free throw 1 of 1,,30,17
2,10:57.0,,Defensive rebound by Z. Pachulia,30,17
2,10:41.0,,Personal foul by D. Burton (drawn by Z. Pachulia),30,17
2,10:37.0,,B. Brown makes 2-pt dunk from 1 ft (assist by Z. Pachulia),30,19
2,10:23.0,D. Schröder misses 2-pt jump shot from 12 ft (block by I. Smith),,30,19
2,10:23.0,,Defensive rebound by Team,30,19
2,10:16.0,,Personal foul by D. Schröder (drawn by I. Smith),30,19
2,10:10.0,,S. Johnson misses 3-pt jump shot from 23 ft,30,19
2,10:08.0,Defensive rebound by D. Schröder,,30,19
2,10:08.0,Offensive foul by P. Patterson (drawn by S. Johnson),,30,19
2,10:08.0,Turnover by P. Patterson (offensive foul),,30,19
2,10:02.0,,Shooting foul by D. Burton (drawn by B. Brown),30,19
2,10:02.0,,B. Brown makes free throw 1 of 2,30,20
2,10:02.0,T. Ferguson enters the game for D. Burton,,30,20
2,10:02.0,,B. Brown misses free throw 2 of 2,30,20
2,9:58.0,,Offensive rebound by Z. Pachulia,30,20
2,9:50.0,,Personal foul by T. Ferguson (drawn by Z. Pachulia),30,20
2,9:38.0,,Turnover by L. Kennard (back court),30,20
2,9:38.0,Oklahoma City full timeout,,30,20
2,9:26.0,P. Patterson makes 2-pt jump shot from 13 ft,,32,20
2,9:12.0,,L. Kennard misses 3-pt jump shot from 26 ft,32,20
2,9:08.0,,Offensive rebound by Team,32,20
2,8:55.0,,S. Johnson makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),32,23
2,8:40.0,D. Schröder misses 2-pt layup from 3 ft (block by Z. Pachulia),,32,23
2,8:36.0,,Defensive rebound by Z. Pachulia,32,23
2,8:32.0,,Turnover by I. Smith (lost ball; steal by N. Noel),32,23
2,8:24.0,D. Schröder misses 2-pt jump shot from 11 ft,,32,23
2,8:23.0,Offensive rebound by N. Noel,,32,23
2,8:23.0,N. Noel makes 2-pt layup at rim,,34,23
2,7:59.0,,Offensive foul by B. Brown (drawn by N. Noel),34,23
2,7:59.0,,Turnover by B. Brown (offensive foul),34,23
2,7:59.0,S. Adams enters the game for Á. Abrines,,34,23
2,7:59.0,J. Grant enters the game for N. Noel,,34,23
2,7:59.0,R. Westbrook enters the game for P. Patterson,,34,23
2,7:59.0,,A. Drummond enters the game for B. Brown,34,23
