QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
1,11:45.0,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),,2,0
1,11:23.0,,M. Harkless misses 2-pt jump shot from 15 ft,2,0
1,11:21.0,Defensive rebound by D. Jordan,,2,0
1,11:09.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Matthews),,4,0
1,11:09.0,Shooting foul by M. Harkless (drawn by D. Jordan),,4,0
1,11:09.0,D. Jordan makes free throw 1 of 1,,5,0
1,10:57.0,,C. McCollum makes 2-pt jump shot from 21 ft (assist by J. Nurkić),5,2
1,10:45.0,L. Dončić makes 2-pt layup from 3 ft,,7,2
1,10:34.0,,D. Lillard makes 2-pt jump shot from 20 ft,7,4
1,10:16.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by L. Dončić),,10,4
1,10:03.0,,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),10,6
1,9:45.0,W. Matthews misses 3-pt jump shot from 25 ft (block by D. Lillard),,10,6
1,9:41.0,,Defensive rebound by C. McCollum,10,6
1,9:36.0,,C. McCollum misses 3-pt jump shot from 26 ft,10,6
1,9:32.0,Defensive rebound by J. Brunson,,10,6
1,9:25.0,H. Barnes misses 2-pt jump shot from 4 ft,,10,6
1,9:25.0,,Defensive rebound by D. Lillard,10,6
1,9:16.0,,D. Lillard misses 2-pt layup from 1 ft,10,6
1,9:14.0,Defensive rebound by L. Dončić,,10,6
1,9:10.0,L. Dončić makes 3-pt jump shot from 25 ft,,13,6
1,8:55.0,,Personal foul by W. Matthews (drawn by A. Aminu),13,6
1,8:50.0,,D. Lillard misses 3-pt jump shot from 26 ft,13,6
1,8:47.0,Defensive rebound by L. Dončić,,13,6
1,8:41.0,L. Dončić misses 2-pt layup from 2 ft,,13,6
1,8:39.0,,Defensive rebound by J. Nurkić,13,6
1,8:25.0,,M. Harkless makes 2-pt layup from 1 ft,13,8
1,8:04.0,W. Matthews misses 3-pt jump shot from 25 ft,,13,8
1,8:02.0,,Defensive rebound by J. Nurkić,13,8
1,7:52.0,,A. Aminu makes 2-pt dunk from 1 ft (assist by D. Lillard),13,10
1,7:33.0,J. Brunson makes 2-pt layup from 2 ft,,15,10
1,7:19.0,,D. Lillard makes 2-pt layup from 1 ft (assist by J. Nurkić),15,12
1,7:03.0,Personal foul by D. Lillard (drawn by H. Barnes),,15,12
1,6:53.0,D. Jordan misses 2-pt hook shot from 4 ft,,15,12
1,6:48.0,Offensive rebound by L. Dončić,,15,12
1,6:48.0,L. Dončić makes 2-pt layup at rim,,17,12
1,6:42.0,,D. Lillard makes 2-pt jump shot from 18 ft,17,14
1,6:28.0,H. Barnes misses 3-pt jump shot from 23 ft,,17,14
1,6:27.0,Offensive rebound by Team,,17,14
1,6:27.0,,Portland full timeout,17,14
1,6:19.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),,19,14
1,6:04.0,,J. Nurkić makes 2-pt dunk from 2 ft (assist by C. McCollum),19,16
1,5:45.0,W. Matthews misses 2-pt jump shot from 19 ft,,19,16
1,5:43.0,,Defensive rebound by J. Nurkić,19,16
1,5:39.0,,Offensive foul by M. Harkless (drawn by J. Brunson),19,16
1,5:39.0,,Turnover by M. Harkless (offensive foul),19,16
1,5:39.0,,E. Turner enters the game for M. Harkless,19,16
1,5:27.0,L. Dončić misses 2-pt jump shot from 12 ft,,19,16
1,5:25.0,,Defensive rebound by J. Nurkić,19,16
1,5:15.0,,E. Turner misses 2-pt hook shot from 3 ft,19,16
1,5:13.0,,Offensive rebound by E. Turner,19,16
1,5:12.0,,E. Turner misses 2-pt layup from 1 ft,19,16
1,5:12.0,,Offensive rebound by J. Nurkić,19,16
1,5:12.0,,Shooting foul by D. Jordan (drawn by J. Nurkić),19,16
1,5:12.0,,J. Nurkić misses free throw 1 of 2,19,16
1,5:12.0,,Offensive rebound by Team,19,16
1,5:12.0,,J. Nurkić misses free throw 2 of 2,19,16
1,5:09.0,Defensive rebound by W. Matthews,,19,16
1,4:47.0,L. Dončić misses 2-pt jump shot from 16 ft,,19,16
1,4:47.0,Offensive rebound by Team,,19,16
1,4:47.0,Turnover by Team (shot clock),,19,16
1,4:31.0,,D. Lillard misses 2-pt jump shot from 21 ft,19,16
1,4:31.0,,Offensive rebound by J. Nurkić,19,16
1,4:31.0,,J. Nurkić misses 2-pt layup at rim,19,16
1,4:31.0,,Offensive rebound by J. Nurkić,19,16
1,4:27.0,,J. Nurkić makes 2-pt layup from 2 ft,19,18
1,4:09.0,J. Brunson makes 2-pt jump shot from 10 ft,,21,18
1,3:54.0,,D. Lillard makes 3-pt jump shot from 26 ft,21,21
1,3:52.0,Dallas full timeout,,21,21
1,3:52.0,J. Barea enters the game for J. Brunson,,21,21
1,3:52.0,,S. Curry enters the game for C. McCollum,21,21
1,3:35.0,J. Barea misses 2-pt layup from 3 ft,,21,21
1,3:33.0,,Defensive rebound by A. Aminu,21,21
1,3:21.0,,J. Nurkić misses 2-pt hook shot from 4 ft,21,21
1,3:19.0,Defensive rebound by D. Jordan,,21,21
