QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:43.0,,G. Harris misses 3-pt jump shot from 25 ft,0,0
1,11:40.0,,Offensive rebound by N. Jokić,0,0
1,11:38.0,,N. Jokić misses 2-pt layup from 2 ft,0,0
1,11:36.0,Defensive rebound by D. White,,0,0
1,11:17.0,J. Poeltl makes 2-pt hook shot from 9 ft (assist by B. Forbes),,2,0
1,11:02.0,,Turnover by N. Jokić (traveling),2,0
1,10:46.0,L. Aldridge misses 2-pt jump shot from 6 ft,,2,0
1,10:45.0,Offensive rebound by J. Poeltl,,2,0
1,10:41.0,D. DeRozan makes 2-pt jump shot from 19 ft (assist by J. Poeltl),,4,0
1,10:27.0,,N. Jokić makes 2-pt dunk from 1 ft (assist by J. Murray),4,2
1,10:11.0,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. White),,7,2
1,9:58.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),7,5
1,9:34.0,D. DeRozan makes 2-pt jump shot from 18 ft,,9,5
1,9:18.0,,P. Millsap misses 2-pt layup from 4 ft (block by L. Aldridge),9,5
1,9:18.0,,Offensive rebound by Team,9,5
1,9:12.0,,J. Murray misses 3-pt jump shot from 25 ft,9,5
1,9:09.0,Defensive rebound by J. Poeltl,,9,5
1,9:02.0,B. Forbes misses 3-pt jump shot from 25 ft,,9,5
1,8:58.0,,Defensive rebound by N. Jokić,9,5
1,8:43.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Murray),9,8
1,8:32.0,D. DeRozan misses 2-pt layup from 4 ft,,9,8
1,8:30.0,,Defensive rebound by T. Craig,9,8
1,8:26.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),9,11
1,8:03.0,,Defensive rebound by Team,9,11
1,8:03.0,D. White misses 2-pt layup from 4 ft (block by N. Jokić),,9,11
1,7:59.0,,Turnover by J. Murray (lost ball; steal by D. White),9,11
1,7:42.0,D. White makes 2-pt layup from 1 ft,,11,11
1,7:22.0,,N. Jokić misses 3-pt jump shot from 25 ft,11,11
1,7:20.0,Defensive rebound by L. Aldridge,,11,11
1,7:17.0,San Antonio full timeout,,11,11
1,7:17.0,Turnover by (5 sec),,11,11
1,7:00.0,,Turnover by N. Jokić (out of bounds lost ball),11,11
1,6:50.0,Personal foul by P. Millsap (drawn by D. DeRozan),,11,11
1,6:40.0,D. White misses 2-pt jump shot from 5 ft,,11,11
1,6:38.0,,Defensive rebound by P. Millsap,11,11
1,6:33.0,,P. Millsap misses 2-pt layup from 5 ft,11,11
1,6:30.0,Defensive rebound by D. White,,11,11
1,6:17.0,L. Aldridge misses 2-pt jump shot from 14 ft,,11,11
1,6:13.0,,Defensive rebound by T. Craig,11,11
1,6:11.0,,Personal foul by L. Aldridge (drawn by N. Jokić),11,11
1,6:11.0,R. Gay enters the game for J. Poeltl,,11,11
1,6:04.0,,G. Harris misses 3-pt jump shot from 26 ft,11,11
1,6:02.0,,Offensive rebound by P. Millsap,11,11
1,5:53.0,,P. Millsap misses 3-pt jump shot from 25 ft,11,11
1,5:51.0,Defensive rebound by R. Gay,,11,11
1,5:44.0,R. Gay misses 3-pt jump shot from 24 ft,,11,11
1,5:41.0,,Defensive rebound by T. Craig,11,11
1,5:23.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Millsap),11,14
1,4:59.0,D. DeRozan misses 2-pt layup from 2 ft,,11,14
1,4:57.0,,Defensive rebound by N. Jokić,11,14
1,4:50.0,,Personal foul by R. Gay (drawn by P. Millsap),11,14
1,4:50.0,M. Belinelli enters the game for B. Forbes,,11,14
1,4:50.0,,M. Beasley enters the game for T. Craig,11,14
1,4:37.0,,J. Murray misses 3-pt jump shot from 22 ft,11,14
1,4:34.0,,Offensive rebound by P. Millsap,11,14
1,4:30.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Beasley),11,17
1,4:12.0,D. DeRozan misses 2-pt jump shot from 7 ft,,11,17
1,4:10.0,,Defensive rebound by J. Murray,11,17
1,4:02.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),11,19
1,4:02.0,San Antonio full timeout,,11,19
1,4:02.0,D. Bertāns enters the game for D. DeRozan,,11,19
1,4:02.0,P. Mills enters the game for D. White,,11,19
1,3:49.0,P. Mills misses 3-pt jump shot from 23 ft,,11,19
1,3:45.0,,Defensive rebound by J. Murray,11,19
1,3:38.0,,Turnover by J. Murray (bad pass; steal by L. Aldridge),11,19
1,3:33.0,M. Belinelli misses 3-pt jump shot from 25 ft,,11,19
1,3:32.0,,Defensive rebound by Team,11,19
1,3:32.0,Loose ball foul by R. Gay (drawn by P. Millsap),,11,19
1,3:09.0,,Turnover by P. Millsap (lost ball; steal by P. Mills),11,19
1,3:09.0,,M. Morris enters the game for P. Millsap,11,19
1,3:09.0,,M. Plumlee enters the game for J. Murray,11,19
1,2:48.0,Shooting foul by M. Plumlee (drawn by L. Aldridge),,11,19
1,2:48.0,L. Aldridge makes free throw 1 of 2,,12,19
1,2:48.0,L. Aldridge misses free throw 2 of 2,,12,19
1,2:46.0,,Defensive rebound by M. Beasley,12,19
1,2:31.0,,Turnover by N. Jokić (lost ball; steal by P. Mills),12,19
1,2:22.0,R. Gay makes 2-pt jump shot from 18 ft,,14,19
1,1:59.0,,M. Plumlee misses 2-pt hook shot from 6 ft,14,19
1,1:58.0,Defensive rebound by D. Bertāns,,14,19
1,1:44.0,L. Aldridge misses 2-pt hook shot from 3 ft,,14,19
1,1:42.0,,Defensive rebound by N. Jokić,14,19
1,1:37.0,,M. Beasley makes 2-pt jump shot from 6 ft,14,21
1,1:37.0,,Shooting foul by D. Bertāns (drawn by M. Beasley),14,21
1,1:37.0,,W. Barton enters the game for G. Harris,14,21
1,1:37.0,,T. Craig enters the game for N. Jokić,14,21
1,1:37.0,,M. Beasley makes free throw 1 of 1,14,22
1,1:12.0,M. Belinelli misses 3-pt jump shot from 24 ft,,14,22
1,1:09.0,,Defensive rebound by M. Morris,14,22
1,0:57.0,,T. Craig misses 3-pt jump shot from 25 ft,14,22
1,0:54.0,Defensive rebound by L. Aldridge,,14,22
1,0:45.0,P. Mills makes 3-pt jump shot from 24 ft (assist by M. Belinelli),,17,22
1,0:34.0,,M. Morris makes 2-pt jump shot from 16 ft,17,24
1,0:17.0,L. Aldridge makes 2-pt hook shot from 6 ft (assist by P. Mills),,19,24
1,0:00.0,,M. Morris makes 2-pt layup from 3 ft,19,26
2,11:39.0,D. Bertāns misses 2-pt jump shot from 16 ft,,19,26
2,11:36.0,,Defensive rebound by T. Craig,19,26
2,11:23.0,,M. Plumlee misses 2-pt layup from 3 ft,19,26
2,11:21.0,Defensive rebound by M. Belinelli,,19,26
2,11:14.0,M. Belinelli misses 2-pt layup from 2 ft (block by M. Plumlee),,19,26
