QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
1,11:44.0,D. Russell misses 3-pt jump shot from 25 ft,,0,0
1,11:41.0,,Defensive rebound by T. Young,0,0
1,11:35.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Prince),0,2
1,11:25.0,J. Harris misses 3-pt jump shot from 24 ft,,0,2
1,11:23.0,,Defensive rebound by J. Collins,0,2
1,11:11.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,4
1,10:51.0,J. Harris misses 3-pt jump shot from 25 ft,,0,4
1,10:49.0,,Defensive rebound by A. Len,0,4
1,10:43.0,,A. Len misses 3-pt jump shot from 25 ft,0,4
1,10:39.0,Defensive rebound by A. Crabbe,,0,4
1,10:30.0,R. Kurucs misses 2-pt layup from 1 ft,,0,4
1,10:27.0,,Defensive rebound by T. Prince,0,4
1,10:21.0,,J. Collins makes 2-pt dunk from 2 ft (assist by T. Young),0,6
1,10:21.0,Brooklyn full timeout,,0,6
1,10:11.0,R. Kurucs makes 3-pt jump shot from 23 ft (assist by D. Russell),,3,6
1,9:59.0,,J. Collins misses 2-pt layup from 2 ft,3,6
1,9:57.0,Defensive rebound by J. Allen,,3,6
1,9:48.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,6
1,9:45.0,Offensive rebound by R. Kurucs,,3,6
1,9:44.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,6
1,9:41.0,,Defensive rebound by J. Collins,3,6
1,9:34.0,,A. Len misses 3-pt jump shot from 23 ft,3,6
1,9:30.0,Defensive rebound by J. Harris,,3,6
1,9:20.0,R. Kurucs misses 3-pt jump shot from 23 ft,,3,6
1,9:18.0,,Defensive rebound by T. Young,3,6
1,9:10.0,,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),3,9
1,8:55.0,D. Russell misses 2-pt jump shot from 12 ft,,3,9
1,8:52.0,,Defensive rebound by T. Young,3,9
1,8:44.0,,Turnover by J. Collins (lost ball; steal by A. Crabbe),3,9
1,8:39.0,A. Crabbe misses 3-pt jump shot from 23 ft,,3,9
1,8:35.0,Offensive rebound by J. Allen,,3,9
1,8:34.0,A. Crabbe makes 2-pt layup from 1 ft (assist by J. Allen),,5,9
1,8:17.0,,K. Huerter misses 2-pt hook shot from 11 ft,5,9
1,8:15.0,Defensive rebound by R. Kurucs,,5,9
1,8:09.0,D. Russell misses 3-pt jump shot from 26 ft,,5,9
1,8:06.0,,Defensive rebound by J. Collins,5,9
1,8:02.0,,T. Young misses 3-pt jump shot from 34 ft,5,9
1,7:59.0,Defensive rebound by J. Allen,,5,9
1,7:47.0,A. Crabbe misses 2-pt jump shot from 12 ft,,5,9
1,7:43.0,,Defensive rebound by J. Collins,5,9
1,7:36.0,,J. Collins makes 2-pt layup from 8 ft,5,11
1,7:26.0,J. Harris misses 3-pt jump shot from 26 ft,,5,11
1,7:24.0,Offensive rebound by R. Kurucs,,5,11
1,7:17.0,D. Russell makes 2-pt jump shot from 12 ft,,7,11
1,7:04.0,,A. Len misses 3-pt jump shot from 23 ft,7,11
1,7:01.0,Defensive rebound by A. Crabbe,,7,11
1,6:52.0,J. Harris makes 3-pt jump shot from 24 ft (assist by D. Russell),,10,11
1,6:52.0,,Atlanta full timeout,10,11
1,6:52.0,D. Carroll enters the game for R. Kurucs,,10,11
1,6:52.0,,V. Carter enters the game for A. Len,10,11
1,6:39.0,,T. Prince misses 2-pt jump shot from 13 ft,10,11
