QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
1,11:40.0,B. Griffin misses 3-pt jump shot from 23 ft,,0,0
1,11:38.0,Offensive rebound by A. Drummond,,0,0
1,11:34.0,R. Jackson misses 3-pt jump shot from 25 ft,,0,0
1,11:33.0,,Defensive rebound by B. Adebayo,0,0
1,11:21.0,,J. Winslow makes 3-pt jump shot from 27 ft (assist by B. Adebayo),0,3
1,11:04.0,W. Ellington misses 3-pt jump shot from 25 ft,,0,3
1,11:02.0,,Defensive rebound by J. Richardson,0,3
1,10:57.0,,B. Adebayo makes 2-pt layup from 1 ft (assist by J. Richardson),0,5
1,10:57.0,,Shooting foul by A. Drummond (drawn by B. Adebayo),0,5
1,10:57.0,,B. Adebayo makes free throw 1 of 1,0,6
1,10:43.0,Turnover by A. Drummond (lost ball; steal by D. Waiters),,0,6
1,10:38.0,,J. Richardson misses 2-pt layup from 2 ft (block by B. Brown),0,6
1,10:37.0,Defensive rebound by Team,,0,6
1,10:23.0,Turnover by R. Jackson (bad pass; steal by J. Richardson),,0,6
1,10:20.0,,J. Richardson makes 2-pt dunk from 1 ft,0,8
1,10:12.0,Personal foul by J. Winslow (drawn by B. Griffin),,0,8
1,10:04.0,R. Jackson misses 2-pt layup from 2 ft,,0,8
1,10:02.0,,Defensive rebound by J. Richardson,0,8
1,9:59.0,,Shooting foul by B. Brown (drawn by D. Waiters),0,8
1,9:59.0,,D. Waiters misses free throw 1 of 2,0,8
1,9:59.0,,Offensive rebound by Team,0,8
1,9:59.0,,D. Waiters misses free throw 2 of 2,0,8
1,9:57.0,Defensive rebound by A. Drummond,,0,8
1,9:31.0,R. Jackson makes 2-pt jump shot from 9 ft,,2,8
1,9:08.0,,D. Waiters makes 3-pt jump shot from 25 ft,2,11
1,8:53.0,B. Griffin makes 3-pt jump shot from 23 ft,,5,11
1,8:46.0,,Offensive foul by B. Adebayo (drawn by R. Jackson),5,11
1,8:46.0,,Turnover by B. Adebayo (offensive foul),5,11
1,8:30.0,B. Griffin misses 3-pt jump shot from 27 ft,,5,11
1,8:28.0,,Defensive rebound by B. Adebayo,5,11
1,8:10.0,,J. Richardson makes 2-pt jump shot from 13 ft,5,13
1,7:45.0,R. Jackson misses 3-pt jump shot from 23 ft,,5,13
1,7:43.0,Offensive rebound by B. Brown,,5,13
1,7:38.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by B. Brown),,8,13
1,7:29.0,,Personal foul by B. Griffin (drawn by K. Olynyk),8,13
1,7:22.0,,Turnover by J. Richardson (bad pass; steal by B. Brown),8,13
1,7:17.0,B. Brown misses 2-pt layup from 1 ft,,8,13
1,7:11.0,Offensive rebound by A. Drummond,,8,13
1,7:11.0,A. Drummond makes 2-pt dunk from 1 ft,,10,13
1,6:57.0,,J. Winslow makes 2-pt hook shot from 2 ft (assist by D. Waiters),10,15
1,6:49.0,Shooting foul by B. Adebayo (drawn by B. Griffin),,10,15
1,6:49.0,,Miami full timeout,10,15
1,6:49.0,,D. Jones enters the game for B. Adebayo,10,15
1,6:49.0,B. Griffin misses free throw 1 of 2,,10,15
1,6:49.0,Offensive rebound by Team,,10,15
1,6:49.0,B. Griffin makes free throw 2 of 2,,11,15
1,6:32.0,,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Winslow),11,18
1,6:11.0,Turnover by A. Drummond (bad pass; steal by J. Winslow),,11,18
1,6:06.0,,D. Waiters misses 3-pt jump shot from 23 ft,11,18
1,6:02.0,Defensive rebound by R. Jackson,,11,18
1,5:51.0,W. Ellington misses 3-pt jump shot from 24 ft,,11,18
1,5:48.0,,Defensive rebound by K. Olynyk,11,18
1,5:39.0,,Personal foul by W. Ellington (drawn by J. Winslow),11,18
1,5:39.0,T. Maker enters the game for A. Drummond,,11,18
1,5:39.0,,D. Wade enters the game for J. Richardson,11,18
1,5:26.0,,Turnover by D. Jones (lost ball; steal by B. Griffin),11,18
1,5:04.0,T. Maker misses 2-pt jump shot from 10 ft (block by D. Wade),,11,18
1,5:03.0,Offensive rebound by Team,,11,18
1,5:02.0,Turnover by Team (shot clock),,11,18
1,4:42.0,,D. Wade makes 2-pt layup from 2 ft (assist by D. Waiters),11,20
1,4:37.0,Detroit full timeout,,11,20
1,4:37.0,L. Galloway enters the game for B. Brown,,11,20
1,4:37.0,L. Kennard enters the game for W. Ellington,,11,20
1,4:16.0,L. Kennard makes 3-pt jump shot from 24 ft (assist by L. Galloway),,14,20
1,3:51.0,,J. Winslow misses 3-pt jump shot from 24 ft,14,20
1,3:49.0,Defensive rebound by T. Maker,,14,20
1,3:34.0,L. Kennard makes 2-pt jump shot from 14 ft (assist by L. Galloway),,16,20
1,3:22.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by D. Jones),16,23
1,3:05.0,L. Galloway misses 3-pt jump shot from 24 ft,,16,23
1,3:03.0,,Defensive rebound by J. Winslow,16,23
1,2:57.0,,J. Winslow makes 2-pt layup from 1 ft,16,25
1,2:57.0,I. Smith enters the game for R. Jackson,,16,25
1,2:57.0,,G. Dragić enters the game for D. Waiters,16,25
1,2:57.0,,J. Richardson enters the game for J. Winslow,16,25
1,2:42.0,B. Griffin misses 2-pt layup from 1 ft (block by K. Olynyk),,16,25
1,2:42.0,Offensive rebound by Team,,16,25
1,2:37.0,T. Maker misses 2-pt jump shot from 7 ft,,16,25
1,2:34.0,,Defensive rebound by G. Dragić,16,25
1,2:26.0,,G. Dragić misses 3-pt jump shot from 26 ft,16,25
1,2:24.0,Defensive rebound by B. Griffin,,16,25
1,2:17.0,Turnover by B. Griffin (bad pass),,16,25
1,2:06.0,,D. Wade misses 2-pt jump shot from 14 ft,16,25
1,2:04.0,Defensive rebound by T. Maker,,16,25
1,2:04.0,A. Drummond enters the game for B. Griffin,,16,25
1,2:04.0,,H. Whiteside enters the game for K. Olynyk,16,25
1,1:57.0,L. Galloway misses 2-pt layup from 2 ft (block by J. Richardson),,16,25
1,1:57.0,Offensive rebound by Team,,16,25
1,1:48.0,L. Galloway misses 3-pt jump shot from 25 ft,,16,25
1,1:47.0,,Defensive rebound by J. Richardson,16,25
1,1:32.0,,Shooting foul by L. Kennard (drawn by D. Wade),16,25
1,1:32.0,,D. Wade misses free throw 1 of 2,16,25
1,1:32.0,,Offensive rebound by Team,16,25
1,1:32.0,,D. Wade makes free throw 2 of 2,16,26
1,1:20.0,T. Maker makes 2-pt jump shot from 10 ft (assist by L. Kennard),,18,26
1,1:00.0,,G. Dragić misses 2-pt layup from 2 ft,18,26
1,0:59.0,,Offensive rebound by H. Whiteside,18,26
1,0:59.0,,H. Whiteside makes 2-pt layup at rim,18,28
1,0:43.0,Personal foul by D. Wade (drawn by L. Galloway),,18,28
