QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
1,11:47.0,,J. Brown misses 3-pt jump shot from 27 ft,0,0
1,11:45.0,Defensive rebound by K. Middleton,,0,0
1,11:40.0,Turnover by K. Middleton (bad pass; steal by J. Brown),,0,0
1,11:31.0,,Turnover by K. Irving (step out of bounds),0,0
1,11:19.0,Turnover by K. Middleton (traveling),,0,0
1,10:59.0,,J. Tatum makes 2-pt jump shot from 18 ft (assist by A. Horford),0,2
1,10:47.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,2,2
1,10:28.0,,A. Horford makes 2-pt jump shot from 18 ft,2,4
1,10:17.0,N. Mirotić misses 3-pt jump shot from 27 ft,,2,4
1,10:15.0,,Defensive rebound by A. Horford,2,4
1,10:07.0,,J. Brown makes 3-pt jump shot from 23 ft (assist by M. Morris),2,7
1,9:55.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,2,7
1,9:53.0,,Defensive rebound by A. Horford,2,7
1,9:48.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by A. Horford),2,10
1,9:21.0,G. Antetokounmpo makes 2-pt layup from 5 ft (assist by K. Middleton),,4,10
1,9:12.0,,J. Tatum misses 3-pt jump shot from 26 ft,4,10
1,9:11.0,Defensive rebound by E. Bledsoe,,4,10
1,9:06.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,4,10
1,9:04.0,,Defensive rebound by J. Tatum,4,10
1,8:48.0,,A. Horford misses 2-pt hook shot from 6 ft,4,10
1,8:46.0,Defensive rebound by G. Antetokounmpo,,4,10
1,8:39.0,K. Middleton makes 2-pt jump shot from 11 ft,,6,10
1,8:16.0,,K. Irving misses 2-pt layup from 2 ft,6,10
1,8:14.0,Defensive rebound by B. Lopez,,6,10
1,8:12.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,6,10
1,8:12.0,G. Antetokounmpo misses free throw 1 of 2,,6,10
1,8:12.0,Offensive rebound by Team,,6,10
1,8:12.0,Milwaukee full timeout,,6,10
1,8:12.0,G. Antetokounmpo makes free throw 2 of 2,,7,10
1,8:00.0,,A. Horford misses 3-pt jump shot from 26 ft,7,10
1,7:59.0,,Offensive rebound by Team,7,10
1,7:59.0,Loose ball foul by N. Mirotić (drawn by J. Brown),,7,10
1,7:50.0,,J. Brown misses 2-pt layup from 2 ft (block by G. Antetokounmpo),7,10
1,7:48.0,,Offensive rebound by K. Irving,7,10
1,7:45.0,,Turnover by Team (shot clock),7,10
1,7:35.0,E. Bledsoe misses 2-pt layup from 5 ft (block by M. Morris),,7,10
1,7:33.0,,Defensive rebound by K. Irving,7,10
1,7:29.0,,J. Tatum misses 3-pt jump shot from 24 ft,7,10
1,7:28.0,Defensive rebound by G. Antetokounmpo,,7,10
1,7:13.0,E. Bledsoe misses 2-pt layup from 6 ft,,7,10
1,7:12.0,,Defensive rebound by M. Morris,7,10
1,7:03.0,,Turnover by M. Morris (lost ball; steal by K. Middleton),7,10
1,7:00.0,Personal foul by K. Irving (drawn by G. Antetokounmpo),,7,10
1,7:00.0,E. İlyasova enters the game for B. Lopez,,7,10
1,7:00.0,,G. Hayward enters the game for J. Brown,7,10
1,6:49.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,10,10
1,6:34.0,,Turnover by A. Horford (lost ball; steal by K. Middleton),10,10
1,6:27.0,E. Bledsoe misses 3-pt jump shot from 24 ft,,10,10
1,6:25.0,,Defensive rebound by M. Morris,10,10
1,6:12.0,,A. Horford misses 3-pt jump shot from 22 ft,10,10
1,6:10.0,Defensive rebound by N. Mirotić,,10,10
1,6:02.0,K. Middleton misses 3-pt jump shot from 25 ft,,10,10
1,6:00.0,,Defensive rebound by A. Horford,10,10
1,5:54.0,,K. Irving makes 2-pt layup from 1 ft,10,12
1,5:42.0,G. Antetokounmpo misses 2-pt layup from 3 ft,,10,12
1,5:41.0,,Defensive rebound by J. Tatum,10,12
1,5:35.0,,Personal foul by E. Bledsoe (drawn by G. Hayward),10,12
1,5:35.0,P. Connaughton enters the game for E. Bledsoe,,10,12
1,5:35.0,G. Hill enters the game for N. Mirotić,,10,12
1,5:35.0,,A. Baynes enters the game for A. Horford,10,12
1,5:35.0,,S. Ojeleye enters the game for M. Morris,10,12
1,5:19.0,,J. Tatum makes 2-pt jump shot from 20 ft (assist by S. Ojeleye),10,14
1,5:02.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,12,14
1,4:47.0,,K. Irving misses 2-pt jump shot from 13 ft,12,14
1,4:45.0,Defensive rebound by E. İlyasova,,12,14
1,4:34.0,Shooting foul by S. Ojeleye (drawn by G. Antetokounmpo),,12,14
1,4:34.0,G. Antetokounmpo misses free throw 1 of 2,,12,14
1,4:34.0,Offensive rebound by Team,,12,14
1,4:34.0,B. Lopez enters the game for K. Middleton,,12,14
1,4:34.0,G. Antetokounmpo makes free throw 2 of 2,,13,14
1,4:14.0,,A. Baynes misses 3-pt jump shot from 26 ft,13,14
1,4:12.0,Defensive rebound by E. İlyasova,,13,14
1,4:07.0,Offensive foul by G. Antetokounmpo (drawn by S. Ojeleye),,13,14
1,4:07.0,Turnover by G. Antetokounmpo (offensive foul),,13,14
1,4:07.0,K. Middleton enters the game for G. Antetokounmpo,,13,14
1,3:48.0,,J. Tatum misses 3-pt jump shot from 26 ft,13,14
1,3:47.0,Defensive rebound by G. Hill,,13,14
1,3:31.0,P. Connaughton makes 3-pt jump shot from 23 ft (assist by G. Hill),,16,14
1,3:28.0,,Boston full timeout,16,14
1,3:28.0,,A. Horford enters the game for A. Baynes,16,14
1,3:28.0,,T. Rozier enters the game for J. Tatum,16,14
