QUARTER,TIME_REMAINING,NEW YORK_ACTION,INDIANA_ACTION,NEW YORK_SCORE,INDIANA_SCORE
1,11:44.0,D. Dotson misses 2-pt jump shot from 6 ft,,0,0
1,11:41.0,,Defensive rebound by W. Matthews,0,0
1,11:29.0,,M. Turner misses 3-pt jump shot from 28 ft,0,0
1,11:25.0,Defensive rebound by N. Vonleh,,0,0
1,11:18.0,D. Jordan makes 2-pt dunk from 2 ft (assist by D. Smith),,2,0
1,11:01.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),2,2
1,10:47.0,K. Knox misses 3-pt jump shot from 28 ft,,2,2
1,10:44.0,Offensive rebound by Team,,2,2
1,10:42.0,Personal foul by D. Collison (drawn by D. Smith),,2,2
1,10:32.0,D. Smith makes 2-pt dunk from 2 ft (assist by D. Jordan),,4,2
1,10:22.0,,Shooting foul by K. Knox (drawn by M. Turner),4,2
1,10:22.0,,M. Turner makes free throw 1 of 2,4,3
1,10:22.0,,M. Turner makes free throw 2 of 2,4,4
1,10:08.0,Turnover by D. Jordan (traveling),,4,4
1,9:55.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,4,6
1,9:37.0,N. Vonleh misses 2-pt hook shot from 5 ft,,4,6
1,9:34.0,Offensive rebound by D. Jordan,,4,6
1,9:34.0,D. Jordan makes 2-pt layup at rim,,6,6
1,9:17.0,,M. Turner misses 2-pt layup from 2 ft,6,6
1,9:16.0,,Offensive rebound by M. Turner,6,6
1,9:13.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,6,6
1,9:09.0,Defensive rebound by D. Dotson,,6,6
1,8:55.0,D. Dotson makes 2-pt jump shot from 20 ft (assist by D. Jordan),,8,6
1,8:41.0,,Turnover by M. Turner (out of bounds lost ball),8,6
1,8:24.0,K. Knox makes 3-pt jump shot from 27 ft (assist by D. Dotson),,11,6
1,8:11.0,,Shooting foul by D. Dotson (drawn by B. Bogdanović),11,6
1,8:11.0,,B. Bogdanović makes free throw 1 of 2,11,7
1,8:11.0,,B. Bogdanović makes free throw 2 of 2,11,8
1,7:50.0,K. Knox misses 2-pt layup from 1 ft,,11,8
1,7:47.0,,Defensive rebound by T. Young,11,8
1,7:32.0,,T. Young makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),11,11
1,7:17.0,D. Smith makes 2-pt layup from 2 ft,,13,11
1,7:08.0,,Personal foul by D. Smith (drawn by T. Young),13,11
1,7:01.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by D. Collison),13,13
1,6:47.0,D. Dotson makes 3-pt jump shot from 23 ft (assist by D. Smith),,16,13
1,6:38.0,,Indiana full timeout,16,13
1,6:32.0,,W. Matthews makes 2-pt jump shot from 14 ft (assist by D. Collison),16,15
1,6:16.0,Shooting foul by D. Collison (drawn by D. Smith),,16,15
1,6:16.0,D. Smith misses free throw 1 of 2,,16,15
1,6:16.0,Offensive rebound by Team,,16,15
1,6:16.0,,A. Holiday enters the game for D. Collison,16,15
1,6:16.0,D. Smith misses free throw 2 of 2,,16,15
1,6:14.0,,Defensive rebound by B. Bogdanović,16,15
1,6:03.0,,W. Matthews misses 3-pt jump shot from 25 ft,16,15
1,5:59.0,Defensive rebound by N. Vonleh,,16,15
1,5:47.0,K. Knox makes 2-pt jump shot from 13 ft,,18,15
1,5:34.0,,Shooting foul by D. Smith (drawn by W. Matthews),18,15
1,5:34.0,,W. Matthews makes free throw 1 of 2,18,16
1,5:34.0,E. Mudiay enters the game for D. Smith,,18,16
1,5:34.0,,C. Joseph enters the game for A. Holiday,18,16
1,5:34.0,,W. Matthews makes free throw 2 of 2,18,17
1,5:16.0,Personal foul by M. Turner (drawn by D. Jordan),,18,17
1,5:06.0,D. Jordan makes 2-pt hook shot from 8 ft,,20,17
1,4:42.0,,W. Matthews makes 2-pt layup from 1 ft (assist by M. Turner),20,19
1,4:32.0,Turnover by D. Jordan (bad pass; steal by T. Young),,20,19
1,4:26.0,,C. Joseph misses 3-pt jump shot from 23 ft,20,19
1,4:22.0,,Offensive rebound by T. Young,20,19
1,4:09.0,,M. Turner misses 3-pt jump shot from 27 ft,20,19
1,4:05.0,,Offensive rebound by C. Joseph,20,19
1,3:53.0,,Turnover by C. Joseph (traveling),20,19
1,3:53.0,A. Trier enters the game for D. Dotson,,20,19
1,3:53.0,,D. Sabonis enters the game for T. Young,20,19
1,3:33.0,E. Mudiay misses 2-pt jump shot from 12 ft,,20,19
1,3:30.0,,Defensive rebound by M. Turner,20,19
