QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
1,11:43.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Tatum),0,2
1,11:21.0,T. Hardaway misses 3-pt jump shot from 26 ft,,0,2
1,11:19.0,,Defensive rebound by K. Irving,0,2
1,11:05.0,,M. Morris makes 2-pt hook shot from 8 ft (assist by A. Horford),0,4
1,10:40.0,M. Hezonja misses 3-pt jump shot from 25 ft,,0,4
1,10:36.0,,Defensive rebound by A. Horford,0,4
1,10:31.0,,K. Irving makes 2-pt jump shot from 6 ft,0,6
1,10:15.0,Turnover by T. Hardaway (lost ball; steal by M. Morris),,0,6
1,10:11.0,,J. Tatum misses 3-pt jump shot from 25 ft,0,6
1,10:08.0,,Offensive rebound by K. Irving,0,6
1,10:04.0,,M. Morris misses 3-pt jump shot from 26 ft,0,6
1,10:00.0,Defensive rebound by M. Hezonja,,0,6
1,9:52.0,M. Hezonja misses 2-pt layup from 4 ft,,0,6
1,9:51.0,Offensive rebound by E. Freedom,,0,6
1,9:50.0,E. Freedom makes 2-pt layup from 1 ft,,2,6
1,9:36.0,,K. Irving misses 2-pt jump shot from 21 ft,2,6
1,9:34.0,Defensive rebound by N. Vonleh,,2,6
1,9:24.0,Personal foul by J. Tatum (drawn by E. Freedom),,2,6
1,9:16.0,Turnover by T. Hardaway (bad pass; steal by M. Smart),,2,6
1,9:11.0,,M. Smart makes 2-pt layup at rim,2,8
1,8:53.0,Turnover by N. Vonleh (traveling),,2,8
1,8:38.0,,A. Horford misses 2-pt hook shot from 4 ft,2,8
1,8:37.0,Defensive rebound by E. Freedom,,2,8
1,8:30.0,E. Freedom makes 2-pt dunk from 1 ft (assist by E. Mudiay),,4,8
1,8:09.0,,J. Tatum makes 2-pt jump shot from 9 ft (assist by A. Horford),4,10
1,7:58.0,Personal foul by A. Horford (drawn by T. Hardaway),,4,10
1,7:48.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Mudiay),,7,10
1,7:32.0,,J. Tatum makes 2-pt jump shot from 13 ft (assist by K. Irving),7,12
1,7:15.0,E. Freedom makes 2-pt layup from 2 ft,,9,12
1,7:04.0,,K. Irving makes 2-pt jump shot from 6 ft,9,14
1,6:50.0,Personal foul by M. Smart (drawn by N. Vonleh),,9,14
1,6:50.0,,Boston full timeout,9,14
1,6:45.0,E. Mudiay makes 2-pt jump shot from 16 ft,,11,14
1,6:23.0,,J. Tatum makes 3-pt jump shot from 25 ft (assist by M. Smart),11,17
1,6:03.0,T. Hardaway makes 3-pt jump shot from 27 ft (assist by E. Freedom),,14,17
1,5:50.0,,K. Irving makes 2-pt jump shot from 21 ft,14,19
1,5:26.0,N. Vonleh makes 2-pt hook shot from 6 ft,,16,19
1,5:20.0,,K. Irving makes 3-pt jump shot from 28 ft,16,22
1,4:58.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by M. Hezonja),,19,22
1,4:46.0,,K. Irving misses 3-pt jump shot from 26 ft,19,22
1,4:43.0,Defensive rebound by M. Hezonja,,19,22
1,4:40.0,Turnover by M. Hezonja (bad pass),,19,22
1,4:40.0,K. Knox enters the game for M. Hezonja,,19,22
1,4:40.0,,J. Brown enters the game for M. Morris,19,22
1,4:40.0,,G. Hayward enters the game for M. Smart,19,22
1,4:25.0,,J. Tatum misses 2-pt jump shot from 6 ft,19,22
1,4:23.0,Defensive rebound by E. Freedom,,19,22
1,4:11.0,E. Mudiay misses 3-pt jump shot from 23 ft,,19,22
1,4:07.0,,Defensive rebound by A. Horford,19,22
1,3:57.0,,J. Brown makes 2-pt layup from 2 ft (assist by A. Horford),19,24
1,3:57.0,,Shooting foul by E. Freedom (drawn by J. Brown),19,24
1,3:57.0,M. Robinson enters the game for E. Freedom,,19,24
1,3:57.0,,J. Brown makes free throw 1 of 1,19,25
1,3:49.0,E. Mudiay misses 2-pt layup from 3 ft,,19,25
1,3:44.0,M. Robinson makes 2-pt layup at rim,,21,25
1,3:44.0,Offensive rebound by M. Robinson,,21,25
1,3:36.0,,Shooting foul by M. Robinson (drawn by J. Brown),21,25
1,3:36.0,A. Trier enters the game for T. Hardaway,,21,25
1,3:36.0,,A. Baynes enters the game for A. Horford,21,25
1,3:36.0,,D. Theis enters the game for J. Tatum,21,25
1,3:36.0,,J. Brown makes free throw 1 of 2,21,26
1,3:36.0,,J. Brown makes free throw 2 of 2,21,27
1,3:27.0,Personal foul by J. Brown (drawn by A. Trier),,21,27
1,3:17.0,A. Trier makes 2-pt jump shot from 14 ft (assist by K. Knox),,23,27
1,3:02.0,,Personal foul by A. Trier (drawn by J. Brown),23,27
1,2:57.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by K. Irving),23,30
1,2:40.0,Turnover by M. Robinson (3 sec),,23,30
1,2:40.0,New York full timeout,,23,30
1,2:40.0,,T. Rozier enters the game for K. Irving,23,30
1,2:20.0,,D. Theis misses 2-pt layup from 4 ft (block by E. Mudiay),23,30
1,2:18.0,Defensive rebound by M. Robinson,,23,30
1,2:14.0,K. Knox misses 3-pt jump shot from 26 ft,,23,30
1,2:11.0,Offensive rebound by N. Vonleh,,23,30
1,2:07.0,E. Mudiay makes 2-pt layup from 3 ft (assist by N. Vonleh),,25,30
1,1:51.0,,G. Hayward misses 2-pt layup from 3 ft,25,30
1,1:51.0,Defensive rebound by Team,,25,30
1,1:51.0,C. Lee enters the game for N. Vonleh,,25,30
1,1:51.0,,M. Morris enters the game for A. Baynes,25,30
1,1:41.0,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Mudiay),,27,30
1,1:27.0,,Personal foul by E. Mudiay (drawn by G. Hayward),27,30
1,1:22.0,,Shooting foul by C. Lee (drawn by G. Hayward),27,30
1,1:22.0,,G. Hayward makes free throw 1 of 2,27,31
1,1:22.0,,G. Hayward makes free throw 2 of 2,27,32
1,1:13.0,E. Mudiay misses 2-pt jump shot from 10 ft,,27,32
1,1:11.0,,Defensive rebound by G. Hayward,27,32
1,1:08.0,,J. Brown makes 2-pt dunk from 2 ft (assist by G. Hayward),27,34
1,0:44.0,Shooting foul by D. Theis (drawn by K. Knox),,27,34
1,0:44.0,K. Knox makes free throw 1 of 2,,28,34
1,0:44.0,D. Dotson enters the game for E. Mudiay,,28,34
1,0:44.0,K. Knox misses free throw 2 of 2,,28,34
1,0:43.0,,Defensive rebound by M. Morris,28,34
1,0:33.0,,Shooting foul by M. Robinson (drawn by D. Theis),28,34
1,0:33.0,,D. Theis makes free throw 1 of 2,28,35
1,0:33.0,N. Vonleh enters the game for M. Robinson,,28,35
1,0:33.0,,D. Theis makes free throw 2 of 2,28,36
1,0:28.0,Turnover by A. Trier (offensive foul),,28,36
1,0:28.0,Offensive foul by A. Trier (drawn by T. Rozier),,28,36
1,0:10.0,,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),28,38
1,0:03.0,A. Trier makes 2-pt layup at rim,,30,38
1,0:01.0,,M. Morris misses 3-pt jump shot from 53 ft,30,38
1,0:00.0,,Offensive rebound by Team,30,38
2,11:49.0,K. Knox makes 2-pt jump shot from 20 ft (assist by M. Robinson),,32,38
2,11:36.0,,J. Brown makes 2-pt layup at rim (assist by M. Morris),32,40
2,11:36.0,,Shooting foul by D. Dotson (drawn by J. Brown),32,40
2,11:36.0,,J. Brown makes free throw 1 of 1,32,41
2,11:23.0,C. Lee makes 3-pt jump shot from 23 ft (assist by K. Knox),,35,41
2,11:11.0,,J. Brown misses 2-pt jump shot from 7 ft,35,41
2,11:07.0,Defensive rebound by D. Dotson,,35,41
2,11:04.0,D. Dotson misses 2-pt jump shot from 19 ft,,35,41
2,11:02.0,,Defensive rebound by T. Rozier,35,41
2,10:54.0,,M. Morris misses 3-pt jump shot from 25 ft,35,41
2,10:49.0,Defensive rebound by A. Trier,,35,41
2,10:42.0,Shooting foul by J. Brown (drawn by A. Trier),,35,41
2,10:42.0,A. Trier makes free throw 1 of 2,,36,41
2,10:42.0,A. Trier makes free throw 2 of 2,,37,41
2,10:29.0,,G. Hayward misses 2-pt jump shot from 3 ft (block by M. Robinson),37,41
2,10:27.0,Defensive rebound by C. Lee,,37,41
2,10:25.0,D. Dotson misses 3-pt jump shot from 26 ft,,37,41
2,10:20.0,,Defensive rebound by T. Rozier,37,41
2,10:11.0,,Personal foul by K. Knox (drawn by D. Theis),37,41
2,10:00.0,,M. Morris makes 2-pt jump shot from 11 ft,37,43
2,9:47.0,Personal foul by M. Morris (drawn by K. Knox),,37,43
2,9:34.0,K. Knox makes 3-pt jump shot from 27 ft (assist by A. Trier),,40,43
