QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
1,11:41.0,,K. Bazemore makes 3-pt jump shot from 23 ft (assist by J. Collins),0,3
1,11:24.0,J. Wall misses 3-pt jump shot from 25 ft,,0,3
1,11:21.0,,Defensive rebound by K. Huerter,0,3
1,11:13.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by J. Collins),0,5
1,11:02.0,T. Ariza misses 3-pt jump shot from 23 ft,,0,5
1,11:00.0,,Defensive rebound by D. Dedmon,0,5
1,10:50.0,,K. Bazemore misses 3-pt jump shot from 25 ft,0,5
1,10:46.0,Defensive rebound by B. Beal,,0,5
1,10:34.0,T. Bryant misses 2-pt layup from 5 ft,,0,5
1,10:33.0,,Defensive rebound by J. Collins,0,5
1,10:24.0,,K. Huerter misses 3-pt jump shot from 26 ft,0,5
1,10:23.0,,Offensive rebound by J. Collins,0,5
1,10:11.0,,D. Dedmon makes 2-pt layup from 2 ft,0,7
1,10:03.0,Shooting foul by J. Collins (drawn by T. Bryant),,0,7
1,10:03.0,T. Bryant misses free throw 1 of 2,,0,7
1,10:03.0,Offensive rebound by Team,,0,7
1,10:03.0,T. Bryant misses free throw 2 of 2,,0,7
1,9:59.0,,Defensive rebound by J. Collins,0,7
1,9:43.0,,J. Collins makes 3-pt jump shot from 25 ft (assist by T. Young),0,10
1,9:41.0,Washington full timeout,,0,10
1,9:23.0,Turnover by B. Beal (out of bounds lost ball),,0,10
1,9:14.0,,K. Huerter misses 3-pt jump shot from 26 ft,0,10
1,9:10.0,Defensive rebound by J. Green,,0,10
1,9:05.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,10
1,9:03.0,,Defensive rebound by J. Collins,0,10
1,8:52.0,,K. Bazemore misses 3-pt jump shot from 25 ft,0,10
1,8:48.0,Defensive rebound by B. Beal,,0,10
1,8:37.0,J. Green misses 3-pt jump shot from 26 ft,,0,10
1,8:33.0,Offensive rebound by B. Beal,,0,10
1,8:31.0,B. Beal misses 2-pt layup from 1 ft,,0,10
1,8:31.0,,Defensive rebound by Team,0,10
1,8:22.0,,Offensive foul by D. Dedmon (drawn by J. Wall),0,10
1,8:22.0,,Turnover by D. Dedmon (offensive foul),0,10
1,8:03.0,J. Wall misses 3-pt jump shot from 26 ft,,0,10
1,8:00.0,,Defensive rebound by D. Dedmon,0,10
1,7:58.0,,Turnover by D. Dedmon (bad pass; steal by T. Ariza),0,10
1,7:54.0,T. Ariza misses 2-pt layup from 3 ft,,0,10
1,7:51.0,,Defensive rebound by K. Huerter,0,10
1,7:45.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),0,12
1,7:26.0,J. Green makes 3-pt jump shot from 24 ft (assist by J. Wall),,3,12
1,7:14.0,,T. Young makes 3-pt jump shot from 26 ft,3,15
1,6:50.0,B. Beal makes 2-pt layup from 2 ft,,5,15
1,6:50.0,Shooting foul by J. Collins (drawn by B. Beal),,5,15
1,6:50.0,M. Morris enters the game for T. Bryant,,5,15
1,6:50.0,,V. Carter enters the game for J. Collins,5,15
1,6:50.0,B. Beal misses free throw 1 of 1,,5,15
1,6:47.0,,Defensive rebound by D. Dedmon,5,15
1,6:37.0,,Personal foul by M. Morris (drawn by T. Young),5,15
1,6:34.0,,Shooting foul by J. Wall (drawn by T. Young),5,15
1,6:34.0,,T. Young misses free throw 1 of 3,5,15
1,6:34.0,,Offensive rebound by Team,5,15
1,6:34.0,,T. Young makes free throw 2 of 3,5,16
1,6:34.0,,T. Young misses free throw 3 of 3,5,16
1,6:32.0,Defensive rebound by T. Ariza,,5,16
1,6:25.0,Turnover by B. Beal (out of bounds lost ball),,5,16
1,6:25.0,,J. Lin enters the game for T. Young,5,16
1,6:08.0,,D. Dedmon makes 2-pt hook shot from 9 ft (assist by J. Lin),5,18
1,5:56.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by M. Morris),,8,18
1,5:36.0,,Turnover by K. Huerter (bad pass; steal by J. Green),8,18
1,5:31.0,T. Ariza makes 2-pt dunk from 2 ft (assist by J. Wall),,10,18
1,5:31.0,,Atlanta full timeout,10,18
1,5:31.0,,D. Bembry enters the game for D. Dedmon,10,18
1,5:31.0,,A. Len enters the game for K. Huerter,10,18
1,5:27.0,,Personal foul by J. Green (drawn by A. Len),10,18
1,5:20.0,,K. Bazemore misses 3-pt jump shot from 23 ft,10,18
1,5:17.0,Defensive rebound by J. Green,,10,18
1,5:11.0,J. Wall misses 2-pt jump shot from 18 ft,,10,18
1,5:05.0,,Defensive rebound by J. Lin,10,18
1,4:59.0,,V. Carter makes 3-pt jump shot from 27 ft (assist by D. Bembry),10,21
1,4:42.0,B. Beal misses 3-pt jump shot from 24 ft,,10,21
1,4:39.0,,Defensive rebound by V. Carter,10,21
1,4:35.0,,V. Carter misses 3-pt jump shot from 26 ft,10,21
1,4:31.0,Defensive rebound by T. Ariza,,10,21
1,4:29.0,Shooting foul by D. Bembry (drawn by J. Green),,10,21
1,4:29.0,J. Green makes free throw 1 of 2,,11,21
1,4:29.0,T. Satoranský enters the game for T. Ariza,,11,21
1,4:29.0,,D. Hamilton enters the game for K. Bazemore,11,21
1,4:29.0,J. Green makes free throw 2 of 2,,12,21
1,4:15.0,,D. Hamilton misses 3-pt jump shot from 25 ft,12,21
1,4:10.0,,Offensive rebound by A. Len,12,21
1,4:10.0,,Offensive foul by A. Len (drawn by M. Morris),12,21
1,4:10.0,,Turnover by A. Len (offensive foul),12,21
1,4:10.0,I. Mahinmi enters the game for J. Green,,12,21
1,3:59.0,Shooting foul by A. Len (drawn by I. Mahinmi),,12,21
1,3:59.0,I. Mahinmi makes free throw 1 of 2,,13,21
1,3:59.0,I. Mahinmi makes free throw 2 of 2,,14,21
1,3:44.0,,J. Lin misses 2-pt jump shot from 16 ft,14,21
1,3:43.0,,Offensive rebound by Team,14,21
1,3:43.0,Loose ball foul by I. Mahinmi (drawn by A. Len),,14,21
1,3:40.0,,Turnover by A. Len (traveling),14,21
1,3:25.0,J. Wall misses 2-pt layup from 1 ft (block by A. Len),,14,21
1,3:21.0,Offensive rebound by M. Morris,,14,21
1,3:16.0,J. Wall misses 3-pt jump shot from 24 ft,,14,21
1,3:13.0,,Defensive rebound by A. Len,14,21
1,3:10.0,,Personal foul by J. Wall (drawn by J. Lin),14,21
1,3:10.0,,J. Lin makes free throw 1 of 2,14,22
1,3:10.0,C. Randle enters the game for J. Wall,,14,22
1,3:10.0,,J. Lin makes free throw 2 of 2,14,23
1,3:02.0,Personal foul by V. Carter (drawn by M. Morris),,14,23
1,3:02.0,M. Morris makes free throw 1 of 2,,15,23
1,3:02.0,M. Morris makes free throw 2 of 2,,16,23
1,2:39.0,,J. Lin misses 3-pt jump shot from 23 ft,16,23
1,2:36.0,Defensive rebound by T. Satoranský,,16,23
1,2:29.0,Turnover by C. Randle (traveling),,16,23
1,2:21.0,,Personal foul by C. Randle (drawn by J. Lin),16,23
1,2:21.0,,J. Lin makes free throw 1 of 2,16,24
1,2:21.0,S. Dekker enters the game for B. Beal,,16,24
1,2:21.0,,T. Young enters the game for D. Bembry,16,24
1,2:21.0,,J. Lin makes free throw 2 of 2,16,25
1,2:09.0,C. Randle makes 3-pt jump shot from 26 ft (assist by I. Mahinmi),,19,25
1,1:55.0,,J. Lin misses 2-pt jump shot from 5 ft,19,25
1,1:52.0,Defensive rebound by I. Mahinmi,,19,25
1,1:50.0,Personal foul by V. Carter (drawn by C. Randle),,19,25
1,1:50.0,C. Randle makes free throw 1 of 2,,20,25
1,1:50.0,,J. Anderson enters the game for V. Carter,20,25
1,1:50.0,C. Randle makes free throw 2 of 2,,21,25
1,1:39.0,,Turnover by T. Young (bad pass),21,25
1,1:33.0,Personal foul by J. Anderson (drawn by M. Morris),,21,25
1,1:33.0,M. Morris misses free throw 1 of 2,,21,25
1,1:33.0,Offensive rebound by Team,,21,25
1,1:33.0,,K. Huerter enters the game for J. Lin,21,25
1,1:33.0,M. Morris makes free throw 2 of 2,,22,25
1,1:26.0,,Personal foul by C. Randle (drawn by T. Young),22,25
1,1:26.0,,T. Young makes free throw 1 of 2,22,26
1,1:26.0,,T. Young makes free throw 2 of 2,22,27
1,1:12.0,Shooting foul by A. Len (drawn by T. Satoranský),,22,27
1,1:12.0,T. Satoranský misses free throw 1 of 2,,22,27
1,1:12.0,Offensive rebound by Team,,22,27
1,1:12.0,,D. Dedmon enters the game for A. Len,22,27
1,1:12.0,T. Satoranský makes free throw 2 of 2,,23,27
1,1:02.0,,T. Young makes 3-pt jump shot from 27 ft,23,30
1,0:45.0,M. Morris misses 2-pt jump shot from 14 ft,,23,30
1,0:41.0,,Defensive rebound by D. Dedmon,23,30
1,0:36.0,,D. Dedmon makes 3-pt jump shot from 27 ft (assist by D. Hamilton),23,33
1,0:24.0,Personal foul by J. Anderson (drawn by M. Morris),,23,33
1,0:24.0,M. Morris makes free throw 1 of 2,,24,33
1,0:24.0,M. Morris misses free throw 2 of 2,,24,33
1,0:22.0,,Defensive rebound by K. Huerter,24,33
1,0:00.0,,T. Young makes 2-pt jump shot from 14 ft (assist by K. Huerter),24,35
2,12:00.0,,Violation by Team (delay of game),24,35
2,11:47.0,M. Morris makes 2-pt dunk from 1 ft (assist by T. Satoranský),,26,35
2,11:26.0,,Shooting foul by M. Morris (drawn by D. Dedmon),26,35
2,11:26.0,,D. Dedmon misses free throw 1 of 2,26,35
2,11:26.0,,Offensive rebound by Team,26,35
2,11:26.0,,D. Dedmon makes free throw 2 of 2,26,36
2,11:15.0,M. Morris misses 3-pt jump shot from 25 ft,,26,36
2,11:12.0,Offensive rebound by T. Satoranský,,26,36
2,11:10.0,C. Randle misses 3-pt jump shot from 26 ft,,26,36
2,11:10.0,Offensive rebound by M. Morris,,26,36
2,11:10.0,Shooting foul by K. Bazemore (drawn by M. Morris),,26,36
2,11:10.0,M. Morris makes free throw 1 of 2,,27,36
