QUARTER,TIME_REMAINING,BOSTON_ACTION,OKLAHOMA CITY_ACTION,BOSTON_SCORE,OKLAHOMA CITY_SCORE
1,11:47.0,,P. George makes 2-pt jump shot from 17 ft (assist by S. Adams),0,2
1,11:31.0,J. Tatum misses 2-pt jump shot from 15 ft,,0,2
1,11:28.0,,Defensive rebound by S. Adams,0,2
1,11:19.0,,J. Grant misses 2-pt jump shot from 7 ft,0,2
1,11:17.0,Defensive rebound by A. Horford,,0,2
1,11:07.0,K. Irving makes 2-pt layup from 1 ft (assist by G. Hayward),,2,2
1,10:41.0,,S. Adams makes 2-pt jump shot from 5 ft,2,4
1,10:24.0,Turnover by K. Irving (bad pass; steal by J. Grant),,2,4
1,10:24.0,,Personal foul by A. Horford (drawn by J. Grant),2,4
1,10:09.0,,S. Adams misses 2-pt dunk from 1 ft,2,4
1,10:07.0,,Offensive rebound by P. George,2,4
1,10:06.0,,P. George makes 3-pt jump shot from 26 ft,2,7
1,9:48.0,A. Horford misses 2-pt jump shot from 17 ft,,2,7
1,9:45.0,,Defensive rebound by J. Grant,2,7
1,9:42.0,,S. Adams makes 2-pt dunk from 1 ft (assist by R. Westbrook),2,9
1,9:29.0,J. Brown misses 2-pt jump shot from 14 ft,,2,9
1,9:27.0,,Defensive rebound by R. Westbrook,2,9
1,9:22.0,,J. Grant misses 2-pt layup from 1 ft,2,9
1,9:21.0,,Offensive rebound by J. Grant,2,9
1,9:21.0,,J. Grant makes 2-pt dunk at rim,2,11
1,9:21.0,Boston full timeout,,2,11
1,9:06.0,K. Irving misses 3-pt jump shot from 26 ft,,2,11
1,9:03.0,,Defensive rebound by J. Grant,2,11
1,8:58.0,,R. Westbrook misses 2-pt layup from 2 ft,2,11
1,8:56.0,Defensive rebound by K. Irving,,2,11
1,8:42.0,G. Hayward misses 3-pt jump shot from 25 ft,,2,11
1,8:39.0,,Defensive rebound by S. Adams,2,11
1,8:22.0,,J. Grant misses 2-pt layup from 1 ft,2,11
1,8:21.0,Defensive rebound by A. Horford,,2,11
1,8:06.0,Personal foul by R. Westbrook (drawn by G. Hayward),,2,11
1,8:00.0,A. Horford misses 2-pt jump shot from 20 ft,,2,11
1,7:57.0,,Defensive rebound by R. Westbrook,2,11
1,7:48.0,,P. George misses 2-pt jump shot from 8 ft,2,11
1,7:45.0,,Offensive rebound by T. Ferguson,2,11
1,7:41.0,,Turnover by J. Grant (step out of bounds),2,11
1,7:28.0,J. Tatum makes 2-pt jump shot from 18 ft,,4,11
