QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
1,11:36.0,,G. Robinson misses 2-pt jump shot from 9 ft,0,0
1,11:29.0,,Offensive rebound by A. Drummond,0,0
1,11:29.0,,A. Drummond makes 2-pt layup at rim,0,2
1,11:15.0,J. Parker misses 3-pt jump shot from 28 ft,,0,2
1,11:12.0,,Defensive rebound by A. Drummond,0,2
1,11:10.0,,Personal foul by J. Parker (drawn by B. Griffin),0,2
1,10:57.0,,R. Jackson makes 3-pt jump shot from 29 ft (assist by R. Bullock),0,5
1,10:46.0,Turnover by W. Carter (bad pass),,0,5
1,10:38.0,,R. Bullock misses 3-pt jump shot from 27 ft,0,5
1,10:36.0,Defensive rebound by J. Parker,,0,5
1,10:27.0,J. Holiday misses 2-pt jump shot from 4 ft (block by A. Drummond),,0,5
1,10:20.0,,Defensive rebound by A. Drummond,0,5
1,10:18.0,,B. Griffin misses 2-pt layup from 2 ft (block by J. Holiday),0,5
1,10:17.0,,Offensive rebound by Team,0,5
1,10:07.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Griffin),0,8
1,9:50.0,R. Arcidiacono makes 2-pt layup from 1 ft,,2,8
1,9:28.0,,Turnover by A. Drummond (3 sec),2,8
1,9:17.0,W. Carter makes 2-pt layup from 2 ft (assist by J. Holiday),,4,8
1,8:58.0,,A. Drummond makes 2-pt layup from 2 ft,4,10
1,8:47.0,J. Parker misses 2-pt jump shot from 21 ft,,4,10
1,8:45.0,,Defensive rebound by A. Drummond,4,10
1,8:36.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by A. Drummond),4,13
1,8:25.0,J. Parker makes 2-pt jump shot from 14 ft,,6,13
1,8:05.0,,R. Jackson makes 2-pt jump shot from 13 ft,6,15
1,7:47.0,Z. LaVine makes 2-pt jump shot from 13 ft,,8,15
1,7:35.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by G. Robinson),8,18
1,7:19.0,R. Arcidiacono misses 3-pt jump shot from 29 ft,,8,18
1,7:15.0,,Defensive rebound by A. Drummond,8,18
1,6:59.0,,G. Robinson misses 2-pt jump shot from 11 ft,8,18
1,6:57.0,,Offensive rebound by A. Drummond,8,18
1,6:55.0,,A. Drummond makes 2-pt layup from 1 ft,8,20
1,6:55.0,Chicago full timeout,,8,20
1,6:43.0,Shooting foul by A. Drummond (drawn by W. Carter),,8,20
1,6:43.0,W. Carter makes free throw 1 of 2,,9,20
1,6:43.0,W. Carter makes free throw 2 of 2,,10,20
1,6:28.0,,R. Jackson makes 3-pt jump shot from 27 ft,10,23
1,6:16.0,Turnover by J. Parker (bad pass; steal by R. Jackson),,10,23
1,6:11.0,,Turnover by R. Bullock (bad pass; steal by J. Holiday),10,23
1,6:04.0,J. Holiday misses 3-pt jump shot from 27 ft,,10,23
1,6:00.0,,Defensive rebound by R. Bullock,10,23
1,5:48.0,,G. Robinson misses 3-pt jump shot from 24 ft (block by Z. LaVine),10,23
1,5:46.0,,Offensive rebound by A. Drummond,10,23
1,5:45.0,,Turnover by A. Drummond (bad pass; steal by J. Holiday),10,23
1,5:37.0,R. Arcidiacono misses 3-pt jump shot from 28 ft,,10,23
1,5:37.0,,Defensive rebound by B. Griffin,10,23
