QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
1,11:42.0,,J. Murray misses 2-pt jump shot from 15 ft,0,0
1,11:39.0,Defensive rebound by D. DeRozan,,0,0
1,11:32.0,D. DeRozan misses 2-pt hook shot from 6 ft,,0,0
1,11:27.0,Offensive rebound by J. Poeltl,,0,0
1,11:27.0,J. Poeltl misses 2-pt layup at rim,,0,0
1,11:26.0,,Defensive rebound by W. Barton,0,0
1,11:16.0,,Turnover by P. Millsap (lost ball; steal by D. DeRozan),0,0
1,11:05.0,L. Aldridge misses 3-pt jump shot from 22 ft,,0,0
1,11:02.0,,Defensive rebound by G. Harris,0,0
1,10:58.0,,Personal foul by L. Aldridge (drawn by N. Jokić),0,0
1,10:51.0,,W. Barton misses 2-pt jump shot from 8 ft,0,0
1,10:48.0,Defensive rebound by J. Poeltl,,0,0
1,10:47.0,Turnover by J. Poeltl (lost ball; steal by P. Millsap),,0,0
1,10:36.0,,N. Jokić misses 2-pt jump shot from 2 ft,0,0
1,10:36.0,,Offensive rebound by P. Millsap,0,0
1,10:36.0,,Shooting foul by D. DeRozan (drawn by P. Millsap),0,0
1,10:36.0,,P. Millsap makes free throw 1 of 2,0,1
1,10:36.0,,P. Millsap makes free throw 2 of 2,0,2
1,10:17.0,D. DeRozan misses 2-pt jump shot from 10 ft,,0,2
1,10:14.0,,Defensive rebound by N. Jokić,0,2
1,10:04.0,,Turnover by N. Jokić (bad pass),0,2
1,9:44.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by B. Forbes),,2,2
1,9:30.0,,J. Murray misses 2-pt dunk from 1 ft,2,2
1,9:27.0,Defensive rebound by D. DeRozan,,2,2
1,9:24.0,D. DeRozan makes 2-pt layup from 2 ft,,4,2
1,9:12.0,,Shooting foul by D. DeRozan (drawn by W. Barton),4,2
1,9:12.0,Violation by Team (delay of game),,4,2
1,9:12.0,M. Belinelli enters the game for D. DeRozan,,4,2
1,9:12.0,,W. Barton misses free throw 1 of 2,4,2
1,9:12.0,,Offensive rebound by Team,4,2
1,9:12.0,,W. Barton misses free throw 2 of 2,4,2
1,9:10.0,Defensive rebound by J. Poeltl,,4,2
1,8:52.0,Turnover by D. White (out of bounds lost ball),,4,2
1,8:41.0,,W. Barton misses 3-pt jump shot from 23 ft,4,2
1,8:39.0,Defensive rebound by B. Forbes,,4,2
1,8:33.0,B. Forbes makes 2-pt jump shot from 16 ft,,6,2
1,8:16.0,,G. Harris makes 2-pt layup from 2 ft (assist by P. Millsap),6,4
1,8:02.0,Turnover by D. White (bad pass; steal by N. Jokić),,6,4
1,7:54.0,,P. Millsap misses 2-pt jump shot from 17 ft,6,4
1,7:51.0,Defensive rebound by D. White,,6,4
1,7:43.0,L. Aldridge misses 2-pt jump shot from 14 ft,,6,4
