QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
1,11:48.0,,T. Harris makes 2-pt layup at rim (assist by M. Gortat),0,2
1,11:35.0,Turnover by K. Lowry (bad pass),,0,2
1,11:10.0,,D. Gallinari misses 3-pt jump shot from 29 ft,0,2
1,11:07.0,Defensive rebound by P. Siakam,,0,2
1,10:59.0,D. Green misses 3-pt jump shot from 23 ft,,0,2
1,10:55.0,,Defensive rebound by D. Gallinari,0,2
1,10:49.0,,A. Bradley misses 2-pt jump shot from 19 ft,0,2
1,10:48.0,Defensive rebound by Team,,0,2
1,10:46.0,Personal foul by A. Bradley (drawn by K. Lowry),,0,2
1,10:29.0,K. Lowry makes 2-pt layup from 2 ft,,2,2
1,10:12.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 10 ft,2,2
1,10:10.0,Defensive rebound by D. Green,,2,2
1,10:04.0,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),,4,2
1,9:55.0,,D. Gallinari makes 2-pt jump shot from 15 ft,4,4
1,9:42.0,Shooting foul by M. Gortat (drawn by S. Ibaka),,4,4
1,9:42.0,S. Ibaka makes free throw 1 of 2,,5,4
1,9:42.0,S. Ibaka makes free throw 2 of 2,,6,4
1,9:32.0,,Turnover by S. Gilgeous-Alexander (bad pass; steal by K. Lowry),6,4
1,9:30.0,K. Lowry makes 2-pt layup from 2 ft,,8,4
1,9:08.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by D. Gallinari),8,7
1,8:57.0,S. Ibaka makes 2-pt jump shot from 15 ft (assist by F. VanVleet),,10,7
1,8:40.0,,T. Harris makes 2-pt jump shot from 16 ft (assist by M. Gortat),10,9
1,8:26.0,S. Ibaka makes 2-pt layup from 4 ft (assist by K. Lowry),,12,9
1,8:16.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 16 ft,12,11
1,8:04.0,S. Ibaka misses 3-pt jump shot from 27 ft,,12,11
1,8:00.0,,Defensive rebound by D. Gallinari,12,11
1,7:56.0,,T. Harris makes 2-pt jump shot from 16 ft,12,13
1,7:37.0,S. Ibaka makes 2-pt jump shot from 9 ft (assist by P. Siakam),,14,13
1,7:23.0,,M. Gortat makes 2-pt layup from 1 ft (assist by T. Harris),14,15
1,7:14.0,Turnover by F. VanVleet (lost ball; steal by D. Gallinari),,14,15
1,7:08.0,,LA Clippers full timeout,14,15
1,6:57.0,,M. Gortat misses 2-pt hook shot from 9 ft,14,15
1,6:54.0,,Offensive rebound by M. Gortat,14,15
1,6:53.0,,M. Gortat misses 2-pt hook shot from 5 ft,14,15
1,6:50.0,Defensive rebound by P. Siakam,,14,15
1,6:37.0,P. Siakam misses 2-pt hook shot from 4 ft,,14,15
1,6:34.0,,Defensive rebound by M. Gortat,14,15
1,6:26.0,,D. Gallinari misses 2-pt jump shot from 14 ft,14,15
1,6:22.0,Defensive rebound by K. Lowry,,14,15
1,6:18.0,K. Lowry misses 3-pt jump shot from 28 ft,,14,15
1,6:16.0,,Defensive rebound by M. Gortat,14,15
1,6:10.0,,T. Harris misses 3-pt jump shot from 25 ft,14,15
1,6:07.0,,Offensive rebound by T. Harris,14,15
1,6:05.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,14,15
1,6:00.0,Defensive rebound by D. Green,,14,15
1,5:52.0,Personal foul by S. Gilgeous-Alexander (drawn by K. Lowry),,14,15
1,5:43.0,F. VanVleet makes 3-pt jump shot from 25 ft (assist by K. Lowry),,17,15
1,5:33.0,,Turnover by M. Gortat (traveling),17,15
1,5:20.0,P. Siakam makes 2-pt layup from 2 ft (assist by F. VanVleet),,19,15
1,5:02.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by M. Gortat),19,17
1,4:54.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by F. VanVleet),,22,17
1,4:32.0,,A. Bradley misses 3-pt jump shot from 25 ft,22,17
1,4:27.0,Defensive rebound by S. Ibaka,,22,17
1,4:18.0,P. Siakam misses 3-pt jump shot from 22 ft,,22,17
1,4:18.0,,Defensive rebound by D. Gallinari,22,17
1,4:18.0,,Personal foul by D. Green (drawn by D. Gallinari),22,17
1,4:18.0,,M. Harrell enters the game for M. Gortat,22,17
1,4:07.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by M. Harrell),22,19
1,3:50.0,P. Siakam makes 2-pt jump shot from 8 ft,,24,19
1,3:26.0,,M. Harrell misses 2-pt hook shot from 6 ft,24,19
1,3:25.0,Defensive rebound by S. Ibaka,,24,19
1,3:18.0,Turnover by F. VanVleet (bad pass; steal by S. Gilgeous-Alexander),,24,19
1,3:15.0,,Turnover by T. Harris (step out of bounds),24,19
1,3:15.0,Toronto full timeout,,24,19
1,3:15.0,J. Valančiūnas enters the game for S. Ibaka,,24,19
1,3:15.0,D. Wright enters the game for F. VanVleet,,24,19
1,3:15.0,,M. Scott enters the game for D. Gallinari,24,19
1,3:02.0,D. Green makes 2-pt jump shot from 18 ft (assist by D. Wright),,26,19
1,2:36.0,,M. Scott misses 2-pt jump shot from 7 ft,26,19
1,2:25.0,,Offensive rebound by M. Scott,26,19
1,2:25.0,,M. Scott makes 2-pt layup from 1 ft,26,21
1,2:23.0,D. Wright makes 2-pt jump shot from 6 ft,,28,21
1,2:10.0,,A. Bradley misses 2-pt jump shot from 19 ft,28,21
1,2:10.0,Defensive rebound by K. Lowry,,28,21
1,1:59.0,K. Lowry misses 2-pt jump shot from 18 ft,,28,21
1,1:55.0,Offensive rebound by D. Green,,28,21
1,1:43.0,J. Valančiūnas makes 2-pt jump shot from 12 ft,,30,21
1,1:25.0,,T. Harris misses 2-pt jump shot from 15 ft,30,21
1,1:22.0,Defensive rebound by D. Green,,30,21
1,1:16.0,D. Green makes 2-pt layup from 1 ft,,32,21
1,0:54.0,,M. Harrell misses 2-pt jump shot from 5 ft (block by D. Green),32,21
1,0:50.0,Defensive rebound by K. Lowry,,32,21
1,0:50.0,P. Siakam makes 2-pt layup from 2 ft (assist by K. Lowry),,34,21
1,0:32.0,,M. Scott makes 2-pt layup from 2 ft (assist by A. Bradley),34,23
1,0:13.0,J. Valančiūnas makes 2-pt jump shot from 14 ft (assist by D. Wright),,36,23
1,0:07.0,,Personal foul by K. Lowry (drawn by S. Gilgeous-Alexander),36,23
1,0:07.0,O. Anunoby enters the game for K. Lowry,,36,23
1,0:07.0,F. VanVleet enters the game for P. Siakam,,36,23
1,0:04.0,,Turnover by M. Harrell (bad pass),36,23
1,0:04.0,C. Miles enters the game for D. Wright,,36,23
1,0:04.0,,P. Beverley enters the game for S. Gilgeous-Alexander,36,23
1,0:02.0,F. VanVleet misses 3-pt jump shot from 31 ft,,36,23
1,0:02.0,Offensive rebound by D. Green,,36,23
1,0:00.0,D. Green misses 2-pt layup at rim,,36,23
1,0:00.0,Offensive rebound by Team,,36,23
2,11:39.0,F. VanVleet misses 2-pt layup from 2 ft,,36,23
2,11:37.0,,Defensive rebound by M. Harrell,36,23
2,11:31.0,,M. Teodosić makes 3-pt jump shot from 25 ft (assist by T. Wallace),36,26
2,11:21.0,Personal foul by M. Harrell (drawn by J. Valančiūnas),,36,26
2,11:06.0,D. Wright misses 2-pt layup from 1 ft (block by M. Harrell),,36,26
2,11:03.0,Offensive rebound by D. Wright,,36,26
2,11:02.0,D. Wright misses 2-pt layup from 2 ft (block by M. Harrell),,36,26
2,11:02.0,,Defensive rebound by M. Harrell,36,26
2,10:57.0,,T. Wallace misses 2-pt layup from 1 ft,36,26
2,10:57.0,,Offensive rebound by M. Scott,36,26
2,10:57.0,K. Lowry enters the game for D. Wright,,36,26
2,10:41.0,,Turnover by T. Wallace (lost ball; steal by O. Anunoby),36,26
2,10:32.0,Personal foul by T. Wallace (drawn by K. Lowry),,36,26
