QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
1,11:43.0,Turnover by R. Bullock (bad pass; steal by M. Turner),,0,0
1,11:36.0,,T. Young makes 2-pt layup at rim (assist by B. Bogdanović),0,2
1,11:14.0,R. Bullock misses 3-pt jump shot from 28 ft,,0,2
1,11:11.0,,Defensive rebound by V. Oladipo,0,2
1,11:00.0,,M. Turner makes 2-pt jump shot from 18 ft (assist by V. Oladipo),0,4
1,10:40.0,Turnover by B. Griffin (out of bounds lost ball),,0,4
1,10:26.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by M. Turner),0,6
1,10:08.0,A. Drummond misses 2-pt hook shot from 8 ft (block by M. Turner),,0,6
1,10:05.0,,Defensive rebound by D. Collison,0,6
1,9:58.0,,M. Turner makes 2-pt layup from 1 ft (assist by D. Collison),0,8
1,9:53.0,Detroit full timeout,,0,8
1,9:47.0,Shooting foul by D. Collison (drawn by R. Jackson),,0,8
1,9:47.0,R. Jackson makes free throw 1 of 3,,1,8
1,9:47.0,R. Jackson makes free throw 2 of 3,,2,8
1,9:47.0,R. Jackson makes free throw 3 of 3,,3,8
1,9:39.0,,V. Oladipo misses 2-pt jump shot from 19 ft,3,8
1,9:35.0,Defensive rebound by B. Griffin,,3,8
1,9:29.0,Turnover by B. Griffin (bad pass; steal by M. Turner),,3,8
1,9:25.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),3,10
1,9:10.0,Personal foul by T. Young (drawn by R. Jackson),,3,10
1,8:57.0,R. Jackson misses 2-pt jump shot from 2 ft,,3,10
1,8:55.0,,Defensive rebound by T. Young,3,10
1,8:53.0,,Turnover by T. Young (bad pass),3,10
1,8:39.0,R. Jackson misses 3-pt jump shot from 23 ft,,3,10
1,8:34.0,,Defensive rebound by M. Turner,3,10
1,8:23.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),3,12
1,7:58.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by R. Jackson),,5,12
1,7:44.0,,Shooting foul by A. Drummond (drawn by M. Turner),5,12
1,7:44.0,,M. Turner makes free throw 1 of 2,5,13
1,7:44.0,,M. Turner misses free throw 2 of 2,5,13
1,7:43.0,Defensive rebound by A. Drummond,,5,13
1,7:35.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),,8,13
1,7:08.0,,T. Young misses 2-pt dunk from 1 ft (block by A. Drummond),8,13
1,7:06.0,Defensive rebound by A. Drummond,,8,13
1,7:03.0,R. Bullock misses 3-pt jump shot from 27 ft,,8,13
1,7:01.0,,Defensive rebound by Team,8,13
1,6:50.0,,T. Young misses 2-pt layup from 1 ft,8,13
1,6:48.0,Defensive rebound by A. Drummond,,8,13
1,6:45.0,B. Griffin misses 2-pt layup from 2 ft (block by M. Turner),,8,13
1,6:43.0,,Defensive rebound by V. Oladipo,8,13
1,6:40.0,,Turnover by V. Oladipo (bad pass),8,13
1,6:29.0,R. Jackson misses 2-pt jump shot from 4 ft,,8,13
1,6:28.0,Offensive rebound by Team,,8,13
1,6:28.0,,Loose ball foul by T. Young (drawn by R. Jackson),8,13
1,6:28.0,,D. Sabonis enters the game for T. Young,8,13
1,6:24.0,Personal foul by D. Sabonis (drawn by B. Griffin),,8,13
1,6:13.0,B. Griffin misses 2-pt jump shot from 14 ft,,8,13
1,6:07.0,Offensive rebound by A. Drummond,,8,13
1,6:07.0,A. Drummond misses 2-pt layup at rim,,8,13
1,6:07.0,Offensive rebound by A. Drummond,,8,13
1,6:06.0,A. Drummond misses 2-pt layup from 2 ft,,8,13
1,6:06.0,,Defensive rebound by V. Oladipo,8,13
1,5:58.0,,B. Bogdanović misses 3-pt jump shot from 27 ft (block by A. Drummond),8,13
1,5:56.0,Defensive rebound by A. Drummond,,8,13
1,5:49.0,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Brown),,11,13
1,5:32.0,,Personal foul by A. Drummond (drawn by M. Turner),11,13
1,5:32.0,Z. Pachulia enters the game for A. Drummond,,11,13
1,5:18.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by M. Turner),11,15
1,5:06.0,B. Brown misses 3-pt jump shot from 27 ft,,11,15
1,5:03.0,Offensive rebound by R. Bullock,,11,15
1,5:03.0,J. Calderón enters the game for R. Jackson,,11,15
1,4:52.0,B. Brown makes 2-pt jump shot from 14 ft (assist by J. Calderón),,13,15
1,4:39.0,,Shooting foul by R. Bullock (drawn by V. Oladipo),13,15
1,4:39.0,,V. Oladipo misses free throw 1 of 2,13,15
1,4:39.0,,Offensive rebound by Team,13,15
1,4:39.0,,C. Joseph enters the game for B. Bogdanović,13,15
1,4:39.0,,V. Oladipo makes free throw 2 of 2,13,16
1,4:19.0,B. Brown misses 2-pt jump shot from 11 ft,,13,16
1,4:16.0,,Defensive rebound by D. Sabonis,13,16
1,4:05.0,,V. Oladipo misses 2-pt jump shot from 15 ft,13,16
1,4:04.0,Defensive rebound by J. Calderón,,13,16
1,3:56.0,Z. Pachulia misses 2-pt jump shot from 19 ft,,13,16
1,3:53.0,,Defensive rebound by V. Oladipo,13,16
1,3:41.0,,D. Sabonis makes 2-pt layup at rim (assist by D. Collison),13,18
1,3:34.0,R. Bullock makes 2-pt layup from 1 ft (assist by J. Calderón),,15,18
1,3:21.0,,D. Sabonis makes 2-pt jump shot from 18 ft (assist by D. Collison),15,20
1,3:01.0,B. Griffin misses 2-pt jump shot from 11 ft,,15,20
1,2:59.0,,Defensive rebound by D. Sabonis,15,20
1,2:49.0,,M. Turner makes 2-pt jump shot from 16 ft (assist by D. Collison),15,22
1,2:30.0,Turnover by J. Calderón (lost ball; steal by D. Collison),,15,22
1,2:24.0,,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Joseph),15,24
1,2:17.0,Detroit full timeout,,15,24
1,2:17.0,L. Galloway enters the game for B. Brown,,15,24
1,2:17.0,S. Johnson enters the game for R. Bullock,,15,24
1,2:17.0,J. Leuer enters the game for B. Griffin,,15,24
1,2:17.0,,T. Evans enters the game for D. Collison,15,24
