QUARTER,TIME_REMAINING,DENVER_ACTION,NEW YORK_ACTION,DENVER_SCORE,NEW YORK_SCORE
1,11:43.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,0
1,11:41.0,,Defensive rebound by E. Mudiay,0,0
1,11:27.0,,D. Dotson misses 3-pt jump shot from 23 ft,0,0
1,11:25.0,Defensive rebound by J. Murray,,0,0
1,11:16.0,P. Millsap misses 2-pt hook shot from 8 ft,,0,0
1,11:14.0,,Defensive rebound by D. Jordan,0,0
1,11:08.0,,Turnover by D. Jordan (bad pass),0,0
1,10:52.0,P. Millsap makes 2-pt dunk at rim (assist by N. Jokić),,2,0
1,10:29.0,,E. Mudiay makes 2-pt jump shot from 17 ft,2,2
1,10:07.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,4,2
1,9:49.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by M. Hezonja),4,5
1,9:36.0,J. Murray makes 3-pt jump shot from 26 ft (assist by N. Jokić),,7,5
1,9:21.0,,K. Knox misses 2-pt jump shot from 18 ft,7,5
1,9:19.0,Defensive rebound by W. Barton,,7,5
1,9:12.0,N. Jokić makes 2-pt layup from 1 ft (assist by W. Barton),,9,5
1,9:12.0,Shooting foul by E. Mudiay (drawn by N. Jokić),,9,5
1,9:12.0,N. Jokić misses free throw 1 of 1,,9,5
1,9:10.0,,Defensive rebound by M. Hezonja,9,5
1,8:57.0,,E. Mudiay makes 2-pt jump shot from 7 ft (assist by K. Knox),9,7
1,8:38.0,Shooting foul by D. Jordan (drawn by W. Barton),,9,7
1,8:38.0,W. Barton makes free throw 1 of 2,,10,7
1,8:38.0,W. Barton makes free throw 2 of 2,,11,7
1,8:27.0,,Shooting foul by P. Millsap (drawn by K. Knox),11,7
1,8:27.0,,K. Knox makes free throw 1 of 2,11,8
1,8:27.0,,K. Knox makes free throw 2 of 2,11,9
1,8:17.0,W. Barton misses 2-pt jump shot from 14 ft,,11,9
1,8:15.0,Offensive rebound by W. Barton,,11,9
1,8:14.0,W. Barton makes 2-pt layup from 1 ft,,13,9
1,7:54.0,,D. Jordan misses 2-pt hook shot from 3 ft,13,9
1,7:52.0,Defensive rebound by P. Millsap,,13,9
1,7:39.0,N. Jokić makes 2-pt hook shot from 2 ft,,15,9
1,7:28.0,,Turnover by E. Mudiay (bad pass; steal by G. Harris),15,9
1,7:24.0,G. Harris makes 2-pt layup from 2 ft,,17,9
1,7:16.0,,New York full timeout,17,9
1,7:05.0,,Turnover by E. Mudiay (lost ball; steal by J. Murray),17,9
1,7:03.0,J. Murray misses 2-pt layup from 2 ft,,17,9
1,7:02.0,Offensive rebound by N. Jokić,,17,9
1,7:02.0,N. Jokić misses 2-pt layup from 2 ft,,17,9
1,7:01.0,Offensive rebound by J. Murray,,17,9
1,6:57.0,G. Harris makes 3-pt jump shot from 26 ft (assist by J. Murray),,20,9
1,6:39.0,,M. Hezonja misses 3-pt jump shot from 25 ft,20,9
1,6:37.0,Defensive rebound by N. Jokić,,20,9
1,6:20.0,P. Millsap misses 2-pt layup from 2 ft,,20,9
1,6:18.0,,Defensive rebound by E. Mudiay,20,9
1,6:14.0,,E. Mudiay misses 2-pt layup from 1 ft (block by W. Barton),20,9
1,6:12.0,Defensive rebound by G. Harris,,20,9
1,6:09.0,J. Murray misses 3-pt jump shot from 26 ft,,20,9
1,6:08.0,Offensive rebound by P. Millsap,,20,9
1,5:56.0,N. Jokić misses 2-pt jump shot from 12 ft,,20,9
1,5:53.0,Offensive rebound by P. Millsap,,20,9
1,5:52.0,W. Barton makes 3-pt jump shot from 25 ft (assist by P. Millsap),,23,9
1,5:34.0,,E. Mudiay misses 2-pt jump shot from 15 ft,23,9
1,5:32.0,Defensive rebound by W. Barton,,23,9
1,5:28.0,W. Barton makes 3-pt jump shot from 25 ft,,26,9
1,5:20.0,,New York full timeout,26,9
1,5:20.0,,F. Ntilikina enters the game for M. Hezonja,26,9
1,5:20.0,,M. Robinson enters the game for D. Jordan,26,9
1,5:20.0,,L. Thomas enters the game for K. Knox,26,9
1,5:07.0,,D. Dotson makes 3-pt jump shot from 26 ft (assist by F. Ntilikina),26,12
1,4:51.0,W. Barton misses 2-pt layup from 2 ft,,26,12
1,4:50.0,,Defensive rebound by Team,26,12
1,4:32.0,,E. Mudiay makes 2-pt jump shot from 9 ft,26,14
1,4:18.0,J. Murray misses 2-pt jump shot from 7 ft,,26,14
1,4:16.0,,Defensive rebound by M. Robinson,26,14
1,4:09.0,,M. Robinson misses 2-pt dunk at rim,26,14
1,4:07.0,Defensive rebound by W. Barton,,26,14
1,4:01.0,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Millsap),,29,14
1,3:46.0,,E. Mudiay misses 3-pt jump shot from 26 ft,29,14
1,3:43.0,Defensive rebound by N. Jokić,,29,14
1,3:38.0,Shooting foul by M. Robinson (drawn by N. Jokić),,29,14
1,3:38.0,M. Beasley enters the game for G. Harris,,29,14
1,3:38.0,M. Morris enters the game for P. Millsap,,29,14
1,3:38.0,M. Plumlee enters the game for J. Murray,,29,14
1,3:38.0,N. Jokić makes free throw 1 of 2,,30,14
1,3:38.0,N. Jokić makes free throw 2 of 2,,31,14
1,3:21.0,,E. Mudiay makes 2-pt jump shot from 13 ft,31,16
1,3:03.0,N. Jokić misses 3-pt jump shot from 26 ft,,31,16
1,3:01.0,,Defensive rebound by E. Mudiay,31,16
1,2:57.0,,D. Dotson misses 3-pt jump shot from 27 ft,31,16
1,2:55.0,,Offensive rebound by F. Ntilikina,31,16
1,2:47.0,,F. Ntilikina misses 2-pt layup from 2 ft,31,16
1,2:45.0,Defensive rebound by M. Plumlee,,31,16
1,2:39.0,M. Beasley misses 3-pt jump shot from 23 ft,,31,16
1,2:37.0,Offensive rebound by N. Jokić,,31,16
1,2:37.0,N. Jokić misses 2-pt layup at rim,,31,16
1,2:35.0,,Defensive rebound by L. Thomas,31,16
1,2:25.0,,M. Robinson misses 2-pt layup from 1 ft,31,16
1,2:23.0,Defensive rebound by N. Jokić,,31,16
1,2:21.0,Turnover by N. Jokić (bad pass),,31,16
