QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
1,11:43.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),0,2
1,11:25.0,E. Freedom misses 2-pt layup from 1 ft,,0,2
1,11:23.0,,Defensive rebound by N. Jokić,0,2
1,11:20.0,,Shooting foul by M. Harkless (drawn by G. Harris),0,2
1,11:20.0,,G. Harris makes free throw 1 of 2,0,3
1,11:20.0,,G. Harris makes free throw 2 of 2,0,4
1,11:09.0,C. McCollum misses 3-pt jump shot from 25 ft,,0,4
1,11:06.0,,Defensive rebound by T. Craig,0,4
1,10:45.0,,G. Harris misses 2-pt jump shot from 16 ft,0,4
1,10:42.0,Defensive rebound by E. Freedom,,0,4
1,10:33.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,4
1,10:28.0,,Defensive rebound by J. Murray,0,4
1,10:22.0,,J. Murray misses 2-pt layup from 6 ft,0,4
1,10:18.0,Defensive rebound by M. Harkless,,0,4
1,10:11.0,C. McCollum misses 2-pt jump shot from 13 ft,,0,4
1,10:08.0,,Defensive rebound by T. Craig,0,4
1,9:58.0,,G. Harris misses 2-pt layup from 2 ft,0,4
1,9:56.0,Defensive rebound by C. McCollum,,0,4
1,9:49.0,D. Lillard misses 2-pt jump shot from 16 ft,,0,4
1,9:46.0,,Defensive rebound by N. Jokić,0,4
1,9:39.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),0,7
1,9:17.0,Shooting foul by N. Jokić (drawn by E. Freedom),,0,7
1,9:17.0,E. Freedom makes free throw 1 of 2,,1,7
1,9:17.0,E. Freedom makes free throw 2 of 2,,2,7
1,8:52.0,,N. Jokić misses 2-pt jump shot from 6 ft (block by A. Aminu),2,7
1,8:49.0,Defensive rebound by C. McCollum,,2,7
1,8:47.0,Turnover by C. McCollum (lost ball; steal by P. Millsap),,2,7
1,8:35.0,,P. Millsap makes 2-pt layup from 1 ft (assist by G. Harris),2,9
1,8:35.0,Portland full timeout,,2,9
1,8:16.0,A. Aminu misses 2-pt jump shot from 9 ft,,2,9
1,8:15.0,Offensive rebound by Team,,2,9
1,8:15.0,,Loose ball foul by P. Millsap (drawn by E. Freedom),2,9
1,8:08.0,M. Harkless makes 2-pt dunk from 1 ft (assist by E. Freedom),,4,9
1,7:52.0,,Turnover by N. Jokić (lost ball; steal by A. Aminu),4,9
1,7:45.0,D. Lillard makes 2-pt layup from 2 ft,,6,9
1,7:38.0,,T. Craig makes 2-pt layup from 1 ft (assist by J. Murray),6,11
1,7:23.0,A. Aminu misses 3-pt jump shot from 23 ft,,6,11
1,7:20.0,Offensive rebound by E. Freedom,,6,11
1,7:20.0,E. Freedom makes 2-pt layup from 3 ft,,8,11
1,6:59.0,,Personal foul by M. Harkless (drawn by P. Millsap),8,11
1,6:46.0,,P. Millsap makes 2-pt jump shot from 12 ft,8,13
1,6:33.0,Turnover by D. Lillard (bad pass; steal by G. Harris),,8,13
1,6:26.0,,P. Millsap misses 3-pt jump shot from 25 ft,8,13
1,6:24.0,,Offensive rebound by T. Craig,8,13
1,6:24.0,,T. Craig makes 2-pt jump shot from 3 ft,8,15
1,6:24.0,,Shooting foul by A. Aminu (drawn by T. Craig),8,15
1,6:24.0,R. Hood enters the game for M. Harkless,,8,15
1,6:24.0,,T. Craig makes free throw 1 of 1,8,16
1,6:09.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by E. Freedom),,11,16
1,6:09.0,Shooting foul by T. Craig (drawn by D. Lillard),,11,16
1,6:09.0,D. Lillard misses free throw 1 of 1,,11,16
