QUARTER,TIME_REMAINING,ORLANDO_ACTION,TORONTO_ACTION,ORLANDO_SCORE,TORONTO_SCORE
1,11:43.0,,O. Anunoby misses 3-pt jump shot from 23 ft,0,0
1,11:42.0,,Offensive rebound by M. Gasol,0,0
1,11:42.0,,Personal foul by J. Isaac (drawn by M. Gasol),0,0
1,11:29.0,,M. Gasol misses 2-pt jump shot from 13 ft,0,0
1,11:26.0,Defensive rebound by A. Gordon,,0,0
1,11:20.0,N. Vučević misses 2-pt jump shot from 15 ft,,0,0
1,11:17.0,,Defensive rebound by K. Lowry,0,0
1,11:11.0,,O. Anunoby misses 2-pt layup from 3 ft (block by J. Isaac),0,0
1,11:11.0,,Offensive rebound by Team,0,0
1,11:08.0,,D. Green misses 2-pt hook shot from 8 ft,0,0
1,11:06.0,Defensive rebound by A. Gordon,,0,0
1,11:03.0,J. Isaac makes 2-pt dunk at rim (assist by A. Gordon),,2,0
1,10:49.0,,M. Gasol misses 2-pt hook shot from 5 ft,2,0
1,10:44.0,Defensive rebound by A. Gordon,,2,0
1,10:39.0,J. Isaac misses 3-pt jump shot from 23 ft,,2,0
1,10:38.0,,Defensive rebound by D. Green,2,0
1,10:22.0,,M. Gasol makes 2-pt jump shot from 16 ft (assist by D. Green),2,2
1,10:03.0,J. Isaac misses 3-pt jump shot from 23 ft,,2,2
1,10:01.0,,Defensive rebound by D. Green,2,2
1,9:49.0,,Turnover by D. Green (bad pass; steal by N. Vučević),2,2
1,9:39.0,D. Augustin misses 2-pt jump shot from 12 ft,,2,2
1,9:36.0,,Defensive rebound by M. Gasol,2,2
1,9:28.0,,Shooting foul by J. Isaac (drawn by P. Siakam),2,2
1,9:28.0,,P. Siakam makes free throw 1 of 2,2,3
1,9:28.0,,P. Siakam makes free throw 2 of 2,2,4
1,9:15.0,Turnover by D. Augustin (bad pass; steal by K. Lowry),,2,4
1,9:02.0,,P. Siakam makes 2-pt hook shot from 6 ft,2,6
1,8:54.0,Personal foul by D. Green (drawn by E. Fournier),,2,6
1,8:47.0,A. Gordon misses 2-pt jump shot from 15 ft,,2,6
1,8:44.0,,Defensive rebound by P. Siakam,2,6
1,8:42.0,,Turnover by M. Gasol (traveling),2,6
1,8:22.0,N. Vučević makes 2-pt hook shot from 5 ft,,4,6
1,8:10.0,,Turnover by D. Green (traveling),4,6
1,8:03.0,,Violation by Team (kicked ball),4,6
1,8:03.0,,J. Lin enters the game for D. Green,4,6
1,7:54.0,J. Isaac makes 3-pt jump shot from 25 ft (assist by A. Gordon),,7,6
1,7:34.0,Violation by Team (kicked ball),,7,6
1,7:30.0,,K. Lowry misses 3-pt jump shot from 26 ft,7,6
1,7:28.0,Defensive rebound by N. Vučević,,7,6
1,7:19.0,A. Gordon misses 3-pt jump shot from 23 ft,,7,6
1,7:16.0,Offensive rebound by J. Isaac,,7,6
1,7:16.0,Shooting foul by M. Gasol (drawn by J. Isaac),,7,6
1,7:16.0,J. Isaac makes free throw 1 of 2,,8,6
1,7:16.0,J. Isaac makes free throw 2 of 2,,9,6
1,7:02.0,,M. Gasol makes 2-pt layup from 2 ft (assist by J. Lin),9,8
1,6:48.0,A. Gordon misses 2-pt layup from 2 ft,,9,8
1,6:47.0,,Defensive rebound by O. Anunoby,9,8
1,6:42.0,,P. Siakam misses 3-pt jump shot from 23 ft,9,8
1,6:39.0,Defensive rebound by D. Augustin,,9,8
1,6:24.0,N. Vučević misses 2-pt hook shot from 6 ft,,9,8
1,6:21.0,Offensive rebound by N. Vučević,,9,8
1,6:20.0,N. Vučević makes 2-pt layup from 2 ft,,11,8
1,6:06.0,,M. Gasol misses 2-pt jump shot from 11 ft,11,8
1,6:04.0,Defensive rebound by D. Augustin,,11,8
1,5:55.0,N. Vučević makes 2-pt dunk from 1 ft (assist by D. Augustin),,13,8
1,5:54.0,,Toronto full timeout,13,8
1,5:54.0,W. Iwundu enters the game for A. Gordon,,13,8
1,5:54.0,,D. Green enters the game for O. Anunoby,13,8
1,5:33.0,,K. Lowry misses 2-pt jump shot from 18 ft,13,8
1,5:31.0,Defensive rebound by N. Vučević,,13,8
1,5:19.0,E. Fournier misses 3-pt jump shot from 24 ft,,13,8
1,5:12.0,Offensive rebound by W. Iwundu,,13,8
1,5:12.0,W. Iwundu makes 2-pt layup at rim,,15,8
1,5:10.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Lowry),15,10
1,4:57.0,N. Vučević misses 2-pt jump shot from 16 ft,,15,10
1,4:53.0,,Defensive rebound by D. Green,15,10
1,4:38.0,,D. Green misses 2-pt layup from 3 ft,15,10
1,4:36.0,Defensive rebound by J. Isaac,,15,10
1,4:31.0,Personal foul by M. Gasol (drawn by N. Vučević),,15,10
1,4:31.0,J. Grant enters the game for D. Augustin,,15,10
1,4:31.0,T. Ross enters the game for E. Fournier,,15,10
1,4:31.0,,S. Ibaka enters the game for M. Gasol,15,10
1,4:21.0,T. Ross misses 2-pt jump shot from 16 ft,,15,10
1,4:17.0,,Defensive rebound by P. Siakam,15,10
1,4:14.0,,D. Green makes 3-pt jump shot from 25 ft (assist by P. Siakam),15,13
1,3:57.0,N. Vučević makes 2-pt dunk from 1 ft (assist by J. Grant),,17,13
1,3:47.0,,Turnover by K. Lowry (traveling),17,13
1,3:47.0,,N. Powell enters the game for K. Lowry,17,13
1,3:27.0,J. Isaac misses 3-pt jump shot from 25 ft,,17,13
1,3:25.0,Offensive rebound by T. Ross,,17,13
1,3:18.0,T. Ross misses 2-pt jump shot from 17 ft,,17,13
1,3:15.0,Offensive rebound by N. Vučević,,17,13
1,3:12.0,W. Iwundu misses 3-pt jump shot from 24 ft,,17,13
1,3:08.0,,Defensive rebound by S. Ibaka,17,13
1,3:03.0,,D. Green misses 3-pt jump shot from 23 ft,17,13
1,3:01.0,,Offensive rebound by S. Ibaka,17,13
1,2:59.0,,S. Ibaka makes 2-pt jump shot from 17 ft,17,15
1,2:47.0,Offensive foul by T. Ross (drawn by D. Green),,17,15
1,2:47.0,Turnover by T. Ross (offensive foul),,17,15
1,2:47.0,Orlando full timeout,,17,15
1,2:47.0,K. Birch enters the game for J. Isaac,,17,15
1,2:47.0,A. Gordon enters the game for N. Vučević,,17,15
1,2:47.0,,O. Anunoby enters the game for P. Siakam,17,15
1,2:33.0,,S. Ibaka misses 2-pt jump shot from 9 ft (block by W. Iwundu),17,15
1,2:31.0,Defensive rebound by T. Ross,,17,15
1,2:24.0,T. Ross misses 2-pt jump shot from 15 ft,,17,15
1,2:20.0,,Defensive rebound by O. Anunoby,17,15
