QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
1,11:46.0,,M. Morris misses 2-pt jump shot from 5 ft (block by A. Burks),0,0
1,11:44.0,Defensive rebound by A. Žižić,,0,0
1,11:24.0,Turnover by A. Burks (lost ball; steal by M. Morris),,0,0
1,11:09.0,,J. Tatum misses 2-pt jump shot from 20 ft,0,0
1,11:07.0,Defensive rebound by R. Hood,,0,0
1,10:48.0,R. Hood misses 2-pt jump shot from 17 ft,,0,0
1,10:46.0,,Defensive rebound by A. Baynes,0,0
1,10:38.0,,M. Morris misses 3-pt jump shot from 26 ft,0,0
1,10:36.0,Defensive rebound by C. Sexton,,0,0
1,10:28.0,A. Žižić misses 2-pt layup from 2 ft,,0,0
1,10:28.0,Offensive rebound by C. Sexton,,0,0
1,10:26.0,C. Sexton makes 2-pt layup from 1 ft,,2,0
1,10:15.0,,J. Tatum misses 2-pt jump shot from 18 ft,2,0
1,10:15.0,Defensive rebound by A. Burks,,2,0
1,10:01.0,A. Žižić makes 2-pt layup from 3 ft,,4,0
1,9:52.0,,T. Rozier makes 3-pt jump shot from 27 ft,4,3
1,9:32.0,Turnover by C. Sexton (out of bounds lost ball),,4,3
1,9:23.0,,T. Rozier makes 2-pt layup from 1 ft,4,5
1,9:23.0,,Shooting foul by A. Burks (drawn by T. Rozier),4,5
1,9:23.0,,T. Rozier makes free throw 1 of 1,4,6
1,9:05.0,A. Burks misses 3-pt jump shot from 26 ft,,4,6
1,9:03.0,,Defensive rebound by T. Rozier,4,6
1,8:50.0,,A. Baynes misses 2-pt layup from 4 ft (block by A. Burks),4,6
1,8:48.0,Defensive rebound by A. Burks,,4,6
1,8:41.0,C. Sexton misses 2-pt layup from 2 ft,,4,6
1,8:39.0,Offensive rebound by A. Žižić,,4,6
1,8:39.0,A. Žižić misses 2-pt layup from 1 ft,,4,6
1,8:37.0,,Defensive rebound by M. Morris,4,6
1,8:21.0,,J. Tatum misses 2-pt jump shot from 10 ft,4,6
1,8:19.0,Defensive rebound by A. Burks,,4,6
1,8:15.0,C. Sexton makes 2-pt layup from 1 ft (assist by A. Burks),,6,6
1,7:57.0,,M. Morris misses 2-pt jump shot from 16 ft,6,6
1,7:56.0,Defensive rebound by A. Burks,,6,6
