QUARTER,TIME_REMAINING,DALLAS_ACTION,LA LAKERS_ACTION,DALLAS_SCORE,LA LAKERS_SCORE
1,11:51.0,,L. James makes 2-pt layup from 1 ft (assist by B. Ingram),0,2
1,11:34.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by L. Dončić),,3,2
1,11:16.0,,L. James misses 2-pt jump shot from 7 ft (block by D. Jordan),3,2
1,11:11.0,Defensive rebound by H. Barnes,,3,2
1,11:08.0,L. Dončić misses 3-pt jump shot from 26 ft,,3,2
1,11:08.0,Offensive rebound by W. Matthews,,3,2
1,11:03.0,W. Matthews misses 2-pt jump shot from 8 ft,,3,2
1,11:01.0,,Defensive rebound by J. McGee,3,2
1,10:57.0,,Turnover by L. Ball (bad pass; steal by L. Dončić),3,2
1,10:51.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by L. Dončić),,6,2
1,10:36.0,,K. Kuzma misses 2-pt jump shot from 14 ft,6,2
1,10:31.0,Defensive rebound by W. Matthews,,6,2
1,10:27.0,Personal foul by L. James (drawn by L. Dončić),,6,2
1,10:20.0,D. Jordan makes 2-pt dunk from 2 ft (assist by W. Matthews),,8,2
1,10:14.0,,Shooting foul by W. Matthews (drawn by B. Ingram),8,2
1,10:14.0,,B. Ingram makes free throw 1 of 2,8,3
1,10:14.0,,B. Ingram makes free throw 2 of 2,8,4
1,10:00.0,D. Smith misses 3-pt jump shot from 26 ft,,8,4
1,9:57.0,,Defensive rebound by J. McGee,8,4
1,9:53.0,,K. Kuzma misses 3-pt jump shot from 27 ft,8,4
1,9:49.0,Defensive rebound by D. Smith,,8,4
1,9:37.0,D. Smith misses 3-pt jump shot from 24 ft,,8,4
1,9:35.0,,Defensive rebound by K. Kuzma,8,4
1,9:31.0,,L. James misses 2-pt layup from 4 ft,8,4
1,9:28.0,Defensive rebound by D. Jordan,,8,4
1,9:22.0,W. Matthews makes 2-pt layup from 2 ft (assist by H. Barnes),,10,4
1,9:09.0,,J. McGee makes 2-pt dunk at rim (assist by L. James),10,6
1,8:56.0,Turnover by D. Jordan (bad pass),,10,6
1,8:51.0,,Personal foul by W. Matthews (drawn by B. Ingram),10,6
1,8:51.0,D. Finney-Smith enters the game for W. Matthews,,10,6
1,8:44.0,,Turnover by L. James (bad pass; steal by D. Finney-Smith),10,6
1,8:40.0,H. Barnes makes 3-pt jump shot from 27 ft (assist by D. Smith),,13,6
1,8:26.0,,L. James misses 3-pt jump shot from 26 ft,13,6
1,8:22.0,Defensive rebound by D. Finney-Smith,,13,6
1,8:16.0,D. Jordan makes 2-pt layup from 2 ft (assist by D. Smith),,15,6
1,8:16.0,,Violation by Team (def goaltending),15,6
1,8:04.0,,B. Ingram misses 3-pt jump shot from 26 ft,15,6
1,8:00.0,Defensive rebound by L. Dončić,,15,6
1,7:54.0,D. Jordan makes 2-pt layup from 2 ft (assist by L. Dončić),,17,6
1,7:54.0,,LA Lakers full timeout,17,6
1,7:39.0,,L. Ball misses 3-pt jump shot from 25 ft,17,6
1,7:36.0,Defensive rebound by H. Barnes,,17,6
1,7:29.0,Turnover by D. Jordan (lost ball; steal by L. Ball),,17,6
1,7:25.0,,L. Ball makes 2-pt layup at rim,17,8
1,7:14.0,Turnover by D. Finney-Smith (bad pass; steal by L. Ball),,17,8
1,7:13.0,,Shooting foul by D. Smith (drawn by L. Ball),17,8
1,7:13.0,,L. Ball misses free throw 1 of 2,17,8
1,7:13.0,,Offensive rebound by Team,17,8
1,7:13.0,,L. Ball makes free throw 2 of 2,17,9
1,7:01.0,Shooting foul by L. Ball (drawn by H. Barnes),,17,9
1,7:01.0,H. Barnes makes free throw 1 of 2,,18,9
1,7:01.0,H. Barnes makes free throw 2 of 2,,19,9
1,6:31.0,,B. Ingram makes 2-pt jump shot from 18 ft,19,11
1,6:19.0,L. Dončić makes 2-pt jump shot from 17 ft,,21,11
1,6:07.0,,L. Ball misses 2-pt jump shot from 10 ft,21,11
1,6:04.0,,Offensive rebound by L. Ball,21,11
1,6:01.0,,K. Kuzma misses 3-pt jump shot from 25 ft,21,11
1,6:01.0,,Offensive rebound by Team,21,11
1,5:59.0,,Personal foul by D. Finney-Smith (drawn by L. James),21,11
1,5:59.0,,T. Chandler enters the game for J. McGee,21,11
1,5:39.0,,L. Ball misses 3-pt jump shot from 24 ft,21,11
1,5:37.0,Defensive rebound by L. Dončić,,21,11
1,5:30.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,21,11
1,5:30.0,,Defensive rebound by K. Kuzma,21,11
1,5:14.0,,L. James misses 2-pt layup from 3 ft (block by L. Dončić),21,11
1,5:10.0,,Offensive rebound by L. James,21,11
1,5:09.0,,L. James misses 2-pt layup from 4 ft (block by L. Dončić),21,11
1,5:06.0,Defensive rebound by D. Jordan,,21,11
1,5:03.0,L. Dončić misses 3-pt jump shot from 27 ft,,21,11
1,5:00.0,,Defensive rebound by T. Chandler,21,11
1,4:59.0,,Turnover by L. James (step out of bounds),21,11
1,4:46.0,D. Smith makes 2-pt jump shot from 12 ft,,23,11
1,4:35.0,,Turnover by L. James (bad pass; steal by L. Dončić),23,11
1,4:31.0,Turnover by L. Dončić (lost ball; steal by L. Ball),,23,11
1,4:30.0,,T. Chandler makes 2-pt layup from 2 ft (assist by L. Ball),23,13
1,4:30.0,Dallas full timeout,,23,13
1,4:30.0,,J. Hart enters the game for L. Ball,23,13
1,4:11.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Jordan),,26,13
1,3:56.0,,Shooting foul by D. Finney-Smith (drawn by B. Ingram),26,13
1,3:56.0,,B. Ingram makes free throw 1 of 2,26,14
1,3:56.0,J. Barea enters the game for D. Finney-Smith,,26,14
1,3:56.0,D. Harris enters the game for D. Smith,,26,14
1,3:56.0,,K. Caldwell-Pope enters the game for K. Kuzma,26,14
1,3:56.0,,B. Ingram misses free throw 2 of 2,26,14
1,3:54.0,Defensive rebound by L. Dončić,,26,14
1,3:49.0,Personal foul by T. Chandler (drawn by D. Jordan),,26,14
1,3:42.0,H. Barnes misses 3-pt jump shot from 26 ft,,26,14
1,3:38.0,,Defensive rebound by K. Caldwell-Pope,26,14
1,3:37.0,,Offensive foul by L. James (drawn by L. Dončić),26,14
1,3:37.0,,Turnover by L. James (offensive foul),26,14
1,3:37.0,,M. Beasley enters the game for L. James,26,14
1,3:25.0,Personal foul by B. Ingram (drawn by D. Harris),,26,14
1,3:25.0,D. Powell enters the game for D. Jordan,,26,14
1,3:11.0,H. Barnes misses 2-pt jump shot from 20 ft,,26,14
1,3:08.0,,Defensive rebound by B. Ingram,26,14
1,3:00.0,,B. Ingram misses 2-pt layup from 1 ft,26,14
1,2:52.0,,Offensive rebound by T. Chandler,26,14
1,2:52.0,,T. Chandler makes 2-pt dunk from 1 ft,26,16
1,2:45.0,D. Powell misses 2-pt layup from 4 ft,,26,16
1,2:42.0,,Defensive rebound by T. Chandler,26,16
1,2:34.0,,Turnover by M. Beasley (lost ball; steal by H. Barnes),26,16
1,2:29.0,D. Powell misses 3-pt jump shot from 26 ft,,26,16
1,2:25.0,,Defensive rebound by M. Beasley,26,16
1,2:18.0,,B. Ingram makes 2-pt layup from 2 ft,26,18
1,2:02.0,J. Barea makes 3-pt jump shot from 27 ft,,29,18
1,1:54.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,29,18
1,1:50.0,Defensive rebound by D. Powell,,29,18
1,1:35.0,Personal foul by K. Caldwell-Pope (drawn by J. Barea),,29,18
1,1:35.0,J. Barea misses free throw 1 of 2,,29,18
1,1:35.0,Offensive rebound by Team,,29,18
1,1:35.0,W. Matthews enters the game for L. Dončić,,29,18
1,1:35.0,J. Barea makes free throw 2 of 2,,30,18
1,1:13.0,,Turnover by M. Beasley (bad pass; steal by J. Barea),30,18
1,1:08.0,H. Barnes misses 3-pt jump shot from 25 ft,,30,18
1,1:04.0,,Defensive rebound by T. Chandler,30,18
1,0:55.0,,B. Ingram makes 2-pt jump shot from 14 ft,30,20
1,0:44.0,D. Powell misses 3-pt jump shot from 26 ft,,30,20
1,0:42.0,Offensive rebound by H. Barnes,,30,20
1,0:41.0,H. Barnes makes 2-pt layup from 2 ft,,32,20
1,0:34.0,,T. Chandler makes 2-pt dunk from 2 ft (assist by M. Beasley),32,22
1,0:09.0,W. Matthews misses 3-pt jump shot from 25 ft,,32,22
1,0:07.0,,Defensive rebound by B. Ingram,32,22
1,0:01.0,,B. Ingram misses 2-pt jump shot from 3 ft,32,22
1,0:00.0,Defensive rebound by D. Powell,,32,22
2,11:48.0,W. Matthews makes 3-pt jump shot from 25 ft (assist by J. Barea),,35,22
2,11:31.0,,Turnover by L. Ball (bad pass; steal by D. Finney-Smith),35,22
2,11:21.0,D. Finney-Smith misses 3-pt jump shot from 28 ft,,35,22
2,11:15.0,Offensive rebound by D. Powell,,35,22
2,11:15.0,D. Powell makes 2-pt dunk at rim,,37,22
2,11:15.0,,Turnover by L. Ball (bad pass),37,22
2,11:03.0,Personal foul by J. McGee (drawn by D. Powell),,37,22
2,10:52.0,D. Finney-Smith misses 3-pt jump shot from 24 ft,,37,22
2,10:48.0,,Defensive rebound by J. McGee,37,22
2,10:39.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),37,25
2,10:39.0,,Away from play foul by D. Powell (drawn by K. Caldwell-Pope),37,25
2,10:39.0,,L. Stephenson enters the game for M. Beasley,37,25
2,10:39.0,,K. Caldwell-Pope makes free throw 1 of 1,37,26
2,10:27.0,D. Powell makes 2-pt layup from 3 ft (assist by J. Barea),,39,26
2,10:10.0,,J. McGee misses 2-pt hook shot from 3 ft,39,26
2,10:08.0,Defensive rebound by W. Matthews,,39,26
2,10:05.0,D. Finney-Smith makes 2-pt dunk from 2 ft (assist by D. Powell),,41,26
2,9:55.0,,Turnover by L. Stephenson (lost ball; steal by D. Finney-Smith),41,26
2,9:47.0,J. Barea misses 2-pt layup from 4 ft,,41,26
2,9:45.0,,Defensive rebound by J. Hart,41,26
2,9:42.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by J. Hart),41,28
2,9:33.0,W. Matthews makes 2-pt layup from 1 ft,,43,28
2,9:25.0,,L. Ball makes 2-pt layup from 2 ft (assist by L. Stephenson),43,30
2,9:04.0,J. Barea misses 3-pt jump shot from 27 ft,,43,30
2,9:00.0,,Defensive rebound by J. McGee,43,30
2,8:57.0,,L. Ball misses 3-pt jump shot from 25 ft,43,30
2,8:53.0,,Offensive rebound by L. Stephenson,43,30
2,8:50.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,43,30
2,8:48.0,Defensive rebound by D. Powell,,43,30
2,8:39.0,J. Barea makes 2-pt jump shot from 11 ft,,45,30
2,8:39.0,,LA Lakers full timeout,45,30
2,8:39.0,,L. James enters the game for K. Caldwell-Pope,45,30
2,8:39.0,,K. Kuzma enters the game for J. Hart,45,30
2,8:27.0,,J. McGee makes 2-pt layup from 1 ft (assist by L. James),45,32
2,8:03.0,D. Harris misses 3-pt jump shot from 26 ft,,45,32
2,8:02.0,,Defensive rebound by Team,45,32
2,7:54.0,,L. James makes 2-pt layup from 2 ft,45,34
2,7:35.0,Turnover by W. Matthews (bad pass; steal by L. Ball),,45,34
2,7:33.0,,L. James makes 2-pt dunk from 2 ft (assist by L. Ball),45,36
2,7:33.0,Dallas full timeout,,45,36
2,7:33.0,L. Dončić enters the game for W. Matthews,,45,36
2,7:33.0,D. Jordan enters the game for D. Powell,,45,36
2,7:20.0,Def 3 sec tech foul by Team,,45,36
2,7:20.0,L. Dončić misses technical free throw,,45,36
2,7:20.0,Offensive rebound by Team,,45,36
2,7:14.0,L. Dončić misses 2-pt jump shot from 5 ft,,45,36
2,7:11.0,,Defensive rebound by K. Kuzma,45,36
2,6:56.0,,L. Stephenson misses 3-pt jump shot from 25 ft,45,36
2,6:54.0,Defensive rebound by L. Dončić,,45,36
2,6:43.0,D. Harris misses 3-pt jump shot from 28 ft,,45,36
2,6:40.0,,Defensive rebound by K. Kuzma,45,36
2,6:32.0,,L. James makes 2-pt dunk from 2 ft (assist by K. Kuzma),45,38
2,6:17.0,J. Barea misses 3-pt jump shot from 28 ft,,45,38
2,6:14.0,,Defensive rebound by J. McGee,45,38
2,6:10.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by K. Kuzma),45,40
2,6:10.0,Dallas full timeout,,45,40
2,6:10.0,H. Barnes enters the game for J. Barea,,45,40
2,6:10.0,W. Matthews enters the game for D. Finney-Smith,,45,40
2,6:10.0,D. Smith enters the game for D. Harris,,45,40
2,5:53.0,D. Smith makes 2-pt dunk from 2 ft (assist by L. Dončić),,47,40
2,5:40.0,,L. Stephenson misses 2-pt jump shot from 22 ft,47,40
2,5:36.0,Defensive rebound by D. Jordan,,47,40
2,5:32.0,Personal foul by K. Kuzma (drawn by D. Jordan),,47,40
2,5:32.0,,B. Ingram enters the game for L. Stephenson,47,40
2,5:15.0,D. Smith misses 3-pt jump shot from 27 ft,,47,40
2,5:13.0,,Defensive rebound by K. Kuzma,47,40
2,5:08.0,,L. James makes 2-pt layup from 1 ft,47,42
2,4:45.0,D. Smith misses 2-pt jump shot from 7 ft,,47,42
2,4:45.0,,Defensive rebound by Team,47,42
2,4:45.0,Loose ball foul by D. Jordan (drawn by J. McGee),,47,42
2,4:20.0,,B. Ingram misses 2-pt jump shot from 13 ft,47,42
2,4:16.0,Defensive rebound by H. Barnes,,47,42
2,4:07.0,L. Dončić misses 2-pt jump shot from 17 ft,,47,42
2,4:03.0,,Defensive rebound by L. James,47,42
2,4:01.0,,J. McGee makes 2-pt dunk from 2 ft (assist by L. Ball),47,44
2,3:38.0,H. Barnes makes 2-pt hook shot from 4 ft,,49,44
2,3:24.0,,L. James makes 2-pt dunk from 3 ft,49,46
2,3:12.0,Shooting foul by J. McGee (drawn by L. Dončić),,49,46
2,3:12.0,L. Dončić makes free throw 1 of 2,,50,46
2,3:12.0,,T. Chandler enters the game for J. McGee,50,46
2,3:12.0,L. Dončić makes free throw 2 of 2,,51,46
2,2:58.0,,Shooting foul by D. Jordan (drawn by L. James),51,46
2,2:58.0,,L. James misses free throw 1 of 2,51,46
2,2:58.0,,Offensive rebound by Team,51,46
2,2:58.0,,L. James misses free throw 2 of 2,51,46
2,2:55.0,Defensive rebound by D. Jordan,,51,46
2,2:37.0,D. Smith makes 2-pt jump shot from 18 ft,,53,46
2,2:17.0,,K. Kuzma misses 2-pt hook shot from 11 ft,53,46
2,2:12.0,,Offensive rebound by T. Chandler,53,46
2,2:09.0,,B. Ingram makes 2-pt layup from 1 ft,53,48
2,1:54.0,Def 3 sec tech foul by Team,,53,48
2,1:54.0,H. Barnes makes technical free throw,,54,48
2,1:45.0,L. Dončić misses 3-pt jump shot from 23 ft,,54,48
2,1:41.0,Offensive rebound by D. Jordan,,54,48
2,1:40.0,D. Smith misses 3-pt jump shot from 27 ft,,54,48
2,1:37.0,Offensive rebound by D. Jordan,,54,48
2,1:37.0,Personal foul by L. Ball (drawn by D. Jordan),,54,48
2,1:22.0,H. Barnes makes 2-pt layup from 2 ft,,56,48
2,1:11.0,,T. Chandler makes 2-pt layup from 1 ft (assist by L. James),56,50
2,0:59.0,D. Smith misses 2-pt layup from 2 ft,,56,50
2,0:57.0,,Defensive rebound by T. Chandler,56,50
2,0:55.0,,B. Ingram makes 2-pt dunk from 1 ft (assist by K. Kuzma),56,52
2,0:31.0,L. Dončić misses 3-pt jump shot from 26 ft,,56,52
2,0:28.0,,Defensive rebound by L. James,56,52
2,0:25.0,,Turnover by B. Ingram (step out of bounds),56,52
2,0:25.0,,J. Hart enters the game for L. Ball,56,52
2,0:25.0,,L. Stephenson enters the game for L. James,56,52
2,0:09.0,Personal foul by B. Ingram (drawn by D. Smith),,56,52
2,0:09.0,D. Smith makes free throw 1 of 2,,57,52
2,0:09.0,D. Harris enters the game for D. Jordan,,57,52
2,0:09.0,D. Powell enters the game for W. Matthews,,57,52
2,0:09.0,,L. James enters the game for T. Chandler,57,52
2,0:09.0,D. Smith makes free throw 2 of 2,,58,52
2,0:05.0,,Shooting foul by D. Powell (drawn by K. Kuzma),58,52
2,0:05.0,W. Matthews enters the game for D. Harris,,58,52
2,0:05.0,,K. Kuzma makes free throw 1 of 2,58,53
2,0:05.0,,K. Caldwell-Pope enters the game for L. James,58,53
2,0:05.0,,K. Kuzma misses free throw 2 of 2,58,53
2,0:05.0,Defensive rebound by D. Powell,,58,53
2,0:01.0,L. Dončić misses 3-pt jump shot from 43 ft,,58,53
2,0:00.0,Offensive rebound by Team,,58,53
3,11:49.0,Turnover by L. Dončić (bad pass; steal by J. McGee),,58,53
3,11:43.0,,L. James misses 2-pt jump shot from 15 ft,58,53
3,11:38.0,Defensive rebound by L. Dončić,,58,53
3,11:26.0,Turnover by D. Smith (traveling),,58,53
3,11:05.0,,L. Ball misses 3-pt jump shot from 24 ft,58,53
3,11:03.0,Defensive rebound by L. Dončić,,58,53
3,11:01.0,Turnover by D. Smith (step out of bounds),,58,53
3,10:47.0,,J. McGee misses 2-pt jump shot from 12 ft,58,53
3,10:44.0,Defensive rebound by W. Matthews,,58,53
3,10:28.0,L. Dončić misses 2-pt jump shot from 12 ft,,58,53
3,10:23.0,,Defensive rebound by J. McGee,58,53
3,10:20.0,,L. James makes 2-pt dunk from 1 ft (assist by K. Kuzma),58,55
3,10:02.0,H. Barnes makes 2-pt jump shot from 15 ft,,60,55
3,9:43.0,,Shooting foul by H. Barnes (drawn by B. Ingram),60,55
3,9:43.0,,B. Ingram misses free throw 1 of 2,60,55
3,9:43.0,,Offensive rebound by Team,60,55
3,9:43.0,,B. Ingram makes free throw 2 of 2,60,56
3,9:27.0,H. Barnes misses 2-pt jump shot from 7 ft,,60,56
3,9:27.0,Offensive rebound by Team,,60,56
3,9:27.0,,Loose ball foul by J. McGee (drawn by D. Jordan),60,56
3,9:22.0,Personal foul by L. Ball (drawn by D. Jordan),,60,56
3,9:11.0,D. Smith misses 2-pt layup from 2 ft,,60,56
3,9:07.0,Offensive rebound by D. Jordan,,60,56
3,9:07.0,D. Jordan misses 2-pt layup from 1 ft,,60,56
3,9:06.0,,Defensive rebound by J. McGee,60,56
3,9:03.0,,L. James makes 3-pt jump shot from 25 ft,60,59
3,8:55.0,Offensive foul by L. Dončić (drawn by L. James),,60,59
3,8:55.0,Turnover by L. Dončić (offensive foul),,60,59
3,8:43.0,,Turnover by B. Ingram (traveling),60,59
3,8:23.0,Turnover by H. Barnes (bad pass; steal by L. Ball),,60,59
3,8:21.0,,L. Ball makes 2-pt dunk from 2 ft (assist by B. Ingram),60,61
3,8:21.0,Dallas full timeout,,60,61
3,8:06.0,W. Matthews misses 3-pt jump shot from 26 ft,,60,61
3,8:02.0,,Defensive rebound by B. Ingram,60,61
