QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,OKLAHOMA CITY_ACTION,GOLDEN STATE_SCORE,OKLAHOMA CITY_SCORE
1,11:45.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Iguodala),,3,0
1,11:21.0,,Shooting foul by D. Cousins (drawn by S. Adams),3,0
1,11:21.0,,S. Adams makes free throw 1 of 2,3,1
1,11:21.0,,S. Adams misses free throw 2 of 2,3,1
1,11:18.0,,Offensive rebound by P. George,3,1
1,11:17.0,,P. George makes 2-pt dunk from 1 ft,3,3
1,11:03.0,Turnover by S. Curry (out of bounds lost ball),,3,3
1,10:58.0,,S. Adams misses 2-pt layup from 2 ft,3,3
1,10:57.0,Defensive rebound by D. Green,,3,3
1,10:52.0,K. Thompson misses 3-pt jump shot from 23 ft,,3,3
1,10:46.0,,Defensive rebound by P. George,3,3
1,10:38.0,,T. Ferguson misses 3-pt jump shot from 23 ft,3,3
1,10:35.0,Defensive rebound by D. Cousins,,3,3
1,10:27.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Cousins),,6,3
1,10:09.0,,J. Grant misses 2-pt jump shot from 6 ft (block by A. Iguodala),6,3
1,10:07.0,Defensive rebound by A. Iguodala,,6,3
1,9:49.0,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),,8,3
1,9:36.0,,J. Grant misses 2-pt jump shot from 13 ft,8,3
1,9:32.0,,Offensive rebound by S. Adams,8,3
1,9:31.0,,S. Adams makes 2-pt layup from 1 ft,8,5
1,9:22.0,Shooting foul by R. Westbrook (drawn by K. Thompson),,8,5
1,9:22.0,K. Thompson makes free throw 1 of 2,,9,5
1,9:22.0,K. Thompson makes free throw 2 of 2,,10,5
1,9:10.0,,R. Westbrook misses 3-pt jump shot from 25 ft,10,5
1,9:08.0,Defensive rebound by S. Curry,,10,5
1,9:00.0,D. Cousins makes 3-pt jump shot from 26 ft (assist by D. Green),,13,5
1,8:49.0,,P. George misses 3-pt jump shot from 25 ft,13,5
1,8:46.0,Defensive rebound by K. Thompson,,13,5
1,8:38.0,,Violation by Team (kicked ball),13,5
1,8:29.0,D. Cousins misses 3-pt jump shot from 26 ft,,13,5
1,8:27.0,,Defensive rebound by P. George,13,5
1,8:10.0,,Offensive foul by J. Grant (drawn by D. Green),13,5
1,8:10.0,,Turnover by J. Grant (offensive foul),13,5
1,7:51.0,K. Thompson makes 2-pt jump shot from 14 ft (assist by D. Cousins),,15,5
1,7:31.0,,R. Westbrook misses 2-pt jump shot from 18 ft,15,5
1,7:29.0,Defensive rebound by K. Thompson,,15,5
1,7:24.0,D. Green misses 2-pt layup from 1 ft,,15,5
1,7:24.0,Offensive rebound by S. Curry,,15,5
1,7:20.0,S. Curry misses 2-pt dunk from 1 ft,,15,5
1,7:18.0,,Defensive rebound by T. Ferguson,15,5
1,7:16.0,,P. George misses 2-pt jump shot from 1 ft,15,5
1,7:16.0,,Offensive rebound by S. Adams,15,5
1,7:11.0,,S. Adams makes 2-pt dunk at rim,15,7
1,7:01.0,K. Thompson misses 2-pt jump shot from 14 ft,,15,7
1,6:58.0,,Defensive rebound by P. George,15,7
1,6:52.0,,P. George misses 3-pt jump shot from 26 ft,15,7
1,6:52.0,Defensive rebound by D. Cousins,,15,7
1,6:43.0,D. Cousins makes 2-pt layup from 2 ft,,17,7
1,6:26.0,,Oklahoma City full timeout,17,7
1,6:22.0,,Shooting foul by D. Cousins (drawn by R. Westbrook),17,7
1,6:22.0,,R. Westbrook misses free throw 1 of 2,17,7
1,6:22.0,,Offensive rebound by Team,17,7
1,6:22.0,K. Looney enters the game for D. Cousins,,17,7
1,6:22.0,,R. Westbrook makes free throw 2 of 2,17,8
1,6:07.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by D. Green),,20,8
1,6:00.0,,Shooting foul by K. Thompson (drawn by R. Westbrook),20,8
1,6:00.0,,R. Westbrook makes free throw 1 of 2,20,9
1,6:00.0,,R. Westbrook makes free throw 2 of 2,20,10
1,5:46.0,K. Thompson misses 3-pt jump shot from 25 ft,,20,10
1,5:43.0,,Defensive rebound by J. Grant,20,10
1,5:32.0,,Turnover by R. Westbrook (bad pass),20,10
1,5:32.0,A. McKinnie enters the game for A. Iguodala,,20,10
1,5:18.0,Turnover by S. Curry (bad pass; steal by S. Adams),,20,10
1,5:11.0,,J. Grant misses 2-pt layup from 2 ft,20,10
1,5:11.0,,Offensive rebound by J. Grant,20,10
1,5:09.0,,J. Grant makes 2-pt layup from 2 ft,20,12
1,4:50.0,S. Curry makes 2-pt layup from 3 ft,,22,12
1,4:38.0,,Turnover by P. George (bad pass; steal by K. Thompson),22,12
1,4:33.0,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Thompson),,24,12
1,4:32.0,,Oklahoma City full timeout,24,12
1,4:32.0,,D. Schröder enters the game for P. George,24,12
1,4:19.0,,Turnover by S. Adams (bad pass; steal by S. Curry),24,12
1,4:16.0,S. Curry makes 2-pt layup from 1 ft,,26,12
1,4:02.0,,R. Westbrook misses 2-pt jump shot from 9 ft,26,12
1,3:57.0,,Offensive rebound by J. Grant,26,12
1,3:46.0,,R. Westbrook misses 3-pt jump shot from 28 ft,26,12
1,3:44.0,Defensive rebound by A. McKinnie,,26,12
1,3:31.0,S. Curry misses 2-pt jump shot from 4 ft,,26,12
1,3:28.0,,Defensive rebound by R. Westbrook,26,12
1,3:23.0,,T. Ferguson misses 3-pt jump shot from 24 ft,26,12
1,3:21.0,,Offensive rebound by S. Adams,26,12
1,3:19.0,,D. Schröder makes 3-pt jump shot from 23 ft (assist by S. Adams),26,15
1,3:03.0,D. Green makes 3-pt jump shot from 26 ft (assist by S. Curry),,29,15
1,2:51.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),29,18
1,2:40.0,Golden State full timeout,,29,18
1,2:40.0,S. Livingston enters the game for K. Thompson,,29,18
1,2:40.0,,P. George enters the game for S. Adams,29,18
1,2:40.0,,M. Morris enters the game for R. Westbrook,29,18
1,2:35.0,S. Curry makes 2-pt jump shot from 20 ft (assist by S. Livingston),,31,18
1,2:14.0,,D. Schröder misses 2-pt layup from 1 ft (block by D. Green),31,18
1,2:14.0,,Offensive rebound by M. Morris,31,18
1,2:14.0,,Personal foul by S. Livingston (drawn by M. Morris),31,18
1,2:14.0,,N. Noel enters the game for J. Grant,31,18
1,2:05.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by D. Schröder),31,21
1,1:48.0,S. Curry makes 3-pt jump shot from 26 ft,,34,21
1,1:32.0,,M. Morris misses 2-pt hook shot from 4 ft,34,21
1,1:29.0,,Offensive rebound by N. Noel,34,21
1,1:29.0,,N. Noel makes 2-pt layup at rim,34,23
1,1:21.0,Personal foul by M. Morris (drawn by D. Green),,34,23
1,1:21.0,,A. Nader enters the game for T. Ferguson,34,23
1,1:15.0,Personal foul by A. Nader (drawn by K. Looney),,34,23
1,1:15.0,K. Looney makes free throw 1 of 2,,35,23
1,1:15.0,K. Looney makes free throw 2 of 2,,36,23
1,1:02.0,,P. George misses 2-pt layup from 1 ft,36,23
1,0:58.0,Defensive rebound by K. Looney,,36,23
1,0:54.0,S. Curry misses 3-pt jump shot from 28 ft,,36,23
1,0:51.0,Offensive rebound by A. McKinnie,,36,23
1,0:47.0,Personal foul by N. Noel (drawn by S. Curry),,36,23
1,0:47.0,Offensive rebound by Team,,36,23
1,0:47.0,S. Curry misses free throw 1 of 2,,36,23
1,0:47.0,S. Curry makes free throw 2 of 2,,37,23
1,0:37.0,,M. Morris makes 2-pt layup from 1 ft (assist by D. Schröder),37,25
1,0:31.0,D. Green makes 3-pt jump shot from 25 ft,,40,25
1,0:16.0,,Personal foul by A. McKinnie (drawn by P. George),40,25
1,0:16.0,,P. George makes free throw 1 of 2,40,26
1,0:16.0,Q. Cook enters the game for S. Livingston,,40,26
1,0:16.0,J. Jerebko enters the game for K. Looney,,40,26
1,0:16.0,K. Thompson enters the game for A. McKinnie,,40,26
1,0:16.0,,D. Burton enters the game for M. Morris,40,26
1,0:16.0,,P. George makes free throw 2 of 2,40,27
1,0:05.0,S. Curry misses 2-pt layup from 1 ft,,40,27
1,0:04.0,,Defensive rebound by A. Nader,40,27
1,0:00.0,,A. Nader misses 2-pt layup from 2 ft,40,27
1,0:00.0,,Offensive rebound by Team,40,27
2,11:46.0,,P. George makes 2-pt jump shot from 13 ft,40,29
2,11:23.0,D. Cousins misses 2-pt layup from 3 ft,,40,29
2,11:22.0,,Defensive rebound by P. George,40,29
2,11:16.0,,P. George makes 2-pt jump shot from 20 ft,40,31
2,11:00.0,K. Thompson misses 2-pt jump shot from 22 ft,,40,31
2,11:00.0,,Defensive rebound by Team,40,31
2,10:44.0,,P. George misses 2-pt jump shot from 14 ft,40,31
2,10:40.0,Defensive rebound by J. Bell,,40,31
2,10:23.0,K. Thompson misses 3-pt jump shot from 22 ft,,40,31
2,10:20.0,,Defensive rebound by P. George,40,31
2,10:12.0,,D. Schröder makes 2-pt jump shot from 1 ft,40,33
2,9:48.0,K. Thompson misses 2-pt layup from 2 ft,,40,33
2,9:47.0,Offensive rebound by K. Thompson,,40,33
2,9:46.0,K. Thompson makes 2-pt layup from 2 ft,,42,33
2,9:29.0,,D. Schröder misses 3-pt jump shot from 27 ft,42,33
2,9:25.0,Defensive rebound by Q. Cook,,42,33
2,9:19.0,J. Bell makes 2-pt jump shot from 13 ft (assist by K. Thompson),,44,33
2,8:55.0,,M. Morris misses 2-pt jump shot from 14 ft,44,33
2,8:54.0,Defensive rebound by Team,,44,33
2,8:38.0,K. Thompson misses 2-pt jump shot from 16 ft,,44,33
2,8:34.0,,Defensive rebound by A. Nader,44,33
2,8:34.0,,R. Westbrook enters the game for P. George,44,33
2,8:29.0,,Turnover by S. Adams (bad pass; steal by K. Thompson),44,33
2,8:27.0,Personal foul by M. Morris (drawn by K. Thompson),,44,33
2,8:15.0,S. Livingston makes 2-pt dunk from 1 ft (assist by D. Cousins),,46,33
2,7:56.0,,Turnover by D. Schröder (bad pass; steal by D. Cousins),46,33
2,7:52.0,Q. Cook makes 3-pt jump shot from 24 ft (assist by K. Thompson),,49,33
2,7:36.0,,Turnover by D. Schröder (bad pass; steal by D. Cousins),49,33
2,7:34.0,Turnover by J. Bell (traveling),,49,33
2,7:34.0,,Oklahoma City full timeout,49,33
2,7:34.0,A. McKinnie enters the game for S. Livingston,,49,33
2,7:25.0,,Turnover by R. Westbrook (bad pass; steal by K. Thompson),49,33
2,7:22.0,Turnover by J. Bell (offensive foul),,49,33
2,7:22.0,Offensive foul by J. Bell (drawn by D. Schröder),,49,33
2,7:15.0,,D. Schröder makes 2-pt layup from 2 ft (assist by R. Westbrook),49,35
