QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
1,6:14.0,D. DeRozan makes 2-pt jump shot from 14 ft (assist by L. Aldridge),,11,9
1,5:49.0,,J. Nurkić makes 2-pt hook shot from 4 ft (assist by D. Lillard),11,11
1,5:30.0,L. Aldridge misses 2-pt jump shot from 11 ft,,11,11
1,5:28.0,,Defensive rebound by C. McCollum,11,11
1,5:21.0,,C. McCollum misses 2-pt jump shot from 17 ft,11,11
1,5:18.0,,Offensive rebound by J. Nurkić,11,11
1,5:08.0,,D. Lillard makes 2-pt jump shot from 13 ft,11,13
1,4:51.0,B. Forbes misses 2-pt jump shot from 15 ft,,11,13
1,4:50.0,,Defensive rebound by Team,11,13
1,4:50.0,M. Belinelli enters the game for B. Forbes,,11,13
1,4:50.0,P. Gasol enters the game for R. Gay,,11,13
1,4:50.0,P. Mills enters the game for J. Poeltl,,11,13
1,4:50.0,,E. Turner enters the game for J. Layman,11,13
1,4:36.0,,A. Aminu makes 2-pt layup from 1 ft (assist by D. Lillard),11,15
1,4:16.0,D. DeRozan makes 2-pt jump shot from 5 ft,,13,15
1,4:16.0,Shooting foul by J. Nurkić (drawn by D. DeRozan),,13,15
1,4:16.0,D. Bertāns enters the game for L. Aldridge,,13,15
1,4:16.0,,M. Harkless enters the game for A. Aminu,13,15
1,4:16.0,D. DeRozan makes free throw 1 of 1,,14,15
1,4:08.0,,E. Turner misses 2-pt layup from 4 ft (block by P. Mills),14,15
1,4:08.0,,Offensive rebound by Team,14,15
1,4:06.0,,D. Lillard misses 2-pt jump shot from 17 ft,14,15
1,4:04.0,Defensive rebound by P. Gasol,,14,15
1,3:56.0,D. DeRozan misses 2-pt jump shot from 4 ft,,14,15
1,3:52.0,Offensive rebound by D. Bertāns,,14,15
1,3:52.0,D. Bertāns makes 2-pt layup from 1 ft,,16,15
1,3:47.0,,Personal foul by M. Belinelli (drawn by E. Turner),16,15
1,3:41.0,,Turnover by C. McCollum (lost ball; steal by D. DeRozan),16,15
1,3:36.0,D. DeRozan misses 2-pt layup from 2 ft,,16,15
1,3:36.0,,Defensive rebound by Team,16,15
1,3:25.0,,Shooting foul by D. DeRozan (drawn by C. McCollum),16,15
1,3:25.0,,C. McCollum makes free throw 1 of 2,16,16
1,3:25.0,D. Cunningham enters the game for D. DeRozan,,16,16
1,3:25.0,,C. McCollum makes free throw 2 of 2,16,17
1,3:25.0,,Z. Collins enters the game for J. Nurkić,16,17
1,3:08.0,M. Belinelli misses 2-pt jump shot from 15 ft,,16,17
1,3:05.0,,Defensive rebound by M. Harkless,16,17
